"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Democratic People's Republic of Korea","January",-1.643,0.804,-3.935,2.757,-0.318,-1.017,-0.01,-0.477,-0.229,-1.449,1.112,3.604,3.841,1.443,1.647,0.469,-3.133,1.112,3.675,-0.173,-2.606,-0.055,1.701,-0.973,-2.304,-1.591,0.007,2.41,4.247,-0.226,0.978,3.102,1.711,1.498,2.268,1.359,0.014,1.226,2.908,-0.371,-1.876,3.487,0.548,2.035,1.297,1.894,3.697,1.473,1.881,-0.091,-1.708,0.227,-0.08,2.661,2.463,0.507,2.501,0.044,3.723
"2","Democratic People's Republic of Korea","February",0.842,0.787,0.019,-2.982,-0.721,1.444,-1.134,-2.574,-2.093,0.841,0.325,-0.411,2.127,-0.115,0.542,3.814,-0.681,-1.671,1.927,-0.792,0.259,2.425,-0.435,-1.293,1.243,-1.161,0.87,-0.246,4.178,4.306,0.866,1.986,2.851,2.087,2.983,0.679,2.229,4.633,2.636,-0.592,0.151,4.516,3.446,3.528,-0.804,1.331,5.607,1.099,3.528,1.69,2.789,-0.692,-0.339,1.696,2.644,1.643,2.215,-0.324,2.758
"3","Democratic People's Republic of Korea","March",1.747,-0.929,1.51,-0.311,-1.241,0.596,1.496,1.093,-1.272,-4.374,-1.979,1.292,-0.12,-0.046,0.825,0.935,1.28,0.624,1.585,0.816,1.396,1.577,1.454,-1.988,-0.391,1.439,-0.551,-0.387,1.955,3.684,0.365,2.403,1.974,-0.363,1.34,0.478,2.132,3.559,0.881,1.584,0.204,3.818,1.761,1.365,-0.248,0.703,1.538,3.627,1.27,-1.052,0.305,0.106,0.17,2.904,1.695,2.669,2.322,2.821,3.298
"4","Democratic People's Republic of Korea","April",0.791,-0.607,-0.08,1.438,-1.837,-0.415,0.547,1.17,-0.38,0.339,0.003,-0.186,0.708,-0.364,2.19,-0.267,0.741,0.33,-1.046,-1.686,1.897,1.252,2.082,-0.388,0.511,0.145,-0.137,0.177,2.272,0.171,0.98,0.799,-0.267,2.726,-0.163,-0.442,1.319,4.401,1.339,-0.111,1.737,2.004,1.804,2.039,1.682,-0.616,0.311,2.76,1.465,-2.045,-0.074,0.776,-1.614,2.414,1.467,2.065,2.485,1.867,0.883
"5","Democratic People's Republic of Korea","May",0.009,0.451,-0.263,1.35,-0.448,0.484,1.759,-0.421,-0.969,1.287,-0.819,-0.837,-0.774,-0.389,-0.36,-0.227,-0.006,0.523,-0.3,0.268,-0.913,0.217,0.658,0.165,0.778,-0.087,0.145,-0.124,0.56,-0.395,0.116,-0.337,0.543,0.024,-0.93,0.08,-0.607,1.295,-0.238,0.384,1.666,1.289,1.093,0.75,-0.744,0.812,0.642,0.159,2.008,0.341,-0.433,1.346,0.998,0.514,1.182,1.394,1.494,0.735,1.96
"6","Democratic People's Republic of Korea","June",0.73,-0.154,0.105,-0.007,0.936,-0.847,-0.371,-0.324,-1.289,0.128,0.049,0.018,-0.129,-1.696,0.519,-0.278,-0.059,1.285,0.659,1.256,0.101,0.592,-0.212,0.953,0.315,0.48,0.617,0.844,-0.057,0.315,0.993,-0.965,-0.263,1.344,-0.271,0.662,1.289,0.332,1.414,2.325,1.966,0.345,1.087,2.172,1.404,0.106,2.091,0.782,0.043,2.369,0.436,1.065,1.973,1.538,1.566,1.118,1.25,1.456,1.072
"7","Democratic People's Republic of Korea","July",1.536,0.3,-0.381,-0.361,-0.482,-0.906,0.319,0.339,-0.421,-0.765,-0.723,0.688,1.8,-0.989,-0.038,-1.064,1.48,1.426,-0.466,-1.203,1.049,-0.206,-1.104,0.313,0.518,-1.408,-0.523,-0.372,-0.706,0.077,-0.077,0.495,-1.397,2.835,0.047,-0.747,2.158,-0.123,1.515,1.658,1.274,0.198,-1.041,0.15,0.704,-0.197,-0.382,1.044,-0.772,1.095,0.263,0.422,1.035,1.082,0.408,0.834,2.239,0.03,1.452
"8","Democratic People's Republic of Korea","August",0.739,-0.061,0.673,0.509,-0.861,0.78,1.547,-0.686,-0.369,0.247,-0.842,-2.156,1.103,0.064,0.97,-1.564,-1.155,0.621,-0.028,-1.675,-0.921,1.048,0.823,1.01,1.088,-1.042,-0.484,1.38,0.212,0.893,0.321,-0.387,-1.531,1.942,0.526,-0.25,1.238,-0.365,0.771,1.292,0.445,-0.665,-0.474,0.046,0.531,1.758,0.894,0.205,0.433,1.189,0.692,0.65,1.496,0.08,0.651,1.557,0.354,1.996,1.211
"9","Democratic People's Republic of Korea","September",0.586,-0.164,-0.058,-0.377,0.335,-1.126,-0.23,0.34,0.105,0.431,-0.618,-1.521,-0.146,0.22,1.907,-0.725,0.454,0.459,-0.633,-0.983,-0.393,-0.304,1.841,-0.133,0.075,-0.336,-0.45,0.911,-0.15,0.459,0.773,-0.099,0.599,0.768,-0.38,1.102,-0.872,2.168,2.032,0.581,1.167,0.649,0.954,1.292,1.543,0.833,1.609,1.423,0.796,1.481,0.453,0.989,0.994,0.72,1.578,1.965,1.373,0.446,2.371
"10","Democratic People's Republic of Korea","October",0.511,-0.728,-0.855,-0.43,1.08,0.852,0.509,-0.723,-0.236,0.619,-1.053,-0.628,-1.3,-1.623,0.694,-0.523,2.297,-0.794,1.85,-1.122,-0.833,1.479,-0.308,-0.774,0.816,-1.213,0.996,0.677,0.061,1.355,-0.19,0.029,-0.802,0.871,1.468,0.04,-1.268,3.074,0.28,-0.12,2.312,-1.735,-0.132,1.09,0.758,2.878,0.675,2.255,1.194,0.223,0.581,0.901,1.249,1.1,0.514,0.752,0.904,-0.084,2.184
"11","Democratic People's Republic of Korea","November",2.232,-1.183,-0.169,-0.074,0.354,0.486,-0.362,0.612,-1.489,-0.297,2.033,-1.438,-1.098,-1.055,2.402,-3.281,0.585,1.538,-1.176,2.528,-3.246,1.341,0.31,1.105,-0.908,-0.901,-0.321,-0.571,0.73,3.019,0.126,-0.186,1.177,1.877,-0.093,-0.98,1.329,-0.594,0.851,-0.997,0.634,-3.842,1.299,2.404,2.032,1.249,0.209,0.53,-0.603,-0.246,2.737,-0.744,0.451,1.882,0.843,-0.802,-0.985,1.576,0.267
"12","Democratic People's Republic of Korea","December",0.648,1.988,1.177,0.49,-1.315,-2.312,-4.178,2.966,-1.778,-0.999,-0.6,1.31,-1.243,-0.276,-0.876,0.023,2.842,1.688,2.88,-2.93,1.518,0.259,0.137,-0.052,-2.905,2.457,1.795,1.089,1.865,1.438,1.942,1.794,0.217,1.095,0.823,2.245,1.259,1.724,1.105,0.148,-0.445,0.137,1.56,1.183,-3.089,1.853,2.45,1.159,-0.569,-0.093,-0.437,-3.17,0.583,-1.702,2.218,2.106,-0.814,0.443,2.509
