"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Democratic Republic of the Congo","January",0.267,-0.484,-0.4,0.404,-0.314,0.241,-0.036,-0.248,-0.286,0.064,-0.371,0.041,0.59,-0.351,-0.162,-0.032,-0.14,0.13,0.44,0.537,-0.116,0.384,-0.477,-0.733,0.771,-0.007,0.285,0.137,-1.085,0.018,-0.593,-0.191,-0.327,0.639,0.227,-0.221,-0.182,1.285,0.003,0.265,0.026,0.136,0.62,0.905,1.082,0.885,0.875,0.365,0.605,1.081,0.639,0.193,1.172,0.674,0.334,1.366,1.384,0.53,1.51
"2","Democratic Republic of the Congo","February",-0.651,0.02,-0.132,0.181,-0.431,0.048,0.02,-0.119,-0.04,0.567,-0.146,-0.357,1.339,0.027,0.281,-0.48,0.076,0.733,0.034,0.827,0.181,-0.064,0.85,0.449,-0.824,0.396,0.499,0.77,-0.922,-0.271,-0.068,-0.199,-0.699,0.267,0.023,-0.187,-0.14,1.03,0.714,0.135,0.384,1.001,1.333,0.547,1.962,1.265,0.805,0.556,0.59,1.588,0.795,0.274,1.15,1.08,0.05,1.495,1.103,1.146,1.473
"3","Democratic Republic of the Congo","March",0.094,-0.253,-0.266,0.304,-0.322,-0.101,-0.094,-0.638,0.249,0.175,0.207,0.087,1.025,0.01,0.022,-0.269,0.153,0.268,0.208,0.308,-0.179,0.382,1.26,1.022,0.168,-0.278,0.024,0.824,-0.688,-0.105,0.451,0.074,-0.194,0.886,0.574,-0.535,0.764,1.136,0.158,0.645,0.181,0.547,0.863,1.304,1.22,0.556,0.901,0.027,0.896,1.066,1.245,0.719,0.578,0.727,0.751,1.692,-0.225,1.354,1.545
"4","Democratic Republic of the Congo","April",0.07,-0.115,-0.275,-0.17,-0.416,-0.12,0.317,-0.271,0.499,0.544,-0.288,-0.054,0.324,-0.129,0.018,-0.336,0.198,0.02,0.485,0.332,0.827,0.494,1.341,0.281,-0.643,0.477,0.256,0.519,-0.136,0.213,-0.057,-0.117,-0.3,0.11,0.392,-0.048,0.149,1.856,0.682,0.527,0.453,0.848,0.759,0.527,1.059,0.615,0.606,0.089,0.323,1.518,0.965,0.457,0.736,0.687,0.406,1.393,1.205,1.107,0.736
"5","Democratic Republic of the Congo","May",0.407,-0.289,-0.183,-0.074,-0.226,0.28,-0.047,-0.246,0.383,0.113,-0.008,0.365,0.171,-0.435,-0.014,-0.331,0.379,0.04,0.22,0.227,-0.006,-0.207,0.569,-0.03,-0.34,0.605,0.737,0.362,-0.845,0.018,0.881,-0.666,0.186,0.234,0.536,-0.323,-0.244,0.988,-0.186,0.693,0.353,0.717,0.725,0.447,0.446,0.137,1.119,0.765,0.775,1.654,1.051,0.595,0.649,0.533,0.938,1.125,1.142,0.72,0.393
"6","Democratic Republic of the Congo","June",0.048,-0.033,0.159,-0.216,-0.07,0.358,-0.024,-0.338,0.362,0.289,-0.013,-0.029,0.286,-0.051,0,-0.279,0.191,-0.058,0.284,0.284,0.218,-0.206,0.254,0.454,-0.117,0.12,0.571,0.489,-0.359,0.385,1.04,-0.387,0.207,-0.009,0.632,0.201,1.77,0.809,0.586,0.574,0.268,0.497,0.218,0.255,0.328,1.407,0.381,0.329,0.859,1.244,0.862,0.59,0.87,1.028,0.615,1.099,1.272,1.633,1.665
"7","Democratic Republic of the Congo","July",0.077,0.174,0.015,-0.575,-0.036,0.279,-0.259,-0.054,0.169,0.277,0.091,0.596,0.325,-0.175,-0.088,-0.194,0.368,-0.043,0.492,0.082,0.097,0.21,0.445,0.003,0.075,0.204,0.881,0.245,0.049,0.637,0.038,-0.928,0.622,0.207,0.842,0.322,1.49,1.17,0.441,0.46,0.27,1.117,0.593,0.66,0.904,1.518,0.698,0.564,0.776,1.114,1.029,0.883,0.736,1.475,2.008,1.451,1.385,1.886,1.795
"8","Democratic Republic of the Congo","August",-0.393,-0.265,0.144,-0.383,-0.183,0.2,-0.25,0.131,0.237,0.192,-0.212,0.202,0.241,0.167,-0.434,-0.363,0.221,0.268,0.496,0.262,0.392,-0.105,0.086,-0.142,0.4,0.312,0.37,0.414,1.104,0.453,0.391,-0.497,0.666,0.238,0.917,0.305,0.963,0.717,0.245,0.262,0.027,0.694,0.886,0.802,0.959,0.793,0.638,0.863,0.76,1.074,0.694,0.707,0.431,0.712,1.39,1.459,1.133,1.327,1.418
"9","Democratic Republic of the Congo","September",-0.25,-0.176,0.39,-0.367,0.011,-0.109,-0.358,-0.037,0.093,0.002,-0.329,0.468,0.28,-0.167,-0.356,0.247,0.597,-0.039,0.633,0.362,-0.289,-0.024,0.05,-0.385,0.007,0.197,0.459,0.065,-0.392,-0.404,-0.567,-0.22,0.376,0.469,-0.337,0.204,1.578,0.384,-0.013,0.94,0.255,0.727,0.695,0.827,1.165,0.711,0.609,0.881,0.84,1.364,-0.079,0.382,0.631,0.222,0.34,1.201,1.222,1.421,1.534
"10","Democratic Republic of the Congo","October",-0.329,-0.162,0.149,-0.46,0.014,0.011,-0.298,0.014,-0.045,0.109,-0.089,0.259,0.291,0.121,-0.231,0.145,0.307,0.125,0.635,0.252,0.361,-0.47,-0.34,0.581,0.481,-0.029,0.252,-0.248,-0.176,-0.048,-0.53,-0.243,0.273,-0.227,0.233,-0.333,0.957,0.357,0.079,-0.068,-0.029,0.552,0.721,1.071,0.403,0.752,0.391,0.645,0.335,1.194,0.195,0.215,0.666,0.456,1.392,1.506,1.136,1.459,0.669
"11","Democratic Republic of the Congo","November",-0.245,0.048,-0.268,-0.242,0.08,0.172,-0.431,-0.113,0.068,0.056,-0.127,0.192,0.025,0.127,-0.08,-0.152,0.293,-0.093,0.41,0.096,-0.157,-0.422,0.075,-0.394,1.02,-0.144,0.546,-0.313,0.448,0.294,-0.077,-0.574,0.306,-0.229,0.388,0.003,1.204,0.359,0.293,0.703,0.289,0.664,0.807,0.623,1.044,0.04,0.367,0.726,0.871,0.558,0.343,0.448,0.454,0.957,1.286,1.526,1.09,1.399,1.823
"12","Democratic Republic of the Congo","December",-0.263,0.214,0.144,-0.469,0.047,-0.093,-0.107,-0.07,0.256,-0.266,-0.742,0.616,-0.153,-0.238,-0.337,0.289,0.129,0.376,-0.023,-0.11,0.97,0.322,-0.325,-0.042,0.126,-0.169,0.891,-0.234,-0.346,0.644,0.123,-0.285,0.701,0.15,-0.047,0.024,0.451,0.667,0.359,0.461,0.949,0.562,0.654,0.908,1.326,0.237,0.595,1.343,0.905,0.429,0.166,0.983,0.676,0.833,0.952,1.426,1.415,1.195,1.642
