"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Denmark","January",0.067,2.229,-5.773,0.587,1.577,-2.398,0.023,-1.071,0.252,-3.23,0.605,-1.807,1.785,3.355,5.124,0.434,-0.038,1.595,-3.809,-2.096,-0.251,-3.286,4.996,1.376,-4.937,-0.992,-5.315,4.099,5.146,4.57,2.621,2.978,2.619,2.982,0.95,-1.682,-1.121,3.141,2.574,3.152,2.002,2.988,0.19,-0.408,3.777,-0.927,5.154,4.367,0.931,-3.511,0.701,2.489,0.289,1.795,3.534,0.156,1.667,3.112,2.096
"2","Denmark","February",3.998,1.745,-4.427,0.501,-0.126,-1.456,2.763,0.078,-1.981,-3.557,2.716,1.146,3.033,3.832,2.223,0.695,0.683,-1.59,-3.133,-0.777,1.134,-0.076,-0.22,0.861,-4.063,-4.673,0.011,3.178,5.464,6.574,-0.633,4.112,1.934,-1.027,4.469,-2.466,3.667,5.492,1.551,4.386,1.264,5.136,-0.662,2.675,0.956,0.799,2.7,5.206,1.017,-1.374,0.33,-0.303,0.389,4.937,2.975,3.535,2.701,-0.096,5.069
"3","Denmark","March",3.596,-2.515,-1.996,-2.003,-0.793,0.642,3.242,1.736,-2.635,-1.733,-1.243,1.419,2.99,2.12,1.073,-1.984,1.887,0.711,-0.585,-1.185,1.202,1.859,1.807,-0.608,-0.391,-0.181,-3.342,-0.103,4.041,4.511,2.966,2.632,1.268,1.638,1.419,-1.383,2.126,1.884,2.171,2.185,-0.455,2.64,1.806,1.85,-0.374,-2.54,4.521,1.804,1.951,0.89,1.18,4.103,-2.516,4.338,3.218,2.358,3.372,-1.349,3.736
"4","Denmark","April",2.235,0.73,-0.243,1.464,0.144,-2.029,-0.274,1.753,-0.232,-2.227,-0.014,0.463,-0.724,1.604,-0.382,-0.273,-1.258,-0.907,-0.639,0.14,0.001,0.496,1.196,0.723,-0.681,-1.156,0.923,0.11,0.834,2.026,0.85,0.489,2.261,1.903,0.87,1.241,-0.2,1.441,2.381,3.006,0.357,1.713,1.24,2.332,1.878,0.633,3.514,1.72,4.051,1.524,4.183,0.692,0.113,3.403,1.719,1.395,0.885,3.246,2.89
"5","Denmark","May",-0.129,-1.683,0.615,1.063,-1.378,0.662,0.55,-1.15,-0.433,0.055,1.065,0.327,0.19,-0.341,0.289,0.337,0.177,0.394,0.116,-0.652,2.052,0.05,0.29,0.85,1.034,1.267,-1.249,1.891,1.183,1.794,-1.296,2.302,2.826,0.459,-0.287,-1.274,-0.407,1.705,0.346,2.426,1.219,2.509,1.271,1.025,0.58,1.096,1.421,1.829,1.204,-0.813,1.269,1.749,1.716,1.566,-0.347,2.795,1.875,4.698,0.113
"6","Denmark","June",0.838,-1.536,0.476,-0.018,-0.346,1.388,-0.935,1.112,0.515,1.825,-0.993,-0.607,0.427,-0.674,-0.721,0.269,0.532,0.242,0.575,0.438,-0.645,-0.18,-0.2,-0.89,-1.098,0.16,-2.398,1.313,0.314,0.457,-2.441,2.751,-0.667,-1.059,-0.299,-0.601,0.751,-0.09,-0.401,-0.036,-1.185,1.346,1.693,-0.751,-0.293,0.845,1.951,0.781,-0.49,-0.221,1.038,-1.138,0.136,0.597,-1.044,1.926,0.964,2.467,2.857
"7","Denmark","July",-0.921,-1.845,0.106,-0.783,-2.116,-0.159,0.582,-0.674,1.171,-0.694,0.535,1.524,1.647,-1.298,1.223,1.667,-0.416,-1.219,-1.774,-0.005,-0.266,1.442,1.698,-0.559,0.123,0.189,-0.638,0.683,0.984,0.011,1.76,1.775,-1.266,3.743,1.838,-0.929,1.787,-0.819,1.77,-0.54,1.976,1.43,2.519,-0.502,1.813,4.144,0.179,1.749,1.818,3.224,0.855,0.548,1.756,3.745,0.519,1.279,0.235,3.753,1.414
"8","Denmark","August",-1.123,-1.861,-0.03,-0.813,-1.467,-0.956,0.306,0.903,1.555,0.231,0.65,-0.203,0.038,-0.012,3.124,0.783,-0.443,-0.316,-0.723,-0.239,-0.233,1.308,1.29,1.087,-0.174,-0.984,-1.404,-0.097,-0.213,1.242,1.35,0.763,-1.522,1.519,2.405,2.194,4.573,-0.693,0.962,0.023,1.535,4.052,2.183,2.279,0.04,1.522,1.175,0.941,1.787,0.976,0.737,1.152,1.482,0.567,1.968,0.691,0.68,2.457,2.209
"9","Denmark","September",1.626,-0.989,0.048,-0.238,0.665,-0.31,0.962,1.004,1.205,-0.593,-0.663,-1.713,-0.01,0.453,1.664,-0.651,-1.285,-1.447,-0.309,0.642,0.698,1.018,0.592,-1.039,-0.874,-2.29,-0.465,0.663,1.093,-0.877,0.822,0.322,-1.831,-0.028,0.482,-1.392,0.848,0.76,3.59,0.258,-0.073,1.633,1.275,1,1.64,3.752,0.14,0.24,1.57,-0.105,1.458,0.423,0.272,1.968,0.726,3.54,0.815,1.738,0.982
"10","Denmark","October",2.396,0.663,-0.072,-1.278,0.307,0.593,1.711,0.317,1.227,-0.009,0.5,-0.937,-1.995,-2.181,-0.316,-0.257,1.14,0.723,-1.11,-0.983,-0.903,1.052,0.385,1.789,1.024,0.351,0.637,-0.412,1.291,0.974,0.023,-2.692,-1.45,-1.067,2.564,0.9,-1.238,-0.258,0.539,2.368,3.183,-1.9,-2.541,0.571,2.006,3.226,-0.305,0.687,-1.347,-0.547,0.917,-0.154,1.746,2.997,0.501,-0.123,2.036,1.616,0.914
"11","Denmark","November",-0.109,-0.764,1.904,0.638,-3.52,-0.888,0.834,-0.098,-0.234,-0.027,-0.479,0.671,-1.426,0.709,-0.319,0.459,0.819,2.327,-0.111,-1.195,0.216,1.819,-0.364,1.088,-2.748,2.379,0.695,-1.31,-0.266,-0.07,0.442,0.364,-2.685,1.789,-1.278,0.284,-0.523,-2.896,0.943,2.632,0.437,-0.744,1.757,0.281,1.245,3.017,0.125,1.051,2.576,-1.288,1.769,1.353,1.208,2.729,2.779,-0.497,1.156,1.204,1.156
"12","Denmark","December",-1.949,-2.912,-2.549,-0.292,-1.189,0.088,-0.713,-2.157,-4.577,0.482,3.148,2.101,-0.537,3.048,2.133,-1.985,1.231,-2.809,0.613,0.54,-5.573,1.192,-0.093,0.846,0.744,0.779,1.107,1.714,0.807,0.926,1.614,1.225,0.761,2.565,-3.881,-2.415,0.798,-0.407,0.791,2.283,-0.985,-2.238,2.095,2.177,0.683,5.154,2.009,0.919,-1.02,-6.072,2.845,-1.777,3.519,1.626,5.085,2.92,2.251,2.521,3.076
