"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Djibouti","January",0.51,-0.753,0.094,0.457,-0.471,-0.086,-1.149,-0.847,1.284,0.64,-0.907,0.247,0.441,-0.016,-0.159,-0.472,0.528,0.206,0.352,0.68,0.399,0.624,-0.051,-0.726,0.355,-1.206,-0.667,0.609,-0.4,0.87,1.114,NA,0.508,-0.409,1.151,1.003,-0.045,1.024,0.531,0.138,NA,0.353,1.061,1.768,1.188,0.331,0.419,0.519,0.451,1.021,0.539,NA,1.325,0.553,0.064,1.662,2.719,-0.278,-0.014
"2","Djibouti","February",0.696,-0.614,0.478,0.176,-1.065,0.098,0.182,-0.904,-0.109,0.474,-1.164,-0.186,0.428,0.073,0.47,0.904,-0.719,0.114,0.053,1.186,0.389,1.449,0.368,-1.284,-0.495,0.827,0.199,1.633,0.193,1.237,1.413,-0.279,-0.517,0.3,1.443,0.715,0.667,1.065,1.282,1.693,0.687,0.894,2.335,NA,2.016,2.215,2.113,-0.782,1.626,NA,1.26,NA,NA,1.644,1.912,1.318,2.035,1.856,1.815
"3","Djibouti","March",0.244,-0.211,-0.021,0.214,-1.179,-0.131,0.078,-1.238,0.479,0.305,-0.889,0.173,1.066,-0.515,0.429,0.443,-0.275,0.188,0.145,1.452,-0.056,0.764,0.922,0.517,0.249,0.656,0.786,0.993,-0.071,0.358,0.469,0.977,0.784,0.548,0.325,0.743,0.739,1.321,-1.192,0.435,0.643,0.85,1.172,0.505,1.758,0.923,2.263,-2.706,1.585,-0.028,0.686,NA,1.872,NA,2.628,4.169,1.658,1.762,1.903
"4","Djibouti","April",0.363,0.099,-0.432,-0.578,-0.509,-0.084,-0.49,-0.949,0.516,-0.032,-0.253,-0.103,1.119,0.276,0.261,-0.141,0.006,0.458,0.307,0.815,-0.298,-0.05,0.387,0.813,-0.353,-0.376,-0.605,0.921,-1.327,-0.106,NA,NA,-0.42,1.82,0.05,3.125,-0.338,NA,1.777,1.584,1.891,1.199,1.556,0.788,1.304,0.146,0.853,1.242,2.05,0.717,2.925,1.733,2.321,1.599,1.367,0.504,2.605,0.741,2.685
"5","Djibouti","May",0.478,-0.142,-0.029,-0.557,-0.648,-0.152,-0.487,-0.44,0.171,0.292,0.103,-0.215,0.67,-0.204,0.501,-0.528,0.105,0.467,0.01,0.785,0.458,-0.27,0.273,-0.105,-0.045,-0.27,-0.539,0.911,-0.431,0.867,0.116,1.324,-1.269,0.738,1.076,-1.047,0.526,1.27,1.45,NA,NA,2.797,2.454,2.277,1.021,1.289,2.17,1.385,2.266,1.286,0.833,NA,2.159,1.497,1.314,0.248,0.739,NA,NA
"6","Djibouti","June",0.021,-0.802,-0.644,-0.286,-0.371,-0.281,-0.568,-0.608,-0.07,-0.096,0.194,0.485,0.744,-0.151,0.608,-0.099,0.86,0.994,0.043,1.419,0.321,-0.239,-0.177,0.293,-0.245,-0.156,0.121,0.417,-0.051,0.545,0.417,0.968,0.275,0.983,-0.219,-1.503,0.284,1.934,0.177,1.127,NA,NA,1.549,0.95,0.204,1.49,0.505,-0.025,1.754,1.438,0.997,NA,1.763,1.341,1.223,1.083,1.684,-0.347,NA
"7","Djibouti","July",-0.817,0.306,0.341,-1.038,-0.09,0.53,-1.059,-0.378,0.372,-0.131,0.502,0.9,1.392,0.549,0.609,0.493,1.482,-0.231,0.573,1.572,0.558,0.666,0.94,0.347,0.649,0.396,0.383,0.706,0.274,0.555,0.935,0.943,1.45,0.555,0.613,0.945,1.968,1.087,0.076,1.701,1.509,2.516,0.823,1.591,0.847,1.5,-0.022,1.195,1.837,1.069,NA,NA,0.138,1.786,NA,1.64,2.392,1.268,2.182
"8","Djibouti","August",-0.679,-0.094,0.441,-0.915,0.128,0.562,-0.407,-0.204,0.106,-0.195,0.44,0.697,0.801,0.535,-0.007,0.466,0.788,0.61,0.641,0.872,0.415,0.739,0.955,1.185,0.866,0.797,1.578,0.981,0.696,0.771,1.761,0.382,0.121,0.153,0.991,1.199,1.8,1.012,0.356,NA,0.034,1.681,1.154,2.231,1.931,0.418,0.48,1.185,2.531,0.97,1.807,0.795,0.493,1.454,2.616,0.959,1.53,1.653,NA
"9","Djibouti","September",-0.334,0.612,-0.048,-0.296,0.01,-0.463,-0.069,0.286,-0.221,-0.119,-0.54,0.113,0.743,0.163,0.567,0.138,0.635,0.184,0.326,0.443,-0.073,0.31,0.616,-0.343,0.342,0.01,1.079,-0.024,0.27,0.938,-0.75,-0.167,NA,-0.349,1.611,1.15,2.535,-0.167,0.227,0.848,0.355,1.312,-1.366,0.531,1.374,0.799,0.504,1.676,2.983,0.353,NA,1.956,1.534,0.717,2.514,1.921,1.392,1.794,0.844
"10","Djibouti","October",-0.103,-1.135,-0.193,-0.32,-0.361,0.076,-0.663,-0.102,-0.562,0.118,0.326,-0.199,0.098,-0.04,0.354,0.289,-0.078,0.228,0.289,0.454,-0.036,-0.674,0.253,-0.708,0.216,-0.177,0.96,0.216,0.488,0.022,0.324,0.032,0.662,-0.387,1.129,0.849,-0.64,1.187,-0.427,0.39,1.398,1.595,0.812,-0.687,1.235,1.185,0.465,0.972,0.533,2.174,0.411,NA,0.827,-0.278,2.474,1.817,1.629,NA,0.929
