"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Dominica","January",0.625,0.138,0.433,0.158,-0.567,0.756,-0.048,-0.554,-0.258,0.618,0.113,-0.048,0.345,-0.073,-0.717,-0.884,0.081,-0.319,-0.599,0.093,0.654,0.235,0.325,0.1,-0.303,-0.043,0.001,0.673,0.172,0.762,0.64,NA,-0.058,0.606,0.46,0.57,0.403,0.878,0.265,0.39,0.138,1.14,-0.91,0.323,0.645,0.527,0.516,0.026,0.83,1.157,0.745,0.628,0.788,0.926,1.091,0.907,0.534,1.15,0.199
"2","Dominica","February",0.307,-0.309,0.208,0.751,-0.498,0.235,-0.096,-0.131,-0.113,0.333,-0.377,-0.293,-0.314,-0.21,-0.604,-1.09,0.249,0.173,0.359,0.351,0.754,0.395,-0.029,0.101,-0.066,-0.863,0.063,0.381,-0.05,-0.071,0.4,0.274,-0.226,0.465,0.548,0.59,0.781,1.3,-0.842,0.012,0.011,0.07,0.832,0.575,0.225,0.601,0.717,0.36,0.543,1.18,0.541,0.575,0.751,0.705,1.098,1.342,0.769,0.374,0.734
"3","Dominica","March",-0.091,0.471,0.119,0.401,0.106,0.164,-0.942,-0.352,0.994,0.027,-0.388,-0.32,0.154,-0.651,-0.697,-1.292,0.074,0.196,-0.171,-0.068,0.408,-0.344,0.817,-0.174,-0.567,-0.291,0.112,0.123,-0.316,-0.002,0.62,0.453,-0.226,0.088,-0.059,0.516,0.101,1.434,0.262,-0.815,0.12,0.615,0.172,0.242,1.174,0.485,0.739,-0.383,-0.407,2.259,-0.225,0.663,0.645,0.222,0.516,0.815,0.703,0.857,0.712
"4","Dominica","April",0.243,-0.038,0.084,-0.289,-0.64,0.09,-0.735,-0.754,1.158,0.538,-0.445,-0.274,0.045,-0.935,-0.696,-0.848,-0.217,0.12,0.21,0.244,-0.062,-0.314,0.334,-0.238,-0.68,0.19,1.521,0.197,-0.758,0.139,-0.04,0.375,0.435,0.225,-0.003,0.03,-0.134,1.433,0.084,0.167,0.351,0.315,NA,0.614,1.841,0.723,0.961,-0.078,0.099,1.242,0.069,0.612,0.473,0.622,0.538,1.426,0.748,0.368,0.373
"5","Dominica","May",0.058,0.258,-0.388,-0.175,-0.076,-0.437,-0.718,-0.415,0.92,0.418,-0.722,-0.462,0.308,-0.837,-0.553,-0.52,-0.09,0.179,0.339,1.048,0.484,-0.139,0.687,-0.426,-0.289,-0.253,0.562,0.55,-0.424,0.285,0.161,0.283,0.014,0.605,0.64,0.076,0.409,0.691,0.76,0.152,0.11,0.228,NA,0.128,1.149,0.882,1.042,0.03,0.123,1.389,0.794,0.332,0.67,0.325,0.879,1.189,0.816,-0.04,0.554
"6","Dominica","June",-0.067,0.017,0.084,-0.306,-0.533,-0.339,-0.209,-0.728,0.197,-0.351,-0.083,-0.03,0.174,-0.362,-0.16,-0.459,0.419,0.107,0.433,0.83,0.101,0.28,0.744,-0.178,0.029,0.088,0.415,0.156,-0.066,0.278,0.438,0.041,0.542,0.405,0.606,0.022,0.699,0.727,0.509,0.4,0.788,0.67,0.282,0.402,0.607,0.612,0.86,0.304,0.287,0.931,1.269,1.034,0.517,0.871,0.915,0.853,0.608,0.451,0.789
"7","Dominica","July",-0.281,0.15,-0.086,-0.335,-0.41,-0.358,-0.311,-0.339,-0.13,-0.505,0.021,0.228,0.415,-0.182,-0.016,-0.24,0.371,0.171,0.161,0.273,0.204,0.125,0.518,-0.369,0.281,-0.102,0.804,0.438,0.333,0.308,0.583,0.395,0.606,0.648,1.11,0.233,0.439,0.825,0.473,0.443,0.662,0.631,0.427,0.258,0.529,0.806,1.083,0.61,1.042,1.325,0.552,0.973,0.589,0.905,0.814,1.064,1.091,0.596,1.067
"8","Dominica","August",0.076,-0.195,0.458,-0.313,-0.326,-0.199,-0.492,-0.152,0.025,-0.371,-0.472,0.027,0.192,-0.103,-0.134,-0.195,-0.169,0.059,0.086,0.014,0.294,-0.068,0.355,0.251,0.259,0.085,0.799,-0.181,-0.241,0.456,0.634,0.063,0.184,0.715,0.546,0.11,0.346,0.792,0.253,0.122,0.87,0.671,0.579,0.579,0.856,0.789,0.549,1.098,1.12,0.975,0.529,0.445,0.633,0.593,1.07,1.125,1.09,0.556,0.966
"9","Dominica","September",0.21,0.161,0.419,-0.026,-0.214,-0.109,-0.412,-0.032,0.101,-0.296,-0.253,-0.122,-0.141,-0.776,-0.235,-0.033,-0.047,0.057,-0.052,-0.156,0.232,-0.207,0.5,-0.154,0.04,-0.071,0.567,0.186,-0.022,0.016,-0.007,-0.355,0.336,-0.315,0.533,0.088,0.84,0.622,0.449,0.251,0.622,0.443,0.867,0.331,1.208,0.574,0.417,0.505,0.71,0.914,0.63,0.846,0.895,0.667,1.066,0.743,0.842,0.608,1.212
"10","Dominica","October",-0.366,0.266,0.431,-0.244,-0.164,0.073,-0.164,-0.051,0.102,-0.384,-0.388,-0.07,-0.048,-0.569,-0.596,-0.112,-0.224,-0.051,-0.017,0.383,0.167,-0.277,0.218,-0.224,-0.518,0.164,0.502,-0.106,0.003,0.092,-0.588,-0.287,0.684,-0.104,0.587,-0.015,0.77,0.274,0.301,-0.016,0.55,0.251,0.41,0.666,0.014,0.519,0.147,0.118,0.428,0.505,0.754,0.77,0.952,0.823,1.589,1.222,0.799,0.498,0.758
"11","Dominica","November",-0.284,0.028,0.237,-0.155,0.224,-0.006,-0.241,0.005,0.338,-0.257,-0.801,-0.074,-0.363,-0.221,-0.791,0.152,0.102,0.024,0.352,0.256,0.563,-0.223,0.183,-0.627,-0.066,-0.357,0.29,0.146,-0.886,0.528,-0.175,-0.704,0.068,0.339,0.552,0.039,1.093,0.61,0.238,0.268,0.212,0.363,0.519,-0.012,0.181,0.209,0.319,0.29,1.017,0.799,0.554,0.992,0.802,0.895,0.85,0.777,0.871,0.665,0.825
"12","Dominica","December",0.433,0.386,0.694,-1.173,0.429,0.088,-0.432,-0.19,0.27,-0.091,-0.712,0.041,-0.989,-0.766,-0.897,-0.205,0.181,0.489,0.043,0.185,0.702,-0.322,0.289,-0.044,0.356,0.209,1.083,-0.336,0.265,0,-0.665,-0.127,0.604,0.187,0.811,-0.151,0.976,1.11,0.245,-0.041,1.04,0.591,0.86,0.51,0.743,0.837,0.363,-0.076,0.85,0.777,0.609,0.831,1.002,0.601,1.494,1.316,1.048,0.431,1.514
