"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Dominican Republic","January",0.844,0.409,-0.025,0.307,-0.934,0.497,-0.008,-0.402,-0.207,0.623,-0.166,0.044,0.942,-0.277,-0.307,-0.852,0.51,0.681,0.19,0.389,0.765,0.726,0.913,0.754,0.175,0.564,0.679,1.003,0.607,1.103,0.614,0.988,0.487,0.991,1.174,1.473,0.885,2.233,1.384,0.413,0.388,1.589,1.776,0.856,0.13,0.75,1.605,0.282,1.032,1.466,1.45,0.617,1.679,1.523,1.437,1.836,1.043,2.235,1.379
"2","Dominican Republic","February",0.595,-0.287,0.571,0.772,-0.409,-0.082,-0.264,-0.368,-0.075,0.218,-0.343,0.004,0.232,-0.193,-0.148,-0.752,0.954,0.217,0.597,0.425,0.652,0.457,0.631,0.418,0.358,0.049,0.814,0.468,0.114,0.451,0.594,0.999,0.142,1.213,1.025,1.078,1.206,1.428,-0.381,0.599,0.406,1.147,1.923,1.6,-0.091,1.181,1.886,0.598,0.61,2.233,1.414,1.077,1.312,1.516,1.411,1.793,1.987,0.833,1.115
"3","Dominican Republic","March",-0.156,-0.158,0.006,0.682,0.255,-0.105,-1.042,-0.545,0.701,0.111,-0.216,-0.369,0.581,-0.568,-0.163,-1.054,0.561,0.737,-0.245,0.365,0.635,0.192,1.347,0.313,-0.37,0.36,0.718,0.023,-0.173,0.113,0.538,0.433,0.306,0.754,-0.158,0.826,0.93,2.004,0.595,-0.01,0.947,1.117,1.773,1.148,1.617,1.082,0.891,0.107,-0.102,2.052,1.019,0.175,1.277,1.185,1.671,1.533,1.244,0.612,1.756
"4","Dominican Republic","April",0.282,-0.019,-0.371,-0.101,-0.15,0.051,-0.939,-1.088,0.854,0.483,-0.659,-0.124,0.312,-0.801,0.208,-0.595,-0.012,0.04,-0.207,0.769,0.063,0.417,0.619,0.917,-0.01,0.086,1.152,0.78,0.189,0.513,0.299,0.899,0.427,0.676,0.841,0.599,1.114,1.305,1.099,1.06,0.158,0.207,1.453,0.29,2.08,1.481,1.463,0.341,0.205,2.205,1.264,0.562,1.309,0.885,1.308,0.532,0.313,0.903,1.154
"5","Dominican Republic","May",0.324,-0.871,-0.471,0.163,-0.984,-0.37,-0.093,0.172,0.57,-0.108,-0.196,-0.27,0.585,-0.58,0.032,-0.216,-0.15,0.286,0.029,0.799,0.327,-0.468,0.63,0.461,0.494,-0.146,0.499,1.179,-0.046,0.787,0.356,-0.101,0.349,0.942,0.962,0.645,1.373,1.301,1.136,0.741,0.784,0.584,1.317,0.014,1.047,1.362,1.347,0.876,-0.202,1.286,0.726,0.574,0.755,0.477,1.537,0.748,0.77,0.741,0.78
"6","Dominican Republic","June",-0.215,-0.211,-0.088,-0.069,-0.827,0.079,-0.096,-0.204,0.583,-0.225,-0.133,-0.015,0.326,-0.227,0.036,-0.494,0.255,0.334,0.163,1.118,0.111,0.323,0.846,0.2,0.555,-0.012,0.104,1.476,0.098,0.824,0.266,0.788,0.707,0.726,0.665,0.538,1.853,1.943,0.788,0.99,1.153,0.766,0.656,0.86,0.912,1.3,1.572,0.756,0.594,1.184,0.731,1.468,0.807,0.718,1.065,1.154,1.166,1.333,2.842
"7","Dominican Republic","July",-0.227,0.089,-0.133,-0.065,-0.204,0.143,0.001,-0.348,0.252,0.126,-0.464,-0.13,0.493,0.03,0.218,-0.259,0.02,-0.115,0.197,0.931,0.455,0.216,0.727,0.177,0.5,0.631,0.907,0.816,0.418,0.419,0.271,0.161,0.475,0.702,0.928,0.807,1.337,0.992,1.033,1.308,0.699,0.82,0.596,0.697,0.901,0.682,1.218,1.302,1.564,0.807,-0.001,0.998,0.495,1.017,1.659,1.028,1.739,0.751,1.4
"8","Dominican Republic","August",-0.052,-0.161,0.103,-0.121,-0.286,0.388,-0.229,-0.248,-0.009,-0.209,-0.488,-0.418,-0.034,-0.277,0.136,-0.266,-0.038,-0.053,-0.025,0.451,0.178,0.296,0.31,-0.13,0.392,0.457,0.855,0.118,0.346,0.946,-0.257,-0.014,0.184,0.216,1.263,0.818,1.19,1.338,1.154,0.86,0.867,0.99,0.388,1.009,0.802,0.536,0.7,0.519,0.58,1.164,0.127,0.302,1.029,0.52,0.834,1.172,1.183,0.942,1.612
"9","Dominican Republic","September",-0.025,0.004,0.012,-0.15,0.02,0.254,-0.063,-0.087,0.14,-0.475,-0.152,-0.21,0.21,-0.8,-0.202,-0.071,0.033,0.165,-0.465,0.742,0.513,0.255,0.439,-0.098,0.087,0.22,0.676,-0.01,0.354,0.606,0.608,-0.156,0.16,1.025,1.494,0.903,1.686,0.558,1.046,0.633,1.251,0.8,0.787,0.39,1.523,1.075,1.115,0.65,1.293,1.343,0.565,1.066,1.27,0.383,2.022,1.197,0.801,0.141,1.688
"10","Dominican Republic","October",-0.357,0.262,-0.243,-0.158,0.373,-0.444,0.273,0.285,0.268,-0.294,-0.713,-0.1,-0.03,-0.394,-0.279,-0.017,0.312,0.214,0.543,0.997,0.414,0.397,0.433,-0.375,-0.382,0.462,0.637,0.128,0.407,0.138,0.133,0.58,0.483,0.28,0.539,0.623,0.676,1.092,0.934,1.061,0.755,0.989,1.156,0.693,0.706,1.417,0.263,1.103,1.146,1.019,0.49,1.367,0.936,1.217,0.942,1.575,0.855,1.869,1.185
"11","Dominican Republic","November",-1.223,0.026,-0.028,-0.193,-0.032,-1.151,0.234,0.489,0.17,-0.927,-0.436,0.485,-0.277,-0.549,-0.161,0.696,0.667,0.166,0.082,0.997,0.65,0.182,0.475,-0.232,0.195,0.429,0.998,0.31,0.782,0.353,0.303,0.3,0.381,0.86,0.808,0.05,1.851,0.546,0.732,1.225,1.044,1.606,0.723,0.301,0.755,1.394,0.584,0.412,1.487,0.541,0.734,1.294,1.554,1.935,1.113,0.852,0.628,2.009,1.104
"12","Dominican Republic","December",-0.176,0.413,0.586,-1.016,-0.029,-0.423,0.058,0.052,0.075,-0.423,-0.304,0.646,-0.794,-0.068,-1.393,0.624,0.634,0.385,-0.157,0.707,0.689,-0.361,1.045,-0.374,0.339,0.929,1.168,0.365,0.994,0.28,0.015,0.158,1.422,1.147,0.848,-0.545,2.143,1.776,-0.343,0.82,1.536,1.648,1.49,1.299,0.446,1.781,0.561,0.25,1.504,-0.396,0.908,1.453,1.761,1.538,1.98,1.611,1.557,0.936,2.345
