"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Eastern Africa","January",0.371,-0.509,-0.279,-0.045,-0.645,0.453,-0.019,-0.145,0.175,0.296,-0.387,-0.068,0.55,-0.31,-0.107,-0.202,0.419,0.191,0.041,0.463,0.857,0.523,0.35,0.11,0.707,-0.066,0.422,1.158,-0.386,0.209,0.552,0.364,-0.131,0.378,0.467,0.62,0.635,0.706,0.5,0.12,0.408,0.708,1.004,1.131,0.951,1.075,0.506,0.596,0.923,1.259,0.856,0.556,1.184,0.967,0.787,1.442,1.262,0.668,1.303
"2","Eastern Africa","February",-0.115,-0.164,-0.245,0.243,-0.202,0.195,0.08,-0.542,0.082,0.371,-0.506,-0.472,0.562,-0.133,0.095,-0.119,0.084,0.187,0.289,0.732,0.282,0.368,0.738,0.03,-0.13,0.401,0.948,0.796,-0.291,0.172,0.634,0.655,-0.36,0.149,0.535,0.641,0.276,1.028,0.668,0.419,0.498,0.852,1.23,0.457,1.629,1.294,0.884,0.134,0.816,1.274,0.777,0.838,1.198,0.699,1.375,1.443,1.163,1.178,1.245
"3","Eastern Africa","March",0.246,-0.136,-0.295,0.46,-0.307,-0.26,0.133,-0.721,0.312,0.08,0.007,-0.215,0.95,-0.466,-0.075,-0.008,0.115,0.104,0.128,0.35,-0.01,0.377,0.856,0.479,0.504,0.474,1.055,0.853,0.024,-0.031,0.335,0.981,-0.141,0.448,0.317,0.34,0.868,1.323,-0.001,0.454,0.536,0.802,1.081,0.651,1.273,0.691,1.017,0.078,0.731,0.988,0.674,0.96,0.974,1.005,1.509,2.469,1.114,0.843,1.503
"4","Eastern Africa","April",0.444,0.149,-0.482,-0.134,-0.484,-0.242,0.051,-0.811,0.66,-0.064,0.157,0.249,0.554,-0.339,0.098,-0.256,-0.258,0.019,0.174,0.692,-0.45,0.169,0.865,0.263,-0.236,0.031,0.834,0.798,-0.452,0.166,-0.17,0.942,0.417,0.452,0.434,0.323,-0.146,1.169,0.209,0.662,0.675,0.586,0.891,0.348,1.11,0.482,0.758,0.149,0.578,1.215,1.502,0.409,0.73,0.766,0.88,1.084,1.112,0.42,2.017
"5","Eastern Africa","May",0.988,-0.74,-0.794,-0.455,-0.491,0.148,0.05,-0.412,0.205,0.342,-0.307,0.202,0.481,-0.281,0.199,-0.289,0.369,0.012,0.083,0.442,-0.377,-0.073,1.024,0.493,-0.182,0.048,0.579,0.499,-0.031,0.627,0.46,0.802,0.305,0.372,0.526,0.351,0.012,0.733,0.397,0.48,0.674,0.683,1.043,0.332,1.076,0.647,1.035,0.647,1.193,1.736,1.234,0.984,0.798,1.093,1.284,0.503,1.299,0.851,1.799
"6","Eastern Africa","June",0.73,0.132,-0.374,-0.264,-0.463,0.314,0.205,-0.804,0.271,0.482,-0.451,-0.224,0.181,-0.148,-0.108,0.069,0.409,0.127,-0.097,0.047,-0.207,0.532,0.997,0.241,-0.156,-0.268,-0.111,0.702,0.174,0.816,0.378,0.911,0.333,0.367,0.418,0.175,1.08,0.97,0.607,0.759,0.276,0.431,0.923,0.12,1.159,0.853,0.685,0.279,1.717,1.37,1.529,1.049,0.885,1.368,1.187,1.127,1.568,0.926,1.418
"7","Eastern Africa","July",0.499,0.081,0.157,-0.975,-0.193,0.472,-0.072,-0.11,0.364,0.617,0.098,0.175,0.134,-0.132,0.108,-0.093,0.466,-0.343,0.031,0.143,-0.142,0.51,1.023,0.353,0.191,-0.117,0.655,0.673,0.297,0.468,0.049,0.241,0.29,0.236,0.594,0.113,0.587,0.708,0.28,0.462,0.242,1.424,0.387,0.561,0.702,0.952,0.656,0.947,0.797,0.965,1.156,0.925,0.65,1.362,1.781,1.18,1.619,0.718,1.508
"8","Eastern Africa","August",-0.293,0.143,-0.178,-0.582,-0.14,0.307,-0.237,-0.04,0.189,0.487,-0.134,0.153,0.016,0.176,-0.614,-0.37,0.348,0.66,0.449,0.257,0.351,0.238,0.204,0.046,0.214,0.373,0.746,0.571,0.426,0.34,0.134,-0.114,0.155,0.264,0.926,0.352,0.955,0.512,0.203,0.241,0.831,1,0.456,0.934,1.151,0.811,0.782,0.919,1.119,0.654,0.827,1.441,1.043,1.243,1.445,1.103,1.394,1.722,1.822
"9","Eastern Africa","September",0.048,0.008,-0.041,-0.607,-0.128,0.297,-0.256,-0.16,0.102,0.306,-0.368,0.348,0.386,-0.572,-0.257,0.065,0.516,0.496,0.399,0.414,-0.018,0.133,0.447,0.351,0.283,0.093,1.154,0.336,0.278,0.214,0.275,0.137,0.041,0.384,0.697,0.607,1.08,0.321,-0.028,0.433,0.594,0.675,0.591,0.471,0.799,0.45,0.925,1.247,1.307,0.966,1.068,1.343,1.42,0.742,1.636,1.124,1.637,1.789,1.112
"10","Eastern Africa","October",0.058,-0.051,0.178,-0.445,-0.647,-0.268,-0.167,0.216,0.408,-0.089,-0.466,0.171,0.122,-0.088,-0.716,0.061,0.554,0.333,0.528,0.389,-0.211,-0.502,-0.1,0.321,0.009,0.087,0.422,0.412,0.03,0.357,0.002,0.451,0.466,0.077,1.016,0.39,-0.032,0.48,-0.432,0.29,0.618,0.547,0.803,0.448,0.766,0.701,0.468,1.015,0.889,1.653,0.589,1.303,0.427,0.671,1.86,1.399,1.382,0.598,1.331
