"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Eastern Asia","January",-0.079,-0.393,-0.447,0.492,1.394,0.965,-0.613,-0.457,-1.434,-0.308,0.366,1.444,1.28,0.518,1.232,1.081,-2.425,-0.258,1.613,0.142,-0.1,1.893,0.656,-0.964,-0.09,0.987,1.602,1.668,1.289,0.849,1.108,1.529,-0.091,1.44,0.739,0.455,1.315,0.178,2.41,-0.081,0.419,3.02,1.366,1.291,0.676,1.388,2.184,-0.474,1.583,1.379,-2.273,-0.937,0.556,2.539,2.897,0.273,2.441,0.404,2.143
"2","Eastern Asia","February",0.592,1.039,0.934,-3.33,0.562,2.362,-0.581,-2.739,-2.742,0.844,-0.297,-1.821,1.661,-0.757,0.838,2.528,-0.669,-0.628,2.541,-0.202,0.712,1.192,-0.45,-1.467,0.375,0.079,2.28,-0.361,1.091,1.829,1.397,1,3.065,1.414,1.727,0.598,1.22,3.625,3.578,-0.041,1.346,3.895,2.526,3.011,-1.006,2.125,4.756,-0.533,3.4,0.977,2.379,-0.113,1.326,0.492,2.913,1.566,3.186,1.077,1.597
"3","Eastern Asia","March",0.413,-0.361,1.768,0.385,-0.483,0.868,0.389,1.03,-0.001,-3.061,-0.713,1.3,0.815,-0.831,1.102,-0.901,1.019,0.088,-0.2,-0.654,1.53,0.712,0.153,-0.458,-1.417,0.279,-0.176,-1.387,0.795,1.997,0.303,0.216,1.425,-0.434,0.599,0.065,2.331,1.199,-0.027,1.126,1.237,2.765,0.951,1.67,0.962,1.436,1.509,3.533,1.561,0.027,-0.594,0.405,2.763,2.261,2.475,2.85,0.561,4.007,2.636
"4","Eastern Asia","April",1.18,-0.622,-0.636,1.268,-0.391,-0.546,-0.091,-0.099,0.131,-0.357,0.476,-0.154,1.002,0.977,0.312,-0.755,0.383,0.937,-0.333,-0.796,1.459,0.349,-0.249,-0.099,0.72,-0.389,0.536,0.141,0.55,-0.439,-0.078,1.157,-0.097,1.389,-0.335,-0.545,1.169,2.872,1.552,0.867,0.673,1.154,0.998,2.374,1.641,0.658,1.25,1.82,2.468,-1.143,1.567,1.783,0.588,2.15,1.574,2.308,2.127,2.323,2.589
"5","Eastern Asia","May",-0.147,0.038,0.713,0.171,0.404,-0.122,1.353,0.036,0.625,0.279,-0.178,0.496,-0.419,0.46,-0.673,-0.144,-0.426,0.434,-0.012,0.345,0.134,0.405,0.582,0.446,0.491,0.877,-0.1,-0.044,0.485,0.212,0.086,0.306,-0.426,0.979,0.178,0.508,1.078,0.852,0.712,1.675,1.196,0.721,0.457,0.826,0.57,0.804,1.888,1.159,1.256,0.839,0.546,1.59,1.499,0.663,1.158,0.781,1.903,1.731,0.69
"6","Eastern Asia","June",0.551,-0.196,-0.038,-0.345,0.106,-0.04,-0.104,0.133,-0.487,-0.318,-0.097,0.293,-0.061,-0.372,0.186,-0.753,-0.097,0.682,0.401,0.479,0.477,-0.16,-0.654,0.201,-0.142,0.466,-0.413,0.639,-0.246,0.33,0.45,-0.391,-0.032,0.753,0.533,0.03,0.487,0.643,0.83,1.211,1.274,1.212,0.612,0.888,1.532,0.873,1.488,0.99,0.779,1.424,1.364,1.043,1.178,0.705,0.7,1.08,1.086,1.574,1.123
"7","Eastern Asia","July",0.526,0.197,-0.008,-0.133,-0.285,-0.281,0.133,0.144,-0.122,0.057,0.091,-0.137,0.024,0.034,-0.196,-0.904,0.181,0.29,-0.422,0.18,0.772,-0.157,-0.405,-0.387,-0.258,-0.131,-0.069,0.453,-0.259,0.117,0.409,-0.271,-0.518,0.834,0.114,0.124,0.585,0.613,0.865,1.389,1.239,0.891,0.052,0.519,1.171,0.899,0.888,0.938,0.688,1.651,0.795,0.89,0.864,0.722,0.701,1.44,1.823,1.351,0.772
"8","Eastern Asia","August",-0.005,0.121,0.485,0.246,-0.52,0.516,0.423,-0.717,-0.538,0.341,-0.22,-0.122,0.063,-0.16,0.592,-0.906,0.04,0.188,-0.186,-0.292,-0.148,0.168,0.19,-0.111,0.482,-0.15,0.032,0.222,-0.004,0.348,0.413,-0.219,-0.866,0.733,0.211,-0.009,0.687,0.48,0.377,0.54,0.645,0.819,0.155,0.171,0.602,1.506,1.316,0.44,0.609,1.043,1.168,0.862,1.363,0.008,0.773,1.56,0.778,1.431,1.15
"9","Eastern Asia","September",0.306,0.339,0.34,-0.068,-0.25,-0.218,-0.488,-0.528,-0.315,-0.319,-0.37,-0.813,0.405,-0.292,1.032,-0.223,0.674,0.339,-0.739,-0.324,-0.077,-0.365,0.755,-0.398,-0.669,-0.065,0.278,0.548,0.177,0.551,0.383,-0.339,0.255,0.056,0.428,0.434,-0.548,1.66,1.076,0.842,0.987,0.379,1.038,0.732,1.639,0.891,1.357,1.163,1.153,1.379,0.326,0.705,0.678,0.601,0.674,1.68,1.538,0.505,2.122
"10","Eastern Asia","October",-0.138,-0.044,-0.263,-0.152,0.759,0.147,-0.052,-0.776,0.436,-0.081,-0.177,-0.439,-0.554,-0.624,0.761,-0.076,0.955,-0.144,1.117,-0.166,-1.408,1.328,0.609,-0.088,0.572,-0.765,0.051,0.563,0.993,1.43,0.387,-0.643,-0.146,-0.241,1.078,0.347,0.32,1.876,0.666,-0.338,1.42,-0.18,0.69,0.524,1.157,2.399,0.64,1.551,1.601,0.806,1.366,0.556,1.267,1.266,1.33,0.468,0.755,0.439,1.371
"11","Eastern Asia","November",0.744,-1.282,0.654,0.522,0.424,-0.343,-2.029,0.774,-0.876,-0.397,1.113,0.004,0.766,0.447,0.389,-2.039,0.533,0.801,-0.7,2.474,-1.815,0.383,1.215,0.642,-0.398,-0.698,-0.106,1.211,0.025,2.206,0.475,-0.156,-0.223,2.703,1.473,-0.2,0.6,1.729,1.293,-1.029,1.783,0.172,0.559,1.482,1.905,2.157,1.508,1.439,-0.813,1.889,2.03,-0.186,1.42,1.389,1.401,0.31,0.962,1.306,1.635
"12","Eastern Asia","December",-0.328,1.142,0.628,0.197,-0.887,-1.726,-2.419,1.73,-0.43,0.12,0.526,0.431,0.514,-1.877,-1.345,-0.62,1.329,1.644,1.853,0.528,-0.092,0.009,0.489,-1.414,-0.665,0.831,1.331,1.883,2.066,1.841,0.62,1.157,0.287,1.106,0.796,1.377,0.942,2.163,1.377,0.99,-0.506,-0.246,0.931,1.423,-0.836,1.331,2.041,1.594,0.149,0.625,0.158,-0.924,1.198,0.028,1.756,3.011,1.646,-0.002,0.988
