"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Eastern Europe","January",1.228,1.812,-0.504,-1.938,0.69,2.377,-1.119,-0.408,-4.334,-0.162,1.004,-4.039,-1.159,-1.04,2.704,1.489,-2.789,0.394,-0.048,-1.283,2.586,0.599,2.88,2.307,-1.451,2.29,-1.129,1.665,1.824,1.717,1.947,2.718,3.515,0.829,3.509,0.847,0.534,0.814,0.786,0.037,-0.393,2.676,1.719,2.268,3.582,-2.653,6.717,1.723,2.149,-1.112,1.602,1.49,0.346,-0.291,3.251,1.989,2.302,2.733,2.776
"2","Eastern Europe","February",1.722,1.745,1.345,-1.124,-1.279,2.565,-0.929,0.379,-4.352,1.09,0.664,-2.681,2.732,0.036,0.691,-3.002,1.279,-0.614,0.846,-0.808,2.204,-0.52,1.773,-2.317,-2.187,-1.278,1.632,0.436,2.079,3.646,-0.371,3.562,3.987,0.077,7.074,1.942,2.652,1.15,2.944,4.1,0.376,4.841,1.311,2.054,0.337,0.626,0.279,4.268,-0.389,-1.139,0.045,0.582,1.642,1.868,5.05,5.86,4.082,2.712,3.801
"3","Eastern Europe","March",1.789,1.269,-1.301,-0.94,0.043,1.714,1.053,1.41,-1.903,0.83,0.565,-0.765,0.66,1.213,1.875,-1.966,2.385,1.492,1.244,-1.621,1.77,0.099,0.916,0.43,-1.807,-0.476,-1.851,0.673,3.217,3.266,0.787,1.824,2.486,1.517,2.988,1.268,3.128,1.73,-2.284,2.466,1.337,4.961,2.521,1.572,1.072,1.115,3.32,5.054,1.632,0.541,4.106,0.775,-0.949,5.181,4.171,4.434,7.176,0.296,5.151
"4","Eastern Europe","April",0.886,0.727,-0.199,-1.109,-1.49,0.523,0.045,0.404,-0.956,1.281,-0.336,1.077,0.564,-0.712,1.844,0.395,1.21,0.052,-0.272,0.473,-0.922,0.975,1.797,0.321,0.897,1.128,-1.894,0.464,0.984,0.751,1.037,-0.643,0.133,0.966,2.619,-0.148,3.624,-0.469,0.56,3.366,1.325,1.109,1.126,-0.022,1.66,-1.195,3.782,1.122,2.178,0.978,3.634,3.137,2.502,3.643,2.129,3.744,2.629,2.641,2.991
"5","Eastern Europe","May",1.26,-0.031,0.916,-0.632,-0.546,-0.101,0.715,0.505,-0.296,0.457,0.902,-0.16,-0.023,-0.128,1.164,-0.274,0.679,-0.998,0.358,-0.525,-0.056,0.589,1.314,0.565,0.988,0.273,0.153,0.025,-0.032,0.298,-0.927,1.168,0.565,0.281,0.93,1.122,1.301,-0.124,0.435,1.167,1.849,1.378,1.724,0.803,2.12,0.74,1.843,1.124,0.985,2.448,1.936,2.632,2.558,1.943,1.923,1.665,0.41,1.236,1.9
"6","Eastern Europe","June",1.045,-0.888,-0.351,0.967,-0.077,0.501,-0.703,-0.104,0.007,-0.206,-0.041,0.544,0.304,-0.225,0.966,-0.846,0.976,-0.948,0.253,0.303,0.194,-0.823,-0.335,-0.259,0.21,0.26,-0.06,1.059,0.454,0.764,0.264,-0.661,0.352,0.773,0.748,0.007,0.47,1.207,0.518,1.41,1.061,1.153,0.436,0.432,1.077,1.761,0.751,1.083,0.931,1.597,1.936,2.619,1.551,0.884,1.937,1.938,1.19,1.701,2.005
"7","Eastern Europe","July",0.011,0.168,0.389,-0.236,-0.415,0.691,-0.342,-0.727,-0.864,-0.028,0.317,0.454,0.451,-0.6,1.152,-0.328,-0.344,-0.223,-0.556,0.683,0.354,-0.312,0.779,0.403,-0.448,0.362,-0.196,1.232,0.695,-0.069,0.855,-0.379,0.48,0.176,0.34,0.716,-0.442,1.404,1.359,0.524,1.503,1.278,0.879,0.435,1.084,0.42,1.202,0.752,0.435,1.9,1.298,1.709,0.954,0.272,0.721,1.6,0.509,0.994,0.561
"8","Eastern Europe","August",-0.098,-0.135,0.119,-0.945,-0.585,0.63,0.141,-0.09,-0.293,-0.097,0.11,0.008,0.064,-0.786,0.603,0.204,-0.42,-0.814,0.445,-0.595,-0.232,-0.237,0.421,0.327,0.583,0.464,-0.44,-0.228,0.504,0.145,0.395,0.049,-0.064,-0.036,1.142,-0.469,0.412,1.041,-0.15,0.947,1.187,0.564,1.406,0.234,0.8,0.546,1.887,1.177,0.467,1.459,0.776,0.622,1.173,1.422,1.021,1.936,1.661,1.436,1.154
"9","Eastern Europe","September",-0.194,-0.433,0.699,-0.128,0.348,-0.381,0.207,0.29,-0.574,-0.25,0.267,-0.332,-1.308,0.106,1.305,-0.441,-0.424,0.283,0.82,-0.263,0.418,0.197,0.396,0.321,-0.151,0.347,-0.427,0.326,0.185,0.359,0.576,-0.682,-0.933,1.112,0.627,-1.548,0.052,-0.757,0.068,-0.009,-0.136,0.212,1.17,0.81,1.802,1.423,1.413,0.26,1.622,0.471,0.853,1.632,-0.283,0.177,1.301,1.976,0.485,1.82,0.911
"10","Eastern Europe","October",-0.255,0.296,1.013,-0.455,-0.645,0.726,1.447,-0.373,-0.301,-0.453,0.071,0.349,-0.132,1.251,-0.374,-2.428,-1.068,0.452,0.28,0.216,0.804,-0.165,0.249,0.862,-0.339,0.212,-1.832,-0.155,1.055,0.431,1.412,-0.493,0.23,2.446,2.151,0.669,2.242,-0.372,1.295,0.134,0.484,0.262,1.803,0.723,2.73,0.488,2.646,3.238,2.033,1.438,2.924,2.064,0.881,-0.053,0.901,0.499,1.056,4.006,2.657
"11","Eastern Europe","November",0.73,-0.101,1.077,0.435,-0.873,0.173,1.27,0.107,1.062,1.125,1.248,1.075,-0.241,0.832,-1.755,-0.729,1.878,0.027,0.379,1.048,0.247,-0.638,0.766,-0.126,-0.422,-0.055,-0.455,-0.67,-0.297,2.054,0.94,-1.249,-2.105,-0.014,2.582,2.918,-0.01,-3.482,-0.295,-0.875,3.242,1.031,0.307,3.244,3.975,2.011,2.245,3.262,0.432,3.913,1.018,2.619,5.179,1.173,1.614,-0.566,2.558,1.564,1.913
"12","Eastern Europe","December",0.425,-0.69,-1.552,-0.326,1.306,-0.312,-0.089,-1.001,-0.092,-0.661,2.201,-0.114,-0.166,0.197,0.184,-0.558,-0.991,-0.893,1.878,2.046,1.213,0.922,0.776,-3.525,0.25,-0.73,0.8,1.337,1.573,0.602,0.169,1.409,-0.316,-0.771,0.993,-0.184,-1.557,0.475,2.883,-1.154,-0.462,-3.418,3.596,-0.722,1.388,3.563,3.007,2.213,-1.569,-0.77,3.069,-1.457,4.648,2.498,3.877,0.438,3.648,0.844,3.001
