"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Egypt","January",1.035,0.7,1.803,-1.152,0.403,0.12,-1.208,-0.835,-0.986,1.304,2.154,-0.153,0.101,-1.15,-0.938,-0.827,-0.126,-0.652,-0.015,-0.318,-1.873,1.322,-2.64,-0.674,2.404,0.432,0.392,0.219,-2.207,0.06,-0.22,-1.195,-0.207,1.809,-0.018,0.775,1.688,0.285,0.819,-0.224,0.942,-1.148,2.069,0.388,0.732,1.029,-0.103,-0.629,1.609,3.064,1.184,-1.023,1.464,1.885,0.214,0.17,0.174,0.875,-0.323
"2","Egypt","February",-1.947,-0.896,1.141,-1.215,0.146,-0.112,-0.905,-0.455,2.022,0.461,-0.171,-0.675,1.541,-0.371,-0.453,-1.855,1.473,0.715,1.689,-1.127,-1.185,-1.917,-2.397,-0.109,-0.876,1.047,0.884,-0.373,-2.078,-1.23,0.114,-3.303,-1.872,-0.514,-0.041,0.477,-2.175,0.258,1.084,-1.259,-0.484,1.192,-1.435,0.408,0.794,1.186,0.307,-1.233,0.688,3.281,1.592,-0.037,1.18,1.169,0.216,1.522,-0.877,3.316,-0.213
"3","Egypt","March",-2.072,2.792,-0.604,0.806,0.648,-0.394,-2.651,-1.033,3.057,0.33,0.996,-0.383,-0.621,0.719,0.001,-0.171,-1.432,-0.283,1.311,0.279,0.49,-1.99,-2.577,0.361,0.652,1.021,-1.081,0.046,-0.841,-1.271,1.187,-1.121,-0.973,-0.694,0.26,-0.138,-1.808,-2.058,0.218,-1.324,2.642,1.235,-1.995,1.42,0.607,0.852,0.407,2.973,-0.678,2.836,0.094,-1.103,2.602,1.614,1.254,2.194,0.224,3.811,-0.665
"4","Egypt","April",-0.391,-0.691,0.902,0.169,-0.83,0.7,-0.108,-0.313,-1.265,0.482,-1.668,0.792,-0.356,1.095,1.172,-0.093,-1.289,0.375,1.342,0.027,0.824,0.707,-1.849,-0.721,-0.093,0.429,-2.28,0.544,1.893,0.835,1.519,-1.213,0.56,0.981,-1.117,-1.25,-1.409,1.345,-0.144,1.282,0.748,0.053,0.423,0.028,0.57,-0.042,0.219,1.064,1.277,1.714,-0.238,1.545,-0.084,1.799,-0.997,0.01,0.568,1.96,-0.276
"5","Egypt","May",-0.313,-0.666,-0.137,-1.554,-1.384,0.361,-0.757,0.918,-0.446,0.231,0.726,-0.203,-0.566,-0.899,-0.614,0.246,0.351,1.445,0.185,0.859,-0.664,-1.436,-0.243,1.464,1.112,-2.846,0.165,1.471,0.649,-0.596,0.43,-0.579,-0.681,0.238,-0.772,1.75,0.33,1.058,1.174,0.025,0.506,-0.14,1.443,1.306,-0.594,-0.165,0.995,0.264,-0.843,0.551,0.192,1.272,1.931,1.013,-0.044,1.51,1.077,2.709,1.26
"6","Egypt","June",1.803,0.549,0.518,-0.154,0.94,0.385,-0.013,1.547,1.142,-1.224,-0.326,-0.303,-0.561,-0.672,-0.71,-0.572,0.118,-0.289,0.791,-0.093,-0.028,-0.811,-0.597,-1.41,0.552,0.108,-0.665,0.904,-0.218,-0.766,-0.136,0.93,0.016,-0.89,1.875,-0.902,0.391,-0.417,-0.421,-0.661,-0.36,-0.312,0.875,-0.39,-0.047,0.646,0.637,1.526,1.159,1.592,0.159,1.651,0.644,0.46,-0.203,2.381,1.013,1.784,1.912
"7","Egypt","July",-0.477,0.26,0.58,-0.194,-0.059,0.37,-0.281,0.678,-1.18,-0.136,-1.039,-0.161,0.418,-0.298,-0.413,-0.5,0.442,0.69,0.041,0.391,0.243,-0.646,0.144,-1.082,-0.414,0.182,0.425,1.17,0.002,0.175,-0.513,0.196,0.068,0.257,0.848,-0.013,0.817,0.979,0.737,1.432,0.899,2.311,0.916,1.049,1.045,0.287,1.004,1.152,1.52,1.716,1.511,2.181,-0.028,1.457,0.921,1.479,2.002,1.61,2.132
"8","Egypt","August",-0.254,1.282,0.666,0.159,0.223,0.283,0.252,0.086,-0.27,-0.324,-0.208,0.214,-0.938,-0.628,-0.981,-1.306,0.477,-1.586,-0.037,-0.137,-0.098,-0.166,-0.681,-1.239,-0.053,0.107,0.689,0.824,0.293,-0.748,-0.289,0.445,0.168,0.126,0.748,0.547,0.345,2.199,1.328,0.147,1.704,1.718,1.317,0.329,1.45,1.912,1.316,1.608,0.624,2.522,0.986,1.526,1.076,1.962,3.424,1.495,2.302,1.897,1.824
"9","Egypt","September",-2.042,0.391,0.929,-1.533,0.338,0.246,-0.212,-0.044,1.781,-0.275,-0.07,1.348,-0.215,-0.213,-0.61,0.077,-0.04,-0.548,-0.269,-0.859,-0.387,0.181,-0.459,0.138,-0.324,1.441,0.362,0.841,1.047,-0.397,-0.497,-0.665,0.724,1.274,1.865,1.814,-0.135,1.879,1.656,0.577,1.378,2.275,1.093,0.437,1.401,1.592,0.204,1.963,1.356,2.307,0.858,0.829,1.2,1.597,3.296,1.497,1.357,1.79,1.334
"10","Egypt","October",-1.508,1.11,1.55,-0.356,-1.013,1.226,-1.019,-1.538,0.873,-1.512,-0.837,0.879,0.318,0.973,-0.885,1.147,-1.798,0.716,0.569,0.099,1.145,0.816,-2.092,0.063,-1.763,-0.82,-1.303,-1.835,-1.103,0.207,0.342,1.024,1.846,2.283,-0.01,-0.451,-0.259,1.1,1.018,-1.199,-0.464,0.787,1.483,0.938,-0.147,0.221,1.077,-0.162,1.492,3.053,0.175,1.707,-1.117,0.038,2.12,1.236,-0.407,1.152,2.033
