"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","El Salvador","January",0.425,-0.286,0.108,0.127,-0.682,0.44,-0.171,0.061,0.615,0.188,0.171,0.42,0.611,0.332,0.3,-1.057,0.274,-0.044,0.055,0.957,-0.653,0.773,0.871,0.055,-0.317,-0.544,-0.369,0.961,0.814,0.976,0.751,0.486,0.275,0.322,0.795,-0.326,0.487,1.553,0.865,0.076,0.277,0.809,0.541,0.862,0.362,0.804,1.165,0.483,0.979,0.56,1.221,0.651,1.338,-0.258,0.815,1.168,0.464,0.373,0.611
"2","El Salvador","February",0.27,-0.118,-0.086,0.19,0.45,0.758,-0.334,-1.192,0.678,-0.78,-0.063,-0.289,0.708,-0.682,0.119,-1.218,0.831,0.419,0.671,0.316,0.083,0.84,1.072,0.42,0.238,0.678,0.512,0.785,-0.476,0.699,0.316,0.085,0.217,0.582,0.637,0.26,1.097,1.197,0.534,-0.034,1.09,1.158,1.466,1.143,0.982,0.16,0.423,0.644,0.61,1.413,0.812,1.253,0.853,1.361,0.792,0.58,1.015,0.488,1.061
"3","El Salvador","March",-0.067,-0.383,-0.276,0.275,-0.326,-0.225,-0.833,-1.178,0.753,0.367,-0.368,-0.485,1.289,-0.262,0.493,-0.559,0.87,0.094,0.688,0.889,0.627,0.213,0.557,0.208,0.693,-1.233,0.833,0.33,-0.456,0.205,0.857,0.882,0.074,0.495,0.738,-0.429,0.965,1.396,0.75,0.577,0.278,0.919,1.063,1.413,1.667,0.603,0.623,0.824,0.118,0.947,0.119,0.887,0.397,1.159,1.096,1.451,0.902,0.925,1.222
"4","El Salvador","April",0.241,-0.037,-0.856,0.643,-0.394,0.393,-0.964,-0.769,0.51,0.567,-0.907,0.156,0.848,-0.287,0.512,-0.805,0.425,0.083,0.416,-0.019,0.233,-0.02,0.614,0.29,-0.248,-0.606,0.007,0.397,0.288,0.206,0.862,0.996,0.173,0.267,0.743,0.038,0.564,1.279,1.1,0.554,0.666,0.557,0.582,0.542,1.526,0.227,0.662,-0.063,0.807,0.902,-0.148,0.205,0.86,0.449,1.221,1.659,0.873,0.144,0.665
"5","El Salvador","May",0.131,-0.314,-0.766,0.386,-0.07,-0.146,0.372,-0.56,0.449,-0.751,-0.014,0.23,0.274,-0.247,0.54,0.352,-0.409,0.54,0.294,1.072,0.149,-0.29,1.827,0.144,0.165,0.309,0.832,0.61,0.573,0.636,0.2,0.789,0.42,0.612,1.075,0.051,1.199,1.754,0.751,0.03,0.318,1.101,0.985,0.464,0.48,0.455,1.113,0.358,0.709,0.501,0.945,0.475,0.822,0.261,1.139,1.736,0.456,0.472,0.795
"6","El Salvador","June",-0.201,-0.495,0.19,-0.836,0.142,-0.327,-0.303,-0.512,0.389,0.529,-0.342,0.637,0.122,-0.199,0.794,-0.397,0.049,0.343,0.161,0.727,-0.001,0.376,1.053,0.14,0.587,0.614,1.012,-0.355,0.301,0.858,0.421,1.116,0.459,0.665,0.929,1.188,0.502,1.627,0.435,-0.447,0.426,0.716,0.892,0.669,0.984,0.338,1.183,0.192,1.187,0.534,1.603,0.902,0.953,0.564,1.445,0.851,0.367,0.903,1.681
"7","El Salvador","July",-0.397,-0.073,-0.559,-0.605,0.211,0.292,-0.177,0.329,0.584,-0.089,-0.222,0.875,0.021,0.139,-0.057,0.474,1.218,-0.533,0.769,0.595,0.181,0.317,0.658,-0.226,0.238,0.645,0.286,0.252,0.601,0.505,0.854,-0.115,0.628,1.376,0.501,0.158,1.278,0.594,0.323,0.33,1.576,0.775,1.439,0.566,1.09,0.941,0.431,0.441,1.554,0.336,1.017,1.133,0.779,1.265,1.161,1.032,0.377,1.521,1.191
"8","El Salvador","August",0.142,-0.072,0.072,-0.168,-0.347,-0.201,-0.339,-0.08,-0.438,-0.247,-0.55,0.221,-0.216,0.182,-0.292,0.476,0.373,0.374,0.584,0.311,0.182,1.27,0.639,-0.118,-0.02,0.978,0.628,-0.176,0.003,0.654,0.75,0.313,0.335,0.642,0.35,-0.037,1.511,0.869,0.547,-0.138,0.784,0.779,1.074,0.993,0.658,1.149,0.282,0.636,1.159,0.129,1.156,0.812,0.37,0.799,2.026,1.131,0.728,0.986,1.448
"9","El Salvador","September",-0.447,0.125,0.087,-0.166,-0.046,0.221,-0.659,0.288,-0.069,-0.03,-0.481,0.733,0.225,-0.39,-0.715,0.731,0.99,-0.251,-0.008,0.423,0.496,0.255,0.282,-0.269,0.327,0.206,0.648,-0.052,0.194,0.699,0.564,0.436,-0.237,0.976,0.464,1.019,1.213,1.004,0.123,0.877,0.257,0.789,1.315,0.898,0.757,1.327,0.69,0.949,1.894,0.143,1.304,1.312,0.579,0.981,1.524,0.888,0.999,1.181,1.397
"10","El Salvador","October",-0.113,0.074,0.518,-0.486,-0.168,-0.25,-0.138,-0.208,0.138,0.598,-0.014,0.642,-0.178,-0.308,-0.354,0.687,0.573,0.011,0.641,0.465,0.553,0.571,0.176,0.453,0.286,0.295,0.01,-0.14,0.377,0.405,0.341,0.544,0.537,1.15,0.43,0.401,0.767,0.41,-0.143,-0.133,0.655,0.899,0.751,0.897,-0.348,1.243,-0.386,0.018,1.336,0.144,-0.287,0.419,0.803,0.322,1.251,0.857,0.124,0.497,0.825
