"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Equatorial Guinea","January",0.098,-0.13,-0.231,0.528,-0.291,0.003,-0.02,-0.298,-0.126,0.15,-0.221,-0.081,0.615,-0.379,-0.038,-0.363,-0.111,0.231,0.545,0.487,-0.345,0.033,0.613,0.025,-0.171,0.016,0.513,0.395,-0.239,NA,0.122,NA,-0.089,NA,1.145,0.876,0.47,0.993,0.58,0.356,0.387,0.769,0.731,0.678,1.069,0.651,0.817,0.158,0.488,1.161,0.678,0.43,0.949,0.92,0.749,1.485,1.6,0.435,1.126
"2","Equatorial Guinea","February",-0.416,0.263,-0.232,0.21,-0.551,-0.056,0.06,-0.101,0.405,0.383,-0.322,-0.017,0.947,-0.246,-0.183,-0.441,0.135,0.459,0.578,0.574,0.453,0.159,0.999,0.227,-0.032,-0.235,0.25,0.434,-0.019,0.25,0.759,0.721,0.076,0.17,1.139,1.429,0.778,1.779,0.257,0.551,0.83,0.592,0.975,0.502,1.327,0.558,0.842,1.047,0.338,1.263,0.184,0.111,0.893,1.173,0.84,2.245,1.212,0.607,1.622
"3","Equatorial Guinea","March",0.283,-0.262,-0.076,0.243,-0.293,0.362,0.224,-0.373,0.252,0.263,-0.176,-0.363,0.518,-0.121,-0.166,-0.371,0.374,0.046,0.294,0.29,0.264,0.047,1.265,-0.095,0.011,-0.597,0.347,0.584,-0.159,0.847,0.677,0.202,-0.191,0.312,1.44,0.965,0.549,1.378,0.813,0.762,0.545,0.528,0.626,1.578,0.709,1.114,1.129,0.203,0.878,1.361,0.636,1.032,0.797,0.92,0.935,1.343,1.723,-0.005,1.183
"4","Equatorial Guinea","April",0.02,-0.145,-0.011,-0.076,-0.349,-0.245,0.083,-0.099,0.502,0.491,-0.348,-0.386,0.346,-0.032,-0.105,-0.26,0.5,-0.341,0.133,0.365,0.356,0.043,0.711,-0.055,-0.774,0.012,0.15,0.005,-0.238,NA,-0.077,0.179,0.02,0.494,1.033,0.27,-0.3,1.696,0.371,0.131,0.507,0.558,1.273,0.712,0.926,0.571,0.845,0.26,0.839,1.045,0.575,0.532,1.168,0.712,1.053,1.425,1.453,0.112,1.853
"5","Equatorial Guinea","May",0.136,0.087,0.222,-0.102,-0.063,0.153,-0.207,-0.308,0.373,0.208,-0.017,0.002,0.12,-0.243,-0.028,-0.27,0.254,-0.423,0.119,0.128,-0.465,-0.595,-0.214,-0.002,-0.385,0.15,0.421,0.216,-0.599,-0.022,NA,-0.09,0.276,0.157,0.718,-1.338,0.018,0.862,0.548,0.391,0.517,0.74,0.892,0.573,0.814,0.222,0.815,0.535,0.632,1.165,0.892,0.226,0.742,0.954,0.821,0.864,1.369,0.41,1.707
"6","Equatorial Guinea","June",-0.448,-0.254,0.767,-0.24,0.277,0.523,-0.133,-0.071,-0.15,0.219,0.375,-0.484,0.507,0.287,0.143,-0.534,-0.131,-0.094,0.309,0.131,0.484,-0.459,-0.536,0.583,-0.122,0.084,0.921,0.263,0.171,0.229,NA,-0.204,NA,0.383,0.755,1.322,NA,1.268,1.305,0.504,0.68,0.929,0.8,0.22,0.525,1.152,0.807,0.632,1.146,1.035,0.929,0.811,0.559,1.48,0.703,1.774,1.124,1.789,1.648
"7","Equatorial Guinea","July",-0.147,-0.001,0.768,-0.176,-0.251,0.686,-0.278,0.049,-0.293,0.021,0.058,0.197,0.89,-0.046,-0.024,-0.509,0.07,-0.087,0.485,0.112,-0.251,-0.205,-0.091,0.855,0.207,-0.046,1.237,0.473,-0.008,-0.187,NA,-0.215,NA,0.335,1.165,0.692,NA,1.687,1.316,0.843,0.344,1.261,1.724,1.015,0.504,0.878,1.432,1.226,1.112,1.226,0.888,0.903,0.887,0.61,1.234,2.14,1.586,1.811,2.198
"8","Equatorial Guinea","August",-0.314,-0.053,0.385,-0.39,0.046,0.309,-0.095,0.375,0.149,0.534,-0.131,-0.06,0.617,0.03,-0.461,-0.404,0.352,-0.123,0.122,0.182,-0.169,-0.279,-0.548,0.832,0.661,0.007,0.621,0.687,0.704,0.084,NA,-0.511,0.056,0.366,1.278,0.33,NA,0.786,1.017,0.622,0.063,0.967,1.591,1.034,0.927,0.765,1.406,1.43,1.138,1.079,1.295,1.172,0.624,0.935,0.96,1.581,1.466,1.184,1.956
"9","Equatorial Guinea","September",-0.221,-0.07,0.658,-0.63,0.183,0.072,-0.157,-0.151,-0.026,0.092,-0.063,0.292,0.31,-0.296,-0.239,0.004,0.239,-0.342,0.139,0.25,-0.064,-0.396,-0.187,0.149,0.024,0.229,0.118,0.072,0.399,NA,NA,-0.318,0.313,0.171,0.851,0.209,NA,0.445,0.241,0.304,-0.013,0.958,0.613,0.916,0.68,0.545,0.849,0.969,1.018,1.133,1.108,0.727,0.777,0.831,0.834,1.544,1.403,0.556,1.609
"10","Equatorial Guinea","October",-0.208,0.172,0.48,-0.509,0.111,0.102,-0.366,0.29,0.007,0.045,-0.226,0.214,0.113,-0.336,-0.334,-0.253,0.198,0.061,0.357,0.152,-0.338,-0.434,-0.434,-0.046,-0.257,-0.507,-0.202,0.221,0.246,-0.163,NA,-0.329,0.513,-0.15,0.099,-0.184,NA,0.675,-0.063,0.229,0.281,0.311,1.034,0.667,0.398,0.956,0.437,0.871,0.77,0.89,0.703,0.854,0.752,0.865,1.201,1.324,0.952,1.521,1.229
"11","Equatorial Guinea","November",-0.284,0.049,0.212,-0.216,0.04,-0.046,0.077,0.012,0.054,0.119,-0.257,0.307,0.113,-0.152,-0.409,-0.334,0.288,0.025,0.35,0.131,-0.189,0.071,-0.154,-0.25,0.006,-0.377,0.302,0.032,0.638,0.22,-0.242,-0.214,0.233,0.981,1.152,0.448,1.107,0.594,NA,0.139,0.163,0.215,0.466,0.866,0.782,0.518,0.318,0.958,0.852,0.928,0.776,0.617,0.757,0.616,0.945,0.689,0.828,1.266,1.817
