"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Eritrea","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689,-0.486,NA,-1.427,0.138,-1.143,0.795,0.742,-0.01,-0.744,1.016,1.041,-0.33,2.486,-1.047,0.639,1.494,2.506,0.901,2.054,1.911,1.8,0.805,NA,2.768,-0.259,2.592
"2","Eritrea","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.227,-0.403,NA,0.345,-1.513,-0.516,4.209,0.929,0.01,1.72,1.5,0.294,2.889,1.735,0.131,0.758,2.543,2.383,2.471,3.019,2.368,0.667,2.186,1.832,0.733,3.424,1.887
"3","Eritrea","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.061,-0.809,0.93,-0.363,-0.072,0.123,-0.236,1.045,1.269,0.353,1.178,1.086,0.633,0.078,2.64,0.444,1.986,-0.233,0.941,2.056,1.928,3.435,3.859,1.088,2.176,-0.333
"4","Eritrea","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.231,NA,0.34,NA,0.152,1.355,1.157,1.082,2.065,1.686,1.199,1.246,2.424,0.675,1.051,1.557,2.728,2.481,1.386,1.567,1.103,1.999,0.949,1.98,1.515,0.498,0.749
"5","Eritrea","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.234,0.124,1.147,1.121,0.565,1.229,0.895,1.897,1.725,0.059,0.589,2.174,0.612,1.515,0.989,0.657,2.09,1.552,0.718,1.13,1.617,1.139,1.533,1.24
"6","Eritrea","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.087,-0.351,0.669,1.787,1.207,0.643,0.344,1.109,0.672,0.309,0.811,0.804,1.022,0.983,2.278,1.42,1.259,0.566,0.823,1.657,1.272,1.027,1.428,0.246,0.094
"7","Eritrea","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839,0.563,1.361,0.933,1.401,-0.362,1.485,0.451,1.399,0.516,1.586,0.333,1.248,-0.262,1.901,1.242,0.557,2.127,1.276,1.112,1.079,3.272,0.859,1.659,0.85,2.064
"8","Eritrea","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.701,NA,NA,-0.394,1.264,0.302,0.358,1.244,0.163,1.395,0.091,1.37,1.217,1.211,0.077,1.897,2.25,1.284,1.811,0.837,0.243,0.582,3.007,0.791,1.669,0.679,-0.094
"9","Eritrea","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.867,NA,0.906,1.758,-0.493,0.39,0.659,0.652,0.938,0.233,1.071,0.602,0.299,0.344,0.566,2.601,1.713,1.036,1.364,1.29,0.134,2.065,0.11,1.592,0.229,0.323
"10","Eritrea","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.207,-0.126,NA,0.689,0.217,0.443,-0.671,-0.376,0.491,NA,1.375,1.463,0.845,0.712,1.003,0.288,2.135,2.584,3.161,1.35,0.667,0.677,1.875,1.092,1.458,0.988,-0.081
