"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Estonia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.407,4.998,3.276,2.749,-0.373,2.631,5.199,2.107,3.727,4.829,3.598,-1.24,-0.308,5.321,1.256,5.066,5.65,3.366,-5.546,1.814,2.05,0.253,-0.347,4.843,-2.391,3.249,4.203,1.325
"2","Estonia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.324,4.771,-4.886,6.669,-3.41,4.579,3.519,0.956,5.306,1.23,6.493,0.911,2.649,0.979,-1.395,-2.095,7.594,2.413,-1.037,-3.223,-2.194,3.863,6.572,6.248,6.814,3.906,-0.638,6.487
"3","Estonia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.808,2.581,1.265,3.986,-0.575,2.704,0.541,2.877,3.06,0.737,4.349,2.297,2.909,-2.324,-1.947,6.842,3.741,2.298,1.169,1.821,3.504,-3.142,5.605,5.775,3.581,4.426,-0.452,4.208
"4","Estonia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001,1.334,2.892,1.166,0.697,-0.63,1.439,3.662,4.316,3.095,2.505,-0.344,2.017,1.64,1.514,2.315,3.379,2.366,2.199,2.634,1.691,0.15,2.894,2.388,2.405,0.265,3.045,3.522
"5","Estonia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.743,3.682,-0.819,0.405,0.327,-1.026,1.253,-1.423,1.052,0.722,2.825,1.249,0.796,0.986,1.181,2.003,1.099,1.669,2.669,1.143,1.905,4.114,2.111,0.651,3.559,0.231,4.899,1.202
"6","Estonia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.086,-2.164,-1.705,2.649,-0.976,1.157,0.306,3.191,-0.49,-0.46,1.427,-1.124,-1.188,-0.369,1.231,1.318,0.061,-0.513,0.144,2.517,-1.079,3.014,-0.783,-0.537,1.222,-0.857,0.731,3.095
"7","Estonia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.607,-0.382,2.458,-0.38,-1.366,1.969,-0.287,2.222,0.085,3.93,2.51,3.6,0.377,2.057,2.374,0.71,0.545,0.827,5.408,4.009,1.665,1.391,3.234,-0.039,1.665,-0.526,3.784,0.184
"8","Estonia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652,-1.336,0.624,0.559,2.064,2.961,-1.275,-0.052,0.043,0.86,3.201,0.782,1.792,0.965,2.373,2.492,0.527,0.605,2.874,1.41,0.217,1.527,1.915,1.521,0.8,0.907,2.81,1.052
"9","Estonia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.563,-3.646,1.084,0.448,-1.578,0.147,0.704,2.267,-0.828,1.264,0.605,0.955,1.665,2.033,3.281,0.581,-0.531,2.338,0.724,2.234,1.667,1.068,1.667,2.247,1.923,1.357,3.161,0.928
"10","Estonia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.547,-1.175,-0.677,2.457,1.272,-1.802,0.272,1.07,3.008,2.181,-4.04,-1.464,0.666,1.825,2.8,1.214,2.588,-1.307,-0.883,1.853,0.591,1.385,0.279,-0.225,-1.047,0.012,1.504,0.932
"11","Estonia","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.166,-5.122,-0.156,-1.692,2.919,0.11,-4.763,1.047,3.539,-0.288,-1.786,2.125,-0.336,2.585,2.007,-0.071,2.055,2.065,-0.384,3.64,2.473,3.367,1.258,3.51,-1.187,2.099,2.181,2.103
"12","Estonia","December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.384,1.19,2.143,-3.064,-1.423,-0.271,0.496,2.086,4.093,-3.677,-4.632,3.406,3.649,0.439,6.812,4.573,3.254,-0.731,-4.243,5.235,-2.727,4.885,2.335,5.842,3.217,4.083,1.514,5.316
