"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Eswatini","January",0.011,-0.222,-0.651,0.036,-0.232,1.216,0.101,0.684,1.862,1.099,-0.027,-0.281,1.037,0.323,-0.476,-1.143,0.978,-0.502,-0.277,-0.473,1.354,0.459,1.571,-0.154,0.973,0.162,0.708,1.089,-0.179,-0.036,0.847,1.254,0.692,-0.488,0.542,0.106,0.167,0.612,0.334,-1.459,-0.077,0.985,0.932,0.742,1.104,0.93,1.489,-0.727,0.403,0.538,0.975,2.038,-0.105,0.827,0.637,1.494,-0.136,0.237,0.705
"2","Eswatini","February",0.314,0.771,-0.289,1.015,1.068,-0.236,-0.598,-0.323,1.706,-0.234,-0.807,-1.096,-0.288,0.164,-0.799,-0.469,0.206,0.024,1.147,0.224,-0.435,0.826,1.131,-0.27,0.487,-0.334,2.454,1.171,-1.002,-0.341,0.652,2.335,0.162,-0.29,0.852,0.018,0.808,1.177,0.363,-0.361,-0.275,-0.045,1.556,0.489,0.807,2.039,1.099,0.921,0.319,1.083,0.92,0.584,0.125,1.6,0.45,2.068,1.291,1.207,0.92
"3","Eswatini","March",0.612,0.422,-0.865,1.922,0.365,0.222,-0.571,-1.068,-0.175,0.281,0.944,-0.56,1.758,0.279,-1.313,-0.098,-1.339,0.549,0.291,-0.033,-0.521,0.473,0.609,-0.126,0.535,0.433,0.907,1.27,0.577,0.426,-0.02,0.941,-0.216,0.517,0.228,-1.078,0.017,1.9,0.885,0.395,0.409,1.078,1.457,0.106,0.112,-0.593,1.618,0.238,-0.118,1.303,1.794,0.457,-0.124,0.977,1.346,1.939,-0.111,1.221,1.379
"4","Eswatini","April",0.382,0.179,-0.761,0.108,-0.359,-0.559,0.038,-1.34,0.35,0.117,1.019,0.488,-1.137,-1.21,-0.6,-0.647,0.834,-0.614,1.338,0.13,0.066,-0.354,2.077,-0.45,0.325,0.63,1.914,0.943,-0.567,0.75,-0.126,2.41,1.086,0.392,0.056,-1.004,-0.792,1.826,0.806,-0.826,0.94,1.306,1.659,0.45,0.342,0.091,0.885,-0.57,-0.056,0.724,0.479,-0.516,-1.052,-0.051,0.179,2.263,1.365,1.83,0.823
"5","Eswatini","May",1.071,-0.776,-1.058,0.072,0.379,0.365,0.197,-0.201,-0.377,0.897,-0.755,-0.84,0.1,-0.537,0.463,-1.289,-0.132,0.327,0.468,0.491,-0.763,0.331,1.376,0.629,-0.293,0.823,2.15,0.562,1.32,-0.007,0.591,1.175,1.674,0.49,-0.059,0.212,-0.797,1.018,0.841,-0.996,0.362,1.165,0.802,0.312,0.623,-0.648,0.36,1.761,0.906,2.093,NA,1.397,-0.322,0.566,1.633,0.833,0.892,1.902,1.555
"6","Eswatini","June",1.133,1.226,-0.374,-1.038,-1.334,1.064,-0.208,-2.595,0.849,0.485,-0.029,-0.848,0.546,0.169,0.158,0.084,0.891,-0.902,0.346,-0.051,-0.471,0.178,1.399,-0.245,0.971,0.683,-0.172,0.11,1.012,0.921,0.458,1.346,0.564,0.332,0.314,0.602,0.957,1.959,0.995,1.617,1.359,0.387,0.186,0.186,2.065,0.654,1.145,-0.175,1.752,0.894,NA,1.839,1.352,1.102,0.779,2.052,1.433,1.782,1.853
"7","Eswatini","July",0.637,0.412,-0.724,-1.562,0.223,0.909,-1.482,0.991,0.877,0.832,-0.038,-0.165,0.163,0.017,-0.282,-0.009,0.105,0.195,-0.798,-0.658,0.234,0.596,0.941,0.531,0.627,0.652,0.163,0.822,0.577,1.314,0.443,0.865,1.53,-0.99,0.881,-1.023,0.365,1.221,1.201,-0.045,0.056,0.445,-0.16,-1.045,0.697,0.933,0.866,1.814,0.268,0.964,NA,1.428,1.07,0.793,1.536,0.575,1.018,0.72,1.972
"8","Eswatini","August",-1.512,0.705,-0.34,-0.589,1.081,0.326,-0.87,0.21,0.137,1.181,-0.067,-0.636,-0.647,-0.467,-0.239,-0.909,-0.314,2.776,0.537,-0.4,-1.335,0.577,-0.722,0.178,0.795,1.402,-0.238,1.122,1.645,-0.519,0.597,-0.585,-0.038,-0.293,0.832,-0.712,1.199,0.485,0.432,0.296,1.335,1.322,0.149,1.413,1.597,-0.322,0.952,1.858,-0.008,0.247,0.412,0.973,1.522,1.071,1.628,0.773,-1.008,0.802,2.147
"9","Eswatini","September",1.059,1.447,1.333,0.758,-0.24,-0.709,-0.238,-0.131,-0.624,1.471,0.615,0.054,0.015,-0.455,0.962,0.765,0.477,0.154,-0.31,-0.905,-1.281,0.114,1.319,0.405,0.778,0.066,-0.505,0.339,0.02,-0.206,0.968,2.425,1.912,0.454,1.347,1.065,0.724,0.729,-0.521,-0.241,0.004,0.356,-0.133,-0.435,1.562,-0.143,1.013,0.883,1.004,1.566,NA,0.096,1.537,1.256,1.233,2.306,0.567,2.764,0.261
"10","Eswatini","October",-0.034,1.734,0.593,-0.429,-1.702,-0.091,-0.236,0.165,-0.86,-0.649,-0.605,0.588,-0.283,0.795,-0.949,-0.518,1.118,-0.452,0.83,0.315,-2.857,-0.268,-0.571,0.425,0.874,-0.166,-1.392,-0.598,-0.216,0.652,0.909,1.492,0.593,-1.839,1.393,1.114,-0.821,-0.193,-1.014,-0.128,0.601,0.213,0.226,-0.011,0.821,0.995,-0.099,0.198,-0.081,1.521,0.928,0.533,-0.263,-0.728,2.061,1.235,-0.06,-0.673,1.644
"11","Eswatini","November",-0.074,0.397,0.528,0.222,-0.029,0.572,0.217,-1.56,0.287,1.31,-1.087,-0.891,-0.685,0.157,-0.397,0.355,0.726,0.275,0.082,0.589,0.892,-0.099,0.916,-0.868,0.749,-0.385,0.637,-0.62,-0.189,0.944,1.092,0.771,-0.3,1.101,0.506,0.877,0.409,0.445,1.212,-0.951,0.82,-0.888,0.609,1.82,0.897,1.016,0.649,0.671,-0.687,0.798,0.506,-0.473,0.965,-0.179,1.137,1.092,-0.407,-0.072,1.947
"12","Eswatini","December",-1.008,0.269,0.496,-1.061,0.654,0.133,-0.13,0.84,-0.34,0.939,-0.276,1.569,-1.076,0.068,-0.723,0.606,1.276,-0.2,-0.156,0.811,-0.1,1.646,0.262,0.35,0.21,0.474,1.444,-0.936,-0.129,0.295,-0.211,1.59,0.871,0.117,-0.821,0.692,0.309,-0.305,0.848,0.278,0.367,0.156,1.276,2.008,-0.379,1.831,-0.106,0.462,1.736,1.15,-0.022,0.541,-1.047,-0.031,2.796,2.143,-0.04,2.28,-0.557
