"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Ethiopia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483,0.8,0.802,1.24,1.142,0.856,0.391,0.138,0.613,0.619,0.869,1.691,0.647,1.085,0.544,1.262,0.801,1.267,0.926,0.896,1.601,1.36,0.431,1.788,1.051,0.592,0.904
"2","Ethiopia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105,0.969,1.177,1.353,0.567,1.048,0.891,0.989,0.659,1.102,1.27,0.819,1.731,1.668,1.064,0.314,1.289,1.636,0.985,0.723,1.989,1.092,1.699,1.611,1.534,1.424,1.828
"3","Ethiopia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447,0.603,0.395,0.47,0.915,0.804,-0.016,0.395,0.696,1.069,1.186,0.677,1.406,0.747,1.008,0.046,0.854,0.786,0.351,1.012,1.472,1.048,1.733,3.111,1.738,0.489,1.653
"4","Ethiopia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.093,0.98,0.491,1,-0.127,1.76,1.314,1.185,1.161,1.164,1.153,0.804,1.473,0.675,0.895,0.945,1.641,1.714,2.218,0.944,1.309,1.044,1.321,1.663,1.94,0.478,1.826
"5","Ethiopia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.263,0.558,0.713,0.063,0.585,0.856,0.897,0.494,0.81,1.404,1.816,1.362,0.871,0.857,1.206,0.969,1.723,1.616,1.016,1.654,1.305,1.169,1.192,0.779,1.248,0.726,1.778
"6","Ethiopia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.156,0.574,0.945,-0.22,0.691,1.242,0.711,0.746,0.201,0.574,1.009,0.362,0.727,1.041,0.534,0.504,1.922,1.279,1.68,1.045,1.046,1.493,0.946,1.33,1.695,0.285,0.918
"7","Ethiopia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,0.148,0.633,0.619,0.978,1.059,0.46,0.842,0.614,1.59,0.927,1.088,0.879,1.257,0.769,0.976,1.35,0.898,1.697,0.556,0.531,1.528,1.952,1.326,1.79,1.165,1.565
"8","Ethiopia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.29,0.916,0.713,1.279,0.5,-0.022,0.564,0.71,1.12,0.87,1.277,1.508,0.913,0.894,0.844,1.763,0.701,1.24,0.883,0.787,1.064,1.615,1.062,1.654,0.734,1.195
"9","Ethiopia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.249,0.232,0.911,0.796,1.57,0.286,0.005,0.627,0.847,1.266,0.449,0.654,1.073,0.783,0.845,1.215,1.638,0.628,0.984,1.294,1.285,0.816,1.718,1.155,1.435,1.215,1.126
"10","Ethiopia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576,0.563,1.038,1.085,0.356,0.452,-0.173,0.422,1.223,1.124,0.986,0.444,0.982,1.254,0.757,0.985,1.276,2.012,0.95,1.597,0.582,0.957,2.079,1.773,1.527,1.436,0.808
