"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Ethiopia PDR","January",0.766,-0.763,0.411,-0.129,-0.718,0.352,-0.453,-0.389,0.052,0.199,-0.707,0.216,0.254,-0.487,-0.098,-0.075,-0.151,-0.063,0.326,0.486,0.726,0.715,-0.951,-0.137,1.4,0.08,0.191,1.561,-1.349,0.338,1.273,-1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Ethiopia PDR","February",-0.198,-0.238,0.541,-0.053,-0.184,-0.399,-0.168,-1.651,-0.26,0.711,-0.663,-0.576,1.089,0.001,0.273,-0.001,-0.109,0.12,0.814,0.658,0.162,-0.669,-0.409,0.293,-0.136,0.719,1.05,0.742,-0.438,-0.499,NA,-1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Ethiopia PDR","March",-0.361,-0.1,0.102,0.313,-0.244,-0.225,-0.371,-0.946,0.632,-0.037,-0.175,-0.049,0.99,-0.883,0.328,0.285,0.14,0.091,0.217,0.76,0.085,-0.753,-0.434,0.985,1.136,0.919,0.202,1.307,-0.242,-0.284,-0.446,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ethiopia PDR","April",-0.235,0.072,-0.315,0.037,-0.745,-0.121,-0.568,-1.306,0.368,0.733,-0.392,0.113,1.261,0.359,0.084,-0.212,-0.307,0.633,0.907,0.911,-0.321,0.077,-0.329,0.903,0.149,-0.435,0.151,1.023,-0.607,0.228,NA,1.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ethiopia PDR","May",0.48,-0.139,-0.586,-0.384,-0.196,0.031,-0.445,-0.487,0.18,0.913,-0.291,-0.053,0.376,-0.233,0.015,-0.238,-0.026,0.421,0.288,0.888,0.309,0.001,0.502,0.604,-0.493,-0.361,-0.806,1.038,0.07,0.963,1.007,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Ethiopia PDR","June",0.114,-0.125,-0.18,-0.148,0.047,0.032,-0.277,-0.531,0.464,0.967,-0.436,0.002,0.244,-0.224,-0.447,0.04,0.325,0.394,0.323,0.487,0.627,0.375,0.349,0.386,-0.206,-0.143,-0.306,0.485,0.009,0.863,0.885,1.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ethiopia PDR","July",-0.432,0.253,0.283,-0.667,-0.092,0.614,-0.343,-0.285,0.38,0.843,-0.027,0.349,0.573,-0.124,0.18,-0.153,0.602,-0.583,0.471,0.567,0.158,0.539,1.081,0.667,0.033,0.21,1.108,0.625,0.714,0.915,NA,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Ethiopia PDR","August",-0.583,-0.064,0.398,-0.865,-0.116,0.481,-0.345,0.089,0.269,0.41,-0.005,0.579,0.295,0.148,-0.799,0.194,0.436,0.16,0.446,0.645,0.824,0.451,0.878,1.024,0.875,0.766,0.943,0.428,1.095,1.476,0.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ethiopia PDR","September",-0.266,0.101,0.376,-0.518,-0.002,0.21,-0.145,0.162,0.358,-0.151,-0.54,0.289,0.311,-0.103,-0.133,0.124,0.279,-0.126,0.217,0.502,-0.183,0.441,0.841,0.583,0.434,0.12,1.537,0.629,0.547,1.135,0.328,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Ethiopia PDR","October",-0.421,-0.485,0.199,-0.728,-0.35,0.147,-0.663,0.185,0.309,0.029,-0.271,0.48,0.063,0.21,-0.351,0.472,-0.03,0.211,0.789,0.734,0.319,-0.253,0.077,0.616,0.683,0.279,0.921,0.946,0.514,1.023,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
