"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Europe","January",1.086,1.743,-0.889,-1.586,0.683,1.759,-1.09,-0.578,-3.666,-0.172,0.972,-3.47,-0.723,-0.48,2.702,1.21,-2.321,0.373,-0.369,-1.275,2.148,0.422,2.816,2.007,-1.785,1.846,-1.466,1.825,1.955,1.69,1.856,2.551,3.276,0.938,3.113,0.927,0.574,1.123,0.873,0.239,0.15,2.482,1.37,1.971,3.345,-2.101,6.061,2.027,1.903,-1.184,1.505,1.509,0.503,0.153,3.011,1.746,2.027,2.726,2.361
"2","Europe","February",1.921,1.53,0.679,-0.911,-1.278,2.182,-0.587,0.339,-4.03,0.653,0.661,-2.089,2.404,0.387,0.85,-2.429,1.256,-0.657,0.632,-0.636,1.796,-0.323,1.365,-1.878,-2.229,-1.5,1.376,0.535,2.211,3.855,-0.484,3.318,3.456,-0.058,6.407,1.329,2.657,1.42,2.449,3.853,0.464,4.601,1.08,1.947,0.233,0.519,0.504,4.118,-0.26,-1.066,0.073,0.229,1.489,2.309,4.483,5.35,3.862,2.054,3.702
"3","Europe","March",1.863,0.655,-1.274,-0.867,-0.018,1.352,1.18,1.258,-1.817,0.551,0.138,-0.476,0.645,1.223,1.685,-1.829,2.28,1.353,1.098,-1.481,1.618,0.203,0.919,0.2,-1.592,-0.313,-1.885,0.55,3.181,3.202,0.988,1.837,2.168,1.597,2.624,0.954,2.969,1.555,-1.588,2.291,1.282,4.451,2.479,1.49,0.892,0.734,3.24,4.326,1.559,0.524,3.594,1.213,-1.021,4.801,3.849,3.931,6.372,0.131,4.613
"4","Europe","April",0.986,0.705,-0.094,-0.85,-1.271,0.444,0.005,0.481,-0.844,0.927,-0.255,0.94,0.345,-0.568,1.554,0.291,0.907,-0.084,-0.345,0.391,-0.737,0.853,1.643,0.373,0.757,0.816,-1.456,0.393,0.93,0.732,0.892,-0.5,0.32,0.956,2.25,0.027,2.904,-0.309,0.783,3.04,1.186,1.208,1.105,0.27,1.633,-0.713,3.616,1.152,2.184,1.109,3.618,2.658,2.166,3.449,2.07,3.335,2.306,2.681,2.843
"5","Europe","May",1.089,-0.13,0.882,-0.346,-0.551,-0.067,0.58,0.327,-0.221,0.359,0.845,-0.197,0.059,-0.163,0.998,-0.131,0.523,-0.903,0.291,-0.563,0.001,0.541,1.132,0.445,0.849,0.451,0.004,0.189,0.167,0.467,-0.966,1.3,0.75,0.302,0.831,0.869,1.146,0.079,0.551,1.32,1.76,1.405,1.745,0.719,1.91,0.874,1.784,1.192,1.185,2.109,1.9,2.418,2.294,1.755,1.766,1.667,0.628,1.625,1.581
"6","Europe","June",1.003,-0.905,-0.296,0.864,-0.04,0.574,-0.705,-0.04,-0.049,0.021,-0.174,0.435,0.339,-0.222,0.7,-0.614,0.718,-0.878,0.344,0.279,0.133,-0.677,-0.263,-0.28,0.109,0.346,-0.154,0.976,0.436,0.696,0.124,-0.429,0.258,0.647,0.698,0.107,0.5,1.103,0.618,1.318,0.952,1.273,0.829,0.478,1.127,1.715,0.891,1.072,0.897,1.417,1.844,2.289,1.444,0.879,1.681,1.842,1.334,1.66,2.063
"7","Europe","July",-0.027,0.009,0.355,-0.179,-0.52,0.521,-0.195,-0.695,-0.675,-0.046,0.306,0.485,0.506,-0.564,1.05,-0.18,-0.378,-0.294,-0.524,0.487,0.256,-0.114,0.92,0.336,-0.287,0.333,-0.122,1.203,0.742,0.046,0.925,-0.237,0.361,0.583,0.528,0.542,-0.2,1.256,1.37,0.442,1.473,1.256,1.181,0.489,1.189,0.877,1.14,0.804,0.586,2.012,1.223,1.595,1.124,0.628,0.898,1.642,0.646,1.391,0.788
"8","Europe","August",-0.095,-0.12,0.083,-0.845,-0.633,0.461,0.187,-0.147,-0.155,-0.042,0.173,-0.066,0.13,-0.626,0.644,0.143,-0.478,-0.793,0.317,-0.436,-0.2,-0.152,0.409,0.283,0.522,0.329,-0.426,-0.104,0.529,0.328,0.575,0.25,-0.044,0.255,1.14,-0.193,0.736,0.976,0.012,0.962,1.25,0.762,1.686,0.48,0.757,0.639,1.715,1.11,0.723,1.407,0.878,0.826,1.267,1.306,1.204,1.803,1.627,1.599,1.329
"9","Europe","September",0.07,-0.378,0.655,-0.072,0.248,-0.321,0.257,0.225,-0.518,-0.154,0.155,-0.535,-1.113,0.102,1.226,-0.58,-0.5,0.178,0.667,-0.102,0.432,0.311,0.445,0.184,-0.031,0.153,-0.166,0.362,0.238,0.287,0.632,-0.469,-0.99,0.94,0.436,-1.486,0.233,-0.516,0.456,0.125,-0.096,0.212,1.105,0.879,1.686,1.607,1.129,0.176,1.594,0.454,1.112,1.476,-0.006,0.441,1.264,2.082,0.517,1.848,0.964
"10","Europe","October",0.04,0.381,0.931,-0.416,-0.486,0.691,1.416,-0.311,-0.102,-0.428,0.089,0.176,-0.302,0.739,-0.332,-2.128,-0.803,0.379,0.193,0.071,0.689,-0.111,0.261,0.854,-0.145,0.319,-1.394,-0.049,1.011,0.553,1.165,-0.792,0.018,1.987,2.136,0.668,1.803,-0.274,1.243,0.42,0.881,0.105,1.294,0.824,2.56,0.795,2.303,2.775,1.682,1.172,2.652,1.794,1.048,0.353,0.893,0.538,1.191,3.505,2.356
