"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","European Union","January",0.169,1.543,-3.811,-0.261,0.856,-1.508,-0.936,-1.381,-0.192,-0.232,0.867,-0.625,1.327,2.471,3.125,-0.033,0.59,0.444,-1.933,-1.373,-0.215,-0.489,2.91,0.903,-3.942,-0.084,-3.786,3.069,2.684,1.732,1.449,1.553,2.279,2.258,1.313,0.727,0.404,2.759,1.636,0.84,2.574,1.693,-0.022,0.439,2.357,-0.367,3.88,3.338,0.638,-1.653,1.182,1.681,1.111,2.341,2.325,0.962,0.078,3.153,0.733
"2","European Union","February",3.151,0.099,-3.416,-0.094,-1.858,0.996,1.242,0.367,-2.001,-1.603,0.772,1.319,0.862,2.637,1.557,0.333,1.708,-0.781,-0.673,0.51,-0.378,0.424,-1.038,0.374,-2.92,-3.264,-0.074,1.343,3.228,5.157,-1.394,2.115,0.665,-0.433,3.862,-1.699,2.827,3.044,0.315,2.985,1.262,4.061,-0.721,1.497,-0.65,-0.314,1.942,3.533,0.573,-0.378,0.069,-2.078,0.862,3.894,1.874,3.715,2.809,-0.724,3.489
"3","European Union","March",2.508,-2.615,-1.402,-1.135,-0.333,-0.34,2.079,0.607,-1.545,-0.972,-2.199,1.176,0.427,1.327,0.882,-1.223,1.932,0.921,0.59,-0.753,1.341,0.813,1.176,-1.104,-0.424,0.391,-2.391,0.027,3.16,3.199,2.117,1.866,0.522,2.287,1.063,-1.055,2.167,0.788,1.758,1.603,1.577,2.472,1.875,1.051,-0.122,-0.846,2.944,1.433,1.246,0.597,1.35,2.968,-1.283,3.403,2.387,1.764,3.383,-0.423,2.824
"4","European Union","April",1.891,0.749,0.416,0.571,-0.336,0.367,-0.153,1.189,-0.297,-0.83,0.2,0.287,-0.854,-0.117,-0.011,-0.26,-0.683,-0.93,-0.84,-0.386,0.083,-0.164,0.96,0.494,0.2,-0.66,0.844,0.092,0.715,0.622,-0.038,0.255,1.023,0.928,0.67,0.731,-0.592,0.778,1.809,2.001,0.632,1.321,0.645,1.361,1.393,1.447,2.7,1.294,2.312,1.625,3.247,0.804,0.956,2.619,1.612,1.67,0.903,3.363,1.977
"5","European Union","May",-0.108,-0.708,0.649,1.084,-0.652,0.329,-0.022,-0.385,0.5,-0.331,0.628,-0.431,0.551,-0.602,0.18,0.495,-0.322,-0.544,0.264,-1.165,0.279,0.412,0.338,-0.355,0.268,1.526,-0.963,1.096,1.269,1.367,-1.405,1.636,1.752,0.423,0.394,0.17,0.674,1.006,1.024,2.048,1.428,1.701,2.2,0.104,1.12,1.338,1.799,1.422,1.899,0.578,1.679,1.668,1.11,0.95,1.243,1.558,1.642,3.248,0.254
"6","European Union","June",0.813,-0.946,-0.011,0.727,0.219,0.703,-0.693,0.523,-0.483,1.069,-0.995,-0.269,0.451,-0.502,-0.589,0.583,-0.713,-0.682,1.043,-0.113,0.168,0.223,0.194,-0.675,-0.664,0.671,-0.57,0.298,0.184,0.192,-0.66,0.549,-0.024,0.178,0.465,0.651,0.593,0.85,1.133,1.094,0.255,1.711,2.662,0.622,1.175,1.433,1.674,1.136,0.715,0.745,1.47,1.07,0.969,0.783,0.876,1.628,2.193,1.774,2.887
"7","European Union","July",-0.397,-0.935,0.433,0.267,-1.09,-0.44,0.834,-0.489,0.375,-0.09,0.219,0.695,0.601,-0.535,0.588,0.644,-0.703,-0.903,-0.607,-0.859,-0.324,0.868,1.789,-0.245,0.485,0.135,0.405,1.065,1.034,0.582,1.281,0.627,-0.261,2.533,1.677,-0.297,0.63,0.569,1.656,-0.01,1.533,1.366,2.351,0.62,1.566,3.073,1.016,0.96,1.365,2.688,0.807,1.451,1.903,1.926,2.041,1.906,1.303,2.848,1.741
"8","European Union","August",-0.115,0.144,0.044,-0.337,-0.99,-0.445,0.463,-0.459,0.382,0.145,0.657,-0.475,0.521,0.4,0.871,-0.486,-0.905,-0.835,-0.436,0.246,-0.032,0.396,0.426,-0.057,0.239,-0.247,-0.418,0.605,0.784,1.325,1.481,1.692,0.103,1.584,1.164,0.875,1.955,0.705,0.787,1.204,1.746,1.599,2.984,1.496,0.512,0.827,1.106,1.001,1.861,1.39,1.395,1.897,1.781,0.758,2.276,1.414,1.812,2.724,2.292
"9","European Union","September",1.492,-0.089,0.513,0.345,-0.262,0.055,0.645,-0.12,-0.145,0.318,-0.702,-1.808,0.108,0.031,1.05,-1.244,-1.071,-0.535,-0.049,0.609,0.507,1.309,0.831,-0.408,0.629,-0.874,1.386,0.478,0.565,-0.296,1.015,0.323,-1.195,0.613,-0.469,-1.606,0.724,0.384,2.169,0.48,-0.129,0.088,0.743,1.002,1.277,2.362,-0.174,-0.341,1.526,0.175,2.289,1.021,0.755,1.526,1.071,2.479,0.491,2.102,1.285
"10","European Union","October",1.534,0.79,0.348,-0.243,0.166,1.051,1.579,0.271,0.942,-0.392,0.153,-1.094,-1.189,-2.122,-0.179,-0.485,0.667,0.027,-0.461,-0.422,0.268,0.246,0.363,1.024,0.734,0.813,0.772,0.431,0.902,1.169,-0.287,-1.893,-0.596,-0.102,2.114,0.625,-0.344,0.246,0.884,1.686,2.769,-0.501,-1.185,1.377,1.715,2.323,0.561,0.863,0.198,-0.416,1.159,0.785,1.82,2.089,0.569,0.367,1.731,1.696,1.624
"11","European Union","November",0.65,-0.18,1.863,0.441,-1.742,-0.638,0.98,0.012,0.198,0.832,-1.26,0.298,-1.134,0.195,-0.358,-0.069,0.703,0.133,-0.041,-1.224,0.066,1.071,-0.352,0.883,-1.656,1.15,0.355,-1.718,0.164,0.29,0.472,0.681,-2.183,1.65,-0.805,0.953,0.672,-1.81,0.166,2.299,-0.305,0.918,1.775,0.29,0.604,2.171,-0.23,0.842,2.456,0.471,1.707,1.834,1.319,2.264,2.895,0.33,0.966,1.84,1.64
"12","European Union","December",-0.742,-2.54,-1.752,-0.192,0.142,0.345,-1.687,-0.668,-2.706,-0.331,1.417,1.314,-1.117,2.126,0.103,-0.743,0.622,-1.19,1.33,-0.717,-1.544,1.221,0.066,0.71,0.429,-0.55,0.801,0.454,0.986,0.291,0.025,1.001,1.326,1.949,-1.182,-1.078,1.123,-0.449,0.554,2.441,-1.992,-0.579,1.18,1.417,0.058,2.98,1.176,1.124,0.033,-2.642,2.679,-0.487,2.131,1.554,3.974,1.511,1.593,1.862,3.494
