"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Falkland Islands (Malvinas)","January",0.271,-0.229,-0.229,0.581,0.181,-0.219,-0.819,0.381,-1.419,-0.019,-0.919,-0.019,-0.419,0.081,-0.319,0.081,0.381,0.381,1.981,1.181,0.281,1.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Falkland Islands (Malvinas)","February",0.323,-0.927,0.933,1.183,0.083,-2.517,-0.217,-0.417,-0.117,0.183,-1.117,-0.917,-0.317,0.283,-0.917,0.983,0.683,0.383,1.583,0.383,0.783,0.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Falkland Islands (Malvinas)","March",-0.437,0.313,-0.587,-1.087,0.513,-0.187,-0.487,-0.387,-0.487,-0.987,-0.687,-0.787,0.913,0.913,0.413,-1.187,0.013,0.213,1.313,0.913,-2.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Falkland Islands (Malvinas)","April",-1.065,0.735,-1.115,-0.615,-0.015,0.485,0.285,0.185,0.485,-0.515,-0.215,0.485,-0.515,0.685,0.785,-0.315,0.585,-0.215,1.785,-0.615,-0.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Falkland Islands (Malvinas)","May",0.311,0.371,0.021,-0.079,-0.079,0.621,0.921,0.421,-0.379,-0.979,-0.879,-0.979,0.121,-0.379,0.821,0.521,0.621,-0.279,-0.379,0.821,1.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Falkland Islands (Malvinas)","June",-0.501,0.949,0.049,-1.251,1.149,0.049,0.349,0.749,-0.651,0.649,-0.051,-0.751,-0.351,0.349,-0.151,-0.551,1.049,0.449,0.549,0.549,-0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Falkland Islands (Malvinas)","July",-1.156,0.894,0.294,0.794,-0.006,-1.006,0.894,0.694,0.194,0.794,-0.506,0.394,-0.306,0.494,-0.206,-0.606,-1.106,-0.806,0.994,-0.906,0.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Falkland Islands (Malvinas)","August",-0.521,0.189,-0.861,-1.011,0.689,0.389,-0.211,1.189,0.289,0.189,0.589,-1.111,0.189,-0.211,-0.011,0.489,-0.611,0.489,-0.211,-0.611,0.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Falkland Islands (Malvinas)","September",-0.612,1.288,-0.962,-0.012,0.188,-1.012,-0.512,0.188,0.388,0.888,0.988,-0.512,0.688,-0.312,0.388,-0.712,-0.612,1.088,0.388,-0.012,-0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Falkland Islands (Malvinas)","October",0.269,1.269,-0.781,0.319,-0.381,-0.981,-0.981,-0.081,-1.281,0.419,0.219,-1.281,1.019,0.219,0.819,-0.281,-0.081,0.319,-0.081,-0.081,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Falkland Islands (Malvinas)","November",-0.218,-0.318,-0.568,-1.368,0.832,-1.168,1.232,0.032,-0.468,0.832,-0.268,0.232,-0.368,-0.368,-0.568,-0.068,0.032,-0.768,-0.968,-0.068,1.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Falkland Islands (Malvinas)","December",0.277,0.377,1.567,-1.023,-1.723,-0.323,0.477,-0.723,0.977,0.177,-0.823,1.977,0.777,0.477,-1.023,-2.023,1.477,0.777,0.677,0.077,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
