"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Faroe Islands","January",0.556,0.881,-1.032,2.393,-0.764,0.034,0.833,-0.979,1.04,0.543,0.172,1.486,2.793,2.34,-0.117,-0.947,-0.477,-1.13,-2.437,0.37,-0.564,0.164,0.301,-1.364,-0.926,-0.213,0.716,-0.032,2.599,1.997,1.903,3.065,0.359,-1.158,-0.496,2.515,1.888,1.159,1.037,1.348,2.448,2.225,0.89,0.681,0.883,3.2,1.147,0.803,2.259,0.735,1.135,1.424,2.383,2.857,0.574,0.291,2.443,0.419,0.609
"2","Faroe Islands","February",1.364,-0.108,-0.652,1.717,1.501,-1.443,1.829,-1.518,-2.594,-1.885,1.962,1.527,-0.204,0.858,2.023,1.492,-0.664,-0.914,-1.171,0.614,0.336,2.015,-0.039,1.929,0.571,-0.635,0.195,-0.299,0.267,0.77,0.857,1.651,0.846,0.309,-1.494,-0.268,0.542,1.198,-0.467,0.49,-0.412,-0.23,2.591,0.994,0.198,1.861,1.372,1.732,0.83,-1.383,2.165,2.762,1.807,1.816,1.11,-0.488,2.763,0.825,1.975
"3","Faroe Islands","March",1.266,-3.305,1.664,1.728,-1.202,-0.581,-0.986,-0.504,-1.525,-2.47,0.181,1.595,1.81,1.321,-1.008,0.447,0.915,0.599,-2.673,-0.229,-1.041,0.381,-0.038,-0.67,-0.885,1.018,-1.028,-0.855,-0.389,0.341,1.912,-0.363,0.878,-1.403,-1.929,0.542,0.919,-0.2,-0.01,-0.091,-0.857,-0.228,2.875,2.263,0.598,-0.842,1.721,-0.571,1.005,0.98,0.386,2.757,-0.582,1.833,0.779,0.781,1.267,-0.171,0.953
"4","Faroe Islands","April",-0.21,-0.209,0.96,0.714,0.385,-0.519,-0.635,-0.313,0.205,-1.242,0.084,0.625,-1.772,2.741,-0.894,-0.195,-1.516,-0.465,-0.273,1.091,0.138,0.773,-1.831,0.638,-0.524,-0.383,1.374,-0.796,-0.111,0.166,0.925,0.608,0.564,-0.275,-1.684,1.318,0.146,-0.082,0.203,-1.517,0.08,1.808,2.511,2.16,0.672,-0.149,2.152,0.301,2.477,0.184,2.96,-0.744,-0.589,1.712,0.668,-0.333,0.658,0.261,1.835
"5","Faroe Islands","May",1.217,0.051,-0.036,0.755,-0.067,0.22,-0.945,-2.089,-0.444,0.92,1.446,0.949,-0.787,0.942,-0.891,0.389,-0.248,0.536,-2.299,0.448,-0.017,0.49,-0.523,0.121,-0.157,0.384,-0.15,0.225,0.319,0.667,1.617,1.22,-0.455,-0.448,-0.992,-1.347,-0.447,0.956,0.745,0.843,1.049,1.024,0.502,1.182,-0.918,-0.431,-0.062,2.118,1.584,-0.312,0.963,-0.735,0.107,0.72,-0.521,-0.005,1.575,1.536,-0.567
"6","Faroe Islands","June",0.243,0.27,0.133,-0.492,0.026,0.96,0.31,0.192,0.845,1.255,-0.984,-0.218,-0.509,0.054,-0.954,0.551,0.114,-0.084,0.689,0.8,-0.753,0.148,0.033,0.799,-0.576,0.173,-0.905,0.623,-0.26,0.656,-0.493,1.397,-0.975,-0.477,0.56,0.584,0,-0.824,0.263,-0.863,-0.679,1.486,1.494,0.38,0.327,0.902,0,0.474,0.889,0.727,0.345,-1.054,1.094,1.408,-0.136,0.565,0.841,0.738,0.204
"7","Faroe Islands","July",0.352,-0.678,-0.366,-0.192,-1.427,0.218,-0.308,0.509,0.377,-1.033,-0.274,0.374,-0.25,0.057,0.038,0.711,0.193,-0.697,-0.386,-0.243,-0.188,1.261,0.249,1.237,0.487,0.29,0.568,0.364,0.647,0.832,1.839,0.384,-2.202,0.694,-0.336,-0.879,0.917,0.474,0.474,0.076,0.151,0.907,2.032,0.895,0.868,1.642,0.612,1.256,1.4,0.908,-0.141,0.38,0.549,1.752,0.102,1.075,0.869,1.27,1.076
"8","Faroe Islands","August",0.304,-0.421,-0.143,-1.292,-0.355,-0.269,-0.587,0.694,0.992,-0.185,-0.056,-0.169,-0.417,0.143,0.712,1.556,-0.405,-0.481,-0.488,-0.162,0.415,0.066,0.079,1.211,0.416,-0.245,0.038,0.535,0.245,1.003,2.106,0.335,-0.849,0.257,0.867,0.803,1.688,0.322,0.297,0.771,1.047,1.514,2.394,1.404,0.872,1.059,0.241,1.228,1.3,0.382,0.357,0.487,0.653,0.995,1.338,0.689,1.061,0.538,0.842
"9","Faroe Islands","September",1.043,-0.445,-0.535,-1.072,-0.328,0.204,0.893,0.624,-0.378,-0.149,0.742,-0.05,0.38,-0.563,-0.698,-0.718,-0.737,-0.224,-1.057,0.813,0.947,-0.756,-1.14,0.122,-1.049,-0.875,0.272,0.294,0.232,-0.023,0.415,-0.03,-0.386,-0.532,-0.435,1.802,0.697,0.91,1.146,1.307,0.58,2.151,1.432,1.413,0.252,2.329,0.145,1.625,1.634,0.375,1.41,0.178,0.284,2.139,1.746,1.914,1.78,0.264,0.687
"10","Faroe Islands","October",0.917,0.384,0.162,0.134,1.247,-0.523,-1.304,-0.32,0.485,-1.02,0.055,0.618,-1.118,-1.218,0.9,0.932,1.088,-0.016,0.176,-2.054,-2.988,0.328,-0.63,-0.21,1.265,-0.356,-0.204,-0.143,0.021,1.005,0.535,-0.83,-0.872,-0.732,0.398,0.804,-0.374,-1.038,1.098,1.38,2.189,-0.241,-1.142,0.513,1.039,0.747,1.683,-0.649,0.744,0.333,1.101,-0.765,0.696,0.949,1.89,2.09,1.304,0.084,0.164
