"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Fiji","January",0.463,-0.472,-0.452,0.198,0.002,0.318,-0.534,-0.172,0.124,0.201,-0.368,-0.437,0.707,-0.107,0.027,-0.3,0.424,0.414,-0.08,0.517,0.797,0.305,0.143,0.276,0.282,0.442,0.712,0.697,-0.015,0.275,0.284,-0.012,-0.272,0.511,0.011,0.521,0.483,1.368,0.242,0.585,0.785,0.976,1.524,0.526,1.423,0.707,0.942,0.133,0.457,0.199,0.413,0.434,1.099,1.522,1.429,1.733,1.17,1.196,1.442
"2","Fiji","February",0.101,-0.061,0.072,0.113,-0.424,-0.178,-0.097,0.484,0.617,0.167,-0.724,-0.448,0.718,-0.43,-0.335,-0.549,0.357,0.087,0.621,1.14,0.353,0.401,0.218,0.791,1.089,0.429,1.162,1.271,-0.412,0.425,0.626,0.785,-0.042,0.61,0.124,0.825,0.744,0.498,0.07,0.404,0.859,1.178,0.501,0.859,1.183,0.908,0.727,0.28,0.696,1.098,0.19,-0.095,0.63,1.031,1.765,1.637,0.813,1.196,1.483
"3","Fiji","March",0.36,-0.136,-0.292,-0.007,-0.247,0.605,-0.011,-0.256,0.789,0.162,-0.267,-0.251,0.557,-0.487,-0.364,-0.6,0.316,0.231,0.554,0.919,0.689,0.352,0.366,0.58,0.446,0.594,0.394,0.888,0.185,0.134,1.004,0.852,0.524,1.12,0.636,0.829,0.865,1.233,0.778,0.866,0.544,1.065,1.344,0.738,1.19,1.546,0.798,0.601,0.524,0.903,0.516,0.9,0.854,1.116,1.291,1.727,1.245,1.24,0.511
"4","Fiji","April",0.219,0.167,0.312,0.106,-0.454,-0.137,-0.266,-0.549,0.139,0.18,-0.135,0.219,0.127,-0.574,-0.313,0.124,0.136,-0.002,0.2,0.602,0.268,0.633,0.354,0.798,0.716,-0.077,0.373,0.797,-0.159,-0.505,0.884,-0.187,0.198,0.449,0.382,1.126,0.465,0.299,0.804,0.949,1.001,0.742,1.361,0.545,0.736,1.569,0.748,1,0.872,0.658,1.248,0.249,1.315,0.796,0.433,0.902,1.671,0.623,2.041
"5","Fiji","May",0.73,0.197,-0.282,0.118,-0.669,-0.451,-0.516,-0.588,-0.161,-0.055,-0.23,0.217,0.435,-0.195,0.345,0.102,-0.375,0.179,0.219,-0.307,0.311,0.242,0.343,1.036,-0.023,-0.647,-0.34,1.195,0.241,0.962,0.081,-0.179,0.306,-0.043,-0.197,-0.086,0.149,0.586,0.471,1.18,1.321,1.174,1.99,0.731,0.787,1.292,0.672,0.062,1.082,1.547,1.632,0.633,1.13,0.431,0.37,1.141,1.755,0.504,0.76
"6","Fiji","June",0.461,-0.281,0.598,0.411,-0.874,-0.469,-0.866,0.447,0.224,0.238,0.54,-0.242,0.643,0.16,0.203,-0.144,0.043,0.397,0.533,-0.424,0.201,0.449,0.342,0.722,-0.477,-0.305,-1.036,0.751,0.221,0.607,-0.844,0.962,-0.026,-1.333,0.039,0.235,-0.287,0.788,0.401,1.047,0.383,1.002,0.453,0.697,-0.244,0.505,1.635,0.801,0.221,1.653,1.425,0.082,1.175,0.886,0.367,1.212,0.726,1.049,0.979
"7","Fiji","July",0.456,-0.328,0.783,-0.161,-0.446,-0.371,-0.548,0.516,-0.926,0.703,0.516,-0.33,0.599,0.457,0.416,-0.223,0.336,0.005,-0.292,-0.158,-0.062,0.679,0.064,0.482,0.118,-1.347,-0.677,0.615,0.124,0.257,0.677,0.699,-0.512,-0.451,1.118,0.898,0.078,0.525,1.353,0.831,0.766,0.971,0.425,0.535,-0.691,-0.555,1.593,0.356,0.856,0.795,1.584,0.82,0.859,-0.134,0.737,1.134,0.94,0.728,1.255
"8","Fiji","August",0.098,-0.013,-0.076,0.679,-0.926,-0.886,0.183,-0.242,-0.503,0.151,0.921,-0.087,0.489,0.442,0.516,0.487,-0.057,-0.03,-0.233,-0.443,0.065,-0.299,-0.135,0.469,0.577,-0.741,-0.426,0.845,0.595,0.837,0.43,-0.004,-0.802,0.962,0.98,0.065,-0.09,0.849,0.498,1.051,0.784,0.195,-0.414,0.508,-0.07,0.598,2.055,1.739,0.842,1.587,0.997,1.142,1.523,0.624,0.429,0.835,1.333,0.593,1.682
"9","Fiji","September",0.723,-0.138,-0.23,0.182,-1.087,-0.474,0.507,-0.329,-0.514,-0.136,0.754,-0.069,0.381,0.792,0.681,-0.289,-0.915,-0.305,0.218,0.36,-0.342,-1.105,-0.048,0.411,0.158,-0.546,-0.472,0.716,0.727,0.346,-0.859,0.035,-1.373,-1.104,0.692,0.685,-0.553,0.693,1.17,0.889,0.968,0.601,0.09,-0.007,1.275,0.647,2.004,0.904,0.125,1.785,0.909,0.817,0.639,1.244,0.399,0.559,1.442,1.758,0.957
"10","Fiji","October",-0.463,0.593,-0.794,0.457,-1.206,-0.634,-0.509,-0.49,-0.061,-0.012,0.331,-0.317,-0.007,1.017,0.937,0.375,-0.429,-0.398,0.706,0.528,-0.33,0.115,0.378,-0.004,0.742,0.247,0.348,0.48,0.852,0.061,0.133,0.152,-0.555,-0.682,0.942,0.522,0.43,1.146,0.209,0.316,0.725,0.586,0.328,0.81,1.365,0.28,1.829,0.744,-0.318,1.251,1.335,1.273,0.533,1.028,0.473,1.612,1.712,2.215,1.552
"11","Fiji","November",-0.354,-0.123,0.056,0.178,-0.55,-0.598,-0.141,-0.121,-0.477,0.023,0.49,-0.298,0.07,0.782,0.006,0.717,0.124,-0.343,0.241,0.061,0.604,0.244,0.596,0.22,1.002,0.708,1.003,0.234,0.366,1.292,0.338,0.049,0.961,0.748,0.834,0.806,0.401,1.738,0.448,1.107,1.363,0.438,0.766,0.493,1.176,1.105,0.992,0.808,0.046,0.735,0.943,0.761,1.925,0.958,1.178,1.815,1.63,1.54,0.556
"12","Fiji","December",-0.373,-0.215,-0.017,-0.719,-0.041,-0.565,0.155,0.121,0.005,0.215,-0.319,0.327,0.154,-0.02,-0.098,-0.043,0.874,0.045,-0.06,0.063,0.754,-0.253,0.309,0.732,0.373,0.783,0.787,0.103,0.084,0.289,0.364,0.44,0.858,0.56,0.584,0.511,1.03,1.529,0.385,0.205,1.034,1.286,0.822,1.107,1.15,0.29,0.53,0.713,-0.111,0.46,1.099,1.124,1.071,0.736,1.063,1.304,0.865,1.107,1.294
