"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Finland","January",2.781,1.743,-2.17,5.233,2.28,-6.955,-4.375,-7.33,-2.664,-1.737,3.348,0.017,5.215,3.389,4.112,-4.263,0.769,-0.169,-2.84,-1.705,1.869,-4.55,4.03,0.616,-8.411,-3.103,-8.75,2.658,6.088,0.39,2.832,5.016,4.506,0.288,4.198,3.093,1.792,3.848,-0.947,3.607,5.603,1.926,-4.14,0.632,5.607,3.001,2.983,5.976,2.876,-3.434,0.779,1.739,2.327,-0.171,2.739,-3.306,4.349,3.429,-0.247
"2","Finland","February",5.771,2.223,-2.941,-1.175,0.404,-8.147,2.525,-0.022,-3.458,-5.518,0.068,2.253,2.564,6.68,4.832,1.207,-0.961,-3.743,-1.788,-1.776,-0.077,2.742,0.083,4.144,-8.252,-2.484,-0.601,2.15,6.78,9.73,0.038,6.017,4.926,-3.393,5.957,-1.798,3.119,-0.692,0.275,4.278,-0.288,5.606,3.804,2.14,2.889,-0.476,-3.19,6.581,1.398,-2.233,-3.804,-0.863,5.023,8.577,7.3,6.523,4.049,-0.496,4.804
"3","Finland","March",3.104,-5.391,-4.757,-0.773,-0.736,-3.062,4.768,1.654,-2.394,1.777,-2.753,1.25,2.434,2.846,4.4,-1.591,1.139,0.771,2.054,-2.136,-3.8,3.203,1.077,-0.945,1.539,3.901,-2.077,0.627,5.369,3.843,1.432,4.91,2.858,1.144,4.245,1.056,2.568,-0.988,1.939,2.369,-1.795,2.616,3.999,2.739,-1.622,-3.043,6.312,1.712,1.828,-0.075,2.208,3.778,-3.428,5.603,5.774,4.33,3.889,-1.802,2.625
"4","Finland","April",-1.069,2.06,0.806,0.184,0.647,-2.466,1.199,0.843,-0.052,-1.448,-1.327,0.23,0.785,0.651,0.774,-0.026,-0.702,-0.874,-0.994,2.03,-0.464,0.813,2.664,2.192,-1.755,-0.131,-0.067,-1.21,3.381,3.119,1.585,-1.313,0.532,3.075,0.785,0.402,-1.601,-0.84,2.967,2.581,2.312,3.2,0.454,2.232,2.269,2.342,2.711,2.124,1.382,2.615,3.744,0.684,0.877,2.663,3.036,2.964,-0.088,2.145,3.81
"5","Finland","May",-0.013,-0.245,4.154,0.658,-2.512,-0.08,0.133,-1.809,-1.415,0.027,-0.198,-0.154,0.776,-1.359,2.099,1.625,-0.131,0.572,1.656,-0.712,1.46,0.229,2.211,4.03,-0.819,1.582,-0.328,1.485,2.229,0.648,-0.858,2.424,2.726,-0.82,-0.045,-0.979,-0.859,0.23,-1.393,1.635,0.176,2.546,1.845,1.237,0.646,1.795,1.38,0.603,2.672,2.981,1.612,1.57,4.011,1.457,1.348,4.146,-0.905,4.94,1.191
"6","Finland","June",2.193,-2.212,-1.293,-0.872,-0.214,1.625,-0.835,1.079,-0.056,1.886,-0.825,2.117,1.576,0.714,-1.451,-1.976,-0.777,-0.218,0.94,2.61,-1.513,-3.492,-0.533,-0.015,-0.425,2.332,-0.979,1.906,1.654,-0.367,-0.849,1.416,-2.7,-0.846,2.149,-0.833,1.229,-0.582,3.011,0.017,0.729,1.949,-1.19,-1.023,0.443,1.423,0.41,-0.248,-0.425,-0.659,2.364,-0.75,3.01,-0.826,-0.921,0.634,-1.075,-0.133,1.637
"7","Finland","July",0.65,-2.028,-0.64,-0.376,-2.08,0.641,-0.19,-1.904,-0.176,0.825,-0.544,3.259,3.062,0.582,-0.245,-1.025,-0.766,-0.85,-0.211,0.094,0.707,0.397,0.763,-0.563,-0.256,0.32,-1.473,3.034,0.23,-0.134,0.613,-0.925,0.029,1.636,-1.143,-1.253,2.121,0.653,1.208,0.943,2.18,2.314,3.826,1.118,2.113,0.977,0.561,0.034,0.176,3.763,3.051,0.761,0.778,3.431,-0.961,1.908,-0.257,4.275,-0.238
"8","Finland","August",-0.356,-2.101,0.793,-0.573,-1.012,-0.979,1.628,-0.134,1.131,0.345,0.201,1.331,-0.607,0.111,-0.565,-0.267,-0.956,-1.368,0.72,-0.25,-0.989,0.001,-0.708,-0.691,0.885,-1.874,-2.698,-0.179,0.169,0.699,1.351,-1.102,-0.818,0.534,0.139,2.227,2.319,-0.995,-1.149,0.126,0.432,2.574,0.827,1.009,1.493,2.796,1.769,-0.976,1.193,0.996,1.002,0.168,1.742,1.952,1.592,0.534,0.325,2.231,0.761
"9","Finland","September",0.12,-0.405,2.641,-0.549,1.913,-1.886,1.983,-0.765,-0.517,-0.015,-1.003,-0.051,-2.748,2.344,1.981,-2.411,-1.324,-0.985,0.024,0.669,-0.105,-0.074,1.523,-0.43,0.16,-2.636,-0.551,1.45,1.321,-0.855,-0.772,2.134,-3.12,0.31,0.584,-0.703,1.232,0.885,2.334,0.333,2.111,0.258,1.07,1.844,1.754,2.46,0.288,-0.536,2.491,1.223,2.713,1.131,2.355,1.841,2.906,2.215,1.04,2.435,0.99
"10","Finland","October",4.699,1.661,1.291,2.741,0.647,-1.006,1.806,-3.929,0.962,-0.006,-0.766,0.191,-2.978,0.482,0.345,-2.858,-0.588,-0.884,-1.575,-0.33,1.33,-0.134,0.61,1.334,1.759,1.323,3.609,0.363,0.033,0.812,1.334,-5.414,-1.652,-0.009,2.104,2.001,-1.243,0.988,2.122,4.11,1.828,-3.138,-0.231,0.8,2.66,0.941,2.745,2.257,-1.384,0.973,2.738,0.76,1.327,0.181,1.406,0.92,0.918,1.225,-0.625
