"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","France","January",0.098,1.602,-4.597,-1.664,0.346,-0.617,0.222,0.116,1.412,0.917,-0.025,-0.007,-0.204,2.863,2.95,0.737,0.408,-0.018,-2.285,-1.012,-0.058,1.702,2.199,0.935,-4.277,0.622,-3.894,3.238,1.136,1.715,0.564,-0.456,2.496,1.971,1.04,2.004,-0.766,1.737,2.253,0.362,1.876,1.609,-0.098,1.328,1.151,-0.44,3.381,2.871,-0.962,-1.688,0.825,2.133,0.654,3.226,1.493,2.733,-0.91,3.883,0.397
"2","France","February",3.417,-0.588,-4.475,0.972,-2.743,3.737,1.183,0.191,-2.093,0.072,-0.101,1.353,-0.953,1.139,1.357,0.725,2.484,-0.022,-0.08,2.123,-1.441,0.904,-1.89,-0.933,-0.112,-4.479,-0.39,0.646,1.627,4.623,-2.026,0.798,-0.578,0.949,3.267,-1.22,2.929,2.229,-0.071,2.548,1.478,3.097,-0.856,0.752,-1.685,-0.883,3.243,2.39,-0.059,-0.464,1.74,-2.983,-1.381,2.441,-0.296,2.025,2.894,-1.668,3.057
"3","France","March",1.726,-2.716,-0.135,-0.942,0.008,-0.431,1.146,0.172,-0.21,-2.248,-3.045,1.335,-0.803,0.72,-1.279,-0.61,1.95,0.76,0.098,-0.416,2.52,-0.318,0.447,-1.436,-1.333,-0.478,-1.673,-0.061,2.755,2.219,2.519,1.095,0.35,2.927,-0.116,-0.485,2.941,1.542,1.524,1.111,2.578,2.235,2.605,-0.081,0.602,0.005,1.139,0.439,0.745,0.116,1.636,2.93,-0.692,2.2,1.359,0.286,3.335,0.305,2.44
"4","France","April",2.68,-0.028,0.425,0.477,-0.472,1.458,-0.447,0.791,-0.011,-1.434,1.486,-0.368,-1.664,0.049,-0.181,-0.396,-0.72,-1.266,-0.996,-0.959,0.925,-0.042,-0.011,0.237,0.735,-2.109,1.815,1.02,-0.873,-0.268,-0.465,0.464,1.379,-0.467,0.715,0.969,0.729,0.093,1.133,0.918,-0.079,1.205,1.644,0.756,1.243,1.267,4.36,0.443,2.005,1.76,4.161,0.18,0.662,2.739,2.251,0.815,1.279,3.481,1.421
"5","France","May",-0.249,-1.209,-0.684,1.744,-0.097,0.329,-0.272,-1.013,0.49,-0.083,0.882,-1.12,0.848,-0.522,-0.82,0.963,-0.768,-0.635,-0.474,-1.153,-0.325,0.594,-1.071,-2.462,-0.363,1.22,-1.4,1.173,2.57,2.535,-1.355,2.414,1.419,1.024,0.866,-0.323,1.51,2.042,2.562,2.309,2.078,0.416,1.757,0.258,1.554,1.527,1.916,2.446,2.331,-0.23,2.789,1.816,-1.205,0.551,1.507,0.907,2.489,2.24,-0.129
"6","France","June",0.543,-0.375,-0.186,0.834,0.118,0.927,-0.633,-0.219,-1.203,1.575,-1.194,-1.773,0.78,-0.259,-0.388,3.046,-1.119,-0.951,0.445,-1.124,-0.083,1.635,1.12,-0.276,-0.65,0.861,-0.765,0.102,0.723,0.084,-0.854,0.014,1.355,1.04,-0.049,1.506,0.395,1.166,0.501,1.781,0.878,1.888,4.851,1.862,3.022,2.452,1.567,1.317,1.686,1.364,1.179,1.59,0.203,2.144,2.5,1.331,3.807,2.698,2.956
"7","France","July",-0.511,-0.522,0.389,1.324,-1.277,-1.472,1.604,-0.312,0.845,-0.377,1.405,-0.224,-0.054,-0.521,0.785,1.796,-0.633,-1.001,0.151,-1.777,-0.797,1.959,3.763,0.585,1.29,0.454,0.553,-0.155,1.866,1.391,1.552,1.069,-0.433,3.162,2.908,0.381,0.216,0.548,1.931,-0.579,1.124,0.24,2.517,0.705,1.685,4.709,0.215,0.841,1.483,2.622,-0.494,0.514,3.05,1.081,3.297,1.824,2.151,3.587,3.347
"8","France","August",-0.072,0.804,-1.456,0.323,-0.861,-0.825,0.215,-0.787,0.079,0.411,0.907,-1.041,2.051,0.676,1.732,0.676,-1.203,-0.829,-0.835,0.837,0.758,0.028,1.234,0.247,-0.214,-0.097,0.879,0.91,1.441,2.398,2.685,2.32,0.798,2.207,2.031,0.324,3.194,1.508,1.644,1.808,2.237,0.531,5.241,1.724,0.51,-0.334,0.254,0.947,2.621,0.755,1.536,2.689,1.671,-0.01,2.293,2.381,2.254,3.072,2.708
"9","France","September",2.906,-0.026,-0.494,1.244,-1.988,1.043,-0.38,-0.528,0.101,1.156,-0.069,-2.611,1.124,-1.133,0.457,-1.072,-1.075,-0.074,-0.063,1.056,0.588,1.832,0.722,-1.077,1.781,-0.517,2.484,0.036,0.587,0.223,2.268,-0.019,-0.945,-0.607,-1.296,-1.709,1.47,0.361,2.228,1.25,-1.388,-0.243,0.891,1.367,1.207,2.691,-0.471,-0.733,1.264,-0.142,2.314,0.481,1.039,1.995,-0.38,2.881,-0.401,2.309,1.683
"10","France","October",0.82,0.549,0.029,-1.79,0.804,1.234,1.886,2.011,1.576,-0.277,0.866,-0.741,-0.927,-4.092,-1.068,0.145,1.54,0.136,0.89,-0.766,-0.256,-0.147,0.364,0.362,0.972,1.764,1.001,1.493,1.516,1.882,-0.791,-1.772,-1.181,0.541,3.193,0.335,0.983,0.093,0.82,0.587,3.552,0.858,-1.215,1.792,2.888,3.299,0.19,0.169,0.986,0.008,1.68,1.177,2.563,3.151,0.258,0.298,2.386,1.898,2.388
