"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","French Guiana","January",0.08,-0.247,-0.317,-0.279,-0.413,0.341,-0.017,-0.139,0.16,0.437,-0.341,-0.386,0.538,-0.525,-0.237,-0.472,0.166,-0.008,0.354,0.542,0.359,0.312,0.768,-0.285,-0.055,0.101,0.521,0.645,-0.343,-0.067,0.654,0.295,0.112,0.165,0.695,0.616,0.092,1.31,0.361,0.25,-0.047,0.534,0.996,1.062,1.703,0.469,1.556,0.829,1.075,1.356,1.01,0.408,1.615,0.842,1.18,1.491,1.011,1.112,1.277
"2","French Guiana","February",-0.219,-0.154,-0.431,0.251,-0.439,-0.019,-0.074,-0.163,0.661,0.474,-0.516,-0.395,0.567,-0.291,-0.379,-0.47,-0.173,0.688,0.363,0.371,0.109,0.301,0.738,0.181,0.104,0.361,0.857,0.643,-0.244,0.337,0.754,0.521,0.45,0.406,0.491,0.584,-0.043,2.348,0.512,0.023,0.623,0.848,0.793,1.103,1.727,1.115,1.408,0.65,0.991,1.649,0.837,0.188,0.954,1.006,1.041,1.745,1.116,0.678,1.415
"3","French Guiana","March",0.082,0.078,-0.42,0.252,-0.044,-0.032,-0.364,-0.44,0.62,0.085,-0.412,-0.071,0.626,-0.423,-0.23,-0.49,0.191,0.119,0.081,0.131,0.675,0.192,0.964,0.304,0.269,0.142,0.83,0.566,-0.355,0.375,0.391,0.725,0.375,0.482,0.702,0.595,0.318,1.577,0.567,0.399,0.793,0.75,1.015,0.837,1.178,1.15,1.188,0.117,1.219,1.993,0.849,0.856,1.721,1.323,0.768,1.871,1.096,1.27,1.537
"4","French Guiana","April",0.1,-0.19,-0.235,0.448,-0.254,0.111,-0.189,0.228,0.652,0.026,-0.518,-0.297,0.214,-0.456,-0.113,-0.473,0.319,0.43,0.282,0.139,0.573,0.131,0.734,0.058,0.111,0.71,0.825,1.025,0.272,0.202,0.836,0.774,0.62,-0.086,1.117,0.885,0.6,1.434,0.354,0.145,0.519,0.739,1.207,1.001,1.135,0.785,1.13,0.822,1.14,1.718,1.183,0.941,1.416,1.471,1.086,1.722,1.363,0.882,1.415
"5","French Guiana","May",0.167,0.12,-0.112,-0.087,-0.162,0.044,-0.553,-0.245,0.463,0.408,-0.459,-0.08,-0.005,-0.164,-0.055,-0.477,-0.03,0.445,0.447,0.51,0.24,0.07,0.975,0.003,0.201,0.174,0.691,0.62,0.021,0.296,0.529,0.889,0.613,0.061,1.046,0.937,0.406,1.357,0.36,0.766,0.66,0.78,0.698,1.139,1.154,0.87,1.013,0.613,1.44,1.441,1.517,0.885,0.934,1.253,1.058,1.918,1.39,0.974,1.498
"6","French Guiana","June",-0.46,-0.194,-0.158,-0.003,-0.114,0.35,-0.361,-0.3,0.844,0.262,-0.513,0.072,0.287,-0.502,-0.437,-0.284,0,0.096,0.264,0.662,0.309,0.402,1.099,0.272,-0.144,-0.097,0.794,0.467,0.007,0.302,0.551,0.673,0.479,0.72,0.971,0.307,0.665,1.513,0.408,0.574,0.468,0.089,1.095,0.821,1.565,0.457,1.303,0.585,1.266,1.43,1.232,1.324,1.08,1.459,1.447,1.571,1.7,1.213,1.796
"7","French Guiana","July",-0.184,0.056,0.093,0.162,-0.216,0.02,-0.156,-0.174,0.638,0.269,-0.165,0.287,0.144,-0.403,-0.504,-0.154,-0.038,0.316,0.359,0.408,-0.07,0.237,0.439,-0.032,0.075,0.069,0.708,0.151,0.283,0.524,0.131,0.116,0.894,0.873,0.951,0.353,0.656,1.285,0.533,0.594,0.664,1.229,0.688,0.804,1.037,0.811,1.42,0.435,1.325,1.724,1.021,1.248,0.969,1.331,1.465,1.747,1.663,1.323,1.512
"8","French Guiana","August",0.045,-0.006,0.218,-0.101,-0.161,0.135,-0.361,-0.051,0.328,-0.026,-0.298,-0.043,0.095,-0.157,-0.382,-0.101,0.193,-0.315,0.458,0.449,0.203,0.146,0.369,-0.158,-0.436,0.283,0.829,0.679,0.599,0.272,-0.177,0.398,0.305,0.692,1.454,0.417,0.469,1.603,0.583,0.899,0.845,0.678,1.315,0.372,1.196,1.162,1.32,1.258,1.516,1.449,1.592,1.259,1.493,1.135,1.497,1.897,2.058,1.354,1.548
"9","French Guiana","September",-0.131,-0.165,0.076,-0.167,-0.131,-0.124,-0.284,-0.138,0.316,-0.098,-0.221,0.131,-0.324,-0.281,-0.545,0.152,0.02,-0.155,0.269,0.535,0.673,0.208,0.281,-0.406,0.025,0.527,0.812,0.288,0.461,0.619,-0.015,0.135,0.227,0.457,1.294,0.591,1.044,1.239,0.75,0.7,0.725,0.838,1.185,1.249,1.252,1.016,1.081,1.104,1.425,1.538,1.242,1.32,0.87,1.198,1.752,1.741,1.933,1.536,2.08
"10","French Guiana","October",-0.404,0.013,0.129,-0.648,0.185,-0.066,-0.441,-0.223,0.243,0.042,-0.505,0.308,-0.182,-0.521,-0.252,0.421,0.168,-0.103,0.53,0.201,0.001,0.198,0.109,-0.258,-0.156,0.402,0.835,0.265,-0.079,0.57,-0.008,0.519,0.609,0.605,0.541,0.61,1.615,1.239,0.647,0.633,0.845,0.836,0.933,1.091,1.388,0.929,0.739,1.52,1.44,1.463,0.793,1.604,0.674,1.473,1.767,1.683,1.484,1.687,1.599
"11","French Guiana","November",-0.446,0.049,-0.009,-0.546,-0.132,0.017,-0.015,-0.486,0.603,-0.127,-0.405,0.221,-0.188,-0.411,-0.272,0.294,0.266,0.189,0.399,0.13,0.541,0.26,0.304,-0.362,0.14,-0.062,0.958,0.15,0.14,0.401,0.265,0.263,0.479,0.388,0.516,0.107,1.291,0.919,1.169,0.814,0.744,0.9,1.149,1.338,1.661,0.616,1.167,1.551,1.182,1.313,0.61,1.78,0.913,1.4,1.881,2.055,1.446,1.343,2.053
"12","French Guiana","December",-0.515,0.121,-0.19,-0.564,-0.023,0.165,-0.091,-0.159,0.836,-0.093,-0.159,0.2,-0.492,-0.453,0.057,0.106,-0.078,-0.392,0.364,0.298,0.422,0.75,-0.172,0.283,-0.18,0.148,0.881,-0.13,0.211,0.615,0.558,0.493,0.567,0.621,0.88,0.885,0.881,0.93,1.107,0.384,0.919,0.385,0.772,1.991,1.077,0.613,1.424,1.333,0.941,0.859,0.757,1.402,1.09,1.198,1.514,1.399,1.182,0.63,1.611
