"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","French Polynesia","January",0.05,0.041,-0.084,0.234,-0.685,0.063,-0.128,-0.625,0.299,0.414,-0.506,0.425,0.473,-0.282,-0.45,-0.479,0.311,0.43,0.077,0.554,0.188,0.573,0.583,0.391,-0.146,0.142,0.447,0.697,0.244,0.266,0.701,0.174,0.518,0.849,0.513,0.468,0.186,1.03,0.539,0.258,0.528,0.56,0.745,0.618,0.762,0.928,1.047,0.226,0.577,0.817,-0.072,0.244,0.415,0.505,0.694,0.976,0.939,0.822,1.051
"2","French Polynesia","February",-0.067,-0.248,-0.072,0.016,-0.568,-0.024,-0.43,-0.624,0.095,-0.009,-0.655,0.536,0.294,-0.382,0.152,-0.612,1.064,-0.003,0.44,0.421,-0.009,0.362,0.711,0.87,0.124,-0.481,0.549,0.226,0.064,0.371,0.305,-0.025,-0.445,0.572,0.385,-0.188,0.128,0.849,0.265,0.632,0.334,0.698,0.588,0.871,0.394,0.973,1.01,0.201,0.952,0.663,-0.314,0.931,0.561,0.255,0.714,1.425,1.189,0.264,1.041
"3","French Polynesia","March",-0.407,-0.372,0.075,0.007,-0.335,-0.098,-0.432,-0.895,0.319,0.114,-0.546,0.25,0.643,-0.667,0.103,-0.478,0.816,0.343,0.374,0.395,-0.287,0.418,0.01,0.252,0.168,-0.033,0.688,0.199,-0.074,0.249,0.186,0.275,0.121,0.75,0.688,0.138,0.051,1.036,0.254,0.181,0.554,1.129,0.785,0.533,0.784,0.839,1.059,0.074,0.736,0.861,0.009,0.554,1.024,0.117,0.546,1.58,1.056,0.556,0.981
"4","French Polynesia","April",-0.008,-0.636,-0.219,-0.078,0.139,0.297,-0.41,-1.03,0.376,0.137,-0.505,0.448,0.621,-0.268,-0.064,-0.097,0.051,0.299,0.393,0.331,-0.059,0.343,-0.54,0.625,0.313,0.163,0.506,0.523,0.306,0.524,0.357,0.602,0.065,0.34,0.416,-0.181,0.49,0.249,0.404,-0.207,0.819,1.045,0.741,-0.035,0.75,0.837,0.706,-0.023,1.038,1.207,-0.06,0.458,0.97,0.387,0.626,1.349,0.774,0.466,0.86
"5","French Polynesia","May",0.295,-0.181,-0.184,-0.414,-0.173,0.212,-0.337,-0.845,0.316,0.147,-0.271,0.493,0.586,-0.237,-0.246,-0.123,0.283,0.117,-0.024,0.629,0.105,0.174,-0.287,0.203,0.259,-0.016,0.837,0.155,0.173,0.014,0.561,0.307,0.126,0.416,0.359,0.153,0.532,0.615,0.755,0.242,0.205,0.35,0.597,0.385,-0.058,0.673,0.886,0.442,0.435,0.777,0.053,0.93,0.769,0.505,0.779,0.825,1.009,0.614,0.877
"6","French Polynesia","June",0.022,-0.13,-0.279,-0.417,-0.506,-0.188,-0.027,-1.046,0.464,0.259,-0.109,0.413,-0.045,-0.077,0.263,-0.095,-0.198,0.126,0.459,0.188,-0.153,0.412,-0.161,0.176,0.093,0.283,0.057,0.464,0.046,0.172,0.221,0.142,-0.219,0.417,0.553,0.249,0.046,0.293,0.321,0.584,0.62,0.635,0.64,0.293,0.294,0.943,1.089,0.39,0.892,0.82,0.123,0.541,0.504,0.526,0.819,0.85,1.291,0.593,0.783
"7","French Polynesia","July",0.092,-0.043,-0.514,-0.191,-0.021,-0.171,-0.206,-0.712,0.342,0.192,0.012,0.387,0.186,-0.148,-0.047,-0.098,0.07,-0.203,0.197,0.367,0.377,-0.041,-0.101,-0.224,-0.324,0.423,0.049,0.102,0.396,0.667,0.078,0.424,0.127,0.169,0.365,0.007,0.1,0.352,0.728,0.427,0.985,0.542,0.446,-0.087,0.845,0.831,0.619,0.568,0.925,0.92,0.087,0.626,-0.232,0.87,0.511,0.884,1.302,0.578,0.361
"8","French Polynesia","August",0.136,-0.398,0.192,-0.292,0.002,0.058,-0.672,-0.107,0.015,0.541,-0.018,0.619,0.193,-0.589,-0.414,-0.36,0.186,0.122,0.02,0.65,-0.085,0.388,0.453,-0.09,0.383,0.242,-0.062,0.669,0.633,1.019,0.538,0.719,0.565,0.502,0.908,0.236,-0.04,0.395,0.45,0.467,0.264,1.048,1.128,0.314,0.619,0.512,1.09,0.329,0.819,0.799,0.636,0.551,0.213,0.726,0.43,1.232,0.566,0.713,1.203
"9","French Polynesia","September",0.129,0.07,-0.182,-0.414,0.104,0.243,-0.398,-0.249,-0.113,0.121,-0.243,-0.097,0.341,-0.393,-0.124,0.019,0.529,0.157,0.155,-0.054,0.536,0.254,0.495,0.526,0.577,0.573,0.788,0.535,0.567,0.733,0.258,0.818,0.36,0.632,0.681,-0.146,0.717,0.504,0.128,0.161,0.744,1.016,1.026,0.796,0.894,0.774,0.61,0.379,1.056,0.52,0.86,1.011,0.334,1.118,0.483,1.383,0.831,0.355,0.752
"10","French Polynesia","October",0.016,-0.232,0.349,-0.288,0.205,-0.045,-0.343,-0.104,0.314,-0.024,0.057,-0.259,0.201,-0.069,-0.413,0.381,0.344,-0.231,-0.178,0.215,0.528,0.244,0.656,0.907,0.043,0.353,-0.055,0.309,0.545,0.716,0.457,0.315,0.383,0.567,0.725,0.263,0.576,0.683,0.443,0.202,0.396,1.155,0.662,0.765,1.076,0.943,0.602,0.741,0.646,0.238,0.351,0.856,0.714,1.032,0.72,1.125,0.256,0.677,0.396
