"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Gabon","January",-0.024,-0.209,-0.299,0.457,-0.325,0.085,-0.025,-0.35,-0.263,0.079,-0.265,-0.088,0.542,-0.301,0.037,-0.292,0.04,0.324,0.555,0.34,-0.287,-0.129,0.726,-0.208,-0.316,-0.222,0.4,0.103,-0.464,NA,0.037,-0.32,-0.287,-0.016,0.617,0.149,0.039,0.762,0.325,-0.001,0.076,0.506,0.369,0.923,0.369,0.691,0.976,0.284,0.505,1.104,0.427,-0.002,0.628,0.804,0.738,1.334,1.274,0.641,1.074
"2","Gabon","February",-0.529,-0.028,-0.225,0.249,-0.415,-0.136,-0.124,-0.123,0.445,0.448,-0.17,-0.115,0.952,-0.227,-0.012,-0.542,0.236,0.631,0.507,0.447,0.166,-0.163,0.652,-0.07,-0.456,-0.349,0.043,0.171,-0.293,0.296,0.289,0.048,-0.136,0.043,0.104,0.318,0.355,1.719,0.158,0.082,0.262,0.494,0.897,0.466,1.235,0.638,0.767,1.042,0.289,1.02,0.132,-0.199,1.087,1.001,0.632,1.951,0.811,1.465,1.596
"3","Gabon","March",-0.018,-0.21,-0.149,0.201,-0.381,0.207,-0.193,-0.342,0.543,0.204,-0.264,-0.195,0.616,-0.217,-0.269,-0.404,0.001,0.351,0.384,0.412,-0.507,-0.236,0.977,-0.478,-0.352,-0.665,0.229,0.33,-0.492,0.469,-0.133,0.134,-0.28,0.408,0.504,-0.045,0.065,0.87,0.404,0.249,0.245,0.375,0.798,1.394,0.675,0.66,1.002,0.285,0.877,1.469,0.531,0.656,0.601,0.367,0.724,1.08,1.541,0.542,1.188
"4","Gabon","April",0.015,-0.063,-0.099,-0.019,-0.312,-0.16,0.105,-0.149,0.432,0.389,-0.306,-0.473,0.359,0,-0.024,-0.354,0.447,-0.299,0.181,0.236,-0.052,-0.343,0.357,-0.284,-0.802,-0.221,0.132,-0.115,-0.244,0.072,-0.064,-0.305,-0.182,0.134,0.305,0.01,-0.366,1.565,0.33,-0.042,0.055,0.655,0.053,0.525,0.723,0.431,0.794,0.414,0.713,0.67,0.233,0.249,0.965,0.512,1.013,1.423,1.735,0.398,1.501
"5","Gabon","May",0.104,0.161,0.322,0.051,0.067,0.314,-0.15,-0.429,0.366,0.106,0.055,0.053,0.094,0.046,0.067,-0.413,0.271,-0.455,0.277,0.19,-0.641,-0.864,-0.329,-0.091,-0.734,0.106,0.416,0.334,-0.638,-0.052,0.74,-0.414,0.054,-0.01,0.645,-0.529,-0.809,1.183,0.652,0.311,0.487,0.784,0.538,0.331,0.549,0.312,0.937,0.904,0.351,0.857,0.55,0.087,0.439,0.707,0.96,0.493,1.439,0.432,1.443
"6","Gabon","June",-0.708,-0.204,0.989,-0.195,0.336,0.767,0.057,-0.135,-0.076,0.084,0.557,-0.41,0.581,0.41,0.219,-0.591,-0.068,-0.209,0.298,-0.005,-0.021,-0.612,-0.248,1.05,-0.238,-0.01,0.89,0.542,0.045,0.31,0.813,-0.402,0.423,0.407,1.032,0.765,NA,1.525,1.203,0.717,0.929,0.782,0.946,0.324,0.107,1.596,0.938,0.685,1.094,1.084,0.766,0.605,0.618,1.424,0.724,1.64,0.927,1.58,2.15
"7","Gabon","July",-0.144,0.084,0.752,-0.223,-0.126,0.693,-0.449,-0.021,-0.11,-0.063,0.113,0.321,0.879,0.128,0.047,-0.56,0.152,0.004,0.353,0.158,-0.058,-0.104,0.082,1.159,0.378,0.138,1.054,0.771,0.073,-0.008,NA,-0.331,1.005,0.25,1.228,0.709,NA,1.79,1.26,0.613,0.714,1.411,1.837,1.126,0.536,0.614,1.464,1.323,0.901,1.183,0.846,1.109,0.852,0.764,1.504,2.035,1.661,1.614,2.361
"8","Gabon","August",-0.477,-0.098,0.521,-0.509,0.016,0.405,-0.114,0.344,0.187,0.415,0.008,0.039,0.442,0.072,-0.404,-0.324,0.564,0.129,0.274,0.121,-0.223,-0.25,-0.184,1.068,0.613,0.272,0.52,0.609,0.509,0.106,0.026,-0.286,0.463,0.789,1.155,0.327,NA,0.766,1.06,0.355,0.205,1.022,1.596,1.535,0.882,0.938,1.387,1.447,1.048,0.858,0.869,0.911,0.769,0.874,0.908,1.772,1.678,1.06,2.114
"9","Gabon","September",-0.036,-0.204,0.603,-0.625,0.035,-0.254,-0.252,-0.371,0.086,0.016,-0.013,0.189,0.351,-0.324,-0.236,0.077,0.51,0.032,0.205,0.557,-0.19,-0.551,-0.186,0.233,-0.114,0.214,-0.41,-0.021,0.247,-0.642,-0.709,-0.361,-0.053,0.264,0.695,0.236,1.456,0.669,0.053,0.118,-0.155,0.685,0.62,0.05,0.803,0.462,0.943,1.068,0.904,0.844,0.666,0.544,0.574,0.52,0.758,1.592,1.683,0.918,1.757
"10","Gabon","October",-0.165,0.138,0.353,-0.483,-0.017,0.1,-0.263,-0.015,-0.05,0.033,-0.058,0.163,0.271,-0.214,-0.342,-0.288,0.256,0.155,0.429,0.229,-0.274,-0.949,-0.479,-0.138,-0.491,-0.49,-0.35,-0.063,0.334,-0.096,-0.927,-0.337,0.38,-0.319,0.057,-0.206,NA,0.582,-0.061,0.189,-0.274,0.293,0.701,0.329,0.303,0.725,0.475,0.348,0.519,0.738,0.197,0.511,0.717,0.792,0.965,1.375,0.945,0.542,1.006
"11","Gabon","November",-0.211,0.178,0.155,-0.293,-0.189,0.053,0.022,0.05,-0.02,-0.098,-0.373,0.171,-0.005,-0.116,-0.291,-0.223,0.25,-0.161,0.433,0.122,-0.56,-0.387,-0.27,-0.298,-0.543,-0.557,0.414,-0.17,0.39,0.186,-0.203,-0.444,0.357,-0.107,0.32,-0.225,1.192,0.357,0.293,0.146,-0.112,0.046,0.856,0.947,0.654,0.418,0.096,0.94,0.765,0.73,0.481,0.857,0.583,0.648,1.13,0.79,0.591,1.353,1.738
"12","Gabon","December",0.029,0.185,-0.125,-0.537,-0.293,0.077,0.16,0.014,0.234,-0.045,-0.582,0.534,-0.288,-0.482,-0.324,-0.334,0.21,0.388,0.308,0.377,-0.519,0.109,-0.318,-0.07,-0.097,-0.082,0.261,-0.724,0.311,0.225,0.169,-0.132,0.436,0.549,-0.088,-0.008,0.422,0.191,-0.072,-0.012,0.251,0.694,0.735,1.148,0.41,0.647,0.367,1.163,0.538,0.541,0.217,0.824,0.723,0.801,1.268,0.841,0.564,1.1,1.637
