"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Gambia","January",-0.443,-0.513,0.752,0.041,-1.902,-0.739,-0.128,-1.27,1.586,0.49,0.231,0.063,0.867,-0.273,0.108,-0.431,0.73,1.663,0.664,0.695,0.615,0.31,1.135,1.355,0.448,-0.548,0.306,0.384,1.124,0.813,2.09,1.304,1.472,-0.362,1.025,2.486,2.703,1.382,0.904,2.271,1.807,1.838,1.599,1.616,1.877,1.118,1.352,1.172,-0.114,1.606,1.494,1.199,0.696,1.315,1.401,3.239,2.14,1.567,1.67
"2","Gambia","February",-0.043,0.288,0.704,0.914,-0.986,0.162,-0.576,-0.793,1.037,0.256,-0.235,-0.006,0.869,-0.118,-0.314,-0.278,0.689,0.519,1.027,0.822,0.153,-0.035,1.621,0.981,0.935,1.297,0.95,1.317,1.119,2.02,0.854,0.94,1.031,1.185,1.456,1.735,2.578,3.314,0.28,1.187,1.256,2.07,0.077,1.13,1.303,1.1,1.634,2.275,0.078,2.256,0.647,0.733,1.646,0.688,1.63,1.5,1.812,0.081,1.614
"3","Gambia","March",-0.159,0.671,0.488,0.08,-0.243,-0.001,-0.412,-1.011,1.287,0.551,-0.54,0.12,0.65,-0.127,-0.51,0.144,0.744,0.381,0.574,0.76,1.625,0.572,2.21,0.348,0.99,1.075,1.274,1.808,0.666,1.91,0.719,1.229,1.096,1.363,0.662,0.455,1.328,2.352,1.1,1.647,1.179,1.299,1.914,1.43,2.052,1.734,2.152,2.677,0.782,2.322,1.029,1.436,1.79,0.745,1.055,2.126,1.998,2.336,1.171
"4","Gambia","April",-0.312,-0.256,-0.477,0.078,-0.686,-0.047,-0.356,-1.368,2.101,0.782,0.244,-0.543,0.908,-0.694,0.318,0.103,0.925,-0.008,0.465,1.203,0.901,0.652,0.983,0.445,-0.139,1.266,1.388,1.607,0.688,1.575,0.651,1.547,1.393,1.159,0.59,0.898,1.046,2.467,0.804,2.084,1.291,0.334,1.319,1.063,1.707,0.934,1.034,2.321,1.078,1.969,1.456,1.342,0.579,1.909,0.891,1.854,2.702,1.461,1.705
"5","Gambia","May",0.703,0.006,-0.175,0.657,0.132,0.362,-0.59,-1.11,1.448,0.159,-0.158,-0.26,0.56,-0.347,-0.57,-0.854,0.043,0.841,0.899,0.815,0.6,0.309,1.35,0.856,-0.271,0.813,1.678,0.744,0.874,1.046,0.135,0.569,1.821,0.4,1.188,1.51,0.783,1.187,0.702,-0.053,0.505,0.212,0.988,0.785,2.246,0.669,1.227,2.106,0.907,2.046,0.491,1.083,1.451,0.897,1.499,1.267,1.452,0.06,0.515
"6","Gambia","June",0.141,-0.146,0.499,-0.794,-0.555,-0.309,-0.437,-0.741,0.962,0.607,-0.304,0.286,0.914,0.453,0.7,-0.055,0.69,0.076,0.036,0.648,1.344,0.58,0.941,-0.137,0.612,1.112,0.998,0.717,0.246,0.802,1.383,0.615,0.837,0.59,1.446,1.345,0.13,1.273,0.84,0.367,1.433,1.017,-0.371,0.738,1.757,0.998,1.106,1.552,1.194,1.635,1.001,1.444,1.473,2.111,2.047,1.688,1.956,1.341,1.733
"7","Gambia","July",-0.416,0.007,0.09,-0.152,-0.097,0.711,-0.125,0.02,0.255,0.298,-0.212,0.642,0.726,-0.268,-0.222,-0.07,0.868,0.022,0.681,0.875,0.221,0.873,0.974,-0.001,0.251,0.87,1.656,0.641,0.323,0.441,0.512,0.049,1.105,0.749,1.197,1.001,1.332,0.98,0.534,0.59,1.207,2.088,0.804,0.619,1.234,1.488,1.634,1.026,1.434,1.044,1.564,0.901,1.462,2.516,1.777,1.215,1.5,1.463,1.919
"8","Gambia","August",-0.404,-0.481,0.129,-0.422,-0.343,0.372,-0.279,0.946,0.238,-0.09,-0.546,0.867,0.223,-0.172,0.182,0.195,0.809,0.215,0.913,0.727,0.235,0.469,1.373,1.057,0.389,0.468,1.171,0.353,0.552,0.956,0.819,0.973,0.775,0.374,0.53,0.837,0.604,0.705,0.286,0.666,1.789,1.604,0.776,1.1,1.311,1.147,1.115,0.92,0.797,0.964,1.043,0.805,0.794,1.075,1.578,2.012,1.343,1.517,1.775
"9","Gambia","September",-0.004,-0.334,0.631,-0.697,-0.414,-0.472,-0.662,-0.076,0.187,0.434,-0.203,0.769,0.633,-0.19,-0.626,0.366,0.531,0.138,0.967,0.689,0.506,0.56,0.993,0.612,-0.118,0.173,0.838,0.581,0.524,1.309,0.402,0.4,1.075,0.493,0.909,1.023,0.788,0.494,0.516,0.796,0.761,1.391,0.939,1.141,1.292,1.451,1.171,1.036,0.928,0.728,1.227,0.644,1.302,1.19,1.452,1.673,2.227,1.137,1.532
"10","Gambia","October",-0.072,-0.168,-0.554,-0.343,-0.148,-0.384,-0.416,-0.021,-0.219,0.621,-0.004,0.945,0.788,0.105,0.032,0.07,0.591,0.394,0.551,1.184,1.043,0.184,1.818,0.615,0.909,0.992,0.639,1.182,0.648,1.086,0.597,1.074,0.463,0.626,1.249,1.313,1.292,1.465,0.228,0.354,1.999,1.76,1.433,1.767,0.996,1.621,1.643,0.753,1.485,1.211,1.473,1.339,1.306,2.097,1.679,2.498,2.626,1.791,1.67
