"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Georgia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.998,-1.316,2.757,2.022,0.308,1.636,0.059,3.572,0.179,1.248,-0.18,2.348,2.717,1.93,-1.768,1.819,-3.74,0.926,2.853,1.892,0.273,2.185,1.94,2.025,0.924,-0.16,2.681,2.847
"2","Georgia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.568,-2.377,-2.072,2.978,1.303,-0.818,-0.968,3.645,0.787,2.499,3.969,-0.371,2.159,-0.191,0.837,0.394,-1.446,3.774,2.847,-1.128,-3.043,3.698,1.529,2.837,4.726,-0.451,4.195,2.585
"3","Georgia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.077,0.21,0.187,2.645,-0.385,-2.148,0.592,2.228,-0.3,4.607,3.184,-2.162,2.616,-0.398,2.803,0.013,5.378,1.433,2.142,0.701,-2.331,2.691,2.818,2.061,3.263,2.545,4.251,1.382
"4","Georgia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.222,-1.251,2.608,0.873,-1.175,-0.433,2.885,0.802,3.223,1.427,-1.218,-1.8,-0.428,1.03,0.667,-2.453,3.216,-1.808,0.014,-1.271,3.159,1.695,1.327,-0.892,2.222,0.297,1.818,-0.068
"5","Georgia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.867,-0.817,0.014,1.167,1.734,1.18,1.026,-1.394,-1.036,-1.035,-1.248,1.38,-0.436,0.357,0.249,2.514,-1.44,-0.476,0.653,-0.025,2.404,2.206,2.527,0.274,0.534,0.284,2.425,2.216
"6","Georgia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,-0.357,-0.416,1.498,-0.742,0.948,3.116,0.963,0.388,0.881,0.127,-0.449,0.373,-0.3,3.185,1.387,-0.115,1.834,3.537,0.993,2.549,1.441,1.617,2.672,1.547,1.069,2.606,4.134
"7","Georgia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.115,-0.381,-0.037,0.117,1.489,-0.209,1.323,1.404,3.233,1.699,1.355,-0.056,-0.489,2.027,0.02,0.984,1.175,0.882,2.965,2.573,0.788,0.403,1.582,1.913,0.852,2.383,3.238,0.8
"8","Georgia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.443,-0.107,-0.267,0.843,0.558,0.913,2.069,2.443,1.681,1.862,-0.191,1.135,1.436,1.691,4.431,2.336,2.349,-1.513,3.243,0.562,1.987,0.312,3.561,2.064,3.254,3.317,1.21,1.53
"9","Georgia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.874,0.146,2.491,1.083,0.026,-2.199,1.248,0.33,1.108,1.651,2.349,0.032,1.019,1.392,1.437,2.968,1.322,-0.244,3.568,0.573,2.129,0.001,1.463,4.096,0.222,3.439,2.411,0.273
"10","Georgia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267,0.06,1.973,-0.394,0.286,1.778,2.65,0.934,-0.303,-0.162,2.396,2.163,1.413,0.147,2.116,2.782,1.302,3.202,1.051,0.226,3.934,-0.074,-0.174,0.799,-0.538,0.314,2.61,3.127
