"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Germany","January",-0.202,2.218,-6.675,-1.785,1.738,-2.056,1.193,-0.577,1.002,-1.729,-0.439,-1.431,0.746,3.854,4.941,1.767,1.007,1.326,-3.92,-1.944,-0.854,-1.416,4.486,1.667,-4.914,0.576,-4.9,4.273,3.203,3.151,2.233,1.699,3.163,3.674,0.918,-1.628,-1.708,3.2,3.349,1.657,1.653,1.908,0.452,0.593,2.723,-1.545,5.404,4.368,-1.118,-2.754,1.766,2.779,0.964,3.145,2.952,1.826,-0.985,4.451,1.344
"2","Germany","February",4.191,-0.036,-5.986,0.415,-2.157,3.363,2.569,0.552,-2.281,-1.461,1.162,1.84,0.799,3.053,1.5,0.407,2.797,-1.557,-1.785,2.118,-0.618,-0.096,-1.809,-0.434,-3.044,-6.286,-0.445,2,3.347,5.708,-2.466,2.69,-0.55,-0.176,4.364,-2.202,3.876,4.279,0.148,3.782,2.233,4.929,-1.693,2.351,-1.041,-0.297,3.959,3.814,0.518,-0.475,1.086,-2.544,-0.721,4.374,0.967,3.357,3.026,-1.688,4.384
"3","Germany","March",2.76,-3.152,-1.01,-2.623,-1.002,-0.053,2.119,1.07,-2.252,-2.277,-2.522,2.047,0.613,2.281,0.377,-1.891,2.842,1.466,0.348,0.038,3.3,0.952,1.245,-1.152,-0.468,-0.303,-3.648,-0.579,3.745,3.705,3.251,1.621,0.416,3.089,0,-2.025,2.735,1.645,2.252,1.926,1.101,2.281,2.307,0.834,0.343,-1.695,2.968,1.011,1.028,0.941,1.81,3.751,-2.823,3.944,2.074,0.949,4.041,-0.788,3.353
"4","Germany","April",3.226,0.856,1.017,1.263,-0.585,1.214,-0.821,1.653,-0.266,-1.854,0.954,-0.115,-2.112,0.611,-0.484,-0.327,-1.625,-0.787,-0.929,-1.235,0.577,-0.73,1.308,-0.56,0.439,-0.886,1.648,0.663,-0.018,0.222,-0.184,0.491,2.878,0.678,1.186,1.064,-0.904,1.619,1.76,2.832,-0.04,0.846,1.066,2.014,1.924,0.924,4.17,0.516,4.448,1.439,4.304,0.925,0.94,3.608,1.231,0.906,0.343,4.953,2.415
"5","Germany","May",-1.322,-2.019,-0.053,1.457,-0.775,1.005,0.611,-0.911,1.151,-0.46,1.984,-0.348,0.68,-0.851,0.023,0.88,-0.293,-0.378,0.42,-1.356,1.197,0.487,-0.342,-0.944,1.418,2.33,-1.981,2.217,1.679,1.854,-2.41,2.322,2.815,0.763,0.357,-0.506,0.893,2.131,1.94,2.883,2.42,2,2.355,-0.22,1.057,1.311,2.316,2.641,1.915,-1.06,2.084,2.377,0.172,0.773,0.589,1.937,2.405,4.259,-0.755
"6","Germany","June",0.487,-1.45,0.312,1.276,0.013,1.388,-0.735,0.527,-0.621,1.597,-1.272,-0.967,0.654,-1.218,-0.697,1.551,0.112,-0.552,1.193,-0.558,0.051,0.979,0.768,-1.431,-1.667,0.386,-1.26,-0.242,-0.194,-0.032,-1.683,1.762,0.297,0.587,-0.918,0.333,0.491,1.269,-0.108,1.518,-0.851,2.066,3.931,0.067,1.044,1.397,2.308,1.71,-0.227,0.981,1.418,0.448,0.421,0.973,0.613,1.929,2.605,2.593,4.429
"7","Germany","July",-1.548,-1.713,0.725,0.941,-1.568,-1.178,1.648,-0.606,1.522,-0.634,0.898,0.819,0.468,-1.352,1.263,2.256,-0.355,-1.255,-1.378,-1.542,-0.415,1.876,3.381,-0.831,0.58,0.187,0.28,0.461,1.007,-0.132,2.172,1.854,-0.513,4.34,3.285,-0.778,0.529,-0.056,2.114,-1.168,1.72,1.058,2.413,0.272,1.479,5.107,0.713,1.446,1.529,3.506,-0.38,0.914,2.747,2.754,2.768,2.01,1.55,3.55,2.339
"8","Germany","August",-0.518,-0.399,-0.364,-0.427,-1.446,-0.902,0.152,0.028,0.275,0.414,1.51,-0.546,1.326,0.887,2.319,-0.259,-0.409,-1.051,-0.797,0.376,0.161,0.944,1.785,0.748,0.049,0.003,-0.608,0.65,0.72,1.958,1.634,2.88,-0.451,1.664,1.924,0.932,3.501,0.532,0.974,1.445,2.35,2.593,4.128,2.24,-0.404,-0.426,0.628,1.175,2.35,0.556,1.608,2.188,1.703,-0.141,3.562,1.506,1.688,3.556,2.926
"9","Germany","September",3.073,-0.905,0.435,0.319,-0.546,0.053,0.494,0.21,0.542,0.086,-1.144,-2.47,0.939,0.002,2.282,-0.6,-1.335,-1.077,-0.076,0.789,0.755,2.509,0.583,-0.903,0.386,-1.76,1.439,0.029,1.143,-1.356,1.546,0.292,-0.892,0.126,-0.517,-2.295,0.707,0.176,3.67,0.856,-1.396,0.02,0.76,0.802,1.835,3.686,-0.652,-0.762,1.57,-0.783,2.075,0.474,0.121,1.77,-0.105,3.741,-0.289,2.048,0.866
"10","Germany","October",1.763,0.357,-0.586,-1.734,-0.301,2.315,2.333,1.301,1.394,0.064,0.246,-1.837,-1.387,-3.427,-1.14,0.884,1.479,0.319,0.063,-0.825,-0.719,0.832,0.37,1.449,0.282,0.993,0.693,0.932,1.684,1.621,-0.478,-2.18,-0.812,-0.832,3.131,0.583,-0.796,-0.098,0.473,1.874,3.903,-0.489,-2.701,1.439,2.538,3.459,-0.326,0.425,-0.539,-0.5,0.847,0.204,1.922,3.198,-0.198,-0.267,2.461,2.262,2.174
