"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Ghana","January",0.081,0.054,0.109,0.152,-0.27,0.082,-0.697,-0.606,0.278,0.627,-0.489,0.106,0.404,-0.729,-0.854,-0.311,0.503,0.977,1.206,1.05,-0.282,-0.031,-0.793,0.647,0.844,0.304,1.151,0.545,-0.568,0.358,1.021,-0.028,-0.556,0.331,0.039,0.968,0.93,0.667,0.968,1.194,0.386,0.216,1.13,0.877,0.062,0.962,0.105,-1.437,0.236,1.455,0.464,0.37,0.999,1.304,0.088,1.401,1.292,0.926,1.627
"2","Ghana","February",-0.554,-0.021,0.194,0.157,-0.344,-0.251,0.075,-0.201,0.794,0.386,-0.18,0.072,1.113,-0.016,-0.31,-0.409,0.177,0.825,0.515,0.546,0.687,0.734,1.241,1.029,0.14,0.828,1.152,1.241,-0.032,-0.202,1.154,0.713,0.321,0.698,0.775,0.727,-0.298,1.554,0.106,-1.133,0.154,0.463,1.345,0.588,1.733,0.859,1.17,0.42,1.122,1.877,0.484,0.578,1.233,0.731,1.056,1.454,1.612,1.336,1.451
"3","Ghana","March",0.063,0.125,-0.34,0.263,-0.068,0.156,-0.377,-0.437,0.634,0.377,-0.261,-0.178,0.695,0.062,0.07,-0.236,0.357,0.129,0.641,0.568,0.435,0.164,1.283,0.956,0.472,0.383,0.764,0.867,-0.076,1.246,0.44,0.995,-0.027,1.016,0.648,0.866,0.273,2.009,0.94,0.675,0.898,0.868,1.518,0.851,1.393,0.921,1.405,0.779,0.689,1.545,0.943,1.072,1.088,0.794,0.963,1.421,1.403,0.984,1.214
"4","Ghana","April",-0.18,-0.162,-0.173,-0.107,-0.328,0.001,-0.269,-0.968,0.4,0.577,-0.072,-0.475,0.646,0.114,-0.149,-0.255,1.012,-0.448,0.87,0.998,0.689,0.146,1.401,0.614,0.49,0.922,1.79,0.699,0.729,0.675,-0.156,0.515,0.84,0.895,1.015,0.909,-0.329,2.131,0.604,1.096,0.318,0.607,0.598,0.623,1.228,1.482,0.736,0.761,0.479,1.66,1.045,0.352,0.63,0.689,1.25,1.723,1.23,1.045,1.735
"5","Ghana","May",0.482,-0.136,-0.023,-0.346,-0.285,0.329,0.142,-0.219,0.639,-0.195,0.155,-0.147,0.707,-0.023,-0.115,-0.232,0.607,-0.047,0.165,0.098,-0.103,-0.184,1.072,0.422,0.617,0.854,1.701,1.176,0.773,0.441,-0.138,0.192,0.748,0.559,0.912,1.036,0.01,1.424,0.395,0.146,0.871,0.954,1.157,0.395,0.761,0.412,0.821,0.891,0.959,1.367,1.001,0.128,0.542,0.747,1.535,1.171,1.403,0.564,0.982
"6","Ghana","June",-0.155,-0.669,0.411,-0.186,-0.245,-0.134,-0.247,-0.199,0.497,0.691,-0.061,0.142,0.447,0.409,0.337,-0.559,0.381,-0.119,0.038,0.63,0.775,0.178,0.166,0.599,0.385,0.524,0.906,0.566,0.518,0.861,0.992,-0.058,0.701,0.642,1.02,0.742,0.126,1.028,1.268,0.497,0.771,0.921,0.306,0.535,0.637,1.262,1.074,0.912,1.178,1.191,1.073,0.57,0.903,1.065,1.531,1.347,1.246,0.946,0.979
"7","Ghana","July",-0.237,0.194,0.379,-0.301,0.131,0.671,-0.261,0.3,0.146,0.118,-0.12,0.413,0.829,0.041,-0.089,-0.182,0.152,-0.422,0.37,0.401,-0.268,-0.041,0.546,0.779,0.018,0.003,1.221,0.444,0.502,0.032,0.511,-0.305,0.26,0.318,0.977,0.793,0.376,1.055,0.87,0.449,0.562,1.055,0.838,0.454,0.469,1.266,1.158,1.013,0.849,0.934,0.889,0.503,0.814,1.2,1.377,1.352,1.215,1.101,1.181
"8","Ghana","August",-0.425,-0.226,0.613,-0.472,-0.029,0.252,-0.335,0.694,0.186,0.048,-0.325,0.067,0.548,0.494,-0.174,-0.113,-0.054,0.383,0.924,0.515,0.091,-0.194,0.611,0.918,0.551,0.268,1.048,0.204,0.401,0.468,0.318,-0.136,0.657,0.333,0.707,0.527,0.806,0.128,0.276,0.517,0.244,0.991,0.752,0.69,0.475,1.037,0.856,0.944,0.85,1.077,0.772,0.397,0.515,0.918,1.236,1.087,0.922,1.299,1.337
"9","Ghana","September",-0.253,-0.142,0.842,-0.543,-0.263,-0.004,-0.348,-0.031,-0.025,0.017,-0.378,0.3,0.32,-0.252,-0.386,-0.047,0.267,0.048,0.593,0.673,0.231,0.423,0.475,0.081,-0.412,0.033,0.735,0.429,0.125,0.247,0.526,0.04,0.568,0.86,0.844,-0.025,1.21,0.745,-0.149,0.391,0.341,0.969,0.995,0.907,1.266,0.731,1.22,0.845,0.912,0.822,0.888,0.865,0.812,0.512,1.038,1.299,1.11,1.09,1.128
"10","Ghana","October",0.262,-0.06,0.003,-0.426,0.099,-0.088,-0.206,0.157,-0.243,0.364,-0.049,0.283,0.558,-0.163,-0.093,-0.978,0.33,0.026,0.671,0.162,0.67,-0.036,0.987,0.531,0.773,-0.011,0.492,0.708,0.039,0.842,-0.606,0.371,0.538,-0.099,0.531,0.309,1.076,0.917,0.095,0.572,0.882,0.697,1.255,1.146,0.921,0.985,1.01,1.071,0.846,0.879,0.868,0.76,0.81,1.146,1.322,1.493,1.457,1.057,0.566
