"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Gibraltar","January",-0.813,1.166,0.515,0.445,-0.783,1.814,-0.767,-0.471,1.039,1.183,-0.766,-1.536,-0.42,0.911,0.729,-0.835,0.41,0.22,2.039,-0.162,-0.853,1.184,0.131,-0.037,-1.069,-0.111,-0.172,0.907,0.105,0.293,-0.483,-0.739,-0.577,-0.038,0.473,2.319,1.358,1.318,0.05,-0.543,1.435,1.691,0.13,1.586,-0.87,-0.711,0.132,1.645,-0.287,0.874,1.127,0.399,1.096,1.529,0.048,2.661,-0.155,0.573,0.26
"2","Gibraltar","February",1.61,-0.289,-0.916,0.419,-1.285,1.702,-0.051,0.097,-0.739,0.101,0.074,-0.479,-0.934,-0.472,0.727,0.414,0.783,1.392,0.884,0.792,-0.467,0.857,-1.225,-0.569,1.971,-0.054,0.276,0.389,0.788,2.23,-1.255,0.156,0.17,-0.013,1.988,-0.351,2.443,2.395,-0.309,2.216,1.299,1.5,-0.114,1.19,-1.703,-0.315,1.998,2.511,0.399,1.488,0.64,-1.872,-0.686,0.623,-0.59,1.333,1.998,-0.748,0.998
"3","Gibraltar","March",1.267,-0.04,0.148,0.395,0.464,0.26,0.715,-0.529,0.063,-1.116,-1.825,-1.088,-0.766,-1.084,-1.071,-0.365,0.901,0.31,-0.732,0.311,2.008,1.091,1.503,-1.02,-0.641,-0.153,1.435,1.128,1.266,2.071,0.661,0.726,0.674,1.979,1.422,0.947,2.747,2.519,0.981,1.833,2.67,1.648,1.851,0.616,0.864,1.152,0.684,1.321,1.613,0.957,0.688,1.01,0.773,1.001,1.063,-0.047,1.56,0.379,1.848
"4","Gibraltar","April",1.411,0.668,0.309,-0.538,1.061,0.996,-0.834,0.034,-0.245,0.336,-1.109,0.081,-0.142,-1.972,-0.517,-1.741,1.31,-0.55,-0.312,0.587,-0.314,0.451,0.106,1.352,0.847,-2.08,1.468,1.047,-0.541,-0.057,-0.354,1.303,-0.124,0.219,1.452,1.643,3.022,0.522,2.025,-0.17,2.116,1.114,1.026,0.35,1.685,2.368,0.569,1.672,0.222,2.329,2.957,0.185,1.292,2.895,2.156,1.359,2.702,0.788,0.611
"5","Gibraltar","May",1.971,0.361,-0.131,2.121,1.806,0.998,-0.488,0.009,-0.694,-0.637,-2.341,-1.325,0.065,0.056,-1.768,-0.313,-0.55,-1.59,0.275,-0.62,-0.389,0.594,-1.017,-2.492,-0.985,1.307,0.255,-0.043,0.803,1.146,-0.273,1.639,-0.63,0.515,2.436,0.307,1.023,-0.095,2.032,1.272,0.62,0.379,2.182,-0.735,2.558,2.574,0.958,0.135,1.614,0.82,2.441,2.427,0.041,2.024,3.227,0.838,2.538,0.127,2.523
"6","Gibraltar","June",0.531,0.033,-0.028,0.506,1.675,0.362,-0.375,0.391,-0.996,-0.773,-1.543,-1.349,0.093,-0.033,-0.916,1.38,-1.659,-2.089,0.689,0.506,1.614,1.588,1.325,-1.081,0.66,0.357,1.092,-0.581,1.466,0.779,1.446,-1.774,0.578,1.553,0.884,1.861,0.566,1.56,1.922,2.406,2.761,1.47,3.334,3.036,3.228,1.905,1.001,1.87,2.563,1.111,2.418,2.966,0.626,1.532,2.244,2.286,4.169,0.872,0.914
"7","Gibraltar","July",0.738,0.151,0.421,0.436,-0.689,-1.016,0.386,0.59,0.262,0.625,-0.237,-1.06,-0.523,0.963,0.518,0.55,-2.019,0.123,0.164,-0.562,0.255,-0.577,-1.224,0.65,0.666,0.57,0.327,0.727,2.271,1.602,1.231,0.656,0.787,1.965,1.252,0.845,-0.507,1.118,1.162,0.959,0.15,0.76,1.429,1.696,1.894,2.23,1.388,1.347,1.947,2.391,1.183,1.205,1.079,0.512,3.527,2.671,1.769,0.131,0.97
"8","Gibraltar","August",1.141,1.386,-0.523,0.277,0.004,0.133,0.444,-0.449,0.002,-0.304,-0.589,-0.695,0.427,0.319,0.615,0.301,-2.111,0.083,0.588,0.939,-0.508,-0.366,-0.94,-0.19,0.068,0.065,0.243,1.073,1.652,1.455,1.522,0.87,0.553,1.245,1.471,-0.259,0.111,1.293,0.896,1.078,1.159,-0.382,2.421,1.443,1.283,1.278,0.55,1.26,2.053,2.988,1.734,2.134,1.956,1.216,1.89,2.495,2.202,2.306,1.524
"9","Gibraltar","September",0.928,1.672,-1.096,1.96,-1.717,0.658,-0.678,0.045,-2.219,0.762,0.161,-2.055,-0.139,-0.382,-1.259,-1.217,0.269,1.622,0.083,1.976,0.459,0.33,2.153,0.456,2.031,0.941,2.248,1.044,0.448,2.224,1.639,0.236,-1.206,-0.779,-0.821,-0.879,1.373,0.775,0.16,0.983,0.719,-0.244,1.357,1.44,0.543,1.518,0.966,0.468,0.851,1.567,1.492,1.054,1.559,1.293,0.403,2.004,1.523,2.606,1.238
"10","Gibraltar","October",-0.287,1.607,1.152,-0.488,-0.086,-0.998,0.821,1.611,-0.208,-0.619,2.135,-0.972,-0.527,-1.803,0.596,-1.575,0.122,0.192,-0.828,-0.045,1.422,-0.907,2.468,-0.193,2.128,1.159,-0.575,0.537,1.78,0.446,-1.139,-1.42,-1.474,1.005,2.218,0.144,2.603,-0.118,1.318,-0.185,1.961,1.057,0.634,1.277,1.321,2.513,1.225,0.451,2.828,0.279,2.568,0.791,2.465,3.028,1.715,2.306,3.477,0.895,1.444
