"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Greece","January",0.236,1.391,-0.229,-2.176,0.492,0.05,-0.917,-1.372,-1.245,1.814,2.28,0.144,-0.598,-1.163,-0.695,-0.161,0.257,-0.276,0.077,-1.298,-1.826,0.543,-0.512,1.109,0.809,1.33,0.862,1.643,-1.295,-1.218,-0.576,-0.717,-0.692,1.901,0.506,-0.226,1.267,0.795,0.749,-2.317,2.084,-0.912,2.489,-0.648,0.682,-1.659,2.043,-0.219,1.517,1.232,0.669,-1.664,1.235,2.793,0.759,0.878,-2.136,1.416,-0.118
"2","Greece","February",-1.188,-1.462,0.845,-1.221,-2.423,2.604,-1.872,0.884,1.078,1.206,-0.617,-0.276,0.545,0.587,-1.665,-1.782,2.722,1.233,0.765,-1.318,-0.922,-2.188,-2.142,0.01,-2.423,0.366,0.608,-0.332,0.078,0.655,-0.964,-2.445,-2.739,-0.023,1.741,-0.587,-0.195,0.999,-0.682,-0.371,0.783,2.293,-3.538,-0.12,-1.444,-0.554,0.682,-0.416,-0.385,1.728,0.269,-1.916,1.519,2.252,-0.013,4.015,1.369,1.753,0.725
"3","Greece","March",0.891,1.031,-0.985,0.409,0.086,0.055,-0.235,-0.562,-0.242,0.872,-0.382,0.2,-1.466,0.299,1.443,-0.732,0.703,0.859,1.761,-0.44,1.779,-1.089,-0.102,-0.433,-0.22,0.34,-3.743,-0.269,1.643,1.801,1.154,-0.702,-0.776,1.04,0.275,-2.167,-0.847,-1.788,0.685,-0.34,4.287,1.923,-1.59,0.93,0.558,0.622,1.435,2.647,0.15,1.469,0.3,0.653,2.004,1.814,0.588,2.042,2.213,3.069,2.136
"4","Greece","April",1.887,0.296,-0.107,-0.104,-0.898,1.215,-0.297,1.589,-1.433,1.365,-0.362,1.39,-0.818,-1.131,0.631,-0.208,0.032,-0.316,-0.628,-1.207,0.391,-0.623,1.204,-1.38,1.274,1.613,-0.951,-0.166,2.373,0.994,-0.515,0.038,0.099,1.406,-0.533,-1.065,-2.94,1.463,1.198,1.837,0.55,0.101,-1.225,0.731,0.338,1.352,0.742,1.538,0.792,1.564,-0.224,1.812,2.045,1.213,0.292,3.384,0.89,3.818,0.838
"5","Greece","May",0.154,0.743,-0.6,-0.992,-1.081,-0.735,0.187,2.829,1.608,-1.238,1.088,0.058,0.893,-0.896,0.274,-0.305,0.931,-0.16,-0.045,-1.278,-1.238,-0.665,0.988,0.598,1.546,0.061,-1.495,0.601,-0.739,0.252,-1.866,-0.979,-0.068,1.156,0.105,1.689,0.95,0.082,1.602,1.334,0.928,0.679,1.95,-0.546,1.017,0.83,1.559,0.931,1.228,1.424,-0.097,0.921,2.668,0.438,1.757,0.53,1.194,3.097,0.417
"6","Greece","June",0.004,-0.098,0.214,0.339,0.316,-0.422,-1.038,0.02,0.334,-0.011,0.152,0.681,-0.327,-0.366,-0.55,-1.034,0.119,0.211,0.957,-0.66,1.173,0.302,-1.383,-0.777,0.042,0.256,0.086,0.605,-1.116,0.056,0.387,-0.082,0.645,0.1,1.557,0.938,1.101,1.219,1.751,1.274,0.638,1.629,2.338,0.555,0.018,0.649,2.562,2,1.191,0.9,0.734,2.492,1.047,0.828,-0.312,2.348,1.795,1.497,2.495
"7","Greece","July",-0.267,0.329,0.939,-0.532,0.519,0.278,-0.102,0.365,-1.432,-0.069,-1.247,-0.403,0.555,-0.201,-0.051,-1.101,0.67,-0.098,-0.491,-0.104,-0.653,-0.745,-0.004,-0.86,-0.229,-0.067,1.279,2.463,-0.117,0.769,-0.351,-0.874,0.093,0.66,0.808,0.342,0.775,1.65,1.293,1.811,2.064,1.827,1.533,0.866,1.283,0.687,2.699,1.623,1.692,1.565,1.744,3.316,1.131,0.77,1.627,1.984,1.971,1.652,1.353
"8","Greece","August",0.038,1.253,1.299,-0.656,-1.352,1.011,0.859,-1.112,-0.479,0.231,0.346,-0.307,-0.838,-0.275,-1.056,-2.641,0.24,-1.325,-0.547,-0.236,-0.497,-0.219,-1.104,-1.549,0.438,0.899,-0.128,0.987,0.132,-0.221,-0.103,1.222,0.85,1.68,-0.139,0.469,-0.887,2.101,1.694,1.126,1.981,0.562,1.945,0.5,0.931,1.88,1.849,2.224,1.052,3.039,1.32,2.61,1.998,1.826,-0.27,1.664,1.968,1.77,2.282
"9","Greece","September",-0.533,0.815,1.222,-1.064,0.501,-0.112,0.315,-0.122,0.923,-0.14,-0.939,-0.126,0.692,0.082,1.28,-1.359,-0.844,-1.719,0.109,-0.521,0.201,1.236,-0.416,0.492,0.103,0.739,1.958,0.679,0.388,-0.09,0.081,-0.234,0.428,3.07,0.416,-0.605,-0.96,0.344,1.114,0.811,1.442,0.009,0.152,0.562,0.987,0.59,0.319,0.351,0.377,1.272,2.604,2.001,1.288,0.954,2.542,1.138,1.441,1.893,1.945
"10","Greece","October",-0.07,0.497,0.279,1.065,-1.071,3.057,0.8,-0.692,-0.38,-1.038,-1.725,-1.979,0.466,1.347,-0.025,0.286,-1.539,-0.66,-0.1,1.122,2.18,0.794,-1.033,1.873,-1.648,-0.283,-0.39,-0.532,-0.999,0.859,0.875,2.603,2.171,2.067,-0.807,-1.104,-0.958,1.32,2.075,0.31,1.815,0.641,1.528,2.226,-0.314,0.717,0.851,0.718,1.122,0.11,-1.111,3.139,0.501,0.63,1.492,1.306,0.424,1.535,2.807
