"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Greenland","January",0.672,1.21,2.356,2.058,-1.204,-2.487,1.652,-2.287,0.908,0.023,-2.926,0.884,2.104,0.616,-4.37,-2.06,1.502,-2.328,1.576,4.519,-1.613,1.261,-6.101,-3.891,3.664,1.686,1.441,-2.331,-3.932,0.026,-2.826,-0.013,-6.323,-1.769,-4.393,0.865,1.39,2.478,-0.709,1.326,-0.022,1.877,3.068,1.352,1.126,0.654,0.912,-1.808,2.873,3.062,4.196,1.725,3.754,3.244,1.543,3.349,0.491,0.588,0.167
"2","Greenland","February",-3.191,-0.013,2.29,3.898,5.144,1.864,-0.556,-1.599,0.607,0.211,-1.763,-1.257,-4.76,-0.628,0.255,-0.166,0.881,-1.226,-1.467,1.36,-1.869,-1.952,-3.465,-5.437,0.46,6.845,-2.803,2.785,-5.311,-2.825,0.269,-4.988,-2.86,0.34,-2.605,1.721,-2.641,-2.79,-1.576,0.667,-0.223,-2.502,0.216,1.867,5.219,1.329,4.733,0.189,0.953,4.568,3.643,1.317,1.196,2.602,-2.462,2.462,1.78,1.914,0.983
"3","Greenland","March",-3.02,4.1,1.688,0.189,0.694,-2.38,-1.705,-2.709,-2.311,0.296,-0.405,-0.538,-1.583,1.577,-1.859,2.351,1.248,-1.812,1.802,4.125,0.05,0.212,-3.575,-2.158,1.236,-1.091,-0.165,0.323,-4.064,-2.794,1.72,-1.464,-5.122,-2.58,-3.073,2.86,0.164,0.73,1.164,0.591,0.026,-0.114,2.402,1.449,6.805,4.088,1.304,0.279,-0.301,2.734,1.387,-0.505,4.567,1.722,-0.063,3.711,0.813,1.356,-0.013
"4","Greenland","April",-0.155,1.23,1.24,0.173,0.055,-0.274,-0.977,1.503,-2.272,-0.721,-0.496,-1.858,0.033,1.002,0.145,-1.133,0.744,0.955,1.295,-0.512,0.098,-0.946,-2.18,-2.659,-0.099,0.146,-1.129,-0.018,-0.158,-1.656,-2.625,-1.495,-0.454,1.021,2.845,3.513,1.3,3.358,1.791,3.489,0.598,-0.915,1.114,3.021,1.581,2.897,1.256,1.496,0.124,3.056,-1.78,2.163,2.191,-0.123,-0.277,3.62,-0.49,0.756,3.144
"5","Greenland","May",-0.777,0.65,-1.407,-1.276,1.903,-1.112,1.514,0.941,0.73,-0.965,-0.594,0.156,-1.611,0.311,-0.148,-0.594,0.915,-0.233,-1.92,0.342,-0.721,-1.812,-1.372,-1.727,0.658,-0.045,0.022,0.656,-1.494,0.387,-1.565,-3.388,-1.106,0.739,0.736,0.973,0.742,0.833,-0.437,-0.8,-0.043,1.665,1.197,1.483,1.282,1.989,-0.455,1.037,1.327,3.499,0.365,0.833,-1.423,0.652,-1.741,1.462,0.52,-0.365,2.015
"6","Greenland","June",0.635,0.163,-0.555,-0.533,-0.426,0.28,-0.399,0.617,-0.066,-0.887,0.811,-1.375,-0.721,0.033,-0.478,-0.226,-0.066,-1.288,-0.437,-0.494,-0.044,-0.209,-0.853,-0.264,0.805,-0.731,0.976,-0.126,-0.242,1.448,0.462,-2.041,-0.169,-0.5,0.724,-0.035,1.146,1.313,-0.113,1.173,1.073,1.599,1.777,0.856,1.79,0.167,1.266,2.112,-0.028,1.663,1.66,2.48,0.789,1.386,0.85,2.06,0.813,-0.291,2.362
"7","Greenland","July",0.565,0.838,-0.465,-1.131,0,0.044,0.044,0.403,-0.264,-1.324,0.544,-1.51,-0.618,0.097,-0.086,0.141,0.443,0.685,-0.129,0.03,0.278,-1.179,-1.123,0.187,0.075,-0.699,-0.486,0.573,-0.233,0.347,1.051,-0.809,0.435,0.264,0.203,-0.845,-0.528,0.689,0.495,0.653,0.74,-0.002,2.084,-0.218,1.534,0.695,0.921,1.691,1.651,1.256,1.234,2.501,0.149,1.176,1.231,2.171,1.029,-0.027,1.772
"8","Greenland","August",0.301,-0.184,0.299,0.117,0.056,1.143,-0.52,-0.478,0.629,-1.343,-0.554,-1.099,-0.488,0.471,0.275,-1.171,0.32,0.468,0.218,0.287,-0.505,-1.645,-1.579,-1.118,0.125,0.481,1.152,0.813,-1.019,0.148,0.119,-1.399,-0.575,0.068,-0.156,-1.091,-0.251,0.175,0.147,0.351,1.595,0.042,2.247,1.058,0.673,0.921,1.397,1.282,1.142,2.222,0.798,1.461,-0.193,1.265,0.793,2.091,0.904,0.635,1.444
"9","Greenland","September",-0.064,-0.127,-1.15,-0.186,-0.418,0.45,0.065,0.111,-0.821,0.484,-0.381,0.576,-0.061,-0.833,-0.981,1.536,-0.556,-0.25,0.096,0.605,0.606,-2.578,-1.059,-0.526,0.936,0.908,0.089,0.741,-1.375,0.178,0.918,-0.641,1.113,-0.248,1.529,0.183,-0.472,1.202,0.39,1.079,1.829,2.188,2.142,0.985,0,1.714,0.687,1.411,-0.066,2.745,0.871,2.253,1.179,1.023,0.963,1.582,1.452,0.319,2.304
"10","Greenland","October",0.879,-0.121,-0.848,-0.939,0.008,0.239,-1.755,-0.719,-1.11,1.186,-1.683,0.463,-0.746,1.018,0.069,0.407,-0.168,-0.333,0.297,0.093,-0.269,-0.632,-2.009,-0.509,-0.112,-2.433,-0.982,0.929,-1.461,-1.433,-0.062,2.094,1.251,-0.649,-1.08,-1.164,1.073,0.835,0.199,-0.387,1.797,3.018,3.291,2.274,-0.39,1.746,0.842,0.422,0.399,2.82,0.147,2.766,0.768,0.685,1.165,2.235,3.031,0.559,3.181
