"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Guadeloupe","January",0.625,0.295,0.374,0.158,-0.739,0.635,0.006,-0.511,-0.167,0.672,0.044,-0.181,0.423,-0.131,-0.592,-0.93,0.311,-0.21,-0.415,0.257,0.902,0.357,0.43,0.222,-0.372,0.05,0.146,0.621,0.008,0.642,0.595,-0.047,0.009,0.623,0.464,0.604,0.324,1.137,0.478,0.073,0.282,1.208,-0.286,0.245,0.422,0.499,0.545,0.047,0.718,0.952,0.768,0.224,0.798,0.995,1.133,1,0.539,1.123,0.42
"2","Guadeloupe","February",0.357,-0.349,0.355,0.748,-0.507,0.236,-0.002,-0.307,-0.283,0.297,-0.397,-0.288,-0.159,-0.238,-0.587,-0.994,0.47,0.203,0.193,0.484,0.686,0.258,0.086,0.123,-0.099,-0.74,0.077,0.27,-0.29,-0.159,0.545,0.262,-0.065,0.439,0.685,0.525,0.477,1.325,-0.751,-0.16,0.09,0.071,0.866,0.562,-0.055,0.446,0.879,0.228,0.48,1.425,0.532,0.482,0.587,0.737,1.202,1.277,0.817,0.247,0.804
"3","Guadeloupe","March",-0.065,0.26,0.279,0.419,0.126,0.138,-0.934,-0.53,0.751,0.054,-0.235,-0.295,0.183,-0.502,-0.567,-1.251,0.176,0.261,-0.294,0.136,0.655,-0.338,1.013,-0.065,-0.537,-0.194,0.025,0.045,-0.369,-0.183,0.498,0.348,0.063,0.227,-0.156,0.464,0.009,1.228,0.292,-0.799,0.235,0.64,0.533,0.231,1.034,0.299,0.916,-0.401,-0.348,2.213,-0.195,0.426,0.594,0.379,0.58,0.867,0.722,0.666,0.793
"4","Guadeloupe","April",0.23,-0.114,0.166,-0.199,-0.575,0.058,-0.815,-0.929,1.09,0.477,-0.285,-0.157,0.064,-0.844,-0.573,-0.803,-0.288,0.246,0.025,0.41,0.052,-0.05,0.32,0.043,-0.569,0.177,1.417,0.332,-0.501,0.069,0.037,0.378,0.44,0.283,0.229,0.067,-0.04,1.046,0.248,0.176,0.293,0.266,0.592,0.684,1.692,0.761,0.926,-0.204,0.141,1.228,0.124,0.508,0.586,0.707,0.685,1.249,0.54,0.491,0.482
"5","Guadeloupe","May",0.144,0.02,-0.305,0.139,-0.184,-0.346,-0.55,-0.171,0.791,0.131,-0.691,-0.533,0.404,-0.785,-0.574,-0.546,-0.082,0.094,-0.005,1.086,0.458,-0.153,0.52,-0.401,-0.168,-0.294,0.423,0.559,-0.351,0.25,0.151,0.108,0.092,0.633,0.819,-0.016,0.398,0.855,0.904,0.086,0.06,0.386,0.599,0.06,1.073,0.871,1.193,0.13,0.213,1.401,0.492,0.259,0.578,0.199,0.883,1.066,0.702,0.121,0.596
"6","Guadeloupe","June",0.008,-0.053,0.127,-0.013,-0.511,-0.284,-0.237,-0.566,0.463,-0.314,-0.27,-0.011,0.088,-0.337,-0.236,-0.641,0.269,-0.016,0.238,0.834,0.143,0.117,0.639,-0.28,0.065,-0.071,0.393,0.342,-0.145,0.205,0.388,0.077,0.507,0.306,0.571,-0.023,0.739,0.83,0.515,0.272,0.719,0.628,0.295,0.478,0.677,0.578,0.849,0.431,0.418,0.781,0.999,0.977,0.418,0.777,0.865,0.885,0.505,0.497,0.775
"7","Guadeloupe","July",-0.238,0.221,0.072,-0.114,-0.314,-0.169,-0.295,-0.288,-0.033,-0.324,-0.182,0.066,0.299,-0.189,-0.135,-0.201,0.285,-0.014,0.018,0.45,0.208,0.042,0.51,-0.345,0.225,-0.119,0.585,0.326,0.363,0.216,0.488,0.298,0.429,0.381,0.978,0.016,0.472,0.766,0.33,0.514,0.647,0.579,0.429,0.071,0.576,0.572,1.012,0.574,0.985,1.068,0.309,0.75,0.512,0.701,0.906,0.98,0.955,0.659,1.056
"8","Guadeloupe","August",0.066,-0.096,0.426,-0.069,-0.33,-0.099,-0.332,-0.007,-0.012,-0.284,-0.486,-0.166,0.105,-0.181,-0.218,-0.217,-0.361,-0.135,0.142,0.366,0.264,-0.048,0.363,0.15,0.173,0.009,0.707,-0.202,-0.174,0.417,0.563,0.01,0.411,0.444,0.612,0.185,0.487,0.87,0.346,0.271,0.756,0.67,0.506,0.665,0.66,0.376,0.556,0.834,1.001,0.938,0.406,0.477,0.657,0.521,0.937,1.034,0.99,0.577,0.932
"9","Guadeloupe","September",0.227,0.197,0.432,0.149,-0.135,-0.097,-0.223,0.153,0.114,-0.309,-0.204,-0.19,-0.192,-0.668,-0.288,-0.099,-0.266,0.126,-0.379,0.285,0.254,-0.18,0.568,-0.206,-0.044,-0.031,0.626,0.234,-0.17,0.24,0.208,-0.236,0.353,-0.177,0.333,0.076,0.694,0.744,0.538,0.232,0.623,0.536,0.859,0.326,1.121,0.644,0.445,0.294,0.512,0.764,0.454,0.882,0.868,0.552,1,0.721,0.865,0.685,1.125
"10","Guadeloupe","October",-0.229,0.184,0.466,-0.164,-0.065,0.136,-0.141,0.104,0.224,-0.356,-0.379,-0.145,-0.081,-0.509,-0.587,-0.119,-0.2,-0.16,0.051,0.594,0.133,-0.226,0.238,-0.358,-0.669,0.108,0.703,0.087,-0.073,0.177,-0.256,-0.127,0.504,0.047,0.415,0.2,0.614,0.535,0.31,0.216,0.606,0.376,0.48,0.542,0.236,0.679,0.039,0.075,0.652,0.237,0.711,0.729,0.968,0.835,1.457,1.078,0.71,0.428,0.873
