"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Guatemala","January",0.301,-0.167,0.144,-0.229,-0.319,-0.065,-0.526,-0.26,0.354,0.047,0.314,0.831,0.317,1.177,0.111,-1.018,0.022,-0.129,0.109,1.321,-0.74,1.235,0.648,0.222,-0.165,-0.583,-0.514,0.647,1.134,1.085,1.555,0.914,0.968,0.612,1.068,-0.179,0.913,1.635,1.038,0.312,0.232,0.879,-0.057,1.027,0.83,1.107,1.582,0.624,1.262,0.316,1.431,1.046,1.46,-0.18,0.81,1.298,1.286,-0.061,1.03
"2","Guatemala","February",0.164,0.277,-0.235,0.293,0.419,0.443,-0.473,-1.253,0.871,-0.932,0.205,-0.083,0.163,-0.651,0.58,-1.264,0.413,0.153,0.532,0.458,0.159,1.366,0.745,0.603,0.371,1.35,0.732,0.698,-0.285,0.926,0.614,0.548,0.605,1.035,0.718,0.278,1.291,1.298,0.901,0.519,1.255,0.694,1.64,0.916,1.108,0.477,1.288,1.251,1.022,1.203,1.07,0.957,1.585,1.742,0.72,0.28,1.711,0.944,2.187
"3","Guatemala","March",0.218,-0.293,-0.026,0.818,-0.416,-0.802,-0.973,-1.851,0.023,0.063,-0.217,0.118,1.688,-0.072,0.76,-0.018,0.811,-0.254,0.629,1.168,0.614,0.462,0.232,0.288,0.579,-1.239,0.901,0.053,-1.038,0.006,1.106,1.08,0.128,0.706,0.673,-0.605,1.085,0.646,0.809,0.969,0.4,0.728,1.443,0.441,2.297,0.455,0.685,0.861,0.43,0.538,0.251,0.092,0.175,1.552,0.866,1.997,0.59,1.348,1.101
"4","Guatemala","April",0.237,-0.664,-0.493,0.544,-0.521,0.319,-0.733,-0.681,0.774,0.924,-0.971,0.459,0.959,-0.527,0.594,-0.517,-0.203,0.284,0.939,-0.211,0.022,0.803,0.981,0.74,-0.099,-0.147,-0.628,0.904,0.288,0.306,1.455,0.799,0.627,0.808,1.122,0.333,0.801,0.947,1.285,0.74,0.711,0.6,0.581,0.596,1.284,0.344,1.17,0.452,1.034,1.415,0.782,0.291,0.71,0.818,1.648,1.876,1.083,0.666,1.224
"5","Guatemala","May",-0.091,-0.696,-0.739,-0.072,0.007,-0.353,-0.128,-0.391,0.481,-0.647,0.193,0.4,0.628,0.175,0.83,-0.089,-0.041,0.738,0.511,1.519,0.492,0.175,1.751,-0.033,0.236,0.334,0.417,0.489,0.318,0.655,0.75,-0.19,0.397,0.714,1.255,0.103,0.725,1.207,1.064,0.234,0.015,0.79,1.198,0.208,0.779,0.046,0.962,0.643,0.895,0.796,1.285,0.604,0.95,0.155,0.133,2.059,1.155,0.912,1.567
"6","Guatemala","June",-0.262,-0.331,0.321,-0.683,-0.061,-0.193,0.029,-0.236,0.6,0.325,-0.212,0.617,0.207,-0.132,0.597,-0.449,-0.132,0.305,0.031,0.177,0.171,0.498,1.177,-0.191,0.193,0.263,0.931,0.409,0.373,0.431,0.913,0.856,0.554,0.326,0.775,0.633,0.393,1.951,0.648,-0.039,0.433,0.487,1.188,0.36,0.972,0.018,1.1,-0.261,1.209,0.882,0.727,0.934,0.767,-0.001,0.961,1.013,0.732,0.859,1.791
"7","Guatemala","July",-0.241,-0.067,-0.226,-0.332,0.091,0.325,-0.105,-0.002,0.582,0.132,-0.254,0.403,0.333,-0.221,0.008,0.035,0.481,-0.158,0.77,0.607,0.271,0.103,0.447,-0.127,0.302,0.057,0.438,0.582,0.576,0.379,0.675,-0.084,0.38,0.854,0.486,0.326,0.995,0.602,0.642,0.629,1.119,0.664,0.885,0.792,1.199,0.773,0.554,0.026,1.412,0.714,1.029,0.324,0.253,0.588,1.19,1.259,0.66,1.139,1.418
"8","Guatemala","August",-0.233,-0.005,-0.067,-0.065,-0.339,-0.039,-0.009,-0.205,0.237,-0.019,-0.377,-0.137,0.003,-0.084,-0.046,-0.068,0.382,0.272,0.087,0.625,0.364,0.382,0.377,-0.06,0.21,0.274,0.508,0.516,0.17,0.292,0.56,0.177,0.002,0.578,0.536,-0.214,0.774,1.305,0.858,0.055,0.448,0.914,0.727,1.248,0.913,1.17,0.124,0.55,0.91,0.754,1.276,0.966,-0.074,0.405,1.781,1.204,0.837,1.056,1.87
"9","Guatemala","September",-0.409,0.061,-0.171,-0.068,-0.066,0.085,-0.17,0.163,0.04,-0.196,-0.023,0.343,0.435,-0.206,-0.641,0.245,0.765,-0.219,-0.134,0.519,0.303,0.239,0.44,-0.109,0.072,-0.107,0.787,0.063,-0.086,0.422,0.178,0.136,-0.042,0.479,0.29,0.962,0.698,1.01,0.79,0.511,0.282,0.894,1.151,1.104,0.232,0.533,0.446,0.581,1.466,0.478,0.959,1.091,0.058,0.737,1.477,1.016,1.326,1.247,1.531
"10","Guatemala","October",-0.077,0.266,0.051,-0.694,-0.403,-0.047,-0.206,0.001,0.598,0.36,0.23,0.559,0.163,-0.986,-0.236,0.365,0.5,-0.154,0.737,0.37,0.59,0.209,0.222,0.593,0.608,0.218,-1.071,-0.499,0.014,0.426,0.23,0.247,0.536,1.062,0.031,0.43,0.47,0.686,0.21,-0.156,0.509,1.038,0.778,1.098,-0.651,0.845,-0.759,-0.135,1.349,-0.298,-0.413,-0.175,1.134,0.551,1.45,0.703,0.372,0.903,1.59
