"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Guinea","January",-0.841,-0.078,0.583,0.059,-0.814,-0.634,-0.668,-0.805,0.921,0.636,-0.911,-0.164,0.163,-1.023,-0.736,-0.596,0.323,1.043,1.462,1.744,-0.437,-0.63,-0.438,-0.087,0.605,-1.113,0.828,-0.591,-0.775,-0.187,1.116,0.069,0.087,-0.004,-0.809,1.738,0.904,0.338,0.673,1.856,0.54,0.883,0.557,0.658,0.512,0.905,0.634,0.627,-0.079,1.334,0.846,0.466,0.38,1.299,0.532,0.753,1.444,0.929,1.144
"2","Guinea","February",-0.931,-0.065,0.704,0.316,-0.307,-0.059,-0.224,-0.163,0.912,0.565,-0.198,-0.048,0.967,0.312,-0.653,-0.262,-0.256,0.797,-0.192,0.343,0.796,0.207,0.727,-0.5,-0.083,0.518,0.698,0.801,-0.514,0.333,0.672,0.759,0.686,0.651,0.216,1.379,0.72,2.052,-0.235,-0.809,0.244,0.724,1.185,1.213,1.511,0.929,0.862,1.905,1.427,2.318,0.311,0.286,1.154,0.534,0.985,0.499,1.593,0.8,1.239
"3","Guinea","March",-0.017,-0.075,-0.302,0.61,-0.037,0.164,-0.288,-0.46,0.88,0.438,-0.066,0.038,0.65,-0.122,-0.074,-0.366,-0.031,-0.006,0.412,0.805,0.573,0.156,1.279,1.079,0.984,0.14,0.577,0.958,-0.218,1.279,0.553,0.438,0.602,0.949,0.617,0.418,0.533,1.72,0.939,1.534,1.235,1.206,1.357,1.462,1.602,1.26,1.272,1.577,1.328,1.958,1.226,1.508,1.807,0.412,0.774,2.172,1.915,1.504,1.12
"4","Guinea","April",0.043,-0.527,0.011,-0.069,-0.216,0.302,-0.058,-0.539,0.682,0.371,-0.254,-0.364,0.85,0.157,0.1,-0.207,0.374,-0.046,0.55,0.764,0.768,0.239,1.246,0.622,0.23,0.645,1.313,1.267,0.345,1.056,0.286,0.715,0.47,0.585,0.578,0.574,0.384,2.408,0.839,1.331,1.007,1.002,1.15,1.167,1.611,1.012,1.517,1.026,1.056,1.834,1.195,0.936,1.646,1.611,1.101,1.782,1.716,1.102,1.76
"5","Guinea","May",0.571,-0.116,0.131,-0.289,0.016,0.24,-0.014,-0.498,0.818,0.225,0.172,-0.028,0.537,0.318,-0.178,-0.391,0.421,-0.002,0.318,0.409,-0.293,0.395,1.01,0.299,0.951,0.387,0.787,1.549,0.686,0.705,0.935,0.182,1.027,0.729,0.399,0.917,0.262,1.388,0.897,0.79,1.2,1.558,1.703,1.227,0.886,0.947,1.548,1.413,1.042,1.645,1.121,0.58,1.545,0.636,1.77,1.616,1.249,1.393,2.138
"6","Guinea","June",0.052,-0.549,0.639,-0.537,-0.238,0.207,-0.285,0.097,0.313,0.434,0.335,0.007,0.705,0.55,0.284,-0.333,0.402,-0.313,0.125,0.636,0.723,0.294,0.477,0.354,0.614,0.64,0.872,0.657,0.239,0.917,1.528,0.137,0.596,0.688,1.223,0.874,-0.046,1.27,1.037,0.415,0.345,1.174,0.544,0.93,1.444,1.059,1.794,1.411,1.474,1.206,1.206,0.866,1.637,1.375,1.935,1.599,1.713,1.454,2.36
"7","Guinea","July",-0.493,0.103,0.458,-0.358,-0.134,0.683,-0.248,0.244,0.124,0.189,-0.055,0.832,1.01,-0.124,-0.272,-0.06,0.449,-0.09,0.59,0.565,0.423,0.435,0.915,0.298,0.02,-0.014,1.507,0.063,0.379,0.189,0.539,-0.008,0.782,0.373,0.768,0.983,1.095,1.262,0.709,0.827,0.628,1.4,0.573,0.41,0.929,1.529,1.265,1.146,1.429,1.22,1.511,0.356,1.06,1.822,1.734,1.31,1.567,1.368,1.499
"8","Guinea","August",-0.414,-0.324,0.104,-0.617,-0.085,0.359,-0.308,0.584,0.234,0.032,-0.341,0.735,0.576,0.169,0.073,0.005,0.441,0.394,0.763,0.562,0.484,0.271,1.01,0.819,0.427,0.203,0.881,0.34,0.199,0.667,0.578,0.317,0.806,0.475,0.514,0.763,1.082,0.828,-0.171,0.112,0.897,1.106,0.645,1.054,1.04,1.125,0.643,0.927,0.826,1.087,1.354,0.625,0.962,1.058,1.739,1.542,1.429,1.393,1.384
"9","Guinea","September",-0.186,-0.178,0.487,-0.64,-0.291,-0.211,-0.396,0.185,0.132,-0.031,-0.149,0.556,0.448,-0.25,-0.477,0.228,0.271,0.28,0.642,0.564,0.169,0.671,0.681,0.395,-0.023,0.068,0.926,0.247,0.266,0.491,0.503,0.169,0.374,0.129,0.85,0.27,0.642,0.358,-0.014,0.56,0.64,1.041,0.924,1.136,1.253,0.91,0.695,0.904,0.801,0.789,1.199,0.204,0.979,1.033,1.833,1.502,1.991,0.877,1.385
"10","Guinea","October",0.151,-0.039,-0.442,-0.238,0.366,-0.098,-0.266,-0.013,-0.359,0.627,-0.055,0.576,0.431,-0.064,-0.189,-0.385,0.276,0.225,0.503,0.704,0.464,0.216,0.795,0.443,0.431,0.205,0.614,0.855,0.351,0.703,0.072,0.588,0.684,-0.037,0.667,0.471,1.545,1.062,0.089,0.028,1.216,0.997,1.541,1.615,1.191,1.278,0.83,1.003,1.147,1.176,0.928,1.234,0.793,1.304,1.474,1.86,2.164,1.624,1.345
"11","Guinea","November",-0.094,0.244,-0.215,-0.18,0.036,0.109,-0.099,0.207,0.002,0.078,0.166,0.32,0.338,-0.327,-0.686,-0.872,0.052,-0.29,0.495,0.313,0.504,-0.038,0.891,0.587,0.734,-0.388,0.987,0.362,1.022,1.122,0.335,-0.087,0.953,0.411,0.72,0.442,0.573,0.159,0.937,0.106,0.984,1.29,1.131,1.411,1.284,0.941,0.77,1.559,0.902,1.33,1.354,0.786,0.782,1.089,0.804,1.777,1.663,1.758,1.648
"12","Guinea","December",-0.213,-0.443,-0.282,0.585,-0.844,-0.061,-0.788,0.896,0.521,-0.083,0.103,0.323,-0.428,-0.23,0.19,-0.412,0.289,0.326,0.219,-0.074,0.554,-0.493,0.145,-0.243,-0.386,-0.617,0.506,-0.659,0.589,1.179,0.83,1.367,0.623,0.04,0.708,0.83,0.656,0.145,0.85,0.52,1.44,1.341,1.155,1.692,2.181,1.005,1.121,1.326,1.505,1.482,0.173,1.077,0.914,1.046,-0.384,1.618,1.17,1.506,1.742
