"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Guinea-Bissau","January",-0.463,-0.465,0.695,0.008,-1.63,-0.535,-0.048,-1.068,1.371,0.708,0.101,-0.022,0.605,-0.401,-0.19,-0.402,0.26,1.35,0.571,0.519,0.337,0.198,0.878,0.879,0.488,-0.633,0.23,0.188,0.651,0.952,2.055,1.046,0.951,-0.13,0.566,2.111,2.398,1.315,1.028,2.609,1.706,1.639,1.55,1.506,1.657,1.441,1.443,1.45,0.317,1.315,1.635,1.409,1.09,1.473,1.571,2.651,2.123,1.674,1.894
"2","Guinea-Bissau","February",-0.104,0.224,0.624,0.683,-0.799,0.148,-0.392,-0.604,0.725,0.166,-0.259,0.002,0.911,-0.054,-0.418,-0.246,0.181,0.391,0.68,0.427,0.115,0.181,1.214,0.459,0.558,1.159,0.711,1.184,0.636,1.276,0.801,0.927,0.75,0.975,1.218,1.629,2.173,3.299,0.271,1.036,1.037,1.785,0.249,1.208,1.677,1.175,1.323,2.563,0.69,2.383,0.889,0.986,1.519,1.405,1.785,1.658,2.014,0.543,1.832
"3","Guinea-Bissau","March",-0.044,0.518,0.36,0.056,-0.422,-0.038,-0.462,-0.954,1.051,0.505,-0.493,0.135,0.487,0.108,-0.454,0.212,0.286,0.052,0.584,0.523,1.172,0.699,1.932,0.58,0.9,0.851,0.981,1.324,0.309,1.511,0.576,1.105,0.911,1.31,0.749,0.466,1.021,2.216,1.089,1.644,1.047,1.33,1.726,1.64,2.109,1.667,1.846,2.314,1.215,2.071,1.095,1.631,1.998,1.119,1.204,2.503,1.914,2.273,1.528
"4","Guinea-Bissau","April",-0.35,-0.212,-0.27,0.072,-0.545,-0.054,-0.127,-1.163,1.81,0.503,0.186,-0.446,0.68,-0.534,0.402,0.043,0.705,0.096,0.014,0.626,0.895,0.492,0.949,0.546,-0.031,1.051,0.848,1.404,0.382,1.239,0.525,1.533,1.314,1.036,0.746,0.605,0.96,2.556,0.801,2.094,1.267,0.461,1.181,1.175,1.675,0.908,1.436,2.015,1.238,2.142,1.743,1.609,1.019,1.918,1.03,1.908,2.557,1.706,2.002
"5","Guinea-Bissau","May",0.719,0.071,-0.162,0.292,0.138,0.291,-0.389,-0.977,1.281,0.307,-0.039,-0.235,0.353,-0.258,-0.452,-0.745,0.038,0.559,0.821,0.537,0.01,0.727,1.499,0.494,0.252,0.63,0.853,0.749,0.668,0.818,0.398,0.438,1.702,0.544,1.168,1.259,0.399,1.269,0.643,0.031,0.864,0.627,1.142,0.927,1.651,0.776,1.423,1.943,1.159,2.323,0.751,1.182,1.772,1.267,1.847,1.519,1.728,0.651,1.133
"6","Guinea-Bissau","June",0.036,-0.175,0.585,-0.863,-0.359,-0.235,-0.326,-0.418,0.818,0.339,-0.147,0.358,0.719,0.597,0.699,-0.165,0.753,-0.064,0.019,0.821,1.167,0.537,0.709,-0.066,0.708,1.054,0.714,0.714,0.305,0.926,1.666,0.482,0.84,0.616,1.558,1.296,-0.167,1.475,0.715,0.459,1.51,1.11,-0.264,0.702,1.847,1.043,1.24,1.697,1.563,1.885,1.186,1.586,2.081,2.35,2.214,2.059,2.134,1.625,2.207
"7","Guinea-Bissau","July",-0.494,-0.108,0.143,-0.234,-0.1,0.687,-0.053,0.042,0.179,0.198,-0.12,0.622,0.934,-0.36,-0.106,-0.13,0.888,0.154,0.593,0.856,0.067,0.799,0.85,0.133,0.136,0.57,1.45,0.327,0.346,0.382,0.625,0.008,0.814,0.603,1.057,0.97,1.326,1.023,0.547,0.569,1.257,1.979,0.637,0.661,1.235,1.57,1.713,1.249,1.478,1.32,1.737,0.886,1.724,2.686,1.817,1.385,1.687,1.779,1.982
"8","Guinea-Bissau","August",-0.391,-0.547,0.198,-0.481,-0.335,0.382,-0.309,0.935,0.364,-0.244,-0.476,0.838,0.327,-0.049,0.149,0.148,0.655,0.31,0.907,0.675,0.324,0.508,1.115,1.003,0.361,0.324,1.091,0.358,0.635,1.047,0.736,0.584,0.757,0.329,0.448,0.725,0.416,0.575,0.209,0.682,1.378,1.4,0.663,1.064,1.103,1.097,1.005,0.992,0.851,0.992,1.352,0.901,1.047,1.38,1.751,2.118,1.568,1.617,1.711
"9","Guinea-Bissau","September",-0.14,-0.373,0.545,-0.75,-0.408,-0.42,-0.54,-0.079,0.116,0.283,-0.307,0.632,0.536,-0.245,-0.65,0.343,0.544,0.248,1.017,0.651,0.479,0.496,0.871,0.48,-0.057,0.289,0.87,0.544,0.496,1.092,0.259,0.152,0.816,0.284,0.942,0.718,0.687,0.339,0.479,0.673,0.647,1.116,0.889,1.192,1.256,1.382,1.03,1.09,1.076,0.973,1.393,0.882,1.644,1.377,1.798,1.815,2.273,1.331,1.718
"10","Guinea-Bissau","October",0.029,-0.182,-0.388,-0.292,-0.056,-0.247,-0.296,-0.099,-0.243,0.681,-0.003,0.702,0.636,0.237,-0.231,-0.127,0.458,0.327,0.437,1.126,0.853,0.137,1.564,0.425,0.768,0.748,0.654,1.062,0.608,1.036,0.427,0.838,0.324,0.37,1.022,1.045,1.182,1.422,0.19,0.393,1.786,1.464,1.516,1.637,1.044,1.493,1.243,0.927,1.536,1.479,1.693,1.669,1.633,2.134,1.779,2.452,2.649,1.963,1.924
