"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Guyana","January",0.192,-0.376,-0.371,0.387,-0.124,0.431,-0.393,-0.232,0.133,0.724,-0.016,0.052,0.789,-0.674,-0.246,-0.874,0.465,-0.431,0.462,0.391,0.439,0.608,0.406,0.061,-0.378,0.31,0.121,0.684,-0.157,0.414,0.815,-0.467,0.457,0.722,0.44,0.858,0.502,1.425,0.217,0.247,-0.128,1.194,2.695,1.539,1.403,0.544,1.738,0.633,1.168,0.464,0.87,1.361,1.837,1.255,1.446,2.629,1.153,0.479,1.088
"2","Guyana","February",-0.081,-0.356,-0.585,0.541,-0.908,0.466,-0.115,-0.312,0.464,0.632,-0.477,0.15,0.154,-0.52,-0.295,-0.727,0.266,0.761,0.362,0.618,0.33,0.279,0.801,-0.099,-2.275,-0.056,0.499,0.641,-0.27,0.339,1.828,-0.075,0.448,0.119,0.865,0.778,0.19,2.395,0.081,0.067,0.272,0.346,1.067,2.011,1.009,0.598,1.672,0.83,1.186,1.841,0.877,0.301,0.89,1.449,1.289,2.029,0.298,0.581,0.416
"3","Guyana","March",0.122,-0.038,-0.561,0.761,-0.286,0.057,-0.388,-0.45,0.684,0.633,-0.287,-0.252,0.981,-0.304,-0.211,-1.082,0.259,0.332,0.267,0.631,0.664,0.342,1.051,0.321,-0.875,-0.343,0.725,0.485,-0.369,0.337,-0.21,-0.15,0.114,0.423,0.741,0.518,0.178,2.027,0.153,-0.013,0.611,0.696,1.746,0.83,1.266,1.065,0.989,0.156,0.715,2.005,0.321,0.506,1.406,2.149,0.962,1.919,0.944,0.059,0.902
"4","Guyana","April",0.147,-0.005,-0.438,0.498,-0.093,0.368,-0.452,-0.19,0.712,0.576,-0.567,-0.272,0.588,-0.329,0.059,-0.437,0.257,-0.03,0.237,0.161,0.855,0.164,0.452,0.537,0.342,0.613,0.358,1.33,-0.255,0.348,-0.241,0.118,0.811,0.265,1.21,1.123,0.849,1.821,0.134,0.735,1.054,0.291,1.673,1.376,0.932,2.127,0.764,0.832,0.978,1.268,1.024,0.434,1.288,1.198,1.682,1.039,1.522,0.327,1.665
"5","Guyana","May",0.197,0.005,-0.474,0.202,-0.426,0.194,-0.364,-0.524,0.851,0.385,-0.224,0.029,-0.04,0.197,0.022,-0.193,-0.369,0.11,0.305,0.271,0.759,0.245,0.54,-0.272,-0.512,0.476,0.319,0.855,-0.05,0.513,-0.358,-0.065,0.893,0.535,0.956,0.435,0.446,1.215,0.477,0.634,1.237,-0.639,0.505,0.522,1.212,0.57,0.587,0.481,1.776,1.022,0.713,0.669,0.563,1.305,1.203,1.889,1.119,0.54,1.042
"6","Guyana","June",-0.486,-0.281,-0.043,0.1,-0.55,0.464,-0.228,-0.433,0.593,0.301,-0.437,0.136,0.146,-0.171,-0.142,-0.345,0.225,-0.065,0.337,0.623,0.622,0.364,0.431,-0.128,-0.935,-0.098,0.671,0.496,0.178,0.6,-0.075,2.009,0.734,0.383,1.029,0.278,0.96,1.009,0.539,0.513,0.53,0.179,1.273,0.229,1.27,0.877,0.389,0.78,0.75,1.336,0.602,0.72,0.913,1.135,1.814,1.45,1.004,1.098,1.4
"7","Guyana","July",-0.17,0.165,-0.053,0.221,-0.293,0.216,-0.323,-0.13,0.339,0.12,-0.28,0.084,-0.204,-0.472,-0.727,-0.017,0.556,0.058,0.354,0.438,0.4,0.339,0.594,-0.339,-0.323,0.254,0.64,0.229,0.337,0.951,-0.483,0.456,0.556,0.45,0.936,0.298,1.118,1.237,0.425,1.089,0.952,0.951,0.613,0.335,0.813,1.181,0.768,0.576,1.507,1.443,1.116,1.024,1.045,1.35,1.424,2.045,1.441,1.631,0.621
"8","Guyana","August",0.169,0.068,0.036,-0.603,-0.161,-0.008,-0.26,0.043,0.296,0.174,-0.498,0.011,-0.026,-0.195,-0.136,0.146,0.408,-0.575,0.714,0.534,0.444,-0.033,0.322,-0.21,0.25,0.339,0.825,0.225,0.711,0.786,-0.912,0.219,0.321,0.942,1.142,0.563,0.919,1.532,0.37,0.885,1.469,0.988,0.706,0.624,0.741,1.374,0.977,1.218,1.531,1.1,1.165,1.055,0.758,1.507,1.932,1.67,1.608,1.253,1.4
"9","Guyana","September",0.292,-0.185,-0.048,-0.01,-0.018,-0.099,-0.232,-0.124,0.338,-0.282,-0.809,-0.09,-0.662,-0.256,-0.359,0.483,0.431,0.147,0.586,0.811,0.204,0.616,0.338,-0.616,0.065,0.408,0.858,0.253,0.676,0.95,0.094,-0.755,0.115,-0.75,1.325,0.694,1.536,1.167,0.538,0.513,0.829,0.787,1.292,1.251,1.251,1.135,0.955,0.917,1.58,1.271,1.06,1.246,1.039,1.518,2.137,1.72,1.579,1.38,0.89
"10","Guyana","October",0.052,0.031,-0.021,-0.321,0.247,-0.062,-0.201,-0.219,0.39,0.322,-1.067,0.593,-0.567,-0.228,-0.212,0.572,-0.226,0.262,0.45,0.288,0.231,0.335,0.676,-1.837,0.264,0.18,0.866,0.214,-0.145,1.309,0.358,0.432,-0.028,0.996,1.254,0.29,1.598,1.164,0.22,0.66,1.276,1.429,1.814,1.384,0.795,1.281,0.78,1.2,1.299,1.236,0.833,1.486,0.889,1.359,2.267,1.625,1.143,0.997,0.486
