"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Haiti","January",0.663,0.49,-0.22,0.382,-0.826,0.56,-0.039,-0.488,0.016,0.254,0.037,0.437,1.083,-0.078,0.088,-0.835,0.519,0.435,0.417,0.358,0.112,1.11,1.015,0.723,0.025,0.5,0.678,1.162,0.788,1.534,1.362,0.812,0.645,1.348,1.035,1.342,1.029,1.844,1.614,0.939,0.28,1.373,1.648,0.873,0.415,0.71,1.992,0.492,1.128,1.1,1.066,1.06,1.805,1.918,1.568,1.453,0.93,1.446,1.588
"2","Haiti","February",0.601,-0.135,0.63,0.867,-0.246,0.216,-0.232,-0.939,-0.134,-0.094,0.113,0.3,0.129,-0.19,0.428,-0.541,0.985,-0.226,0.564,0.178,0.625,0.65,0.616,0.599,0.294,-0.053,0.927,0.725,0.186,0.977,0.765,1.001,-0.478,1.311,1.102,0.934,1.469,0.786,0.165,1.345,1.07,1.015,1.884,1.343,0.195,0.927,1.786,0.78,0.598,1.361,1.321,1.225,1.119,1.888,0.905,1.41,1.76,1.984,1.747
"3","Haiti","March",0.078,-0.359,0.084,0.847,0.253,-0.114,-1.021,-1.066,0.662,0.036,-0.011,-0.481,0.782,-0.288,0.56,-0.687,0.614,0.223,-0.311,0.53,0.211,0.454,0.876,0.457,-0.197,0.306,0.619,0.317,-0.298,0.337,0.565,0.686,0.195,0.712,0.817,0.712,1.104,1.078,0.572,0.839,0.739,1.004,1.922,1.161,1.633,0.708,1.114,0.445,-0.054,0.998,0.568,0.578,0.514,1.072,1.465,0.867,0.884,0.56,1.532
"4","Haiti","April",0.355,0.024,-0.378,-0.047,-0.322,-0.047,-1.024,-1.279,0.875,0.592,-0.758,-0.091,0.522,-0.581,0.841,-0.837,-0.02,-0.064,-0.19,0.876,0.264,0.487,0.352,1.044,-0.048,-0.174,0.999,0.867,0.426,0.374,0.735,0.229,-0.12,0.68,1.303,0.644,0.793,0.696,1.15,1.012,0.507,0.46,0.953,0.325,1.618,1.009,1.098,0.452,0.323,1.382,0.974,0.275,1.118,1.102,1.312,0.8,0.407,1.207,1.638
"5","Haiti","May",-0.073,-0.561,-0.574,0.135,-1.232,-0.259,-0.078,0.148,0.302,-0.168,-0.141,-0.08,0.706,-0.47,0.334,-0.069,-0.473,0.595,0.257,0.82,0.533,-0.505,0.65,0.64,0.478,-0.374,0.345,1.135,-0.006,1.025,0.439,-0.603,-0.078,0.885,1.016,0.525,1.463,1.063,1.188,0.588,0.12,0.687,1.347,0.577,1.265,1.026,1.057,0.69,0.081,1.492,0.555,0.704,0.772,0.732,1.417,1.023,0.596,1.167,1.178
"6","Haiti","June",0.008,-0.115,-0.133,0.044,-0.641,-0.055,-0.156,0.072,0.293,-0.088,-0.013,-0.017,0.381,-0.106,0.016,-0.675,0.328,0.434,0.012,0.994,0.42,0.527,0.698,-0.071,0.482,-0.057,0.393,1.349,0.135,0.763,0.607,0.811,0.65,1.354,1.451,0.597,1.603,1.848,1.333,1.109,0.97,0.558,0.676,1.09,0.811,0.93,1.433,0.53,0.461,1.7,0.486,1.262,0.841,0.7,1.459,1.34,1.281,1.175,2.141
"7","Haiti","July",-0.146,0.202,-0.177,-0.063,-0.272,0.148,0,-0.232,0.196,0.069,-0.235,-0.082,0.47,0.078,0.482,-0.509,0.055,-0.22,0.226,0.77,0.534,0.123,0.736,-0.01,0.436,0.599,1.067,0.844,0.363,0.406,0.776,0.369,-0.022,0.82,0.908,0.678,1.463,1.404,1.465,1.086,0.764,0.776,0.879,0.703,1.056,0.82,0.943,1.129,1.419,1.168,0.42,1.062,0.653,1.247,1.4,1.849,1.663,1.309,1.322
"8","Haiti","August",0.02,-0.144,-0.074,-0.064,-0.316,0.335,-0.167,-0.108,-0.076,-0.263,-0.344,-0.473,-0.087,-0.342,0.823,-0.391,0.033,-0.026,-0.034,0.321,0.302,0.248,0.317,-0.302,0.41,0.604,1.079,0.157,0.36,0.904,0.219,0.717,0.168,0.639,1.032,0.591,1.268,1.512,1.588,0.941,1.046,0.834,0.502,1.177,0.941,0.494,0.803,0.85,1.127,1.461,0.457,0.57,0.973,0.809,1.501,1.52,1.619,1.533,1.41
"9","Haiti","September",-0.166,0.131,0.16,-0.212,-0.069,0.39,-0.013,0.045,0.356,-0.61,-0.227,-0.102,0.121,-0.674,0.074,0.074,0.12,0.106,-0.633,0.753,0.425,0.455,0.514,-0.251,0.097,0.444,0.998,-0.066,0.314,0.778,0.589,0.14,0.153,0.999,1.493,0.493,1.534,0.773,1.247,0.825,0.934,0.609,0.922,0.521,1.735,1.043,0.919,0.758,1.288,1.116,0.651,0.898,1.095,0.635,1.532,1.333,0.853,0.713,1.381
"10","Haiti","October",-0.483,0.257,-0.572,-0.175,0.512,-0.26,0.396,0.271,0.165,-0.208,-0.483,-0.061,0.043,-0.236,-0.32,0.007,0.411,0.33,0.477,1.028,0.505,0.415,0.444,-0.402,-0.172,0.581,0.685,0.313,0.756,0.156,0.46,0.572,0.977,0.914,0.464,0.498,0.778,1.518,0.966,1.153,1.032,1.053,1.144,0.87,0.482,1.738,0.107,1.314,1.447,0.788,0.485,0.944,1.005,1.019,0.974,0.86,0.857,0.964,1.452
