"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Holy See","January",0.12,1.24,-1.811,-1.046,0.433,-1.271,-1.114,-1.847,-0.079,1.542,0.807,0.74,0.484,1.305,0.278,-0.121,1.108,-0.019,-0.807,-0.651,-2.618,1.296,0.45,0.28,-2.255,0.081,-0.259,2.04,-0.075,0.872,0.36,0.007,0.115,1.55,-0.642,2.007,2.049,1.376,0.61,-0.493,2.269,-0.696,1.259,-0.752,-0.685,-1.044,2.536,1.671,0.897,0.051,0.773,0.522,0.918,2.397,1.289,2.05,-1.465,3.09,-1.023
"2","Holy See","February",0.762,-1.165,-1.59,-0.17,-3.582,2.469,-0.297,1.379,-0.387,-0.13,-0.725,1.401,-1.202,0.913,-0.712,0.69,2.11,0.309,0.851,0.118,-1.71,-0.998,-2.253,-1.351,-0.441,-1.694,-0.12,0.017,1.223,2.992,-0.903,-0.085,-1.442,0.137,1.879,-0.939,1.385,2.053,-1.356,0.366,0.873,2.163,-2.615,0.436,-2.488,-0.191,2.185,0.613,-0.848,0.493,0.417,-2.388,-1.2,2.889,0.207,3.161,2.386,-0.91,1.001
"3","Holy See","March",0.97,-1.531,-0.844,0.889,0.206,-0.838,0.683,0.013,0.013,-0.74,-2.658,1.866,-1.751,0.787,0.11,-0.826,1.905,0.289,0.966,-0.051,1.679,-0.79,0.208,-1.422,-0.583,0.49,-3.48,-0.636,2.709,1.767,2.327,0.68,-0.971,2.811,-0.691,-0.767,1.072,-0.622,0.513,0.8,3.788,2.198,0.486,-0.36,0.055,-0.291,1.451,0.872,0.7,0.709,0.491,2.565,0.637,1.457,1.026,1.31,2.309,1.025,1.999
"4","Holy See","April",2.619,0.707,0.63,0.315,-1.216,1.15,-0.545,1.804,-0.179,-0.239,0.854,0.294,-2.069,-0.75,0.029,-0.72,0.012,-0.947,-1.389,-2.003,1.039,-0.41,0.748,-0.983,0.437,0.68,0.301,0.76,0.886,-0.237,-1.41,0.341,0.613,-0.199,-0.504,0.777,-1.947,0.908,0.459,1.73,-0.066,1.03,0.753,0.417,0.176,1.526,2.81,1.078,1.586,1.275,2.151,1.365,2.251,1.737,1.177,3.399,1.222,4.077,1.105
"5","Holy See","May",-0.2,-0.296,-0.103,0.698,-0.749,-0.18,0.098,1.384,1.715,-1.713,0.793,-0.379,0.94,-0.845,0.432,0.133,1.059,-0.984,0.1,-2.37,-0.333,0.433,0.486,-1.071,0.766,2.583,-1.451,1.308,-0.192,0.832,-2.849,1.155,1.728,1.291,-0.275,0.976,1.379,0.395,2.152,2.769,2.194,1.257,3.535,-0.974,2.074,1.548,1.813,1.419,2.939,0.446,1.282,0.507,0.444,0.282,1.997,0.778,2.053,2.337,-1.636
"6","Holy See","June",0.252,-0.611,0.105,1.248,-0.156,1.024,-1.329,-0.302,-1.555,0.645,-0.704,0.199,0.79,-0.33,-1.245,-0.073,-0.756,-0.163,0.969,-1.48,0.586,1.93,-0.241,-0.952,0.181,-0.592,-0.089,0.033,-1.008,0.786,-0.078,-0.64,1.603,0.616,-0.551,0.927,1.486,1.897,1.546,2.063,0.934,2.646,4.923,1.005,1.952,0.795,1.822,1.406,1.007,0.933,1.616,3.175,0.369,1.418,2.227,1.448,3.494,2.216,3.754
"7","Holy See","July",-0.236,0.266,1.163,0.143,0.572,-1.088,1.024,-0.082,-1.086,-0.422,-0.168,-0.703,0.485,-0.087,0.187,-0.316,0.153,-1.079,0.072,-1.743,-0.957,1.664,2.436,0.125,1.841,0.155,1.87,2.575,0.433,1.078,0.759,-0.117,0.129,1.891,1.907,-0.115,0.286,1.845,0.584,0.228,0.967,0.744,3.072,1.469,1.716,2.374,1.667,1.626,1.711,2.21,0.547,2.927,1.552,-0.325,4.061,1.993,2.371,2.507,2.653
"8","Holy See","August",0.268,1.653,0.274,-0.203,-0.882,-0.339,0.716,-1.701,-0.724,0.218,2.049,-1.451,0.477,0.859,-0.569,-2.188,-0.849,-0.791,-0.59,0.478,0.02,0.705,-0.13,-1.078,0.727,1.644,1.11,1.715,0.541,0.422,1.159,2.6,2.16,3.05,-0.114,0.559,0.412,2.336,2.04,2.027,2.042,-0.207,3.879,1.311,-0.09,-0.041,1.384,1.91,2.607,1.213,1.715,3.253,1.976,0.889,2.428,1.002,3.115,2.195,2.922
"9","Holy See","September",1.81,0.909,0.444,-0.61,-1.128,0.546,-0.159,-0.59,0.077,0.742,-1.48,-2.233,1.103,0.208,1.562,-1.729,-1.635,-0.953,-0.549,0.428,0.355,1.793,0.262,-1.4,1.812,0.556,3.181,-0.268,-0.435,0.3,1.652,0.908,0.177,1.747,-1.061,-2.317,1.377,-0.054,1.258,0.679,-0.978,-0.889,0.034,0.668,0.627,1.071,-0.41,-0.199,1.383,0.138,2.63,1.045,1.116,0.788,1.777,0.887,-0.267,1.834,2.065
"10","Holy See","October",0.777,0.825,-0.264,-0.453,0.375,1.908,1.853,0.276,0.631,-0.724,-1.259,-2.399,0.502,-3.497,-0.437,0.448,0.482,-0.738,0.786,-0.153,1.054,0.29,0.1,0.194,0.58,1.529,2.172,2.128,-0.86,2.603,0.025,1.382,1.186,0.753,1.294,-0.602,0.59,0.616,1.527,1.304,3.497,0.795,0.315,2.704,0.745,2.506,0.21,1.452,-0.253,0.096,0.63,1.985,2.467,2.287,0.976,1.301,1.256,2.262,2.947
