"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Honduras","January",0.152,-0.167,-0.043,0.101,-0.597,0.41,-0.163,-0.121,0.246,0.219,0.406,0.564,0.652,0.351,0.165,-1.075,0.199,0.045,0.643,0.961,-0.324,1.182,0.68,-0.125,-0.34,-0.427,-0.139,0.968,0.899,0.934,0.804,0.923,0.522,0.84,1.607,-0.034,1.204,2.163,0.888,0.011,-0.104,1.034,-0.064,0.85,0.653,0.835,1.35,0.825,0.605,0.367,1.284,1.3,1.036,-0.192,0.703,1.403,0.744,0.202,1.022
"2","Honduras","February",0.221,0.022,0.117,0.727,0.121,0.652,-0.134,-1.05,0.329,-0.561,0.029,-0.075,0.578,-0.4,0.181,-0.936,0.558,0.383,0.255,0.601,0.206,1.243,0.709,0.151,0.114,0.67,0.605,0.623,-0.284,0.749,0.473,0.314,0.873,0.992,0.751,-0.295,1.137,2.263,0.605,-0.142,1.097,0.878,1.468,0.982,1.218,-0.3,0.995,1.209,0.101,1.332,1.228,1.225,1.492,1.671,0.626,0.044,1.492,-0.089,1.63
"3","Honduras","March",-0.019,0.057,-0.186,0.603,0.072,-0.616,-0.885,-1.391,0.515,0.353,0.099,-0.161,1.441,-0.221,0.438,-0.199,0.85,0.14,0.343,0.951,0.994,0.148,0.503,0.202,0.716,-0.967,0.647,0.393,-0.453,0.019,1.144,0.837,0.081,0.744,1.254,-1.32,0.713,0.817,1.008,0.607,0.302,0.501,1.264,0.469,2.29,0.61,0.454,0.743,-0.486,0.456,0.255,0.542,-0.035,1.42,1.026,1.76,0.52,1.053,1.078
"4","Honduras","April",0.146,-0.207,-0.856,0.584,-0.378,0.286,-0.939,-0.857,0.601,0.578,-0.936,0.252,1.224,-0.27,0.483,-0.469,0.086,0.291,0.45,0.238,-0.123,0.476,0.439,0.775,-0.02,-0.034,0.148,0.57,0.202,0.404,1.041,0.798,0.507,0.688,1.306,0.493,1.314,1.001,1.249,0.424,0.874,0.649,0.114,0.198,1.682,0.404,0.873,0.19,0.711,0.719,0.367,-0.124,0.984,0.405,1.49,1.861,1.158,0.76,1.034
"5","Honduras","May",-0.009,-0.881,-0.833,0.302,-0.348,-0.234,-0.049,-0.413,0.554,-0.64,0.085,0.218,0.631,0.008,0.717,0.014,-0.176,0.666,0.507,1.099,0.617,0.229,1.675,0.324,0.199,0.435,0.669,0.447,0.542,0.417,0.167,-0.135,0.116,0.579,1.547,-0.008,1.197,1.01,0.97,0.136,0.099,0.893,0.674,0.144,0.978,0.377,1.02,0.802,0.639,0.801,0.915,0.232,0.551,-0.166,0.56,1.908,0.903,0.603,1.397
"6","Honduras","June",-0.42,-0.353,0.017,-0.496,-0.016,-0.214,0.012,-0.279,0.685,0.091,-0.077,0.734,0.209,0.089,1.054,-0.547,-0.254,0.274,0.025,0.185,0.211,0.634,1.103,0.042,0.319,0.122,0.982,0.483,0.606,0.421,0.756,0.988,0.102,0.33,1.1,0.97,0.334,1.318,0.529,-0.503,0.707,0.942,0.756,0.337,1.238,0.537,1.118,0.135,0.876,1.151,0.977,0.842,0.334,0.526,0.359,0.999,0.937,0.979,1.732
"7","Honduras","July",-0.427,-0.115,-0.656,-0.495,0.261,0.41,-0.102,0.183,0.299,0.323,-0.232,0.574,0.207,-0.053,0.209,0.125,0.579,-0.197,1.076,0.537,0.308,0.077,0.241,-0.148,0.285,0.472,0.14,0.59,0.463,0.378,0.642,-0.114,0.314,1.494,0.784,0.468,1.005,0.797,0.325,0.391,1.555,0.56,1.191,0.653,1.328,1.042,0.91,0.293,1.299,0.763,0.916,0.728,0.987,0.985,1.068,1.444,0.859,1.326,1.491
"8","Honduras","August",0.031,0.082,0.293,-0.205,-0.473,-0.011,-0.169,-0.076,0.005,-0.107,-0.593,-0.214,-0.145,-0.214,-0.309,0.217,0.396,0.167,0.319,0.57,0.268,0.573,0.324,-0.354,-0.1,0.518,0.388,0.248,0.209,0.154,0.667,0.273,-0.113,0.651,0.759,-0.042,0.943,1.115,0.51,0.065,0.722,0.904,0.712,1.161,1.276,1.265,0.72,0.793,0.885,0.724,1.053,0.618,0.612,0.968,1.919,1.352,1.153,0.938,1.964
"9","Honduras","September",-0.577,-0.081,-0.104,-0.18,0.073,-0.032,-0.258,-0.244,-0.062,-0.281,-0.416,0.191,0.396,-0.066,-0.719,0.526,0.664,0.004,0.282,0.392,0.238,0.295,0.37,-0.17,0.265,-0.22,0.481,-0.024,0.105,0.525,0.287,0.23,-0.519,0.416,0.051,0.716,0.803,1.739,0.313,0.846,0.012,1.361,0.764,1.326,1.031,0.988,0.621,1.226,1.522,0.807,0.976,0.679,1.004,0.522,1.298,1.131,1.619,1.009,1.919
"10","Honduras","October",-0.438,-0.136,-0.269,-0.808,-0.05,0.049,-0.164,-0.243,0.414,0.525,0.207,0.341,0.255,-0.847,-0.446,0.958,0.742,0.217,0.605,0.643,0.504,0.594,0.313,0.408,0.22,0.12,-0.449,-0.509,-0.03,0.449,0.316,0.561,0.509,1.623,0.72,0.541,0.758,0.434,-0.279,0.013,0.451,1.288,0.731,0.821,0.486,1.357,0.514,0.048,1.207,-0.178,-0.132,0.593,1.304,0.493,1.574,1.031,0.25,1.474,1.509
"11","Honduras","November",0.191,-0.745,-0.272,-0.449,0.494,-1.15,0.087,-0.017,-0.122,-1.145,-0.049,0.795,0.563,-0.589,-0.205,0.151,0.601,0.947,0.388,-0.15,-0.154,0.68,1.116,-0.537,0.656,0.936,0.684,0.905,0.827,-0.122,-0.056,1.311,0.325,1.35,0.716,-0.337,1.557,0.7,-0.166,1.327,0.418,0.698,0.704,0.788,0.067,0.124,0.085,-0.541,0.928,-0.03,0.407,-0.234,0.845,-0.116,1.85,0.682,0.625,1.768,1.288
"12","Honduras","December",0.15,-0.399,-0.378,-0.012,0.693,-0.661,0.546,0.295,0.287,0.135,0.488,0.822,-0.942,0.042,-0.824,0.697,0.777,0.865,0.469,-0.309,0.553,0.824,1.441,0.393,0.78,0.717,1.94,0.14,-0.352,0.573,0.763,0.868,0.438,1.244,1.382,0.643,1.355,0.869,0.044,0.106,1.207,1.409,-0.358,0.811,0.951,1.147,0.884,0.669,1.754,-0.561,0.639,1.265,1.449,0.992,2.81,1.779,1.467,1.07,1.242
