"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Hungary","January",-0.088,1.765,-5.477,-5.303,1.47,-2.305,-1.418,-1.39,-1.601,0.414,0.498,0.147,1.005,2.621,4.096,1.366,2.039,1.465,-1.203,-2.088,-1.563,-1.639,4.63,1.698,-4.472,1.504,-3.321,4.493,1.548,1.913,1.984,1.829,1.787,4.638,0.862,-0.125,-0.025,4.036,1.903,-0.534,3.041,1.56,-0.296,-0.442,1.797,-1.119,6.474,3.405,0.249,-0.129,1.787,2.43,2.122,4.8,3.827,1.478,-3.091,5.033,1.198
"2","Hungary","February",1.694,-1.05,-4.843,-1.572,-4.166,5.267,0.434,2.144,-1.015,-0.858,1.474,2.741,1.441,4.36,0.023,-1.116,3.68,-0.741,0.72,1.064,-0.07,-1.823,-1.3,-0.351,-5.489,-4.194,-0.22,2.156,3.394,4.892,-3.07,1.851,-1.952,0.954,4.535,-3.236,2.004,4.239,-0.328,2.786,2.496,4.738,-4.164,1.08,-3.104,-1.009,4.242,3.453,0.69,0.41,-0.539,-4.592,1.325,4.203,1.437,5.386,2.721,-0.59,3.565
"3","Hungary","March",2.722,-3.362,-2.194,-2.466,0.066,0.084,1.799,0.697,-1.589,-1,-2.367,2.634,-0.03,2.871,2.482,-2.806,3.59,1.633,2.361,-0.155,3.144,0.413,1.9,-0.681,-0.349,-0.932,-4.858,-0.55,3.394,4.127,2.602,0.982,-0.936,3.419,0.229,-3.038,0.512,-0.771,2.178,1.137,3.276,2.901,0.543,0.371,-1.245,-0.96,3.315,1.67,0.992,1.148,1.285,2.861,-1.13,4.404,1.884,2.101,4.298,-1.047,3.76
"4","Hungary","April",3.21,1.354,1.156,0.895,-1.324,2.055,-0.278,2.161,-0.543,-0.42,0.748,1.1,-1.25,-0.795,-0.292,0.529,-1.253,-0.918,-1.201,-2.203,-0.357,-2.258,2.234,-0.406,0.332,1.993,0.244,-0.297,2.252,-0.035,-1.129,0.879,0.381,0.697,0.311,0.679,-2.864,1.732,1.759,3.526,0.116,0.55,-0.264,1.26,0.992,1.802,2.454,1.15,3.981,1.166,2.571,1.68,1.886,2.365,0.714,2.44,0.504,5.437,2.307
"5","Hungary","May",-1.228,-0.748,0.871,-0.302,-1.358,0.412,0.587,1.263,2.618,-1.512,2.06,0.269,0.908,-1.115,1.724,-0.21,0.577,-1.611,0.953,-2.302,0.23,0.959,1.903,-0.236,1.455,2.596,-1.184,0.879,0.024,1.1,-2.693,0.68,2.937,0.731,-0.003,2.097,1.354,0.298,0.814,2.552,2.343,3.289,3.942,-0.64,1.243,0.448,2.622,1.699,2.056,0.975,1.186,1.627,1.293,0.551,1.422,0.962,1.741,4.154,-0.918
"6","Hungary","June",0.816,-1.742,0.794,2.606,-0.204,-0.169,-0.58,0.887,-0.942,0.441,-0.839,0.716,-0.346,-1.968,-0.381,-0.759,0.19,-1.099,2.137,-0.875,0.877,0.636,-0.222,-1.565,-2.178,-0.281,0.191,-0.582,-1.437,-0.363,-0.185,0.842,0.549,0.484,-0.395,1.053,0.631,1.597,0.921,1.845,-0.813,2.098,3.825,0.139,0.227,0.651,2.767,2.022,0.236,1.027,1.582,2.462,1.005,0.9,1.538,2.098,2.978,2.356,4.419
"7","Hungary","July",-1.007,-1.433,1.612,0.242,-0.474,-0.635,1.703,-0.278,-0.127,-0.26,0.071,0.98,-0.011,-0.922,0.274,0.748,-0.526,-1.673,-1.797,-1.287,-0.467,0.539,2.122,-1.597,0.31,-0.649,1.902,1.826,0.495,-0.209,1.51,1.258,-0.164,3.009,2.689,-1.011,-0.39,0.912,1.523,-0.048,1.419,2.536,1.946,0.784,1.032,3.012,2.545,0.964,2.003,2.594,0.695,3.226,2.072,1.573,3.559,2.182,2.096,2.072,1.933
"8","Hungary","August",0.056,1.61,1.238,-0.951,-1.812,-0.511,0.548,-1.034,-0.801,0.095,1.658,-0.602,0.349,1.725,0.038,-2.387,-0.59,-1.517,-0.827,-0.297,-0.032,0.746,0.789,-0.347,0.79,1.277,-1.359,0.986,0.427,0.97,0.5,4.979,1.232,2.385,0.464,0.407,0.823,1.3,0.579,2.841,2.586,1.583,3.901,1.21,-0.19,-0.574,2.182,1.674,2.389,1.312,2.457,2.969,2.663,0.482,4.028,1.024,3.478,4.006,3.542
"9","Hungary","September",1.84,-0.584,1.395,-0.31,0.616,0.089,1.768,-0.023,0.432,-0.58,-2.087,-2.715,1.049,0.405,2.363,-1.001,-2.087,-1.359,0.541,-0.641,0.898,3.168,0.5,0.346,0.073,-0.026,2.48,0.143,0.334,-1.666,1.042,0.424,-0.219,2.952,-0.927,-3.026,-0.004,-0.397,2.651,0.116,-1.319,-0.399,0.287,-0.232,1.231,1.915,-1.299,-0.6,2.505,-0.865,3.436,2.343,-0.647,1.092,1.869,2.679,0.152,2.14,1.48
"10","Hungary","October",2.06,0.361,-0.223,0.052,-0.916,4.194,2.181,0.269,0.509,-1.044,-1.172,-2.204,-1.214,-3.149,-0.254,1.08,1.005,0.058,-1.256,0.13,1.324,1.265,-0.122,1.561,-0.465,-0.092,0.891,-0.041,0.687,0.718,-0.919,-0.686,1.522,-1.143,1.576,0.583,-2.044,0.917,0.644,3.06,3.276,0.017,-2.044,2.046,1.001,2.412,-0.29,1.815,0.325,-1.859,-0.174,1.156,2.181,2.157,0.264,-0.639,1.266,3.033,2.864
"11","Hungary","November",0.805,0.473,3.914,1.121,-2.249,-0.544,0.191,1.357,2.263,1.969,-0.701,0.011,-2.465,-0.005,-1.801,1.389,0.424,-2.662,0.045,-1.688,-0.919,0.285,-2.947,0.245,-1.962,-0.075,0.372,-5.062,-1.305,0.694,0.287,0.64,-3.427,1.105,-2.583,2.397,0.595,-2.321,-1.627,3.812,-1.844,2.764,2.12,0.613,-0.817,2.045,-1.333,1.699,2.067,3.157,-1.724,2.611,2.163,2.75,2.047,0.435,0.829,2.333,3.958
"12","Hungary","December",-1.591,-3.708,-4.463,-0.218,1.179,0.279,-1.37,-2.444,-3.284,-0.06,1.664,0.237,-0.795,2.092,-0.054,-0.38,-1.894,0.19,3.009,-1.156,-0.905,2.568,-0.4,-0.764,3.29,-1.5,0.91,0.806,0.992,-0.324,-2.591,-0.68,1.894,1.016,-0.609,-2.076,1.703,-3.563,-0.025,2.37,-4.318,-1.001,0.681,0.933,0.063,2.302,-0.762,2.103,1.006,-1.604,2.214,-0.809,1.548,2.444,2.832,-0.567,1.892,0.765,2.987
