"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Iceland","January",2.138,1.342,0.065,3.353,-0.075,-0.731,1.648,-1.167,-1.381,0.741,-2.436,3.332,3.487,1.782,-2.11,-1.955,-0.98,-1.168,-3.109,0.507,-1.59,-0.618,-1.342,-2.244,0.566,0.406,3.307,-1.832,0.76,1.394,1.963,3.103,-1.797,-1.052,-0.815,2.381,1.014,1.288,0.746,1.562,2.052,1.989,1.56,0.607,0.907,2.646,0.316,0.494,2.328,2.682,1.817,1.577,3.307,3.115,0.701,0.796,2.038,0.7,1.322
"2","Iceland","February",0.776,-0.104,0.67,2.432,3.239,-2.012,1.618,-1.878,-3.411,-2.078,0.645,2.11,-2.393,-0.214,2.219,0.662,-0.116,-1.239,-0.314,1.302,-1.353,1.835,1.162,0.517,0.372,1.298,0.596,-1.147,-2.345,-1.015,1.84,-0.135,0.586,1.226,-1.768,-0.509,-0.78,-0.592,-0.677,-0.757,0.223,-2.49,2.11,0.932,1.227,2.422,0.293,0.049,-0.124,-0.254,1.983,2.725,3.367,1.422,0.262,-0.631,3.16,1.222,0.821
"3","Iceland","March",0.024,-2.911,2.965,4.299,-2.028,-1.322,-3.583,-1.986,-1.578,-2.953,0.337,1.888,1.182,2.983,-0.499,0.858,1.418,0.249,-4.296,0.455,-1.843,0.162,-1.304,0.566,-0.722,0.231,-0.224,-1.309,-1.481,-2.194,1.525,-0.331,0.856,-1.54,-2.097,1.847,-0.282,-1.49,-1.446,-0.391,-1.269,-0.719,2.893,3.164,2.258,0.083,1.822,-0.335,-0.299,1.832,-0.267,2.581,0.052,1.692,0.803,1.921,1.377,1.338,0.76
"4","Iceland","April",-1.454,0.874,0.232,1.139,-0.248,0.176,-0.866,-1.206,-0.936,-0.81,0.124,0.681,-0.329,3.452,-1.007,-0.082,-1.604,0.71,-1.028,1.193,0.999,0.82,-2.875,0.823,0.158,0.426,0.719,-2.573,-0.961,-1.911,-1.339,-0.353,0.829,-0.959,-1.372,1.039,0.749,-0.227,-0.417,-1.574,0.24,1.414,2.926,2.22,0.987,-0.086,2.316,0.222,1.496,-0.256,2.288,0.431,-1.356,1.761,0.083,1.3,0.49,1.454,3.267
"5","Iceland","May",1.795,0.223,-1.044,0.966,-0.11,-0.405,-1.579,-1.814,-0.631,0.018,0.587,1.525,-1.033,1.552,0.008,-0.522,0.507,0.396,-4.217,1.183,-0.366,-1.441,-0.727,0.132,0.798,-0.972,0.849,0.525,-0.832,0.975,1.605,-0.009,-0.345,0.875,-0.586,0.149,-0.593,0.791,0.657,0.741,0.942,0.504,0.058,0.972,-0.543,-0.114,-0.354,1.993,1.558,1.185,0.277,0.179,-0.168,1.475,-1.406,0.853,2.314,0.803,0.443
"6","Iceland","June",-0.213,-0.209,0.671,0.257,-0.477,1.054,-0.24,-0.975,0.42,0.519,-0.201,0.026,-1.118,0.197,-1.569,0.369,-0.069,-0.312,-0.296,0.296,-0.749,-0.082,-0.633,0.746,0.151,0.425,0.259,0.518,-0.165,0.686,-0.098,-0.008,-0.624,-0.795,0.872,0.67,-0.634,-0.41,0.564,-0.139,-0.354,0.969,1.536,1.071,0.926,1.241,1.808,0.963,0.794,1.861,-0.609,0.497,1.481,2.2,-0.014,2.148,0.831,0.884,1.061
"7","Iceland","July",0.076,0.058,-0.706,-0.015,-0.175,0.441,-0.77,0.272,-0.666,-1.388,0.213,0.074,-0.321,0.284,-0.276,0.855,0.123,0.315,-1.31,0.199,-0.28,0.563,-0.907,1.051,-0.592,0.155,0.65,-0.198,0.312,0.852,1.907,-0.688,-0.869,1.088,-0.148,0.501,0.828,-0.27,0.684,0.824,0.221,0.328,1.296,1.155,1.204,0.89,1.145,1.649,1.193,1.449,1.047,1.578,0.657,1.35,-0.385,1.495,1.371,0.803,1.999
"8","Iceland","August",0.156,-0.239,-0.793,-0.686,-0.278,0.199,-0.376,0.16,0.757,-0.405,-0.123,-0.436,-0.127,-0.493,0.139,0.514,-0.104,0.977,-0.484,0.62,0.441,-0.746,-0.895,0.551,-0.453,-0.161,0.504,0.467,-0.132,0.846,1.15,-0.501,-0.609,0.768,0.972,0.215,0.918,0.708,1.117,0.878,0.532,0.342,2.457,2.058,0.341,1.363,0.781,1.084,0.829,1.342,0.469,1.503,0.461,1.09,0.533,1.47,1.021,0.455,0.517
"9","Iceland","September",1.322,-0.127,-1.373,-1.261,-0.965,0.226,0.681,1.049,-1.215,-0.384,-0.006,0.311,0.747,-1.554,-2.004,0.649,-0.314,-0.156,-2.283,0.441,-0.757,-1.933,-1.398,-0.234,-1.137,-0.339,0.036,-0.448,-0.266,-0.76,0.08,-0.511,1.159,-0.577,0.081,2.777,0.35,0.362,0.549,1.183,1.316,1.562,1.185,1.643,-1.059,2.001,0.114,1.913,0.739,2.117,1.152,-0.307,-0.547,1.98,1.904,1.402,2.35,-0.035,1.459
"10","Iceland","October",1.019,0.147,0.373,0.585,2.011,-1.071,-1.652,-2.061,-0.021,-0.959,-0.5,0.06,-0.258,-0.16,0.855,1.307,0.27,-0.25,0.035,-2.514,-3.642,0.086,-1.325,-0.917,1.558,-1.607,-1.837,-0.453,0.19,0.048,0.052,-0.141,-0.382,-1.314,-0.801,-0.149,0.067,-1.55,0.784,0.356,1.632,0.283,0.304,-0.045,-1.123,0.226,1.162,-1.702,0.003,1.231,0.27,-0.46,-0.468,-0.089,1.062,3.245,2.228,-0.157,0.355
