"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","India","January",0.536,-1.289,-0.395,-0.528,0.775,0.495,-0.335,-0.646,0.089,0.332,-0.193,0.04,0.607,-0.174,-0.786,-0.157,0.043,-0.279,0.627,0.481,-0.003,0.631,-0.295,-0.195,0.459,0.067,0.539,1.12,-0.525,1.402,-0.131,-0.075,0.275,0.911,-0.761,0.579,-0.399,0.38,-0.082,0.688,0.216,0.475,-0.017,0.246,0.453,0.738,0.824,0.276,1.584,0.209,-0.435,-0.252,0.009,0.19,-0.073,1.1,0.786,0.527,0.122
"2","India","February",-1.413,-0.38,0.669,-0.057,-0.272,1.284,0.716,-1.117,0.417,-0.053,-0.243,-1.69,1.149,-0.398,-0.226,0.098,0.6,-0.538,-0.669,0.735,0.513,-0.447,-0.586,-1.195,0.093,-0.242,0.538,1.221,-0.348,0.137,0.657,-0.781,0.458,-0.291,0.013,0.481,-0.529,0.37,1.26,-0.65,0.999,0.562,0.895,0.468,0.599,2.533,0.51,-0.817,1.657,0.982,0.354,0.023,0.496,-0.459,0.97,1.777,1.286,1.29,0.392
"3","India","March",0.499,-0.569,-0.357,0.945,-0.86,-0.073,-1.115,-0.554,1.296,-0.311,-0.535,0.144,0.264,0.915,-0.225,0.174,1.38,-1.102,-0.637,-0.038,-0.438,-1.088,-0.352,0.707,1.395,0.173,0.121,0.388,-0.495,-1.051,0.458,0.197,-0.88,1.096,-0.626,1.129,0.124,-0.599,0.943,-0.397,0.354,0.849,0.183,1.866,0.747,0.045,-0.018,0.726,1.062,2.192,0.57,0.269,0.56,-0.361,-0.186,1.607,0.592,1.395,0.141
"4","India","April",0.026,-0.223,-0.903,0.57,-1.165,-0.019,-0.775,-0.932,0.485,0.478,-0.024,-0.493,1.473,0.677,0.55,-0.496,-0.375,-0.17,0.207,1.098,-0.057,-0.633,-1.269,0.202,0.322,0.045,0.32,0.547,-0.235,-0.216,-0.294,-0.049,-0.274,-0.671,-0.156,-0.087,-1.444,0.474,1.211,1,-0.253,0.868,0.866,0.923,-0.187,0.189,0.88,-0.058,0.85,1.99,-0.491,0.203,0.085,0.261,-0.505,1.67,1.198,0.654,1.034
"5","India","May",-0.144,-0.37,-0.558,-0.151,-0.43,0.116,-0.078,-0.539,-0.34,0.496,-1.125,0.337,0.545,-0.417,0.485,-0.329,-1.165,0.744,-0.279,0.815,-0.085,-0.966,-0.477,0.897,0.404,-0.46,-0.804,1.112,0.382,-1.074,0.419,-0.38,0.319,0.535,0.006,0.369,-0.549,1.167,-0.304,-0.099,0.224,0.846,0.598,-0.096,0.039,0.128,0.201,-0.095,0.388,1.052,0.253,0.65,0.775,-0.224,0.64,0.581,0.842,0.61,0.843
"6","India","June",-0.589,-0.049,-0.169,0.098,0.571,-0.04,0.299,-0.024,0.479,-0.82,-1.465,1.109,0.026,-0.233,-0.38,-0.559,-0.425,-0.588,0.749,-0.556,0.527,0.093,0.53,-0.274,-0.269,0.097,0.952,0.165,-0.831,-0.384,-0.275,0.713,0.312,-0.18,1.431,-0.108,-0.256,1.014,-0.615,-0.667,-0.973,0.239,0.889,-0.304,1.353,-0.023,0.143,-1.068,1.188,0.81,-0.427,1.105,-0.61,1.424,0.04,0.663,0.173,0.429,1.577
"7","India","July",-0.293,0.18,0.501,-0.297,0.031,0.805,0.108,0.018,0.158,0.282,-0.421,0.629,0.1,-0.024,-0.589,-0.074,-0.38,-0.691,0.493,-0.148,-0.156,0.89,0.46,-0.355,-0.482,-0.129,1.172,-0.189,-0.08,-0.437,0.601,0.395,0.276,-0.667,0.248,0.286,0.445,0.583,0.29,0.041,0.078,1.574,0.28,0.65,0.247,0.516,0.492,0.27,0.705,0.558,0.442,0.666,-0.014,0.935,0.844,0.275,0.363,0.428,0.954
"8","India","August",0.065,-0.127,0.053,-0.038,0.075,0.233,-0.168,0.092,-0.005,0.09,-0.352,0.208,-0.111,0.22,-0.11,-0.441,0.003,-0.361,0.26,0.022,0.129,0.064,0.203,-0.217,0.018,-0.063,0.9,0.146,-0.097,0.148,-0.133,-0.104,0.511,-0.322,0.314,-0.334,0.396,0.667,0.25,0.489,0.501,0.37,0.523,0.334,0.683,0.25,0.542,0.106,1.119,0.642,0.349,0.317,0.166,0.833,0.903,0.72,0.838,0.46,0.751
"9","India","September",-0.348,-0.384,0.134,-0.138,-0.035,0.028,-0.254,0.605,-0.088,-0.01,0.024,0.086,-0.014,0.399,-0.61,-0.235,-0.131,-0.284,0.35,0.471,0.179,0.285,0.021,-0.44,0.151,0.329,1.127,0.547,0.098,-0.088,0.219,-0.167,-0.136,-0.177,0.361,0.128,0.23,0.533,0.301,0.331,1.053,0.45,0.276,0.7,0.491,0.512,0.496,0.411,1.057,0.301,0.287,0.324,0.778,0.385,1.255,0.555,1.023,0.519,0.445
"10","India","October",-0.78,-0.852,0.133,0.05,0.44,0.204,-0.334,-0.315,0.242,0.166,-0.305,-0.031,-0.2,0.236,0.26,0.718,0.17,0.233,0.644,0.563,0.165,0.468,-0.463,-0.166,-0.706,0.131,0.603,0.047,0.199,-0.503,-0.215,-0.181,0.28,-0.254,0.549,-0.361,-0.578,0.58,0.188,1.089,0.768,0.811,0.29,-0.296,0.22,0.86,0.184,0.723,0.381,0.916,0.707,0.105,0.391,0.696,1.368,0.816,1.26,0.803,0.267
