"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Indonesia","January",-0.062,-0.065,-0.513,0.486,-0.599,0.161,-0.194,0.015,0.299,0.261,-0.222,-0.332,0.476,-0.331,0.009,-0.433,0.095,0.143,0.223,0.184,-0.267,-0.231,0.446,-0.378,0.169,-0.213,-0.161,0.516,0.225,-0.201,0.054,0.102,-0.06,0.125,0.196,-0.036,0.042,1.386,0.204,-0.07,0.163,0.418,0.695,0.664,0.705,0.225,0.669,0.478,0.514,0.462,0.165,0.437,0.631,0.466,0.404,1.611,0.933,0.803,0.963
"2","Indonesia","February",0.152,-0.179,-0.453,0.244,-0.061,0.059,-0.127,-0.041,0.33,0.413,-0.223,0.04,0.607,-0.39,-0.129,-0.09,-0.51,0.218,0.195,0.147,-0.063,-0.095,0.657,-0.407,0.57,-0.215,0.064,0.302,-0.13,0.655,0.346,0.747,0.137,0.249,0.009,-0.051,0.093,1.394,0.311,0.194,0.442,0.48,0.436,0.409,1.035,0.503,0.493,0.244,0.257,1.106,0.339,0.279,0.471,0.719,0.219,1.318,0.744,0.721,0.979
"3","Indonesia","March",0.198,-0.237,-0.305,-0.022,-0.199,0.069,-0.203,0.045,0.411,0.366,-0.095,-0.216,0.249,-0.137,-0.137,-0.135,-0.161,0.245,0.182,0.13,0.158,-0.323,0.995,-0.286,0.264,-0.33,0.367,0.518,-0.163,0.144,0.461,0.894,-0.107,-0.285,0.047,0.545,0.501,1.293,0.244,0.25,0.317,0.431,0.568,0.618,0.777,0.498,0.329,-0.012,0.339,1.027,0.169,0.169,0.962,1.011,0.493,1.634,0.781,0.844,1.008
"4","Indonesia","April",0.064,-0.226,0.035,0.027,-0.41,0.121,-0.259,-0.021,0.338,0.248,-0.057,-0.223,0.366,-0.245,0.026,-0.064,0.051,-0.001,0.238,0.062,0.057,-0.146,0.688,-0.223,0.071,-0.038,0.511,0.511,-0.039,0.329,0.255,0.748,-0.08,0.099,0.256,0.363,0.248,1.111,0.384,0.121,0.347,0.437,0.43,0.669,0.51,0.097,0.364,-0.027,0.543,0.911,0.026,0.256,0.561,0.918,0.398,1.41,0.703,0.627,0.947
"5","Indonesia","May",-0.003,-0.011,-0.09,0.009,-0.359,0.019,-0.11,-0.009,0.218,0.092,-0.046,-0.245,0.041,-0.133,-0.164,0.161,0.047,0.226,0.311,0.33,0.083,-0.12,0.19,-0.413,0.084,0.244,0.298,0.558,0.157,0.242,0.042,0.155,0.03,0.067,0.418,0.481,0.436,1.278,-0.044,0.427,0.62,0.63,0.55,0.61,0.552,0.191,0.582,0.148,0.527,0.997,0.297,0.476,1.008,1.081,0.64,1.537,0.966,0.721,0.958
"6","Indonesia","June",-0.412,0.084,-0.021,-0.176,-0.145,-0.202,-0.202,0.13,0.214,0.282,-0.302,-0.111,0.392,-0.051,-0.116,0.107,-0.008,0.101,0.123,0.329,0.446,0.216,0.233,-0.01,0.162,0.317,0.945,0.358,0.115,0.34,0.505,0.538,0.753,0.331,0.689,0.657,0.766,1.052,0.362,-0.126,0.236,0.669,0.697,0.476,0.876,0.179,0.532,0.176,0.68,0.78,0.25,0.332,1.357,0.81,0.975,1.284,0.807,0.805,0.746
"7","Indonesia","July",-0.258,0.211,-0.155,-0.127,-0.535,-0.121,-0.195,0.188,0.04,-0.123,-0.133,0.085,0.35,-0.096,-0.076,0.178,0.249,0.138,0.041,0.639,0.459,0.082,0.273,-0.13,-0.204,0.257,0.606,0.466,0.418,-0.161,0.771,0.125,0.439,0.456,0.385,0.763,0.479,0.994,0.31,0.518,0.767,0.9,0.458,0.216,0.825,0.633,0.316,0.09,0.611,0.823,0.564,0.443,0.664,0.949,1.04,1.426,0.987,0.878,0.707
"8","Indonesia","August",-0.364,-0.185,-0.273,-0.033,-0.362,0.154,-0.07,-0.008,-0.026,-0.114,-0.128,0.104,0.138,0.141,0.196,0.361,-0.066,0.322,0.296,0.233,0.746,-0.135,0.392,0.362,0.187,0.302,0.526,0.357,0.196,0.233,0.547,0.85,0.498,0.336,0.315,0.505,0.675,0.685,0.306,0.343,0.758,0.674,0.626,0.531,0.79,0.37,0.245,0.226,0.828,0.765,0.503,0.454,0.757,0.425,0.799,1.526,0.926,0.961,0.836
"9","Indonesia","September",-0.295,-0.104,-0.165,0.043,-0.11,0.227,-0.227,0.06,0.025,0.124,0.016,-0.07,-0.042,-0.101,-0.088,0.381,0.439,-0.044,0.195,0.33,0.081,-0.007,0.14,-0.247,-0.064,0.129,0.55,0.275,0.187,-0.116,0.159,0.24,0.347,0.411,0.437,0.594,0.386,0.859,0.268,0.588,0.609,0.475,0.525,0.515,0.766,0.303,0.275,0.544,1.033,0.705,0.44,0.675,0.815,0.36,1.025,1.313,0.999,0.804,0.68
"10","Indonesia","October",-0.003,0.117,-0.039,-0.324,-0.055,-0.039,-0.036,-0.06,-0.071,0.151,-0.143,0.109,0.074,-0.075,-0.238,0.009,0.363,-0.068,0.215,0.092,0.138,-0.262,0.143,-0.088,0.027,-0.058,0.801,0.243,0.242,0.015,-0.017,-0.063,0.258,0.489,0.509,0.245,0.589,0.666,0.126,0.322,0.649,0.875,0.444,0.706,0.485,0.594,0.369,0.512,0.776,0.556,0.411,0.769,0.913,0.761,1.015,0.964,1.121,0.893,0.836
