"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Iran (Islamic Republic of)","January",0.434,0.339,3.351,-5.988,-0.724,4.327,0.465,0.871,-1.338,0.43,-0.174,-2.75,-3.109,-2.166,-0.277,1.447,-3.281,1.128,1.213,-0.253,2.203,0.724,-0.793,0.901,1.686,1.191,2.449,0.501,-2.075,-0.342,0.914,-1.734,-0.759,1.958,2.503,-0.568,1.605,-0.205,1.699,1.36,0.326,1.422,1.863,3.01,0.177,-0.31,0.12,-4.164,0.523,3.844,1.426,0.932,2.276,0.775,2.658,2.987,1.855,2.325,3.412
"2","Iran (Islamic Republic of)","February",-0.63,2.136,3.204,-0.119,0.332,2.317,-1.057,-1.483,-2.425,2.177,0,-5.533,1.805,-3.555,-0.678,-2.088,0.984,0.993,1.753,-0.656,1.596,-2.226,-0.687,-1.695,1.102,0.352,2.049,0.043,-3.341,-0.182,-0.68,-1.207,0.176,-0.013,1.374,1.205,-0.278,-0.097,3.139,0.236,1.087,1.711,2.004,2.983,-0.887,2.932,1.599,-1.041,3.081,2.64,0.587,-0.934,2.544,-0.98,2.896,2.805,-0.304,3.107,1.338
"3","Iran (Islamic Republic of)","March",-0.479,2.125,-0.077,1.352,0.057,0.205,-1.016,0.071,1.86,0.464,1.16,-2.078,0.303,0.257,-0.544,-2.952,3.068,0.456,-0.599,0.208,1.601,-1.595,-2.017,1.205,-1.165,-1.867,0.184,0.689,0.16,0.018,-0.398,-3.118,-0.763,0.91,0.029,-0.922,-1.533,0.351,0.206,0.152,2.179,2.232,0.104,2.751,1.268,2.163,-0.097,4.217,2.203,3.468,0.839,-0.341,2.477,1.241,0.585,2.564,1.397,4.648,0.154
"4","Iran (Islamic Republic of)","April",-1.345,-0.46,0.618,-0.857,-1.672,-0.155,-1.803,-0.961,-0.61,1.931,-0.28,0.125,0.766,-0.557,0.246,-0.893,0.743,1.176,1.764,2.263,0.849,1.568,-0.914,1.334,0.93,0.625,0.134,0.793,0.61,0.292,1.306,-1.139,0.306,1.212,0.243,-0.113,-0.375,1.743,1.455,3.8,2.727,0.588,1.1,0.42,1.503,1.87,1.171,2.686,-0.893,2.126,1.837,1.801,1.167,2.033,2.55,1.104,2.413,1.445,0.333
"5","Iran (Islamic Republic of)","May",1.233,0.302,-1.84,0.299,0.596,0.101,-0.327,-0.681,-0.053,1.269,1.462,-2.051,0.331,0.439,0.382,-0.414,0.559,0.092,-1.004,0.952,-0.105,0.811,1.015,-1.263,0.578,0.387,1.459,0.948,0.054,1.352,-0.477,-1.829,-0.102,0.652,0.178,0.9,0.211,1.108,1.484,2.761,2.416,1.218,-0.027,0.866,0.378,2.349,1.79,2.157,1.931,1.646,2.333,2.625,0.873,2.086,2.654,2.729,2.796,0.957,1.794
"6","Iran (Islamic Republic of)","June",0.189,-0.348,0.149,0.371,-0.012,0.855,-1.479,-1.007,-0.012,0.558,-0.007,-0.028,0.401,0.309,0.569,-0.229,1.374,-0.315,0.103,0.848,-0.462,0.243,0.768,0.155,0.917,0.034,0.6,0.767,1.009,1.031,0.352,-0.155,-0.02,0.515,0.128,0.579,1.028,1.693,1.919,0.842,1.673,1.42,0.789,1.071,0.973,2.172,1.824,2.12,0.274,2.338,2.61,1.39,1.938,2.137,2.676,1.463,2.382,2.226,2.604
"7","Iran (Islamic Republic of)","July",0.47,0.336,0.363,0.261,-0.078,-0.181,-0.021,-0.702,-0.648,-0.043,0.09,-0.152,0.034,-0.544,0.847,-0.022,0.692,-0.107,0.574,0.711,0.237,-0.66,0.987,0.239,0.429,0.229,-0.084,0.696,1.011,0.649,0.567,0.006,-0.069,0.763,1.213,0.451,1.321,1.25,0.506,1.001,1.201,0.971,1.456,0.235,1.752,1.377,1.005,1.587,1.323,2.055,1.56,1.554,1.835,1.312,1.673,1.768,1.648,2.725,2.375
"8","Iran (Islamic Republic of)","August",-0.076,-0.545,0.154,0.201,-0.129,0.592,-0.012,-0.167,-0.654,1.056,0.045,-1.275,0.42,-0.629,0.141,0.252,0.325,-0.205,-0.54,0.573,0.303,-0.104,1.122,0.902,-0.588,-0.311,0.675,0.236,0.536,0.953,0.59,-0.668,0.152,1.375,1.587,0.662,1.416,1.921,1.841,1.335,1.392,1.58,1.398,1.665,1.102,1.703,1.002,1.087,1.697,1.128,1.887,1.686,0.976,1.738,1.471,1.233,1.367,1.925,1.578
"9","Iran (Islamic Republic of)","September",0.166,-0.983,0.246,-0.42,-0.241,0.047,-0.008,0.038,-0.856,-0.27,-0.451,0.034,-0.247,-0.335,0.186,0.469,0.246,0.567,0.554,-0.099,-0.052,-0.183,0.667,-0.07,0.209,0.009,0.682,0.559,0.203,1.206,0.255,-1.007,0.751,-1.085,0.527,1.475,0.564,1.463,0.973,1.563,1.346,1.633,0.685,0.864,1.572,0.817,0.843,1.77,0.954,1.297,1.143,1.322,1.916,2.141,0.857,2.098,1.663,1.912,2.175
"10","Iran (Islamic Republic of)","October",-0.761,-0.193,1.163,-2.104,0.434,-0.22,-0.074,0.447,0.858,0.16,-0.803,1.108,0.674,-1.149,-1.038,-0.023,-0.616,0.567,1.53,0.054,-0.433,-0.387,-0.602,-1.379,-0.454,1.391,-1.731,0.768,1.09,0.39,0.268,-0.477,-0.734,-0.09,-0.104,-0.096,1.688,1.165,1.619,0.153,1.344,2.653,1.914,0.908,1.397,2.795,0.269,1.595,0.776,2.873,0.773,1.433,0.916,0.863,2.293,0.848,1.82,1.31,2.11
