"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Iraq","January",0.146,0.519,3.381,-5.123,-0.295,3.379,-0.014,-1.023,0.628,0.829,1.018,-2.344,-1.754,-1.703,-0.932,-0.088,-2.565,1.381,1.873,-0.869,1.285,0.726,-2.279,1.322,2.121,0.967,1.74,-0.047,-3.251,-1.542,0.192,-3.301,-1.221,2.635,1.931,0.758,1.354,-0.741,2.307,0.321,1.002,-0.303,1.73,1.894,0.465,0.33,-1.127,-3.208,-0.14,3.973,1.164,0.244,1.428,1.072,1.883,1.006,0.55,2.683,1.939
"2","Iraq","February",-0.539,0.252,2.474,-0.298,0.068,1.652,-2.945,-1.369,0.036,1.577,-0.51,-3.404,1.743,-2.252,-1.264,-1.986,2.309,1.525,2.583,-0.936,0.59,-3.222,-2.107,0.545,-1.34,0.942,2.641,-0.235,-3.475,-1.033,-0.648,-2.992,-1.441,0.573,1.603,1.588,-2.176,-0.552,1.865,-0.749,0.737,1.08,0.586,0.695,-0.728,1.222,1.133,-1.203,2.51,2.971,0.527,-0.707,2.67,0.547,1.452,2.771,-1.586,3.451,1.387
"3","Iraq","March",-1.949,2.273,-1.175,1.397,0.797,0.146,-2.172,-0.383,2.459,1.374,1.035,-1.113,-0.068,-0.026,-0.499,-2.059,1.514,1.028,0.596,0.372,0.832,-1.875,-1.999,0.807,-1.791,0.025,-1.74,-0.484,0.71,-0.228,0.541,-3.744,-1.226,0.67,0.686,-0.419,-2.071,-0.711,0.418,-0.639,2.773,1.74,-1.038,2.521,0.878,1.875,0.232,4.488,0.952,3.537,0.39,-1.445,2.167,2.25,1.393,2.22,1.241,5.742,0.149
"4","Iraq","April",-0.366,-0.557,0.226,-1.017,-1.947,0.639,-1.582,-0.202,-1.531,2.208,-1.632,0.969,-0.001,-1.201,1.426,-0.663,-0.189,0.632,1.711,0.524,-0.281,1.42,-0.933,0.323,0.523,1.141,-0.336,-0.254,2.773,-0.087,2.145,-0.494,-0.314,2.33,0.106,-0.299,-0.824,1.085,1.498,3.043,1.863,0.039,1.238,-0.09,1.802,1.577,-0.397,3.26,0.009,1.773,0.925,2.535,1.355,2.756,1.268,2.201,1.947,1.772,-1.004
"5","Iraq","May",0.987,1.238,-3.126,-0.26,0.203,0.395,-0.859,0.019,0.441,0.417,1.442,-2.249,0.281,0.425,-0.371,-0.942,0.603,0.881,0.807,0.225,-1.461,0.435,0.5,-1.308,1.089,-1.042,1.602,0.516,1.334,0.857,-0.446,-1.159,-1.395,0.828,1.287,2.367,1.164,1.435,2.595,1.441,0.386,0.636,1.66,0.131,0.571,1.932,2.697,1.053,1.125,1.641,1.092,2.44,0.613,1.854,2.562,1.603,2.049,1.128,2.441
"6","Iraq","June",0.635,0.883,-0.165,0.711,0.684,0.804,-1.881,-0.999,0.58,0.115,-1.072,-0.233,-0.946,0.472,0.358,0,0.493,-0.705,0.45,0.993,-0.43,0.045,0.004,-0.083,-0.005,-1.078,0.358,-0.215,0.104,0.802,1.003,-0.557,-0.337,0.349,0.534,0.573,1.139,2.287,2.013,1.435,1.563,1.145,1.11,1.016,0.901,3.106,1.731,1.792,1.624,2.448,1.811,2.781,1.311,1.54,0.943,2.037,2.162,2.172,3.496
"7","Iraq","July",0.269,1.135,0.2,0.028,-0.028,0.173,-0.517,0.642,-1.212,-0.49,-0.346,-1.029,-0.194,-0.439,0.61,-1.251,0.271,1.167,-0.214,1.27,0.519,-0.852,-0.12,0.381,-0.634,0.893,0.961,0.474,1.316,1.576,-0.13,-0.877,0.267,-0.263,-0.001,2.12,0.208,1.898,1.383,3.242,1.307,1.412,0.677,1.034,1.78,1.199,1.571,1.333,0.664,2.201,1.9,2.134,1.483,1.307,2.381,2.062,3.726,2.435,1.397
"8","Iraq","August",0.775,1.452,0.389,-1.032,1.405,0.964,-0.916,-1.581,-0.434,-0.736,-0.723,0.102,1.227,-0.755,-0.346,-0.744,0.955,-1.496,0.237,-0.355,0.473,-0.799,-0.625,-1.938,0.968,1.055,0.518,-0.091,0.543,0.279,0.092,-0.019,0.396,-0.105,0.755,1.711,-0.193,3.039,2.406,2.005,2.269,0.604,2.025,0.644,1.287,2.508,1.902,2.217,0.697,2.832,1.512,1.93,0.968,2.116,2.417,3.324,3.49,1.952,2.34
"9","Iraq","September",-2.145,0.236,0.529,-0.687,0.517,0.242,-0.581,-0.363,-0.042,-0.505,0.552,0.057,0.461,-0.648,0.875,-0.761,0.806,-0.314,2.069,-0.851,0.73,0.733,-0.742,-0.091,0.007,1.549,0.38,0.017,-0.444,0.268,0.06,-0.5,0.473,0.833,-0.116,0.465,-0.208,1.389,0.923,0.329,1.14,1.166,0.34,0.747,0.267,0.954,1.571,1.587,-0.008,2.693,0.961,1.312,0.407,1.158,2.855,1.102,3.116,2.897,2.464
"10","Iraq","October",-0.415,0.974,0.795,-1.643,-1.35,-0.142,-0.018,0.627,0.805,-0.843,-1.193,1.653,1.442,1.069,-1.428,0.126,-2.049,0.727,0.798,-0.373,0.538,-0.748,-1.459,-1.007,-1.08,1.39,-1.248,0.602,0.601,0.65,0.245,-0.046,0.797,1.375,-0.391,-0.074,0.901,0.865,1.875,-0.712,0.78,2.37,2.043,2.184,0.376,1.726,2.148,0.902,1.466,2.541,-0.339,1.861,-1.095,0.556,2.564,1.575,1.279,2.092,3.103
"11","Iraq","November",-0.768,1.474,0.008,-0.115,-0.137,2.528,-0.403,1.019,-1.198,2.194,-0.073,-0.624,-2.326,0.911,-0.16,0.494,-0.618,-3.587,2.206,0.992,-0.798,-3.231,2.041,-0.125,1.923,-1.924,0.342,-0.851,0.769,2.206,1.483,-0.371,-1.112,0.219,-0.652,0.568,0.357,3.574,0.618,-0.398,-0.274,0.571,0.411,0.469,-0.358,-1.213,1.08,0.353,0.413,2.11,-2.603,1.897,1.353,-0.693,0.255,0.4,1.594,1.04,1.082
"12","Iraq","December",1.144,1.987,-1.159,-1.186,0.932,1.504,-0.289,1.667,1.511,-1.294,-1.611,-3.031,-0.633,-1.306,-1.592,2.19,0.521,1.831,-0.57,0.721,2.106,-2.448,0.895,-1.861,0.281,-1.31,1.242,0.45,0.244,2.135,-0.865,-1.449,1.69,-2.39,-0.688,2.913,0.709,3.705,1.214,0.547,2.094,-0.542,0.636,-1.933,3.011,-2.201,0.182,0.129,2.446,2.257,-0.593,1.228,-1.216,2.417,-0.847,-0.676,2.771,2.088,2.005
