"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Ireland","January",0.033,0.304,-4.423,1.064,-0.881,-0.178,0.717,1.308,0.834,0.188,1.051,-0.217,1.497,2,1.925,1.881,-1.13,-0.358,-2.488,-0.764,1.779,0.301,2.032,-0.555,-2.482,-0.12,-0.936,0.691,2.836,2.042,-0.433,0.876,1.847,0.912,0.659,1.495,-0.069,1.081,1.237,0.939,-0.443,2.754,0.688,1.28,2.443,1.187,2.3,2.018,0.215,-1.885,-0.386,2.589,1.175,1.466,0.764,1.736,1.832,1.282,1.669
"2","Ireland","February",2.883,0.816,-2.791,0.699,-1.08,1.706,0.935,-1.916,-2.696,-0.866,1.135,0.393,0.66,1.054,1.578,0.989,0.493,-0.763,-1.504,1.373,0.239,1.46,-1.103,0.915,0.231,-3.336,0.036,0.386,1.581,1.865,-1.09,1.774,2.134,-0.107,1.739,-0.692,1.911,3.362,1.752,2.05,0.394,2.13,0.859,0.891,0.686,0.839,1.537,1.645,0.874,-1.385,2.402,2.621,0.535,1.12,0.293,0.665,2.03,-0.385,3.229
"3","Ireland","March",2.437,-2.243,0.481,-0.247,-0.121,1.082,0.395,0.088,-1.516,-1.079,-0.266,-0.103,0.375,-0.136,-0.834,0.122,1.056,0.376,-1.549,-0.869,1.613,0.126,1.016,-0.865,-0.677,-0.48,-0.704,0.826,0.72,2.184,1.478,1.463,0.585,1.106,-0.437,-0.575,2.056,2.117,1.165,1.554,-0.426,1.494,1.73,0.952,1.904,-0.221,1,0.38,1.303,-0.108,0.771,2.848,-1.982,1.126,0.408,0.598,2.251,-1.169,1.44
"4","Ireland","April",1.325,-0.23,-0.033,0.304,0.217,-0.541,0.391,-0.326,-0.316,-1.046,-0.219,0.271,-0.596,0.626,0.299,0.349,-0.654,-0.978,-0.88,0.612,0.476,0.782,-1.794,0.822,0.605,-2.351,1.573,0.68,-1.534,-0.066,0.093,0.169,1.188,-0.395,0.819,0.557,1.721,-0.485,1.265,-0.708,-0.116,0.914,1.883,1.089,0.704,0.484,2.911,0.181,1.312,1.01,3.177,-0.544,-0.503,2.199,0.847,-0.462,1.192,0.901,1.51
"5","Ireland","May",0.105,-0.606,-0.779,1.362,0.361,-0.111,-1.436,-1.289,-0.235,1.232,0.012,-0.775,0.086,-0.258,-0.57,-0.11,-0.296,0.671,-1.848,0.336,-0.006,0.161,-0.954,-0.703,-0.319,-0.672,-0.37,0.268,1.333,1.804,0.729,1.763,0.001,-0.336,0.127,-1.656,0.932,1.514,1.58,0.927,1.566,0.532,0.421,1.006,0.116,0.58,0.978,2.646,0.746,0.305,0.964,0.61,-0.259,1.241,-0.181,1.566,2.05,1.864,0.779
"6","Ireland","June",-0.219,-0.85,0.494,-0.37,0.035,0.779,0.139,0.426,-0.117,1.934,-0.943,-2.192,0.371,-0.304,0.681,1.618,-0.989,-0.568,-0.161,-0.443,-0.515,0.872,0.029,0.513,-1.067,0.422,-1.026,1.126,0.213,-0.392,-1.103,1.493,0.496,-0.437,1.014,0.213,-0.078,-0.09,-0.471,0.438,0.101,-0.345,1.023,1.419,1.579,1.634,1.176,0.261,1.591,1.724,-0.725,-0.126,0.576,1.501,0.067,1.727,1.305,2.545,0.123
"7","Ireland","July",-0.786,-0.663,-0.65,-0.022,-1.21,-0.363,0.115,-0.557,0.565,-0.539,0.67,0.112,-0.105,-0.623,1.218,1.387,0.837,-0.604,0.295,-0.864,-0.375,0.934,2.733,1.236,-0.076,-0.191,0.62,-0.896,2.529,1.156,1.241,0.572,-0.375,0.405,2.131,0.439,0.943,-0.125,1.551,0.8,0.563,-0.185,1.305,-0.049,1.232,2.654,0.083,0.801,0.595,0.902,-0.158,-0.281,3.053,2.073,-0.244,0.946,0.7,2.099,1.727
"8","Ireland","August",-0.42,-1.005,-0.966,-0.177,-0.477,-0.512,-0.268,0.423,0.361,0.246,0.077,-0.88,0.635,-0.474,1.701,1.78,0.205,-0.219,-0.746,0.277,1.122,0.114,2.15,1.67,-1.274,-2.25,0.448,-0.565,0.709,1.453,1.306,-0.846,-0.741,-0.252,3.445,0.392,1.998,0.658,0.917,1.036,0.534,0.918,2.077,1.425,0.984,0.914,0.456,0.82,0.617,0.003,-0.498,1.251,1.364,0.019,-0.168,1.286,0.372,0.827,1.307
"9","Ireland","September",0.445,-1.065,-0.752,0.608,-1.409,0.851,-0.106,0.172,0.292,0.404,1.463,-1.157,0.576,-1.769,-0.7,-0.017,-0.293,0.832,-0.319,0.841,0.94,0.067,0.213,-0.096,1.046,-1.527,-0.348,-0.377,0.098,-0.505,1.285,-1.226,-0.783,-0.752,0.237,0.91,0.833,1.192,1.359,0.957,0.717,0.923,0.998,1.362,1.344,2.27,0.722,0.02,0.493,1.017,0.978,-0.13,1.113,1.789,-0.046,1.479,0.106,-0.241,0.858
"10","Ireland","October",-0.54,0.014,0.493,-0.999,0.613,-1.42,-0.899,1.841,2.329,0.309,1.446,0.297,-0.648,-2.294,0.402,-1.135,1.162,1.426,0.396,-1.389,-2.765,-0.433,-0.27,-0.172,0.268,0.039,-1.791,-0.284,0.859,0.677,-0.835,-2.581,-2.56,0.037,1.916,0.695,0.662,0.193,0.332,-0.638,1.995,-0.544,-0.756,-1.044,1.368,1.773,1.506,-0.875,1.341,0.129,1.364,-1.065,1.798,1.012,0.532,0.588,1.232,-0.33,-0.491
