"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Isle of Man","January",-0.181,0.456,-4.197,0.864,-0.674,-0.293,0.921,1.113,1.132,0.016,1.037,-0.05,1.363,2.187,2.305,1.99,-1.159,-0.436,-3.043,-0.994,1.471,-0.22,2.235,-0.667,-2.473,-0.308,-1.406,0.917,2.966,2.341,-0.564,0.699,1.823,0.975,0.548,1.496,-0.029,1.238,1.327,1.308,-0.451,2.462,0.759,1.392,2.533,1.108,2.747,2.214,0.149,-1.858,-0.214,2.152,0.854,1.701,0.751,1.906,1.613,1.196,1.31
"2","Isle of Man","February",3.011,0.945,-3.353,0.679,-0.528,1.324,1.267,-1.831,-2.851,-1.009,1.28,0.505,0.645,1.357,1.208,1.126,0.514,-1.003,-1.833,1.426,-0.09,1.331,-1.258,0.573,-0.35,-3.451,0.031,0.711,1.786,2.267,-1.175,1.927,2.079,-0.569,1.867,-0.741,2.252,3.878,1.551,2.151,0.239,2.339,0.56,1.067,0.819,0.851,1.654,1.799,0.982,-1.333,2.529,2.14,0.183,1.777,0.426,0.794,2.238,-0.477,3.268
"3","Isle of Man","March",2.769,-2.532,0.479,-0.787,-0.39,1.17,0.855,0.443,-2.006,-1.287,-0.188,0.222,0.636,-0.015,-0.785,-0.306,1.166,0.641,-1.463,-0.955,1.693,0.276,1.019,-0.705,-0.709,-0.395,-0.976,0.659,0.979,2.575,1.808,1.571,0.805,1.193,-0.452,-0.789,2.316,2.231,1.455,1.78,-0.655,1.708,1.74,1.014,1.988,-0.421,1.161,0.389,1.416,0.223,0.911,3.02,-2.39,1.539,0.516,0.726,2.528,-0.925,1.846
"4","Isle of Man","April",1.447,-0.281,0.201,0.627,0.11,-1.015,0.22,-0.099,-0.511,-1.115,-0.148,0.372,-0.763,0.332,0.412,0.317,-0.696,-1.214,-0.736,0.817,0.181,0.848,-1.65,0.574,0.51,-2.198,1.749,0.586,-1.456,0.021,0.1,0.393,1.238,-0.172,0.822,0.578,1.408,-0.397,1.378,-0.496,-0.285,1.066,1.871,1.392,0.748,0.451,3.075,0.163,1.669,1.107,3.465,-0.583,-0.481,2.434,0.752,-0.569,1.198,1.18,1.398
"5","Isle of Man","May",-0.097,-0.757,-0.778,1.56,0.348,-0.061,-1.364,-1.416,-0.232,1.504,0.113,-0.648,0.078,-0.192,-1.073,0.1,-0.546,0.753,-1.755,0.326,0.225,0.228,-0.887,-0.795,-0.308,-0.283,-0.588,0.346,1.198,1.508,0.498,1.805,-0.075,-0.616,0.23,-1.811,0.467,1.495,1.584,0.829,1.537,0.786,0.741,1.054,0.087,0.714,0.783,2.444,0.858,0.085,1.025,0.528,-0.241,1.442,-0.41,1.407,2.275,2.054,0.558
"6","Isle of Man","June",-0.079,-0.73,0.448,-0.372,0.228,1.014,0.106,0.53,-0.163,1.972,-1.349,-2.199,0.653,-0.508,0.534,1.999,-1.181,-0.607,-0.042,-0.412,-0.592,0.799,-0.031,0.532,-1.322,0.531,-1.33,0.962,0.241,-0.414,-1.579,1.618,0.541,-0.308,0.606,0.107,-0.297,-0.106,-0.509,0.43,-0.126,0.033,1.308,1.358,1.515,1.768,1.012,0.15,1.285,1.672,-0.443,-0.332,0.431,1.392,-0.024,1.502,1.552,2.372,0.175
"7","Isle of Man","July",-0.899,-0.921,-0.658,0.031,-1.64,-0.543,0.344,-0.723,0.777,-0.562,0.812,-0.004,0.067,-0.754,1.373,1.7,0.694,-0.725,0.222,-0.831,-0.283,0.872,2.814,1.178,0.131,-0.146,0.511,-0.747,2.458,0.996,1.578,0.456,-0.493,0.978,2.323,0.446,1.037,-0.184,1.694,0.351,0.762,-0.082,1.726,0.012,1.119,3.145,0.012,0.954,0.767,1.133,-0.101,-0.234,2.945,2.061,-0.193,1.033,0.79,2.356,1.898
"8","Isle of Man","August",-0.408,-1.076,-1.043,-0.181,-0.63,-0.725,-0.135,0.149,0.635,0.511,-0.01,-0.793,0.578,-0.413,2.272,1.633,0.02,-0.276,-0.751,0.309,0.884,0.105,1.958,1.763,-1.113,-2.242,0.262,-0.359,0.595,1.69,1.415,-0.706,-0.936,-0.201,3.199,0.674,2.464,0.485,0.662,0.994,0.715,1.258,2.005,1.672,0.838,0.799,0.371,1.014,0.975,-0.081,-0.266,1.29,1.431,-0.172,0.174,1.398,0.389,1.031,1.524
"9","Isle of Man","September",0.829,-1.005,-0.661,0.468,-1.193,0.669,0.017,0.285,0.328,0.613,1.176,-1.409,0.486,-1.692,-0.646,-0.136,-0.459,0.71,-0.326,1.034,0.914,0.199,0.081,-0.123,1.092,-1.668,-0.376,-0.336,0.278,-0.651,0.918,-0.866,-0.98,-0.859,0.151,0.573,0.532,1.111,1.663,1.06,0.365,0.827,0.871,1.198,1.385,2.566,0.604,0.166,0.639,0.877,1.343,-0.17,0.751,1.475,-0.346,1.973,0.169,-0.13,0.815
"10","Isle of Man","October",-0.263,0.057,0.417,-1.31,0.52,-1.111,-0.585,1.794,2.392,0.209,1.241,0.278,-0.98,-2.422,0.122,-0.749,1.205,1.519,0.548,-1.529,-2.879,-0.446,-0.291,0.075,0.341,-0.023,-1.616,-0.279,0.949,0.82,-0.643,-2.834,-2.531,-0.26,2.097,0.8,0.058,-0.155,0.29,-0.576,2.323,-0.897,-1.172,-0.812,1.657,1.842,1.039,-0.963,1.142,-0.021,1.508,-1.309,1.74,1.24,0.468,0.503,1.585,-0.114,-0.644
"11","Isle of Man","November",-0.249,-0.65,0.658,0.854,-2.022,-1.176,-0.749,0.28,-1.92,0.6,0.131,-0.459,-0.183,-0.448,0.094,-0.519,-1.001,1.837,0.523,0.367,1.1,0.364,1.164,0.333,-2.354,0.869,0.258,-0.535,0.259,0.145,0.061,0.565,-1.126,3.068,1.331,-0.781,1.994,0.179,1.198,-0.01,1.42,1.854,1.439,1.651,0.026,1.289,1.918,0.649,1.194,-1.361,3.041,0.035,0.092,1.523,2.464,-0.643,0.421,1.722,-0.088
"12","Isle of Man","December",-2.384,-1.302,-1.293,-1.089,-0.471,0.36,-0.165,-1.094,-0.934,-0.385,1.909,0.952,0.125,2.513,0.741,-2.676,1.277,-0.717,0.045,0.841,-3.486,-0.654,1.424,0.511,0.924,0.614,1.142,2.817,-0.567,-0.45,0.738,-0.924,-0.132,1.169,-1.953,-1.188,1.285,0.958,-0.372,0.228,-0.729,0.653,0.268,1.184,0.546,1.372,0.894,-0.697,-1.921,-4.751,0.854,0.17,1.816,0.415,3.457,1.897,0.359,2.318,1.093
