"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Israel","January",-0.055,1.047,2.098,-2.074,-0.255,1.132,-0.879,-0.902,-0.555,1.159,2.337,-0.871,-0.767,-1.853,-0.695,-0.247,-1.026,-0.116,0.411,-0.978,-0.952,0.471,-2.87,0.047,2.044,0.577,0.746,-0.165,-2.688,-0.924,-0.273,-2.569,-1.719,1.644,0.047,0.168,0.89,-0.092,0.984,-0.892,0.604,-1.414,1.703,0.238,0.621,0.281,-0.416,-2.245,0.704,2.799,1.164,-0.717,0.553,1.166,-0.376,-0.426,-0.488,0.873,-0.11
"2","Israel","February",-1.786,-0.626,1.981,-0.937,0.217,0.579,-1.914,-0.831,1.089,0.734,-0.279,-1.603,1.648,-0.364,-0.915,-1.986,2.097,0.971,1.668,-1.181,-0.659,-1.919,-2.353,0.442,-1.372,0.67,1.584,-0.777,-1.829,-1.375,-0.052,-3.454,-2.596,-0.192,-0.208,0.797,-2.384,0.114,0.36,-1.093,-0.26,1.311,-1.166,-0.05,-0.339,0.89,0.429,-0.879,0.651,2.605,0.98,-0.85,1.166,0.628,-0.011,1.776,-1.286,2.612,0.259
"3","Israel","March",-1.743,2.502,-0.885,0.898,1.17,0.003,-2.606,-1.066,1.88,1.633,0.52,-0.514,-0.424,0.498,0.417,-0.521,-0.564,0.464,1.194,-0.401,0.536,-1.986,-1.836,0.534,-0.203,0.913,-2.458,-0.968,-0.503,-0.589,1.24,-2.053,-1.065,-0.442,0.24,-0.52,-2.088,-1.061,0.795,-1.538,3.284,1.783,-1.891,1.489,0.567,0.731,-0.143,3.27,-0.474,3.035,0.228,-1.073,2.81,1.631,1.537,2.15,0.565,3.546,-0.639
"4","Israel","April",-0.09,-1.09,0.776,-0.996,-0.817,0.983,-1.094,0.515,-1.578,1.455,-2.023,1.569,-0.648,-0.081,2.155,-0.209,-0.62,0.326,1.578,0.29,0.195,1.272,-1.433,-0.834,-0.084,1.879,-1.39,0.464,2.921,0.143,1.656,-1.001,0.371,2.314,-0.779,-0.673,-1.413,1.57,0.21,1.535,1.487,-0.171,0.333,0.399,0.966,0.297,-0.234,2.1,0.52,1.518,0.282,1.413,0.908,1.949,-0.27,3.2,1.315,1.717,-0.585
"5","Israel","May",0.469,0.042,-0.826,-1.829,-0.639,-0.266,-1.122,1.193,0.802,-0.019,0.857,-0.809,-0.388,-0.759,-0.994,-0.006,0.504,1.356,-0.352,0.741,-1.075,-1.006,-0.327,0.776,0.828,-2.202,-0.032,1.67,1.172,-0.693,0.126,-0.773,-0.482,0.981,0.353,1.615,0.819,0.81,1.531,-0.063,0.601,-0.414,2.874,0.091,-0.504,0.201,1.762,-0.27,0.251,1.154,0.219,1.32,1.828,1.054,1.435,2.03,1.358,3.262,2.299
"6","Israel","June",1.108,0.84,0.477,-0.356,1.298,0.629,-0.864,0.574,1.196,-0.666,-0.456,-0.72,-0.957,-0.265,-0.573,-0.734,0.018,-0.336,0.758,0.252,-0.112,-0.439,-0.316,-0.737,0.026,0.033,-0.491,0.538,-0.458,-0.249,0.134,-0.186,0.571,-0.039,1.081,-0.004,0.505,0.414,0.382,0.743,0.704,0.478,0.58,-0.116,-0.046,0.927,0.93,1.534,1.564,1.569,0.292,1.903,1.131,0.752,-0.192,2.756,0.756,1.645,2.256
"7","Israel","July",0.22,0.133,0.51,-0.614,0.045,0.158,-0.421,1.006,-0.919,-0.482,-0.899,-0.972,0.298,-0.017,-0.187,-0.862,0.558,1.318,-0.097,0.277,0.256,-0.613,0.015,-0.675,-0.477,0.068,0.637,1.457,0.217,0.177,-0.534,-0.568,0.305,0.087,0.444,1.046,0.807,1.162,0.966,2.405,0.99,1.812,0.724,1.223,1.023,0.261,1.218,1.077,1.39,1.446,1.631,2.531,0.494,0.765,1.048,1.841,2.503,1.472,1.466
"8","Israel","August",0.217,1.151,1.111,-0.678,0.376,0.399,-0.435,-0.448,-0.229,-0.466,-0.393,-0.386,-0.487,-0.661,-0.998,-1.486,0.84,-1.296,-0.409,0.045,-0.052,-0.417,-0.513,-1.499,1.229,-0.092,0.638,0.461,0.063,-0.231,-0.471,0.11,0.768,0.261,0.5,0.609,-0.774,2.181,1.271,0.584,1.143,0.902,0.983,0.131,0.946,1.104,0.851,1.477,0.932,3.149,0.844,1.818,0.87,1.272,2.775,1.776,1.767,1.115,1.324
"9","Israel","September",-1.679,0.915,1.092,-0.877,0.328,-0.124,-0.68,-0.391,1.045,-0.241,0.427,0.693,0.321,-0.309,-0.243,-0.673,-0.108,-0.628,0.422,-0.809,0.837,0.081,-0.353,0.079,0.307,1.804,0.565,0.787,0.36,-0.175,0.043,-0.148,0.353,2.095,0.971,0.995,-0.315,1.697,1.004,0.605,0.836,1.148,0.318,0.699,0.871,1.394,0.829,1.502,0.571,2.388,1.059,1.735,0.748,0.943,3.41,1.227,1.624,1.97,1.528
"10","Israel","October",-0.771,1.032,1.588,0.108,-1.649,0.346,-0.575,-1.038,-0.027,-1.427,-1.266,0.69,0.56,1.139,-0.959,0.448,-1.717,0.807,0.385,-0.08,0.788,0.06,-1.402,0.117,-1.757,-0.245,-1.44,-1.002,-0.958,0.857,0.757,0.599,1.901,2.792,-0.453,-0.666,0.129,0.99,0.526,-0.918,0.269,1.239,0.568,1.377,-0.387,0.103,1.285,-0.214,2.14,2.63,0.043,1.771,-0.889,-0.184,2.157,1.444,0.261,1.643,1.899
