"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Italy","January",-0.258,1.41,-2.506,-1.179,0.439,-1.246,-0.717,-1.379,-0.098,1.266,0.357,0.562,0.562,1.848,1.39,0.289,1.152,0.27,-0.973,-0.717,-2.097,1.12,1.181,0.349,-2.511,0.076,-0.856,2.537,0.53,0.829,0.428,0.274,0.886,1.804,-0.155,1.772,1.727,1.427,1.097,-0.456,1.93,-0.235,0.868,-0.016,-0.274,-0.836,3.101,2.105,0.651,-0.091,0.934,0.65,1.157,2.964,1.57,2.017,-1.175,3.068,-0.5
"2","Italy","February",1.402,-0.946,-2.557,0.058,-3.047,2.872,0.005,1.151,-1.129,-0.152,-0.287,1.485,-0.74,1.406,-0.24,0.431,2.254,-0.097,0.794,0.561,-1.48,-0.954,-2.101,-1.32,-0.45,-2.029,0.017,0.311,1.479,3.131,-1.429,0.111,-0.892,0.222,2.325,-1.02,1.688,2.203,-1.126,0.963,1.183,2.315,-2.445,0.674,-2.154,-0.201,2.495,0.99,-0.477,0.45,0.712,-2.454,-1.025,2.768,0.166,3.01,2.483,-0.845,1.525
"3","Italy","March",1.426,-1.818,-0.92,0.256,-0.166,-0.638,1.128,0.275,-0.137,-1.079,-2.634,1.734,-1.419,0.834,0.064,-1.086,2.153,0.586,1.058,-0.02,1.728,-0.855,0.427,-1.227,-0.598,0.024,-2.991,-0.267,2.544,2.108,2.423,0.627,-0.65,3.011,-0.494,-0.864,1.729,-0.001,0.905,1.147,3.466,2.448,0.785,-0.047,0.171,-0.173,1.632,1.023,0.694,0.516,0.898,2.539,0.576,1.796,1.208,1.166,2.776,0.651,2.113
"4","Italy","April",2.742,0.312,0.643,0.65,-1.003,1.34,-0.505,1.779,-0.251,-0.385,1.148,0.181,-1.822,-0.607,0.031,-0.417,-0.193,-1.023,-1.294,-1.849,1.059,-0.54,0.879,-0.801,0.542,0.226,0.488,0.802,0.639,-0.121,-1.041,0.532,0.743,-0.137,0.106,0.758,-1.136,0.926,0.925,1.788,0.072,0.911,0.427,0.757,0.45,1.729,3.166,1.053,1.84,1.485,2.496,1.258,2.04,1.847,1.368,2.808,1.552,3.717,1.284
"5","Italy","May",-0.013,-0.345,-0.327,0.897,-0.482,0.104,0.427,0.672,1.665,-1.533,0.783,-0.551,1.042,-0.57,0.232,0.216,0.179,-1.138,0.18,-2.069,-0.303,0.37,0.29,-1.503,0.375,2.431,-1.509,1.296,0.245,1.183,-2.531,1.24,1.677,1.508,0.334,0.804,1.508,0.847,2.357,2.775,2.305,1.185,2.995,-0.66,2.038,1.62,2.194,1.635,2.953,0.527,1.649,0.934,0.416,0.326,2.164,0.6,1.992,2.315,-1.253
"6","Italy","June",0.502,-0.649,-0.075,1.362,0.089,0.958,-1.214,-0.528,-1.423,0.778,-0.657,0.045,0.655,-0.6,-1.087,0.319,-0.593,-0.448,1.186,-1.241,0.589,1.792,-0.018,-0.873,-0.136,-0.278,-0.338,-0.004,-0.708,0.554,-0.053,-0.454,1.461,0.697,-0.478,1.09,1.35,1.913,1.409,2.04,0.977,2.51,4.922,1.054,1.936,1.395,1.946,1.611,1.261,1.033,1.501,2.889,0.541,1.638,2.128,1.379,3.537,2.008,3.732
"7","Italy","July",-0.414,0.031,0.997,0.277,0.425,-1.005,1.103,-0.067,-0.655,-0.38,0.223,-0.556,0.36,-0.166,0.164,-0.024,0.035,-0.99,-0.084,-1.484,-1.096,1.699,2.599,0.157,1.57,-0.142,1.585,2.155,0.556,0.85,1.238,0.081,0.042,2.249,2.001,-0.001,0.277,1.819,1.003,0.287,1.408,0.923,3.073,1.229,1.595,2.745,1.777,1.468,1.837,2.426,0.625,2.595,1.835,0.118,3.98,2.136,2.3,2.467,2.538
"8","Italy","August",0.15,1.725,0.094,-0.234,-0.866,-0.409,0.782,-1.475,-0.573,0.378,2.134,-1.103,0.679,0.909,-0.35,-2.132,-0.992,-0.764,-0.635,0.66,0.027,0.472,0.182,-0.792,0.587,1.287,1.079,1.599,0.735,0.705,1.493,2.675,1.967,3.22,0.221,0.555,0.864,2.118,2.08,2.064,2.383,0.339,4.359,1.554,-0.064,-0.095,1.117,1.812,2.809,1.089,2.096,3.18,2.07,0.688,2.394,1.284,3.262,2.394,2.964
"9","Italy","September",2.032,0.769,0.325,-0.172,-1.128,0.509,-0.061,-0.493,0.06,0.941,-1.159,-2.357,1.017,0.035,1.46,-1.779,-1.563,-0.62,-0.626,0.537,0.417,1.794,0.46,-1.055,1.483,0.438,3.118,0.008,-0.101,0.438,1.687,0.817,0.128,1.332,-1.104,-2.088,1.279,0.007,1.705,0.856,-0.907,-0.633,0.329,0.791,0.686,1.287,-0.379,-0.087,1.512,-0.075,2.686,1.247,1.07,0.968,1.283,1.594,-0.148,2.129,1.927
"10","Italy","October",1.008,0.736,-0.287,-0.593,0.256,2.042,1.919,0.55,0.734,-0.477,-0.669,-1.835,0.195,-3.442,-0.439,0.428,0.874,-0.625,0.628,-0.203,0.933,0.329,0.266,0.496,0.677,1.329,1.883,2.068,-0.388,2.338,-0.1,0.619,0.974,0.653,1.447,-0.377,0.599,0.558,1.646,1.258,3.306,0.828,0.054,2.679,0.99,2.373,0.317,1.457,0.218,-0.034,0.599,1.92,2.518,2.411,1.056,1.207,1.458,2.297,2.752
"11","Italy","November",0.632,-0.715,2.639,0.654,0.428,-1.632,1.304,0.335,1.196,0.973,-0.924,0.376,-0.543,-0.751,-0.802,-0.527,0.257,-1.38,-0.921,-0.38,-1.503,0.597,-0.337,1.22,-0.616,0.366,0.436,-1.813,-0.363,0.361,-0.41,1.709,-0.76,2.106,-0.525,0.968,0.773,-1.431,-0.228,1.644,0.004,2.357,1.587,0.504,0.033,1.422,-0.499,0.939,1.363,1.243,1.267,2.434,1.068,3.216,1.984,1.395,0.343,2.065,1.888
"12","Italy","December",0.035,-2.141,-0.243,-0.06,0.766,-0.681,-0.779,-0.803,-2.361,-0.316,0.257,0.298,-0.479,0.266,0.299,-0.198,-0.258,0.833,1.011,-1.86,0.046,0.551,-0.245,0.525,1.569,-0.693,1.275,-0.307,1.079,-1.562,-1.963,0.418,1.233,1.156,1.052,0.34,0.821,-1.088,0.229,2.108,-1.964,1.303,0.504,1.402,-1.017,1.817,-0.383,0.315,0.722,-0.395,1.436,-0.082,1.193,1.624,2.235,1.092,-0.155,1.183,2.518
