"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Jamaica","January",0.3,0.01,-0.083,0.04,-0.81,0.431,-0.202,-0.21,0.084,-0.229,-0.533,0.144,-0.338,0.359,0.657,-0.706,NA,NA,NA,0.829,0.038,0.978,1.187,0.325,-0.135,0.042,0.425,1.759,0.679,1.286,0.965,0.906,0.621,0.994,0.83,0.709,0.516,1.744,1.143,0.174,0.134,1.357,1.085,0.776,0.642,0.536,1.804,0.67,0.862,0.914,0.655,0.638,1.395,1.528,1.265,1.571,1.14,1.105,1.34
"2","Jamaica","February",0.6,-0.19,0.026,0.513,-0.073,0.33,-0.383,-0.583,-0.114,0.071,-0.143,-0.146,0.216,-0.066,0.532,-0.378,NA,NA,NA,0.699,1.198,0.348,0.517,0.4,0.34,-0.036,0.733,1.58,0.302,0.599,0.683,0.992,-0.269,1.084,0.968,0.369,1.174,1.362,0.143,0.324,1.094,1.122,1.486,1.544,0.207,0.461,1.54,0.111,0.22,1.644,1.069,1.026,1.03,1.01,0.903,1.311,1.183,1.17,1.308
"3","Jamaica","March",0.607,-0.383,0.184,0.698,-1.177,0.098,-0.735,-0.399,0.842,-0.081,-0.212,-0.679,0.984,-0.232,0.509,-0.515,NA,NA,NA,0.936,1.315,0.405,0.644,0.252,0.363,0.229,0.853,0.877,-0.589,0.589,0.9,1.058,-0.083,1.084,0.823,0.256,0.698,1.186,0.859,0.195,0.855,1.121,1.572,0.915,1.841,0.952,1.06,0.587,0.518,0.775,0.474,0.57,0.456,0.947,1.093,1.638,0.916,1.227,1.125
"4","Jamaica","April",0.085,0.625,-0.546,-0.232,-0.328,0.249,-0.711,-0.967,0.875,0.106,-0.644,0.043,0.507,-0.167,0.103,-0.639,NA,NA,NA,0.604,0.813,0.113,0.082,0.38,-0.158,0.221,0.744,0.721,0.385,0.273,0.541,0.719,0.097,0.901,1.201,0.534,0.443,0.722,0.819,0.699,0.459,0.436,1.07,0.511,1.275,0.947,0.955,0.322,0.143,1.599,-0.441,0.358,1.173,1.436,0.579,1.521,1.099,1.236,1.007
"5","Jamaica","May",0.092,-0.328,-0.105,-0.199,-0.449,-0.272,-0.341,0.102,0.645,-0.395,-0.155,0.139,0.398,0.164,0.224,0.192,NA,NA,NA,0.681,0.96,-0.37,0.899,0.193,0.168,-0.287,0.959,1.032,0.304,0.523,0.237,-0.022,0.245,0.815,1.234,-0.049,0.45,1.127,0.682,0.97,0.63,0.422,1.199,0.6,1.488,1.248,0.579,0.487,0.403,2.12,0.646,0.633,0.9,0.732,0.882,1.409,0.7,0.902,0.968
"6","Jamaica","June",0.393,-0.146,-0.431,-0.017,-0.104,-0.117,-0.2,0.367,0.183,0.16,-0.036,-0.484,0.211,0.429,0.664,-0.129,NA,NA,0.102,0.311,0.731,0.39,0.82,0.283,0.296,-0.249,1.885,0.784,0.712,0.823,1.003,1.262,1.095,1.375,1.549,0.549,1.105,1.941,0.741,1.02,1.13,0.68,0.83,1.528,0.938,1.044,1.217,0.399,0.661,2.13,0.604,0.761,1.254,1.371,1.84,1.455,1.006,1.44,1.733
"7","Jamaica","July",-0.5,0.322,-0.192,-0.168,-0.038,-0.531,0.149,0.379,0.676,-0.228,-0.224,0.254,0.247,0.518,-0.063,-0.323,NA,NA,0.619,0.308,1.087,0.097,1.316,0.118,0.335,0.196,1.682,1.117,0.495,0.281,1.015,0.858,0.434,1.102,1.053,0.182,0.99,1.37,0.727,0.677,0.977,0.999,0.244,0.65,0.767,1.268,1.19,0.797,1.365,1.247,0.658,0.889,0.698,1.339,1.19,1.644,1.337,1.607,0.539
"8","Jamaica","August",0.315,-0.131,-0.118,-0.204,0.017,0.423,0.047,0.163,0.057,-0.7,-0.714,-0.398,0.037,0.491,0.415,-0.105,NA,NA,0.404,0.063,0.862,0.392,0.262,-0.078,0.009,0.681,1.62,0.48,0.465,0.787,0.745,0.749,0.728,0.616,0.504,-0.102,1.435,1.659,0.97,1.175,1.255,1.081,0.844,1.432,1.343,0.864,0.127,0.742,1.278,1.245,0.916,0.727,0.995,1.215,1.712,1.285,1.441,1.712,1.495
"9","Jamaica","September",-0.369,-0.048,0.322,-0.011,0.222,0.489,-0.121,-0.173,-0.013,-0.58,-0.584,-0.161,0.233,-0.167,-0.223,NA,NA,NA,-1.09,1.149,1.379,0.258,0.7,-0.444,0.197,0.616,1.919,0.176,0.96,1.128,0.571,0.689,-0.169,1.108,1.157,0.405,1.395,1.298,0.861,0.002,0.952,0.593,1.208,0.877,1.892,1.479,1.129,0.88,1.681,1.192,1.229,1.098,0.995,1.398,1.654,1.428,1.426,1.45,1.744
"10","Jamaica","October",-0.505,0.217,0.167,-0.463,0.204,0.074,0.161,-0.042,-0.019,-0.005,-0.582,0.095,0.316,0.286,0.036,NA,NA,NA,0.394,1.453,0.783,-0.018,0.433,-0.138,-0.072,0.15,1.16,0.933,1.07,0.52,0.399,0.959,0.901,0.894,0.396,1.083,1.189,1.38,0.727,0.558,1.068,0.843,1.325,0.894,0.215,1.934,-0.554,0.935,1.436,1.298,1.063,0.563,0.99,1.204,1.961,1.067,1.096,0.985,1.218
