"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Japan","January",-0.981,-0.092,-1.722,1.306,0.37,-0.152,-0.852,0.035,0.496,-1.015,-0.229,2.046,1.698,-0.183,-0.132,-0.367,-2.108,0.255,1.278,0.319,-1.395,-0.14,0.799,-1.473,-1.653,-1.338,0.303,1.607,2.44,-0.051,1.371,1.669,1.737,0.449,0.493,0.582,0.835,0.232,1.133,1.74,-0.24,1.551,0.026,0.646,0.572,0.285,1.956,0.742,1.317,1.117,-1.158,-0.167,-0.258,0.569,1.329,1.243,1.014,0.402,1.324
"2","Japan","February",-0.628,0.34,-1.077,-1.133,-0.319,1.228,-0.453,-2.147,0.165,0.569,-0.042,0.684,1.584,-0.291,-0.773,1.491,-1.784,-1.791,2.024,-1.413,-0.424,-0.474,-0.688,-2.32,0.71,-1.905,0.537,-0.792,1.893,2.929,0.053,0.633,1.494,0.991,0.482,-0.291,0.854,1.608,0.353,-0.564,0.215,1.74,0.845,1.887,0.087,1.14,2.551,-0.414,2.357,1.578,1.639,-0.527,0.41,0.533,1.258,1.316,1.081,-0.357,2.052
"3","Japan","March",0.6,-0.255,-0.066,-0.185,-1.631,1.386,0.578,0.651,-0.868,-2.753,-0.502,0.607,-0.583,-0.815,-0.399,0.109,0.566,-0.401,0.308,0.026,0.125,0.941,0.025,-2.374,0.447,-0.513,0.441,-0.177,1.098,1.698,1.286,1.54,0.286,-0.479,0.499,0.275,1.236,1.518,1.389,0.22,0.469,2.479,0.144,0.992,-0.047,0.515,1.204,1.782,1.32,0.837,-0.566,0.388,1.81,0.939,1.865,1.801,0.495,2.497,1.998
"4","Japan","April",0.761,0.062,0.556,2.264,-2.017,-0.204,0.297,-0.014,-0.038,-0.881,-0.28,-0.028,1.373,0.13,0.42,-0.321,0.228,-0.541,-0.739,-1.013,-0.127,-0.531,1.991,-1.3,0.311,0.096,-0.156,-0.316,0.731,0.24,1.037,0.558,-0.664,1.106,0.276,-1.737,0.555,2.687,0.378,-0.228,0.842,1.908,1.105,0.932,0.771,-0.708,-0.35,0.818,0.592,-0.904,-0.323,0.344,-0.241,0.172,1.446,1.678,1.022,1.846,0.396
"5","Japan","May",0.989,0.362,1.149,0.585,-0.439,-0.608,1.147,-0.664,0.057,0.674,-0.48,-0.041,-0.193,0.291,-0.266,-0.062,-0.33,0.268,-0.862,0.148,-1.06,1.022,0.547,-0.799,0.606,-0.347,0.224,-0.236,-0.307,0.376,0.371,-0.658,-0.334,1.042,0.335,-0.639,0.459,1.984,0.553,0.835,0.824,0.68,0.749,1.46,-0.294,0.63,0.458,0.361,0.976,-0.129,-0.045,0.451,0.169,0.841,1.821,2.048,1.493,1.222,1.616
"6","Japan","June",0.818,-0.197,0.581,-0.474,-0.101,-0.713,0.514,-0.219,-0.722,-0.594,0.04,0.099,-0.49,-0.311,0.184,-0.181,-0.044,1.258,1.366,1.262,-0.493,-0.488,-1.078,1.131,-0.543,-0.157,0.393,0.45,-0.716,1.46,1.839,-0.629,-0.244,0.469,-0.623,0.476,0.344,0.328,1.034,0.647,0.905,0.259,0.627,1.463,1.619,0.48,1.175,0.132,0.694,1.295,1.159,0.136,1.1,0.968,0.51,0.892,-0.06,0.95,0.692
"7","Japan","July",1.442,0.282,0.352,0.115,-0.729,-0.755,0.531,-0.378,-0.309,0.088,0.474,0.063,0.69,-0.985,0.136,-1.009,0.707,1.982,-0.568,-1.03,0.77,-1.272,-1.108,0.911,0.28,-1.076,0.428,-1.184,-0.206,0.796,0.365,-0.064,-1.646,1.931,0.49,0.289,0.291,0.35,0.168,1.186,1.202,0.763,-1.689,1.206,0.086,0.029,-0.704,1.138,-0.147,1.223,0.933,0.578,1.205,0.752,0.463,0.663,1.823,1.616,0.148
"8","Japan","August",0.692,0.239,-0.077,0.533,-0.094,0.465,0.747,-0.406,-0.251,0.078,-0.405,-0.19,1.061,0.005,0.2,-1.175,-0.891,0.978,0.243,-1.912,-0.455,-0.074,0.573,0.979,1.311,0.222,-0.122,0.27,0.277,1.258,-0.645,-0.274,-1.612,1.865,1.02,-0.294,-0.26,0.451,1.138,0.997,-0.165,-0.077,-0.505,0.14,0.919,1.301,1.173,-0.03,-0.27,2.134,0.621,1.14,1.3,-0.159,0.118,1.299,0.473,0.802,0.903
"9","Japan","September",2.126,0.761,-0.856,-0.153,-1,-0.368,-0.039,-0.497,0.27,0.762,-0.729,-0.484,-0.39,-0.644,1.406,-1.48,0.588,0.13,0.255,-0.603,-1.12,-0.745,0.546,-0.218,0.506,0.303,-0.192,0.245,0.661,1.141,0.776,-0.252,-0.674,1.245,-0.257,-0.216,-0.351,1.528,2.075,0.846,-0.151,0.226,0.731,1.075,1.378,0.265,1.982,0.851,0.182,1.76,1.076,1.949,0.957,-0.067,-0.162,1.47,0.113,0.468,1.852
"10","Japan","October",1.602,-0.313,-0.472,-0.303,-0.72,0.455,-0.399,-1.121,-0.776,0.382,-0.853,0.206,-0.283,-0.036,0.333,-0.535,0.843,-0.356,1.11,-0.117,-0.562,0.243,-0.351,-0.704,0.253,-1.418,1.082,-0.301,-0.185,1.003,0.594,0.055,-0.513,1.334,1.256,0.225,-0.403,2.193,1.235,1.006,0.776,0.348,-0.102,0.582,1.547,1.392,1.254,1.368,0.715,1.338,0.8,0.868,1.743,0.592,0.169,1.43,0.61,0.926,2.028
"11","Japan","November",1.013,-0.202,0.324,-0.451,0.379,-0.015,-0.221,0.623,-0.592,-0.287,-0.085,-0.292,-0.988,-1.136,0.393,-1.599,1.193,0.051,0.344,0.523,-1.937,1.113,-0.688,0.063,-0.321,-0.686,0.344,-1.653,0.987,2.14,-0.002,0.255,1.282,1.139,-0.682,0.387,1.467,0.306,0.791,0.74,-0.048,-1.805,2.116,2.064,0.537,1.376,0.228,0.201,0.649,0.335,1.904,-0.199,0.073,1.153,1.949,-0.095,-0.071,1.325,0.718
"12","Japan","December",0.424,0.555,0.974,0.011,-0.468,-1.445,-1.773,2.095,-1.466,-0.794,0.158,0.597,-1.721,-0.972,-0.884,-0.768,1.004,0.783,1.433,-0.926,-0.206,0.597,-1.305,-0.457,-1.449,0.571,0.232,-0.071,0.51,1.569,1.094,0.983,0.482,0.85,-0.656,0.321,1.137,1.074,0.078,0.234,-0.656,-0.328,0.853,1.53,-2.171,0.957,0.946,1.116,0.326,0.944,-0.504,-1.095,0.088,-1.018,1.912,1.255,-0.966,0.994,1.343
