"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Jordan","January",-0.252,1.142,2.764,-2.584,-0.241,1.516,-0.684,-0.815,-0.55,1.106,1.98,-1.142,-0.819,-2.018,-0.658,-0.286,-1.459,0.243,0.677,-0.978,-0.635,0.574,-2.573,0.165,1.975,0.565,0.793,-0.201,-2.901,-1.211,-0.474,-2.791,-1.997,1.921,0.585,0.37,0.969,-0.286,1.025,-0.854,0.652,-1.464,1.634,0.287,0.455,0.364,-0.532,-2.922,0.013,3.212,1.157,-0.493,0.679,1.353,0.327,0.067,-0.255,1.282,0.597
"2","Jordan","February",-1.878,-0.402,1.994,-0.831,0.55,0.672,-2.039,-0.835,1.378,0.919,-0.258,-2.253,2.014,-0.805,-1.114,-1.986,2.496,1.086,1.749,-1.248,-0.823,-2.233,-2.347,0.418,-1.77,0.859,1.804,-0.787,-2.182,-1.631,-0.328,-3.372,-2.668,-0.206,-0.134,1.01,-2.775,-0.021,0.849,-1.251,-0.19,1.151,-1.495,-0.055,-0.339,0.939,0.558,-1.435,0.584,2.377,0.689,-0.929,1.762,0.747,0.327,2.233,-1.306,3.063,0.265
"3","Jordan","March",-1.717,2.837,-0.905,1.064,1.34,0.086,-2.703,-1.011,2.198,1.004,0.539,-0.571,-0.335,0.652,0.195,-0.765,-0.4,0.471,1.265,-0.403,0.61,-2.184,-1.817,0.371,-0.574,0.922,-2.816,-1.151,-0.089,-0.816,1.183,-2.826,-1.295,0.181,0.454,-0.595,-2.351,-1.241,0.68,-1.408,3.565,1.583,-2.064,1.724,0.978,0.869,-0.562,3.6,-0.458,3.077,0.106,-1.4,2.277,2.054,1.675,2.376,0.563,4.308,-0.504
"4","Jordan","April",-0.029,-0.959,0.713,-0.915,-1.107,1.051,-0.916,0.362,-1.466,1.682,-2.311,1.381,-0.544,-0.45,1.932,-0.541,-1.126,0.812,1.789,0.184,-0.113,1.472,-1.299,-0.841,0.04,1.834,-1.095,0.093,3.092,-0.059,2.401,-0.754,0.352,2.594,-0.369,-0.63,-0.99,1.444,0.618,1.98,1.434,-0.128,0.52,0.434,0.736,0.375,-0.561,2.594,0.484,1.899,0.197,2.101,0.547,2.614,-0.043,3.493,1.502,1.821,-0.93
"5","Jordan","May",0.518,0.488,-1.432,-1.792,-0.77,0.032,-1.225,0.695,0.666,0.067,0.747,-1.003,-0.258,-0.344,-0.979,-0.227,0.602,1.849,0.015,1.108,-1.314,-1.054,-0.138,0.541,1.109,-2.365,0.543,1.367,1.385,-0.422,-0.2,-0.2,-1.035,1.457,1.096,2.351,1.332,1.024,2.113,-0.023,0.363,-0.414,2.563,0.078,-1.005,0.796,2.144,-0.165,0.145,1.51,0.189,1.518,1.814,0.888,1.647,1.809,1.649,2.503,2.95
"6","Jordan","June",1.089,1.271,0.606,-0.375,1.289,0.99,-1.231,0.206,1.355,-0.445,-0.816,-0.893,-1.226,0.156,-0.658,-0.419,-0.088,-0.426,0.334,0.791,-0.214,-0.351,-0.216,-0.54,0.114,-0.551,-0.208,0.308,-0.404,0.415,0.432,-0.456,0.403,0.029,1.187,0.514,0.387,0.887,0.328,0.995,1.122,0.274,0.471,0.15,-0.006,1.686,1.232,1.423,1.359,1.725,0.508,2.838,1.176,0.542,-0.35,2.691,0.937,1.407,2.687
"7","Jordan","July",0.399,0.417,0.429,-0.324,-0.05,0.276,-0.515,1.362,-0.822,-0.529,-0.734,-1.211,0.002,-0.08,-0.053,-1.168,0.539,1.71,-0.377,0.88,0.362,-1.094,0.061,-0.624,-0.429,0.184,0.994,1.509,0.34,0.299,-0.589,-0.983,0.087,-0.693,-0.111,2.106,0.501,1.588,0.99,3.447,1.377,1.627,0.478,1.413,1.112,0.181,1.316,1.033,0.818,2.066,2.092,2.652,0.655,0.625,1.543,2.007,3.591,1.371,1.405
"8","Jordan","August",0.5,1.606,0.973,-0.762,0.886,1.113,-0.927,-0.722,0.055,-0.774,-0.616,-0.574,0.069,-0.877,-1.106,-1.576,1.426,-1.608,-0.365,-0.446,0.194,-0.558,-0.821,-1.934,1.855,0.088,0.789,0.174,0.106,-0.171,-0.822,0.002,0.582,-0.07,0.422,1.053,-1.226,3.09,1.566,1.023,1.451,0.302,1.418,-0.121,1.109,1.301,1.013,1.646,0.423,3.932,0.983,1.363,0.866,1.449,2.755,2.647,2.447,1.019,1.507
"9","Jordan","September",-2.021,1.291,1.14,-0.847,0.56,-0.047,-0.977,-0.59,1.062,-0.446,0.753,0.559,0.516,-0.612,-0.326,-0.857,0.012,-0.27,1.463,-0.837,1.096,0.265,-0.438,0.554,0.128,2.183,0.644,0.75,0.172,0.109,0.162,-0.52,0.533,1.899,0.74,0.901,-0.38,1.557,0.623,0.365,0.769,0.876,0.004,0.864,0.272,1.149,1.154,1.632,0.174,2.718,0.967,1.833,0.575,0.55,3.619,0.973,2.491,2.057,1.872
"10","Jordan","October",-0.545,1.237,1.613,0.035,-1.89,0.268,-0.767,-0.72,0.192,-1.306,-1.392,1.165,0.527,1.193,-1.284,0.523,-2.061,0.811,0.382,0.068,0.929,-0.629,-1.745,-0.275,-1.876,-0.049,-1.716,-0.807,-0.839,0.51,0.424,0.551,1.234,2.269,-0.312,-1.038,0.227,0.765,0.64,-1.463,0.107,1.803,0.712,1.568,-0.302,0.12,1.6,-0.209,1.982,2.851,-0.159,1.729,-1.397,-0.479,2.467,1.647,0.305,1.859,2.42
