"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Kazakhstan","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.041,3.628,1.495,1.403,-2.436,2.629,-0.911,3.825,3.361,2.011,7.597,3.511,3.252,1.973,-4.981,6.962,-4.935,1.973,-0.251,-1.707,-1.386,3.4,0.85,3.03,3.405,3.853,-1.633,3.598
"2","Kazakhstan","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.366,1.985,-3.614,5.157,0.029,1.861,1.923,7.017,5.232,2.444,8.719,1.667,6.55,-2.102,4.404,4.974,1.024,2.547,-2.036,0.13,-4.617,3.557,-3.379,4.217,7.123,1.61,1.689,2.416
"3","Kazakhstan","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.299,0.527,-1.003,2.883,-2.533,4.192,-0.444,-2.014,2.765,5.405,7.483,-0.864,3.507,4.329,5.566,1,8.298,3.944,1.784,0.149,1.198,5.609,3.471,1.582,6.671,1.711,2.624,5.366
"4","Kazakhstan","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241,-0.982,-0.244,4.333,-2.653,3.965,-1.176,0.898,4.27,1.711,-1.069,-1.753,0.189,1.422,2.088,2.155,2.383,-0.25,0.766,2.54,6.291,2.601,-0.201,1.036,3.279,1.273,0.646,1.417
"5","Kazakhstan","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.461,-1.756,0.483,0.375,0.65,1.068,-0.279,0.133,-0.96,2.764,-1.904,0.379,1.634,1.745,0.213,1.211,1.983,-0.065,0.759,0.885,2.306,0.686,2.682,1.513,0.596,1.204,-0.496,0.924
"6","Kazakhstan","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13,-0.079,1.349,1.448,1.451,1.672,2.648,-1.031,0.872,0.648,-1.136,-1.092,1.184,1.533,2.497,0.286,1.195,0.618,2.733,1.226,2.784,0.735,2.121,3.138,0.72,1.248,0.192,0.823
"7","Kazakhstan","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.682,-0.168,-1.197,1.127,1.197,0.046,2.305,0.65,0.569,-0.821,0.156,-1.25,-0.101,1.441,-0.892,0.794,2.07,-0.035,0.778,1.287,2.097,0.056,-1.056,1.215,0.382,1.456,1.994,2.11
"8","Kazakhstan","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48,0.242,0.144,1.25,-0.424,0.487,2.856,2.516,1.901,0.467,0.992,2.237,0.808,0.343,1.38,2.083,2.216,-0.107,2.911,0.902,2.749,0.593,3.099,0.652,2.421,2.153,0.651,1.105
"9","Kazakhstan","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.683,-2.114,-0.525,0.64,0.146,0.813,0.205,0.165,0.001,-0.679,1.898,1.26,1.436,1.919,0.839,1.526,-0.841,0.583,1.17,1.549,0.879,0.998,-0.663,0.463,1.761,1.095,0.297,-0.361
"10","Kazakhstan","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169,0.052,1.968,1.461,-0.123,5.637,1.75,3.383,-1.887,-0.073,1.842,2.394,1.697,2.969,2.113,1.43,2.339,2.356,1.912,2.436,2.813,1.732,-0.814,0.328,-1.966,0.769,1.98,3.092
