"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Kenya","January",0.46,-0.968,-0.333,-0.699,-0.739,0.382,-0.073,-0.46,-0.316,0.689,0.149,0.014,0.591,-0.085,0.014,-0.079,0.277,-0.152,-0.048,0.592,1.186,0.693,0.339,0.416,0.23,0.185,0.582,1.603,0.07,-0.077,0.515,0.745,-0.553,1.065,0.549,0.879,1.004,-0.167,0.779,0.247,0.652,1.137,0.811,1.322,0.875,1.192,0.378,0.913,1.223,1.448,1.358,0.795,1.217,1.407,0.998,1.979,1.146,0.884,1.787
"2","Kenya","February",0.125,-0.557,-0.234,0,-0.299,0.579,0.235,-0.174,-0.593,0.608,-0.228,-0.418,0.654,-0.066,0.342,0.35,0.144,-0.233,-0.116,0.565,0.758,0.801,0.715,-0.237,0.245,0.592,0.754,1.469,-0.32,0.21,0.895,0.775,-0.619,0.771,0.545,0.999,1.036,0.47,0.762,0.557,0.72,0.986,1.159,0.96,1.351,1.123,0.954,0.672,1.305,1.413,1.077,0.812,1.348,0.839,1.451,1.182,1.416,1.257,1.835
"3","Kenya","March",0.551,-0.436,-0.16,0.093,-0.196,-0.209,0.608,-1.279,-0.153,0.212,-0.331,-0.074,0.922,-0.521,0.748,0.068,0.274,-0.423,-0.226,0.205,-0.206,0.733,0.973,0.483,0.1,0.433,1.173,1.206,0.139,-0.729,0.512,1.094,-0.054,0.643,0.05,0.361,1.122,0.472,0.338,0.923,0.618,0.874,1.313,0.962,1.191,0.75,0.95,0.451,1.548,0.54,0.744,1.033,1.067,0.988,1.072,2.307,1.895,-0.119,1.726
"4","Kenya","April",0.412,-0.066,-0.535,-0.281,-0.133,-0.44,0.013,-1.077,0.773,-0.164,-0.055,0.879,1.303,-0.128,0.349,-0.151,-0.384,-0.33,-0.15,0.995,-0.673,-0.213,1.373,0.555,-0.386,-0.177,0.864,0.097,-0.841,-0.674,0.392,0.745,0.563,0.638,0.509,0.568,-0.221,1.003,-0.034,1.088,0.408,0.416,1.361,0.366,1.189,0.402,0.804,-0.081,1.349,0.683,1.809,0.919,0.441,0.969,0.763,1.885,1.767,-0.567,2.723
"5","Kenya","May",0.837,-0.606,-0.418,-0.423,0.005,0.131,-0.018,-0.892,0.504,0.185,-0.298,0.266,0.742,-0.048,-0.214,0.286,0.027,-0.186,0.09,0.751,-0.431,0.095,0.787,0.437,-0.352,-0.103,0.562,0.478,-0.329,0.41,0.571,0.687,0.512,0.366,0.452,0.576,-0.053,0.595,0.068,0.783,0.947,0.465,0.856,0.896,0.855,0.944,1.017,0.639,1.264,1.459,1.548,0.725,0.492,1.406,1.416,0.756,1.358,0.241,2.074
"6","Kenya","June",0.864,-0.159,-0.298,-0.292,-0.442,0.09,-0.239,-0.619,0.228,0.218,-0.535,0.254,0.479,0.148,-0.388,0.299,0.278,0.205,-0.095,0.525,-0.334,0.345,0.784,0.29,-0.289,-0.088,0.117,0.329,-0.089,0.113,0.464,0.819,0.35,0.503,0.684,0.341,0.788,0.491,0.443,0.677,0.36,0.506,1.054,0.343,0.657,1.049,0.234,0.44,1.46,1.583,1.646,1.093,0.676,1.432,1.026,0.912,1.666,0.807,1.782
"7","Kenya","July",0.731,-0.092,0.022,-0.721,-0.099,0.505,0.146,-0.491,0.561,0.286,-0.275,0.437,0.148,-0.075,-0.174,0.23,0.407,0.084,0.028,0.42,-0.101,0.515,0.855,0.031,-0.061,-0.26,0.701,0.588,-0.041,0.019,-0.099,0.094,-0.01,0.489,0.613,0.161,0.554,0.102,0.202,0.641,0.248,1.032,0.87,0.493,0.48,1.11,0.488,1.34,1.125,0.769,1.659,1.142,0.869,1.405,1.45,1.281,1.727,0.814,1.898
"8","Kenya","August",0.258,0.173,-0.186,-0.646,-0.072,0.308,-0.058,-0.436,0.181,0.277,-0.324,0.523,0.201,0.074,-0.699,0.136,0.127,0.506,0.313,0.376,0.237,0.371,0.705,-0.03,0.087,0.148,0.391,0.531,-0.227,0.2,-0.078,-0.03,0.227,0.462,0.659,0.45,0.959,0.129,0.287,0.713,0.761,0.839,0.525,0.817,0.322,0.941,0.609,1.062,1.717,1.253,0.955,1.254,1.015,1.133,1.391,0.996,1.885,0.827,1.936
"9","Kenya","September",-0.196,-0.01,-0.336,-0.663,0.157,0.455,-0.254,-0.166,0.461,-0.188,-0.423,0.55,0.24,-0.354,-0.459,0.162,0.405,0.449,0.122,0.379,0.404,0.517,0.195,0.204,0.153,0.207,1.087,0.142,0.48,0.475,0.067,0.084,0.183,0.61,0.493,0.513,1.16,0.253,0.443,0.528,0.923,1.003,0.912,0.912,0.44,0.689,0.535,1.57,1.665,0.689,1.178,1.314,1.282,0.678,1.46,0.468,3.189,1.252,1.717
"10","Kenya","October",-0.328,0.036,0.446,-0.85,-0.094,-0.04,-0.326,0.14,0.464,0.044,-0.567,0.276,0.204,-0.112,-0.66,0.346,0.48,0.225,0.481,1.01,0.36,-0.466,0.375,-0.059,-0.063,0.497,1.225,0.373,0.053,0.18,0.405,0.083,0.37,0.553,0.52,0.318,-0.105,0.58,0.155,0.558,0.9,0.81,1.037,0.712,0.591,0.53,0.414,1.155,0.968,1.352,0.387,1.273,0.971,0.857,1.779,1.151,1.2,0.961,0.82
"11","Kenya","November",-0.976,0.107,0.054,0.027,-0.301,-0.274,-0.256,-0.375,0.367,0.398,0.026,-0.036,0.13,0.003,-0.138,0.57,-0.646,0.053,0.333,0.599,0.506,0.079,0.498,-0.182,0.253,0.556,1.247,-0.035,-0.086,0.256,0.434,0.267,0.672,-0.12,0.484,0.315,-0.189,0.018,0.194,0.882,0.448,0.838,0.865,0.571,1.183,-0.053,0.129,0.757,1.257,1.254,0.209,1.494,0.893,0.735,0.88,1.458,0.863,1.509,1
"12","Kenya","December",-0.434,-0.042,-0.626,-0.877,0.211,0.359,-0.851,-0.733,0.39,0.259,-0.203,0.575,-0.201,0.178,0.107,0.479,-0.266,-0.012,0.495,0.628,0.241,-0.051,0.564,-0.018,0.141,0.454,1.38,-0.091,0.179,0,0.531,0.194,0.812,-0.033,0.491,0.719,0.043,0.434,-0.151,1.247,0.804,0.853,0.647,0.999,1.624,0.375,0.809,1.294,1.683,1.169,0.623,1.143,0.569,0.799,1.619,1.367,1.079,1.582,1.071
