"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Kiribati","January",0.369,-0.177,-0.33,-0.159,-0.11,-0.677,-0.071,0.146,0.165,0.333,-0.504,-0.405,-0.029,-0.474,-0.053,-0.262,-0.311,0.307,-0.004,0.405,0.485,0.668,0.449,0.356,0.195,0.722,0.113,0.533,-0.324,-0.05,0.163,0.332,-0.029,0.488,0.689,0.594,NA,0.795,-0.481,0.229,0.429,0.199,0.059,1.389,NA,0.649,0.639,0.209,0.939,0.779,0.349,NA,NA,0.849,1.359,1.519,1.599,1.169,1.489
"2","Kiribati","February",0.315,-0.228,-0.167,-0.057,-0.38,-0.342,-0.356,-0.013,0.279,0.472,-0.486,0.314,0.26,-0.222,0,-0.175,0.013,0.235,-0.252,0.399,0.353,0.448,0.373,-0.149,0.26,0.333,-0.075,0.417,-0.538,0.468,0.921,0.272,-0.077,0.211,0.641,0.151,0.49,0.983,-0.229,-0.089,0.281,NA,0.631,NA,NA,NA,0.101,-0.189,0.531,1.341,0.311,0.441,0.801,1.491,1.311,1.311,1.291,0.991,1.851
"3","Kiribati","March",-0.183,-0.398,-0.237,0.11,-0.31,-0.044,0.013,0.145,0.224,0.278,-0.241,-0.092,0.562,-0.05,-0.431,-0.129,-0.035,0.036,-0.29,-0.176,0.016,0.802,0.51,-0.022,-0.039,0.593,0.21,0.385,-0.284,0.247,0.327,0.328,-0.134,0.294,0.876,0.386,NA,1.356,-0.364,-0.104,0.536,0.706,0.596,NA,NA,NA,0.716,NA,0.876,0.976,0.996,0.766,1.176,0.946,1.646,1.216,1.296,1.366,0.426
"4","Kiribati","April",0.046,-0.404,-0.132,0.246,-0.582,-0.031,0.076,-0.09,0.503,-0.09,-0.528,-0.173,0.38,0,-0.314,-0.445,-0.06,0.151,0.13,0.15,-0.193,0.326,0.316,-0.388,-0.01,0.267,-0.005,0.238,-0.22,-0.128,0.87,-0.313,-0.296,0.304,0.767,0.051,0.667,1.044,-0.116,0.154,0.504,1.024,1.244,0.664,NA,0.354,0.924,NA,1.294,NA,0.754,0.834,0.544,0.314,1.134,1.334,1.704,1.414,0.524
"5","Kiribati","May",-0.301,-0.196,0.096,-0.12,0.03,0.039,0.295,-0.185,0.467,0.121,-0.482,-0.096,0.245,-0.153,-0.249,-0.221,-0.133,0.337,-0.048,-0.009,0.042,0.42,-0.378,-0.525,-0.055,0.324,-0.083,-0.302,-0.509,0.209,0.549,-0.091,-0.561,0.317,0.569,0.025,NA,NA,-0.371,-0.111,0.359,0.969,0.959,0.779,NA,0.649,0.599,0.029,0.969,NA,0.889,0.849,0.889,1.129,1.189,1.469,1.379,1.289,1.159
"6","Kiribati","June",-0.25,-0.117,-0.003,-0.126,-0.182,0.353,0.137,-0.111,0.15,0.264,-0.412,-0.087,0.38,-0.02,-0.515,-0.773,0.105,0.296,0.084,0.437,0.047,0.662,-0.163,-0.473,-0.116,0.465,0.164,-0.03,-0.214,0.05,0.253,0.201,-0.195,0.234,0.695,0.152,-0.112,0.629,-0.015,0.385,0.905,0.705,1.155,NA,1.175,0.945,1.535,0.305,0.925,1.045,0.865,0.755,0.985,0.845,1.265,2.105,1.565,1.525,0.945
"7","Kiribati","July",-0.328,-0.119,-0.085,0.014,-0.261,0.165,0.008,0.164,0.221,0.068,-0.576,-0.575,0.107,-0.072,0.028,-0.469,0.39,0.269,0.339,0.413,0.334,-0.358,0.295,-0.435,-0.013,0.166,-0.253,0.237,0.207,0.281,0.331,0.483,0.022,0.509,0.712,0.595,-0.016,0.398,0.402,0.412,0.842,0.992,1.022,NA,1.042,1.192,1.502,0.932,1.052,1.102,0.882,0.612,1.192,1.282,1.822,2.072,1.492,1.572,1.402
"8","Kiribati","August",0.014,-0.112,0.28,-0.288,-0.669,0.47,-0.158,0.033,0.246,0.039,-0.443,-0.605,0.199,-0.172,-0.17,-0.61,0.614,0.179,0.324,0.059,0.22,-0.256,0.247,-0.314,0.188,0.441,0.269,0.107,-0.072,0.345,0.04,0.366,-0.163,0.264,0.791,0.901,0.199,0.601,0.311,NA,1.151,NA,0.901,NA,0.981,1.201,1.281,0.841,0.921,0.931,1.221,NA,1.281,1.651,1.261,2.161,1.451,1.191,1.751
"9","Kiribati","September",-0.096,-0.172,0.204,-0.138,-0.454,0.082,-0.16,-0.033,0.126,0.084,-0.198,-0.812,-0.023,-0.056,-0.201,-0.025,0.12,0.299,0.607,0.15,0.46,0.133,0.165,0.293,0.097,0.14,0.43,0.011,-0.068,0.26,0.256,0.474,0.087,0.077,0.747,0.432,0.3,0.637,0.447,0.987,1.337,NA,0.827,NA,0.927,1.077,1.237,0.937,1.377,0.677,0.687,1.067,1.247,1.647,1.007,2.197,1.517,1.457,1.907
"10","Kiribati","October",-0.319,0.137,-0.116,-0.865,-0.528,-0.068,-0.201,-0.031,0.555,-0.182,-0.383,-0.492,-0.354,-0.099,-0.463,0.393,0.623,0.131,0.356,0.376,0.355,-0.209,-0.073,0.01,0.243,0.304,0.37,-0.409,0.165,0.929,-0.116,0.359,NA,-0.316,0.084,0.461,-0.235,-0.248,0.561,0.631,NA,0.131,0.891,1.401,1.001,0.251,0.531,1.011,1.221,0.321,0.861,1.181,0.761,0.961,1.091,1.401,1.291,1.571,1.601
"11","Kiribati","November",-0.231,-0.1,-0.199,-0.724,-0.276,-0.199,-0.133,0.01,0.895,-0.348,-0.445,0.052,-0.241,-0.169,-0.567,0.411,0.183,0.269,0.494,0.162,0.437,-0.08,0.209,0.168,0.422,0.3,0.885,-0.384,0.001,0.538,-0.184,0.205,0.506,0.194,0.234,0.321,0.004,-0.271,0.484,0.724,NA,NA,NA,NA,0.684,0.824,0.704,0.814,1.104,-0.106,0.954,1.274,1.334,1.494,1.394,1.284,1.354,NA,1.734
"12","Kiribati","December",0.173,-0.228,-0.122,-0.543,-0.161,0.046,-0.244,0.456,0.272,-0.593,-0.334,0.34,-0.375,-0.145,-0.55,-0.035,0.167,0.006,-0.087,0.479,0.035,0.026,0.249,-0.018,0.408,-0.004,0.494,-0.31,-0.286,0.385,0.162,-0.311,-0.061,0.31,0.91,0.7,0.562,0.16,0.37,0.52,0.6,0.44,1.39,1.18,NA,0.62,0.72,0.8,0.29,-0.06,0.82,1.13,1.37,1.12,1.45,1.32,0.84,1.37,1.36
