"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Kuwait","January",0.452,1.162,2.792,-5.11,-0.277,2.958,0.312,-0.923,1.74,0.672,1.111,-1.844,-1.523,-1.551,-1.033,-0.19,-2.148,0.777,1.577,-0.086,1.303,-0.002,-2.182,0.3,1.917,0.305,0.546,-0.908,-2.34,-1.529,-0.258,-2.991,-1.683,2.469,1.276,1.183,1.281,-0.532,1.898,0.319,-0.406,-0.035,1.483,2.578,0.301,1.014,-1.657,-2.103,-0.996,3.295,1.824,0.577,1.76,0.55,1.319,0.826,1.114,2.21,2.394
"2","Kuwait","February",-0.131,1.022,3.251,-0.043,0.079,1.16,-2.463,-2.04,0.044,1.619,-0.204,-2.93,2.033,-1.652,-0.878,-1.38,1.638,1.064,2.947,-0.686,0.415,-2.998,-1.577,0.544,-1.164,0.323,2.227,0.261,-2.734,-1.224,-1.004,-1.947,-0.86,0.467,0.184,1.913,-1.713,0.464,1.972,-0.529,0.216,1.01,1.841,0.903,0.287,1.323,0.825,-0.06,3.391,2.607,0.473,0.12,2.755,0.07,1.854,2.411,-1.318,3.227,1.137
"3","Kuwait","March",-1.328,1.595,-1.052,1.434,0.543,0.16,-1.708,-0.09,3.578,1.037,0.69,-1.052,-0.279,-0.001,-0.861,-2.665,1.926,0.485,0.323,1.044,0.816,-2.163,-2.559,0.99,-1.073,-0.273,-0.707,-0.035,0.073,-0.369,0.067,-3.263,-0.47,0.431,0.104,0.247,-2.12,-0.608,0.286,0.297,2.226,1.95,0.248,2.72,0.77,1.995,1.05,4.363,0.828,4.094,0.283,-0.664,2.268,2.328,0.304,2.349,1.476,4.904,-0.195
"4","Kuwait","April",-1.065,-0.046,0.64,-0.576,-1.877,0.046,-1.78,-0.829,-1.379,1.857,-1.157,-0.197,0.386,-0.373,0.08,-0.846,-0.219,0.697,1.949,1.583,0.245,1.031,-1.302,1.646,0.515,0.565,0.35,0.616,1.057,0.691,2.044,-0.075,-0.381,1.808,0.35,0.209,-0.602,1.431,2.328,4.163,2.44,1.024,2.689,0.09,1.839,1.673,1.789,2.632,0.606,2.136,1.613,2.238,1.967,3.092,2.013,1.76,3.003,1.674,0.007
"5","Kuwait","May",0.382,0.825,-2.81,0.116,0.718,1.076,-0.852,-0.109,0.088,0.426,1.7,-2.551,0.36,-0.09,0.178,-1.025,1.135,0.312,0.292,0.259,-0.044,1.475,1.339,-1.027,1.012,0.894,2.696,1.186,1.475,2.002,0.133,0.034,-0.378,1.112,1.58,2.418,1.195,1.566,2.982,2.405,2.292,2.481,2.477,1.3,1.308,3.218,3.325,2.378,2.535,2.101,2.846,3.749,0.275,2.832,3.367,2.687,3.305,1.695,2.419
"6","Kuwait","June",0.292,0.679,-0.27,1.021,0.71,0.526,-1.824,-0.585,0.346,-0.35,-1.42,0.084,-1.109,0.167,0.496,0.161,0.444,-0.773,1.117,1.19,-0.251,0.963,0.93,-0.187,0.129,-0.658,0.699,0.258,0.396,1.188,1.311,0.742,0.096,0.919,0.867,1.122,1.465,2.711,2.557,1.645,1.691,1.77,2.304,1.619,1.68,3.016,2.042,2.004,2.567,3.008,2.449,2.978,1.08,1.854,2.492,2.537,2.434,3.206,3.618
"7","Kuwait","July",0.073,1.033,0.465,-0.197,0.271,-0.323,-0.313,0.539,-1.04,-0.262,-0.159,-0.696,-0.387,-0.324,0.669,-0.701,-0.018,-0.139,0.247,1.496,1.064,0.202,1.375,1.306,-0.209,1.654,1.815,0.767,1.851,1.775,0.249,-0.348,1.096,0.15,0.397,2.293,1.04,2.06,1.72,3.349,1.724,2.515,1.767,1.987,2.328,2.14,1.625,2.223,1.757,2.661,2.317,3.174,2.364,1.615,2.905,2.484,4.054,2.922,2.312
"8","Kuwait","August",0.804,0.586,0.583,-0.568,1.068,0.927,-0.617,-0.886,-0.967,-0.693,-0.667,0.158,0.652,-0.419,-0.047,-0.595,0.678,-1.241,-0.28,-0.415,0.566,-0.596,-0.143,-1.679,0.466,1.267,1.023,0.474,0.976,0.904,0.027,0.879,0.935,-0.243,0.919,1.902,-0.132,3.588,2.748,3.067,2.637,1.828,2.382,1.573,1.727,2.67,2.348,2.28,1.875,2.871,2.194,2.697,1.413,2.423,3.204,3.032,3.555,2.068,2.296
"9","Kuwait","September",-1.966,-0.249,-0.11,-0.764,0.402,0.719,-0.136,-0.187,-0.09,-1.243,-0.421,0.219,0.624,0.076,0.938,-0.293,1.247,-0.142,1.085,-0.361,0.462,1.227,-0.995,0.201,-0.186,0.479,0.794,0.439,-0.426,0.192,-0.155,0.603,0.361,0.613,-0.518,0.865,1.044,2.149,2.058,0.491,1.695,1.568,1.128,0.625,0.87,0.819,1.87,2.16,1.15,2.653,1.666,1.35,1.267,1.708,3.045,1.836,2.848,3.713,3.017
"10","Kuwait","October",-1.039,1.006,1.047,-2.574,0.618,0.249,0.422,0.732,1.409,-0.664,-0.968,1.048,1.006,-0.494,-1.388,0.731,-1.392,0.554,1.53,0.236,-0.242,-0.151,-2.123,-1.126,-0.901,2.227,0.311,1.201,0.361,0.847,-0.054,-0.921,0.808,1.103,-0.281,-0.283,1.553,0.625,2.167,0.301,1.306,2.57,2.212,2.43,0.435,3.051,1.856,0.903,1.573,2.556,0.404,2.476,-0.841,1.716,3.247,1.114,2.355,2.453,3.655
"11","Kuwait","November",-0.837,0.629,-1.127,-0.448,0.328,1.61,-0.131,2.136,-1.549,1.981,0.254,-0.634,-1.437,1.369,0.026,0.593,-1.045,-2.917,2.135,1.37,0.22,-3.352,1.948,1.12,1.016,-1.425,0.41,-0.091,0.745,1.428,1.741,0.035,-0.101,1.193,0.081,0.318,0.497,2.878,1.09,-1.449,0.002,0.25,0.399,1.845,-0.401,-0.079,1.553,0.153,1.357,1.234,-1.622,1.663,1.162,-0.466,-0.098,0.562,1.937,0.286,1.438
