"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Kyrgyzstan","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,-0.337,-0.125,-0.569,-0.345,3.675,1.809,2.012,2.985,0.754,3.07,4.071,3.582,2.003,-1.92,2.484,-4.825,2.268,4.569,0.249,-1.47,1.801,2.491,2.796,4.595,1.853,0.991,3.183
"2","Kyrgyzstan","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.745,1.933,-1.551,0.767,0.404,0.172,1.356,4.938,0.899,2.697,3.115,2.885,4.378,-1.422,4.561,5.363,-2.118,3.635,1.073,2.045,-2.393,2.432,-3.021,4.01,4.104,1.562,2.32,2.175
"3","Kyrgyzstan","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.368,-0.816,0.874,-0.021,-0.692,1.597,-0.505,-0.278,0.684,3.256,3.436,-0.221,2.247,3.675,3.074,1.518,5.42,2.906,2.395,0.257,-1.052,4.43,0.895,0.892,5.412,0.232,5.041,3.823
"4","Kyrgyzstan","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515,-0.541,-2.464,-0.441,-2.445,2.732,1.2,-1.367,2.174,0.756,-0.208,-2.294,0.725,0.607,1.258,3.335,1.24,-0.391,1.227,2.362,3.228,1.081,0.066,1.581,1.658,0.097,1.309,1.961
"5","Kyrgyzstan","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.633,-1.8,0.737,0.434,-1.057,-0.101,-0.889,0.75,2.449,3.005,-0.501,-1.228,0.976,-0.146,2.05,1.361,3.333,-0.199,-0.119,1.871,1.281,0.627,2.146,1.591,0.952,2.805,0.3,1.1
"6","Kyrgyzstan","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.635,0.194,1.246,0.746,0.013,0.834,-0.117,-0.502,0.608,2.293,0.481,-0.182,1.062,1.766,0.802,1.716,3.056,-0.506,0.094,1.23,0.849,0.989,0.97,1.255,1.999,1.542,0.916,0.249
"7","Kyrgyzstan","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,-0.267,1.174,0.73,-0.232,1.746,0.57,-0.799,0.647,-0.054,-0.423,0.136,-0.013,1.396,0.33,0.456,1.568,-0.056,-0.057,0.655,0.738,0.695,0.799,2.956,0.789,1.915,1.913,2.83
"8","Kyrgyzstan","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.953,-1.03,1.427,1.158,-0.034,0.633,0.939,1.566,1.272,0.039,1.808,0.741,0.574,-0.3,1.853,0.764,2.149,0.611,1.288,1.613,1.979,1.204,1.13,0.794,0.825,0.537,1.373,1.602
"9","Kyrgyzstan","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.791,0.629,-1.887,0.484,1.122,1.49,1.33,1.071,0.964,-0.465,0.656,0.979,1.11,2.178,0.475,1.256,0.839,0.27,0.05,1.436,1.108,2.204,1.063,-0.238,3.079,1.331,0.681,1.232
"10","Kyrgyzstan","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.198,-1.146,0.403,-0.4,-0.181,3.225,1.044,1.963,-1.49,-0.121,2.639,1.281,-0.259,1.238,3.14,-0.998,0.562,0.957,1.729,1.237,0.717,2.044,-0.128,1.436,-1.416,0.871,0.028,1.453
"11","Kyrgyzstan","November",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.243,-0.026,3.905,2.622,-0.854,-0.517,2.83,0.71,-0.098,3.356,3.32,0.981,3.549,1.466,2.789,3.277,1.028,0.571,2.703,0.237,0.177,0.721,-0.449,1.773,-0.328,2.896,-0.09,-0.241
"12","Kyrgyzstan","December",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.105,-0.317,-0.066,-0.707,1.665,0.29,2.922,2.023,1.786,-0.525,-2.021,0.049,1.348,0.604,-0.225,-0.412,1.903,1.132,1.141,-1.962,-1.495,0.446,-0.79,1.507,2.401,1.05,0.835,2.022
