"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Land Locked Developing Countries","January",0.169,-0.547,0.646,0.075,0.595,0.799,-0.785,-0.662,-0.764,0.908,-0.493,-0.11,0.838,-0.456,-0.486,0.141,-0.421,0.229,1.003,0.803,-0.57,0.594,-0.44,-0.491,1.096,0.194,0.868,0.537,-0.509,0.543,0.618,1.323,0.259,0.783,0.488,0.053,1.066,0.35,1.465,1.147,0.269,2.022,1.711,1.798,0.703,-0.146,1.844,-2.254,1.059,1.096,-0.322,-0.444,1.554,1.306,1.396,1.57,1.79,0.116,2.016
"2","Land Locked Developing Countries","February",-0.73,0.068,1.487,-1.061,0.561,0.449,-0.188,-0.916,-0.162,0.449,-0.169,-0.943,0.971,-0.752,0.015,0.676,-0.284,0.463,1.029,0.504,0.089,0.18,0.874,-0.715,-0.302,0.715,1.209,0.22,-0.818,0.05,1.046,1.11,0.751,-0.702,1.379,0.752,0.319,1.785,2.617,0.688,0.666,2.519,1.683,2.4,0.371,2.387,2.513,-0.203,1.889,0.921,0.869,-0.722,1.737,-0.801,2.518,2.501,1.146,1.569,1.054
"3","Land Locked Developing Countries","March",-0.526,0.193,0.249,0.807,-0.308,-0.057,-0.274,-0.038,0.98,-0.799,0.394,0.27,0.721,-0.369,0.161,-0.978,-0.078,0.3,0.375,0.038,0.718,0.214,0.19,0.647,0.404,0.465,0.415,0.498,-0.02,0.303,0.474,-0.1,0.606,0.575,1.199,-0.057,1.473,0.461,-0.073,0.737,1.842,2.682,0.288,1.415,2.254,2.049,0.992,3.135,1.813,1.306,0.878,0.529,2.816,1.486,1.469,3.303,1.334,2.439,2.527
"4","Land Locked Developing Countries","April",0.46,-0.124,-0.535,0.349,-0.555,-0.334,0.454,-0.507,0.449,0.373,0.222,0.025,0.848,0.201,0.156,-0.461,-0.022,0.567,0.01,0.498,0.949,0.853,0.537,0.351,-0.011,0.904,0.674,1.066,0.358,0.971,0.202,0.585,0.127,0.613,1.232,-0.253,1.183,1.411,0.769,2.05,1.345,0.631,0.401,1.087,1.421,1.02,1.704,1.086,0.819,1.214,1.735,2.42,1.131,1.073,1.068,2.09,1.273,1.328,1.866
"5","Land Locked Developing Countries","May",0.525,-0.383,-0.378,0.001,0.002,-0.174,0.833,-0.549,0.367,0.381,-0.015,0.28,0.153,-0.03,0.115,-0.285,-0.035,0.221,0.147,0.808,0.423,0.165,1.339,1.172,0.734,0.975,0.849,0.337,0.237,0.847,0.004,-0.228,-0.173,0.822,0.269,0.657,0.488,0.699,0.582,0.847,1.359,0.646,0.519,0.864,1.007,0.496,1.059,1.061,0.979,1.323,1.12,1.339,1.084,1.237,1.451,0.95,1.607,1.073,1.376
"6","Land Locked Developing Countries","June",-0.061,-0.295,0.025,-0.451,0.094,0.281,-0.313,-0.37,0.465,0.575,-0.23,0.145,0.819,0.035,0.233,-0.265,0.524,0.074,0.119,0.165,0.11,0.417,0.207,0.111,0.443,0.821,0.055,0.418,0.493,0.645,0.687,0.307,0.342,0.883,0.976,0.324,1.017,1.136,0.608,0.838,0.664,0.492,0.376,0.909,1.163,1.3,1.141,0.936,0.809,1.7,1.46,1.218,1.031,1.46,1.839,0.896,1.392,0.888,1.35
"7","Land Locked Developing Countries","July",-0.084,-0.293,0.253,-0.707,-0.027,0.309,-0.095,0.352,0.313,0.349,0.075,0.444,0.225,-0.066,-0.385,0.077,0.66,0.041,0.309,0.176,0.174,0.739,0.709,0.44,0.011,0.048,1.298,0.055,0.144,0.149,0.342,-0.294,0.245,-0.111,1.04,0.713,0.876,1.365,0.536,0.364,0.471,1.065,0.162,0.386,1.08,0.825,0.761,1.333,0.775,0.978,1.163,0.812,0.676,0.8,1.841,1.122,1.468,1.219,1.533
"8","Land Locked Developing Countries","August",-0.368,-0.174,0.402,-0.202,-0.066,0.098,-0.211,0.351,-0.106,0.315,-0.221,0.125,-0.096,0.17,0.113,-0.288,0.352,0.389,0.717,0.361,0.392,0.293,0.602,0.532,0.195,0.705,0.834,0.422,0.32,0.685,0.566,-0.533,0.212,0.319,1.077,0.468,0.88,1.122,0.749,0.953,1.028,1.418,0.72,0.834,1.054,1.169,0.854,1.281,0.803,1.102,1.101,1.295,0.51,1.377,1.427,1.487,1.226,0.964,1.09
"9","Land Locked Developing Countries","September",-0.044,0.109,0.382,-0.546,-0.171,0.08,-0.21,-0.304,0.181,-0.044,-0.141,0.414,0.623,-0.428,-0.019,0.059,0.642,0.318,0.299,0.286,0.016,0.435,0.536,0.467,-0.029,0.09,1.051,0.467,0.195,0.346,0.637,-0.629,0.037,-0.217,0.814,0.39,0.986,0.623,0.253,0.671,0.418,1.146,0.824,0.894,1.107,0.644,1.357,0.561,0.804,0.925,0.891,0.899,1.057,0.738,1.079,1.569,1.378,0.977,1.182
"10","Land Locked Developing Countries","October",-0.418,0.031,0.388,-1.04,0.309,0.167,-0.049,0.034,0.302,0.032,-0.573,0.255,0.122,-0.549,-0.28,0.112,0.541,0.251,1.084,0.245,-0.367,0.436,0.105,0.662,0.381,-0.08,-0.015,0.108,0.435,1.214,0.302,-0.069,0.414,0.426,0.921,0.324,1.971,1.068,0.786,-0.319,0.527,0.942,1.373,0.874,1.318,1.788,0.585,1.366,1.288,1.51,1.274,1.336,0.811,0.67,1.589,0.437,1.111,1.248,1.686
"11","Land Locked Developing Countries","November",-0.209,0.351,0.181,-0.222,-0.193,0.146,-0.738,0.278,0.172,-0.275,0.127,-0.163,0.006,-0.175,0.133,-0.468,0.238,0.09,0.211,0.978,-0.418,-0.354,0.811,0.267,0.359,-0.053,0.822,0.656,0.422,1.428,0.366,0.548,-0.981,1.528,1.805,-0.105,0.349,0.75,0.348,-0.449,1.44,1.258,0.841,1.814,1.456,1.125,1.267,1.739,0.742,2.23,0.082,1.052,1.964,0.563,1.062,0.248,1.523,0.791,1.008
"12","Land Locked Developing Countries","December",-0.713,0.698,0.527,0.05,-0.377,-0.529,-0.259,0.67,0.491,-0.374,-0.005,0.635,0.234,-1.283,-0.267,0.134,0.197,0.647,0.187,0.03,0.569,0.169,0.513,-0.883,-0.099,-0.407,1.088,0.299,1.005,1.543,-0.034,0.78,-0.047,0.082,0.498,1.25,0.516,1.435,1.432,0.8,0.515,-0.926,0.875,1.083,1.137,0.67,0.263,1.069,0.902,1.069,-0.623,-0.783,1.215,0.863,1.615,1.734,1.164,0.461,1.758
