"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Lao People's Democratic Republic","January",-0.283,-1.676,-2.633,1.219,-1.059,1.844,-0.722,-0.061,1.922,0.486,-1.18,-0.971,0.77,-0.451,0.964,-1.284,-0.11,0.711,2.079,0.809,0.301,0.118,-0.857,-0.361,0.6,-0.55,1.241,1.837,0.995,1.58,2.181,-0.729,-0.167,1.607,0.944,0.721,0.524,2.449,1.235,1.491,2.412,0.534,0.22,1.113,0.955,1.09,0.466,0.779,-0.773,2.424,-0.694,1.256,1.218,-0.734,0.22,1.353,2.464,1.631,2.298
"2","Lao People's Democratic Republic","February",0.953,-1.101,-1.03,-0.496,0.823,1.38,-0.94,-1.408,0.382,0.596,-0.814,0.232,1.841,-1.095,0.677,0.319,-1.933,-0.068,1.735,0.017,1.313,0.642,0.878,1.079,1.378,0.452,1.149,1.797,0.37,1.014,0.645,-0.153,0.175,2.357,-0.274,-1.258,0.024,1.883,1.539,-0.018,0.974,1.216,1.661,-0.055,2.754,1.609,1.652,-2.227,2.681,2.552,0.691,1.221,2.827,0.629,1.081,-0.835,1.005,0.051,3.394
"3","Lao People's Democratic Republic","March",0.234,-0.979,-1.143,-0.214,-0.475,0.712,-0.497,0.32,0.609,0.808,-0.266,-1.259,0.864,-1.128,0.716,-0.642,-0.743,0.746,1.36,1.496,1.295,0.991,0.083,0.483,-0.027,-0.665,1.176,1.041,-0.637,-0.34,1.814,0.831,0.425,-0.869,0.804,0.718,0.37,1.548,1.426,0.18,0.061,0.656,0.187,0.94,-0.323,0.877,1.312,-0.258,0.83,0.975,-2.306,0.382,1.464,1.203,1.709,0.92,0.977,0.309,2.037
"4","Lao People's Democratic Republic","April",0.093,-0.388,-0.263,0.333,-0.044,0.359,-0.529,-1.232,0.35,-0.572,0.064,-1.271,1.431,-1.028,0.958,-0.427,-0.437,0.095,0.668,0.95,0.406,-1.116,1.618,1.101,0.061,0.38,0.612,0.143,0.678,0.742,0.711,1.54,0.257,1.008,1.274,-0.977,-1.01,1.068,0.281,-0.012,1.834,0.865,1.14,0.484,0.649,0.827,0.147,0.371,0.203,1.417,-0.807,0.722,1.144,0.903,0.612,2.95,0.435,-0.257,2.853
"5","Lao People's Democratic Republic","May",-0.059,0.17,0.279,-0.529,-0.247,-0.49,-0.004,-0.152,0.809,-0.019,-0.38,0.883,0.207,-0.45,-0.093,-0.674,0.211,-0.099,0.047,0.373,-0.407,0.287,0.776,-0.407,0.048,-0.555,1.382,0.249,-0.03,-0.436,0.685,1.118,0.067,0.557,0.293,0.098,0.481,1.325,-1.076,-0.665,-0.378,-0.07,1.23,0.047,1.308,-0.197,-0.327,-0.73,-0.205,1.881,-0.403,0.557,0.754,1.28,2.113,1.464,0.301,0.479,1.934
"6","Lao People's Democratic Republic","June",-0.531,-0.118,-0.193,-0.053,-0.698,-0.081,0.205,-0.392,0.234,-0.356,-0.325,0.208,0.609,-0.051,-0.202,-0.088,1.76,0.494,-0.286,-0.269,-0.284,0.302,0.898,0.127,-0.118,0.469,0.752,0.23,0.038,0.036,0.097,0.408,0.846,-0.232,1.012,0.31,0.836,1.493,0.297,-0.056,0.066,0.459,0.605,0.332,1.107,1.096,1.223,0.11,0.562,1.69,0.511,0.8,0.562,1.095,1.846,1.218,1.14,0.694,2.548
"7","Lao People's Democratic Republic","July",0.036,0.11,-0.5,-0.155,-0.1,0.108,0.285,0.526,-0.148,-0.134,-0.579,0.125,0.129,0.129,-0.121,-0.066,0.429,-0.262,0.93,0.35,-0.245,0.374,1.065,-0.013,-0.133,0.039,0.502,0.545,0.213,-0.085,0.318,-0.108,0.643,0.015,0.073,0.416,-0.114,1.079,0.802,0.125,0.508,0.49,0.898,0.07,0.716,0.475,0.889,0.19,0.301,1.104,0.473,0.267,0.061,0.401,0.712,0.8,0.004,0.344,1.481
"8","Lao People's Democratic Republic","August",-0.043,-0.028,-0.067,0.036,-0.057,-0.329,0.34,0.219,0.001,-0.196,-0.47,-0.304,-0.043,0.006,-0.207,-0.342,0.672,0.051,0.187,0.652,0.564,0.114,0.405,0.115,0.165,0.443,0.555,0.387,0.296,0.873,0.169,0.502,0.31,0.09,0.333,0.294,0.457,1.133,0.367,0.654,0.471,0.174,0.701,0.52,0.405,0.345,0.549,0.425,1.007,0.299,0.362,0.689,0.521,0.647,1.225,1.164,1.163,0.598,1.154
"9","Lao People's Democratic Republic","September",-0.245,0.067,0.462,-0.117,-0.125,-0.527,-0.587,0.145,0.224,-0.025,0.172,0.47,0.157,0.329,0.161,0.367,-0.06,-0.359,0.299,-0.156,0.853,-0.198,0.756,0.108,0.028,0.205,0.452,0.655,0.607,0.692,0.888,0.551,0.38,0.486,0.557,0.205,-0.248,0.809,0.421,-0.051,0.771,0.241,0.685,0.273,0.665,0.421,0.594,0.597,0.933,1.114,0.339,0.684,0.242,0.983,1.623,1.038,1.695,1.367,1.019
"10","Lao People's Democratic Republic","October",0.233,0.035,-0.198,0.361,0.414,0.396,-0.738,-0.131,0.533,-0.174,-0.976,1.009,-0.041,0.192,0.166,0.556,0.637,-0.266,-0.696,0.375,0.295,0.749,0.444,-0.527,0.211,0.101,1.273,-0.264,0.115,0.489,0.289,-1.083,-0.165,-0.384,0.912,0.605,1.048,0.939,0.532,0.637,1.115,0.737,1.087,0.161,0.85,1.106,0.228,1.162,1.342,0.382,0.231,1.35,0.12,1.054,1.223,2.011,1.074,1.586,1.842
"11","Lao People's Democratic Republic","November",0.518,-0.011,1.283,-1.278,0.437,0.696,0.236,1.193,-0.575,-0.15,-1.769,1.487,-0.802,0.238,-0.582,-0.997,-0.501,0.145,-0.853,0.729,0.57,1.362,-0.986,0.615,0.976,0.071,1.809,-1.135,0.48,0.943,-0.096,-1.036,0.608,0.492,0.019,1.153,1.657,1.047,0.784,0.043,-0.82,0.985,1.1,1.05,1.588,2.129,-0.81,0.229,0.644,0.491,1.008,3.115,1.453,2.154,3.322,2.151,1.506,2.351,1.825
"12","Lao People's Democratic Republic","December",0.628,-1.128,-0.146,-1.162,1.345,1.696,-0.934,1.649,-0.877,1.36,-0.274,1.177,-1.33,0.759,-2.507,0.366,0.941,0.53,0.318,0.82,-1.349,-1.565,-1.075,0.288,0.025,0.457,-1.586,-0.168,-0.245,0.67,0.674,0.401,-0.343,1.605,-0.454,-0.055,2.204,1.255,-2.164,1.586,0.902,2.277,0.284,0.089,0.415,0.95,2.266,-0.249,1.457,1.595,-0.095,2.737,-1.667,0.499,2.17,1.886,0.593,3.007,1.479
