"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Latvia","January",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.09,4.534,4.37,2.216,-1.381,2.169,5.398,2.948,3.354,4.479,3.836,-0.024,-0.838,5.155,-0.302,5.884,5.079,3.116,-5.343,2.302,2.179,-0.604,-0.222,4.933,-1.788,2.452,4.016,1.89
"2","Latvia","February",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.981,4.203,-3.697,6.637,-3.217,4.896,4.814,1.031,5.473,1.641,6.649,0.228,2.621,0.259,-1.317,-1.958,7.216,2.053,0.087,-2.903,-3.111,3.558,6.13,5.509,6.776,3.528,-0.954,6.413
"3","Latvia","March",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46,1.845,1.465,3.803,-1.247,2.405,1.013,3.296,3.127,1.15,4.441,2.182,2.876,-2.238,-1.622,6.839,3.806,2.241,1.324,1.665,3.282,-3.131,5.882,5.791,3.532,4.64,-0.317,4.6
"4","Latvia","April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.159,1.529,2.856,1.319,1.267,-1.095,2.103,3.776,4.863,2.965,2.25,-0.45,1.805,1.604,1.128,1.495,3.078,2.733,1.951,2.705,1.891,0.045,2.903,1.842,2.176,0.118,3.686,3.157
"5","Latvia","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.328,3.684,-0.792,0.396,1.146,-0.732,1.495,-1.292,1.072,0.723,3.161,1.773,-0.011,0.687,0.823,2.035,0.469,1.172,2.222,1.148,1.867,4.303,2.072,0.236,3.231,0.42,4.687,1.169
"6","Latvia","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.017,-1.986,-1.737,2.161,-0.747,0.768,0.685,3.268,-0.498,-0.806,1.158,-0.76,-1.306,-0.56,0.751,1.571,-0.019,-0.566,0.523,2.399,-0.851,2.827,-0.942,-0.532,1.465,-0.596,0.984,3.758
"7","Latvia","July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.141,-0.594,2.496,0.183,-1.366,1.664,-0.465,2.537,-0.426,4.056,2.815,3.271,0.099,1.846,2.876,0.218,0.674,1.045,5.065,3.363,1.872,1.356,3.243,0.079,1.789,-0.356,3.405,-0.054
"8","Latvia","August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,-1.358,0.869,0.745,1.914,2.806,-1.285,0.192,-0.065,1.185,3.284,0.661,1.882,0.648,1.875,2.497,1.117,0.356,3.153,1.183,0.3,1.401,1.648,2.096,0.902,1.058,2.843,1.19
"9","Latvia","September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.162,-3.098,1.561,0.411,-1.911,0.045,0.431,2.258,-1.192,0.682,0.623,0.854,1.349,2.178,2.987,0.657,-0.301,2.182,0.24,1.923,1.545,0.53,1.396,1.943,1.84,1.511,3.123,0.895
"10","Latvia","October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.206,-0.817,-0.903,2.159,1.267,-1.47,-0.023,0.741,2.887,1.994,-3.211,-1.657,0.919,1.374,2.832,0.818,2.248,-1.382,-1.421,1.293,0.48,1.519,0.22,-0.744,-1.285,0.182,1.614,1.884
