"","Area","Months","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019"
"1","Least Developed Countries","January",0.349,-0.641,0.307,-0.08,-0.251,0.493,-0.403,-0.479,0.014,0.453,-0.577,-0.032,0.351,-0.652,-0.574,-0.315,0.121,0.21,0.77,0.714,-0.02,0.387,-0.955,-0.435,1.106,-0.26,0.475,0.463,-1.055,0.375,0.488,-0.214,-0.381,0.381,-0.026,0.825,0.395,0.654,0.502,0.754,0.015,0.024,0.809,1.002,0.526,1.333,0.223,-0.077,0.794,1.596,0.612,0.158,0.963,0.941,0.373,1.261,1.37,0.462,1.16
"2","Least Developed Countries","February",-0.897,-0.228,0.722,-0.017,-0.131,0.075,-0.101,-0.56,0.45,0.482,-0.252,-0.572,1.013,-0.326,0.093,-0.232,-0.097,0.584,0.387,0.549,0.16,-0.237,0.537,-0.039,-0.314,0.638,0.873,0.745,-1.064,-0.085,0.589,-0.342,-0.223,-0.049,-0.002,0.907,-0.296,1.23,0.891,-0.122,0.1,0.734,1.337,0.579,2.119,1.544,0.822,0.04,1.284,2.124,0.867,0.555,1.359,0.396,1.26,1.1,0.979,1.381,1.001
"3","Least Developed Countries","March",-0.333,0.027,-0.382,0.616,-0.364,-0.173,-0.38,-0.549,0.994,-0.037,0.295,-0.072,0.595,-0.396,-0.006,-0.369,-0.033,0.094,0.337,0.508,0.26,0.19,0.274,0.829,0.69,0.274,0.594,0.939,-0.36,-0.242,0.427,0.374,0.174,0.565,0.608,0.554,0.422,0.757,0.382,0.173,0.728,0.884,0.857,0.889,1.574,0.994,0.84,0.91,0.913,1.426,1.099,0.681,1.558,0.766,1.057,2.059,1.026,1.517,1.38
"4","Least Developed Countries","April",0.085,-0.043,-0.367,-0.114,-0.664,-0.085,-0.015,-0.7,0.411,0.284,-0.148,-0.077,0.686,-0.092,0.151,-0.287,-0.044,0.306,0.492,0.943,0.294,0.379,0.743,0.587,-0.185,0.519,0.452,1.021,-0.083,0.71,0.244,0.691,0.431,0.557,0.587,0.478,0.073,1.672,0.691,1.089,1.089,0.999,1.175,0.816,1.422,0.864,1.095,0.477,0.806,1.974,1.168,0.865,0.939,1.093,0.769,1.683,1.252,1.037,1.747
"5","Least Developed Countries","May",0.631,-0.329,-0.524,-0.172,-0.28,0.014,0.031,-0.511,0.324,0.32,-0.063,0.046,0.43,-0.253,0.063,-0.266,0.191,0.23,0.155,0.544,0.068,0.023,1.1,0.577,0.197,0.378,0.845,0.698,0.039,0.726,0.096,0.226,0.445,0.549,0.67,0.431,0.04,1.103,0.369,0.868,0.871,1.032,0.864,0.862,0.873,0.492,1.154,0.784,1.005,1.718,1.266,0.832,0.952,0.887,1.466,1.276,1.329,1,1.573
"6","Least Developed Countries","June",0.25,-0.131,0.077,-0.273,-0.274,0.12,0.018,-0.608,0.385,0.497,-0.026,-0.153,0.537,0.026,0.06,-0.138,0.4,0.053,0.086,0.307,0.248,0.348,0.753,0.303,0.277,0.292,0.378,0.551,0.281,0.906,0.701,0.563,0.417,0.487,0.875,0.427,0.81,1.062,0.893,0.661,0.397,0.778,0.578,0.497,0.84,1.05,0.852,0.669,1.352,1.238,1.271,0.824,1.075,1.404,1.431,1.242,1.383,1.205,1.504
"7","Least Developed Countries","July",-0.091,0.149,0.197,-0.605,-0.037,0.507,-0.147,-0.149,0.215,0.343,0.02,0.541,0.497,-0.283,-0.12,-0.022,0.501,-0.242,0.372,0.243,0.003,0.609,0.984,0.453,0.078,0.083,1.108,0.399,0.289,0.427,0.245,-0.06,0.558,0.202,0.879,0.586,0.942,1.074,0.314,0.471,0.472,1.301,0.579,0.642,0.765,1.252,0.72,0.704,1.077,0.946,1.168,0.636,0.789,1.468,1.708,1.113,1.287,1.174,1.56
"8","Least Developed Countries","August",-0.4,-0.159,0.078,-0.524,-0.194,0.352,-0.291,0.285,0.2,0.245,-0.191,0.362,0.32,0.099,-0.242,-0.067,0.368,0.403,0.543,0.366,0.539,0.226,0.655,0.74,0.432,0.607,0.957,0.307,0.516,0.747,0.341,0.025,0.624,0.236,0.964,0.555,1.025,0.774,0.122,0.439,0.714,0.975,0.71,0.93,1.063,0.847,0.607,0.808,1.206,0.806,0.93,0.864,0.643,0.896,1.305,1.208,1.163,1.224,1.417
"9","Least Developed Countries","September",-0.183,-0.108,0.325,-0.485,-0.142,0.017,-0.306,0.135,0.16,0.004,-0.307,0.529,0.427,-0.253,-0.264,0.205,0.459,0.152,0.549,0.542,0.107,0.384,0.567,0.362,0.268,0.172,1.051,0.332,0.38,0.475,0.462,0.163,0.446,0.119,0.539,0.54,1.158,0.511,0.048,0.73,0.594,0.982,0.704,0.773,0.991,0.612,0.787,0.976,1.176,0.821,0.859,0.719,0.98,0.692,1.195,1.357,1.455,1.304,1.277
"10","Least Developed Countries","October",-0.26,-0.022,0.071,-0.602,-0.141,-0.097,-0.376,0.116,0.207,0.01,-0.324,0.485,0.274,-0.06,-0.279,0.164,0.209,0.285,0.631,0.519,0.399,-0.089,0.103,0.524,0.307,0.143,0.411,0.185,0.254,0.546,-0.007,0.155,0.487,0.136,0.714,0.407,0.626,0.796,-0.046,0.214,0.435,0.666,1.067,0.904,0.818,1.04,0.697,0.824,0.992,1.333,0.761,0.907,0.665,0.762,1.674,1.532,1.399,1.13,1.23
"11","Least Developed Countries","November",-0.494,0.392,-0.162,-0.436,-0.204,0.121,-0.53,0.082,0.256,-0.045,-0.281,-0.19,-0.194,-0.085,-0.194,0.018,-0.07,-0.313,0.53,0.545,0.038,-0.519,0.463,0.1,0.565,0.109,1.01,0.097,0.573,1.019,0.326,-0.091,0.759,0.258,0.605,0.284,0.908,0.845,0.563,0.572,0.607,0.84,1.126,1.062,1.085,0.447,0.911,0.808,0.785,1.379,0.641,1.33,1.002,1.11,1.275,1.608,1.058,1.362,1.823
"12","Least Developed Countries","December",-0.64,0.125,0.028,-0.408,-0.29,0.111,-0.235,0.392,0.638,-0.303,-0.426,0.358,-0.221,-0.568,-0.187,0.47,0.117,0.437,-0.018,0.063,0.724,-0.07,0.254,-0.063,0.081,-0.41,0.969,0.026,0.331,1.16,-0.164,0.315,0.745,-0.03,0.637,0.635,0.679,0.924,0.517,0.324,1.349,0.885,0.77,1.059,1.6,0.016,0.71,1.202,1.283,0.928,0.168,0.853,0.641,0.911,0.604,1.698,1.086,1.193,1.293
